Starting new run:  K= -1.414200, -2.327300, 47.896800, -2.156900, 4.349700 - Sun Jan 21 15:48:50 2024
Qube Frequency: 100.000000, Cam framerate: 100.000000
AlphaDotTransformVector: 0.707784, 1.164776, -21.328502, 0.958377, -1.185657
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;alphaDotKKalman;camControl;systemTime
0.006136;0.000000;0.006136;0.000000;0.157847;0.000000;42.500000;117.500000;253.500000;117.500000;0.000000;0.000000;0.000000;1;0.056384;-0.237507;0.000000;0.000000;0.000000;0.000000;0.000000;0.439052;0;Sun Jan 21 15:49:08 2024
0.003068;-0.306796;0.006136;0.000000;0.157908;0.000000;42.500000;117.500000;253.500000;117.500000;0.000000;0.000000;0.000000;1;-1.425119;-0.145337;0.000000;0.000000;0.000000;0.000000;0.021210;0.396222;0;Sun Jan 21 15:49:08 2024
0.003068;-0.306796;0.006136;0.000000;0.157908;0.000000;42.500000;117.500000;253.500000;117.500000;0.000000;0.000000;0.000000;1;-1.425119;-0.164821;0.000000;0.000000;0.000000;0.000000;0.016731;0.380194;0;Sun Jan 21 15:49:08 2024
0.006136;0.306796;0.009204;0.306796;0.158000;0.000000;41.500000;116.500000;253.500000;117.500000;-0.004717;-0.471695;-0.270261;1;0.721770;-2.570729;-0.001157;-0.225187;0.000000;0.000000;-0.369851;0.373975;0;Sun Jan 21 15:49:08 2024
0.009204;0.306796;0.012272;0.306796;0.158123;0.000000;42.500000;118.500000;254.500000;117.500000;0.004717;0.943389;0.270261;1;0.861402;3.170883;-0.000589;0.234148;0.000000;0.000000;0.945586;0.371528;0;Sun Jan 21 15:49:08 2024
0.015340;0.613592;0.018408;0.613592;0.158307;0.000000;42.500000;118.500000;253.500000;117.500000;0.004739;0.002235;0.271542;1;1.813495;-2.107583;0.002018;0.372488;0.000000;0.000000;-0.141179;0.370560;0;Sun Jan 21 15:49:08 2024
0.018408;0.306796;0.021476;0.306796;0.158522;0.000000;42.500000;119.500000;253.500000;117.500000;0.009478;0.473909;0.543072;1;1.280254;1.585361;0.004515;0.467487;0.004515;0.451457;0.529926;0.370176;0;Sun Jan 21 15:49:08 2024
0.018408;0.000000;0.021476;0.000000;0.158736;0.000000;42.500000;119.500000;253.500000;115.500000;0.018955;0.947669;1.086046;1;0.607208;3.246345;0.009272;0.425401;0.009272;0.475749;0.707338;0.370024;0;Sun Jan 21 15:49:08 2024
0.012272;-0.613592;0.015340;-0.613592;0.158890;0.000000;41.500000;119.500000;253.500000;117.500000;0.009434;-0.952139;0.540510;1;-1.018105;-2.637878;0.011685;0.003292;0.011685;0.241298;-0.979518;0.369963;0;Sun Jan 21 15:49:08 2024
0.006136;-0.613592;0.009204;-0.613592;0.158982;0.000000;41.500000;116.500000;253.500000;117.500000;-0.004717;-1.415063;-0.270261;1;-1.297846;-3.249116;0.007110;-0.981913;0.007110;-0.457497;-1.072918;0.369939;0;Sun Jan 21 15:49:08 2024
0.000000;-0.613592;0.003068;-0.613592;0.159012;0.000000;42.500000;116.500000;253.500000;118.500000;-0.009478;-0.476144;-0.543072;1;-1.577501;0.101357;0.000142;-1.241097;0.000000;-0.711007;-0.229184;0.369930;0;Sun Jan 21 15:49:08 2024
-0.003068;-0.306796;-0.000000;-0.306796;0.159012;0.000000;41.500000;116.500000;253.500000;118.500000;-0.009434;0.004471;-0.540510;1;-1.044564;0.235705;-0.004565;-0.154975;-0.004565;-0.456495;0.004023;0.369926;0;Sun Jan 21 15:49:08 2024
-0.003068;0.000000;-0.000000;0.000000;0.159012;0.000000;41.500000;116.500000;253.500000;116.500000;0.000000;0.943368;0.000000;1;-0.371821;2.935735;-0.004639;0.839920;-0.004639;-0.007403;0.777709;0.369925;0;Sun Jan 21 15:49:08 2024
0.003068;0.613592;0.006136;0.613592;0.159074;0.000000;42.500000;116.500000;253.500000;117.500000;-0.004739;-0.473930;-0.271542;1;1.253188;-4.053504;-0.003526;0.169623;0.000000;0.463898;-0.533816;0.369924;0;Sun Jan 21 15:49:08 2024
0.009204;0.613592;0.012272;0.613592;0.159197;0.000000;41.500000;117.500000;253.500000;115.500000;0.009434;1.417298;0.540510;1;1.532626;4.575776;-0.000645;0.389384;0.000000;0.000000;1.421669;0.369924;0;Sun Jan 21 15:49:08 2024
0.015340;0.613592;0.015340;0.306796;0.159350;0.000000;42.500000;118.500000;253.500000;115.500000;0.014217;0.478337;0.814577;1;2.480889;0.139142;0.005470;0.653509;0.005470;0.547041;0.183900;0.369924;0;Sun Jan 21 15:49:08 2024
0.015340;0.000000;0.015340;0.000000;0.159503;0.000000;42.500000;118.500000;253.500000;116.500000;0.009478;-0.473866;0.543072;1;0.473458;-1.617849;0.008597;0.409138;0.008597;0.312689;-0.406548;0.369924;0;Sun Jan 21 15:49:08 2024
0.009204;-0.613592;0.009204;-0.613592;0.159595;0.000000;42.500000;117.500000;253.500000;115.500000;0.009478;0.000000;0.543072;1;-1.151769;1.827475;0.009029;-0.490131;0.009029;0.043123;0.073269;0.369924;0;Sun Jan 21 15:49:08 2024
0.000000;-0.920388;-0.000000;-0.920388;0.159595;0.000000;42.500000;116.500000;252.500000;116.500000;0.000000;-0.947839;0.000000;1;-2.243928;-1.880780;0.006924;-0.745112;0.006924;-0.210439;-0.913146;0.369924;0;Sun Jan 21 15:49:08 2024
-0.009204;-0.920388;-0.006136;-0.613592;0.159534;0.000000;41.500000;115.500000;252.500000;118.500000;-0.014217;-1.421705;-0.814577;1;-3.332126;-3.723077;0.000042;-0.772947;0.000000;-0.692413;-1.112078;0.369924;0;Sun Jan 21 15:49:08 2024
-0.009204;0.000000;-0.009204;-0.306796;0.159442;0.000000;41.500000;114.500000;253.500000;118.500000;-0.018866;-0.464863;-1.080924;1;0.016829;-0.706682;-0.008091;-0.946321;-0.008091;-0.809058;-0.178595;0.369924;0;Sun Jan 21 15:49:08 2024
-0.003068;0.613592;-0.003068;0.613592;0.159411;0.000000;42.500000;114.500000;252.500000;116.500000;-0.009524;0.934216;-0.545658;1;0.980240;1.593591;-0.011083;0.075207;-0.011083;-0.299261;0.842862;0.369924;0;Sun Jan 21 15:49:08 2024
0.006136;0.920388;0.006136;0.920388;0.159473;0.000000;42.500000;116.500000;253.500000;115.500000;0.004739;1.426282;0.271542;1;2.072313;2.468505;-0.006820;1.426871;-0.006820;0.426321;1.154137;0.369924;0;Sun Jan 21 15:49:08 2024
0.015340;0.920388;0.015340;0.920388;0.159626;0.000000;43.500000;118.500000;253.500000;114.500000;0.019045;1.430601;1.091216;1;2.491512;2.615873;0.002357;1.571206;0.000000;0.681997;1.091937;0.369924;0;Sun Jan 21 15:49:08 2024
0.021476;0.613592;0.018408;0.306796;0.159810;0.000000;42.500000;119.500000;253.500000;116.500000;0.014217;-0.482826;0.814577;1;2.766989;-2.741753;0.009357;0.163484;0.009357;0.935693;-0.519426;0.369924;0;Sun Jan 21 15:49:08 2024
0.018408;-0.306796;0.015340;-0.306796;0.159964;0.000000;42.500000;118.500000;253.500000;116.500000;0.009478;-0.473866;0.543072;1;-0.052990;-0.211685;0.010577;-0.620217;0.010577;0.122055;-0.257057;0.369924;0;Sun Jan 21 15:49:08 2024
0.009204;-0.920388;0.006136;-0.920388;0.160025;0.000000;42.500000;117.500000;253.500000;116.500000;0.004739;-0.473909;0.271542;1;-1.817979;0.429340;0.008875;-0.577038;0.008875;-0.170208;-0.400111;0.369924;0;Sun Jan 21 15:49:08 2024
-0.003068;-1.227185;-0.006136;-1.227185;0.159964;0.000000;42.500000;115.500000;253.500000;114.500000;0.004739;0.000000;0.271542;1;-3.049856;2.461469;0.006846;-0.047778;0.006846;-0.202923;-0.069296;0.369924;0;Sun Jan 21 15:49:08 2024
-0.015340;-1.227185;-0.012272;-0.613592;0.159841;0.000000;42.500000;113.500000;252.500000;114.500000;-0.004762;-0.950117;-0.272835;1;-4.946642;-2.947704;0.003483;-0.457851;0.000000;-0.684617;-0.974890;0.369924;0;Sun Jan 21 15:49:08 2024
-0.015340;0.000000;-0.015340;-0.306796;0.159687;0.000000;41.500000;113.500000;253.500000;117.500000;-0.018866;-1.410382;-1.080924;1;-0.263129;-4.164755;-0.004019;-1.062189;-0.004019;-0.401910;-1.021646;0.369924;0;Sun Jan 21 15:49:08 2024
-0.003068;1.227185;-0.006136;0.920388;0.159626;0.000000;42.500000;114.500000;252.500000;114.500000;0.000000;1.886569;0.000000;1;2.994291;5.323584;-0.006674;0.145524;-0.006674;-0.265450;1.802395;0.369924;0;Sun Jan 21 15:49:08 2024
0.015340;1.840777;0.009204;1.533981;0.159718;0.000000;41.500000;116.500000;253.500000;117.500000;-0.004717;-0.471695;-0.270261;1;5.185619;-6.351683;-0.004557;0.628022;-0.004557;0.211680;-0.592567;0.369924;0;Sun Jan 21 15:49:08 2024
0.024544;0.920388;0.021476;1.227185;0.159933;0.000000;42.500000;119.500000;254.500000;116.500000;0.014150;1.886695;0.810735;1;2.255906;5.679195;-0.000009;1.280095;0.000000;0.455679;1.977765;0.369924;0;Sun Jan 21 15:49:08 2024
0.024544;0.000000;0.018408;-0.306796;0.160117;0.000000;42.500000;119.500000;254.500000;114.500000;0.023581;0.943054;1.351065;1;1.568015;3.171289;0.009247;0.714752;0.009247;0.924709;0.537033;0.369924;0;Sun Jan 21 15:49:08 2024
