Starting new run:  K= -0.707100, -1.195200, 29.098000, -1.252100, 2.479700 - Sun Jan 21 15:28:51 2024
Qube Frequency: 100.000000, Cam framerate: 100.000000
AlphaDotTransformVector: 0.353892, 0.598178, -11.920003, 0.505539, -0.249752
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;alphaDotKKalman;camControl;systemTime
0.003068;0.306796;0.006136;0.000000;0.154318;0.000000;41.500000;110.500000;252.500000;108.500000;0.009478;0.947839;0.543072;1;0.733582;1.882151;0.002324;0.452498;0.000000;0.000000;0.778714;0.439052;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.009204;0.306796;0.154411;0.000000;41.500000;111.500000;253.500000;108.500000;0.014150;0.467161;0.810735;1;-0.415052;0.540182;0.006978;0.657515;0.006978;0.697781;0.339341;0.396222;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.009204;0.000000;0.154503;0.000000;41.500000;111.500000;253.500000;108.500000;0.014150;0.000000;0.810735;1;-0.030978;0.168226;0.010494;0.336786;0.010494;0.351654;-0.006811;0.380194;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.009204;0.000000;0.154595;0.000000;41.500000;109.500000;253.500000;108.500000;0.004717;-0.943305;0.270261;1;-0.031043;-1.799106;0.009973;-0.627314;0.009973;-0.052131;-0.794043;0.373975;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.009204;0.000000;0.154687;0.000000;42.500000;110.500000;253.500000;108.500000;0.009478;0.476144;0.543072;1;-0.031108;1.188288;0.008562;-0.305573;0.008562;-0.141108;0.427282;0.371528;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.009204;0.000000;0.154779;0.000000;41.500000;110.500000;252.500000;108.500000;0.009478;0.000000;0.543072;1;-0.031173;0.071194;0.009011;0.212479;0.009011;0.044856;-0.028451;0.370560;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.009204;0.000000;0.154871;0.000000;42.500000;110.500000;253.500000;108.500000;0.009478;0.000000;0.543072;1;-0.031238;0.128154;0.009239;0.313893;0.009239;0.022854;-0.008136;0.370176;0;Sun Jan 21 15:29:03 2024
0.000000;-0.306796;0.009204;0.000000;0.154963;0.000000;42.500000;110.500000;254.500000;111.500000;-0.004717;-1.419534;-0.270261;1;-0.881337;-2.863966;0.005875;-0.880115;0.005875;-0.336425;-1.175278;0.370024;0;Sun Jan 21 15:29:03 2024
0.000000;0.000000;0.009204;0.000000;0.155055;0.000000;42.500000;110.500000;253.500000;111.500000;-0.004739;-0.002235;-0.271542;1;-0.120640;0.075886;0.000675;-0.741356;0.000000;-0.587481;0.071339;0.369963;0;Sun Jan 21 15:29:03 2024
0.003068;0.306796;0.009204;0.000000;0.155147;0.000000;41.500000;109.500000;253.500000;108.500000;0.004717;0.945625;0.270261;1;0.729329;1.859429;0.000338;0.397621;0.000000;0.000000;0.794569;0.369939;0;Sun Jan 21 15:29:03 2024
0.006136;0.306796;0.012272;0.306796;0.155270;0.000000;41.500000;111.500000;253.500000;111.500000;0.000000;-0.471695;0.000000;1;0.430708;-1.516837;0.001329;0.573256;0.000000;0.000000;-0.422191;0.369930;0;Sun Jan 21 15:29:03 2024
0.003068;-0.306796;0.012272;0.000000;0.155392;0.000000;42.500000;111.500000;253.500000;111.500000;0.000000;0.000000;0.000000;1;-0.796036;0.037996;0.000677;-0.198349;0.000000;0.000000;0.057603;0.369926;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.155515;0.000000;42.500000;111.500000;253.500000;111.500000;0.000000;0.000000;0.000000;1;-0.035360;-0.093380;0.000345;-0.440377;0.000000;0.000000;0.008555;0.369925;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.155638;0.000000;42.500000;111.500000;253.500000;112.500000;-0.004739;-0.473930;-0.271542;1;-0.035447;-1.092275;-0.000986;0.013753;0.000000;0.000000;-0.378617;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.155760;0.000000;41.500000;110.500000;253.500000;108.500000;0.009434;1.417298;0.540510;1;-0.035534;2.875897;0.000649;0.596910;0.000000;0.000000;1.202497;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.155883;0.000000;42.500000;111.500000;253.500000;108.500000;0.014217;0.478337;0.814577;1;-0.035621;0.872955;0.006130;0.650433;0.006130;0.612959;0.330479;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.156006;0.000000;42.500000;111.500000;253.500000;108.500000;0.014217;0.000000;0.814577;1;-0.035707;0.084922;0.010095;0.498932;0.010095;0.396548;-0.033813;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.156129;0.000000;42.500000;111.500000;253.500000;108.500000;0.014217;0.000000;0.814577;1;-0.035794;0.183900;0.012115;-0.196920;0.012115;0.202041;-0.017571;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.156251;0.000000;42.500000;111.500000;253.500000;112.500000;-0.004739;-1.895635;-0.271542;1;-0.035881;-3.785125;0.008497;-1.074951;0.008497;-0.361870;-1.575679;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.156374;0.000000;42.500000;111.500000;253.500000;112.500000;-0.004739;0.000000;-0.271542;1;-0.035968;0.159931;0.002005;-0.745117;0.000000;-0.849678;0.091475;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.156497;0.000000;42.500000;111.500000;253.500000;111.500000;0.000000;0.473930;0.000000;1;-0.036055;0.878715;-0.000141;0.045783;0.000000;0.000000;0.406553;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.156619;0.000000;42.500000;111.500000;253.500000;111.500000;0.000000;0.000000;0.000000;1;-0.036141;-0.144670;-0.000072;0.617354;0.000000;0.000000;-0.006926;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.156742;0.000000;42.500000;111.500000;253.500000;109.500000;0.009478;0.947839;0.543072;1;-0.036228;1.900579;0.002288;0.443677;0.000000;0.000000;0.790222;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.156865;0.000000;41.500000;111.500000;254.500000;111.500000;0.000000;-0.947839;0.000000;1;-0.036315;-2.064544;0.003490;-0.288385;0.000000;0.000000;-0.822881;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.156988;0.000000;42.500000;111.500000;253.500000;111.500000;0.000000;0.000000;0.000000;1;-0.036402;0.044805;0.001778;-0.212726;0.000000;0.000000;0.047886;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.157110;0.000000;41.500000;110.500000;254.500000;111.500000;-0.004695;-0.469480;-0.268992;1;-0.036488;-1.066804;-0.000245;-0.499663;0.000000;0.000000;-0.376621;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.157233;0.000000;42.500000;111.500000;253.500000;110.500000;0.004739;0.943410;0.271542;1;-0.036575;1.887016;-0.000114;0.417125;0.000000;0.000000;0.813075;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.157356;0.000000;42.500000;110.500000;252.500000;109.500000;0.004762;0.002257;0.272835;1;-0.036662;-0.142214;0.002272;0.451198;0.000000;0.000000;-0.033221;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.157478;0.000000;42.500000;111.500000;253.500000;112.500000;-0.004739;-0.950117;-0.271542;1;-0.036749;-2.021356;0.001163;-0.323200;0.000000;0.000000;-0.777987;0.369924;0;Sun Jan 21 15:29:03 2024
0.003068;0.000000;0.012272;0.000000;0.157601;0.000000;42.500000;111.500000;253.500000;109.500000;0.009478;1.421769;0.543072;1;-0.036836;2.960305;0.001755;-0.016266;0.000000;0.000000;1.224083;0.369924;0;Sun Jan 21 15:29:03 2024
