Starting new run:  K= -0.707100, -1.195200, 29.098000, -1.252100, 2.479700 - Sun Jan 21 12:35:29 2024
Qube Frequency: 150.000000, Cam framerate: 150.000000
AlphaDotTransformVector: 0.235928, 0.398786, -7.946669, 0.337026, 0.166832
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;alphaDotKKalman;camControl;systemTime
0.003068;0.000000;-0.039884;-0.460194;0.208826;0.000000;40.500000;110.500000;254.500000;108.500000;0.009346;1.401828;0.535459;1;0.565489;3.398758;0.002292;0.669233;0.000000;0.000000;1.151697;0.439052;0;Sun Jan 21 12:35:41 2024
0.000000;-0.460194;-0.039884;0.000000;0.208560;0.000000;42.500000;111.500000;253.500000;110.500000;0.004739;-0.690933;0.271542;1;0.565489;-0.798623;0.004621;0.312751;0.004621;0.693169;-0.568337;0.396222;0;Sun Jan 21 12:35:41 2024
0.000000;-0.460194;-0.039884;0.000000;0.208560;0.000000;41.500000;110.500000;252.500000;110.500000;0.000000;-0.710895;0.000000;1;-1.240948;-1.558223;0.003517;-0.474728;0.000000;-0.693169;-0.629408;0.380194;0;Sun Jan 21 12:35:41 2024
0.000000;0.000000;-0.042951;-0.460194;0.208274;0.000000;41.500000;108.500000;253.500000;108.500000;0.000000;0.000000;0.000000;1;0.480274;0.500682;0.001792;-0.766420;0.000000;0.000000;-0.012795;0.373975;0;Sun Jan 21 12:35:41 2024
0.000000;0.000000;-0.042951;0.000000;0.207701;0.000000;42.500000;108.500000;252.500000;110.500000;-0.009524;-1.428528;-0.545658;1;-0.095732;-3.102781;-0.001422;-0.576412;0.000000;0.000000;-1.195976;0.371528;0;Sun Jan 21 12:35:41 2024
0.000000;0.000000;-0.042951;0.000000;0.207701;0.000000;42.500000;108.500000;253.500000;107.500000;0.004739;2.139423;0.271542;1;-0.095530;4.167106;-0.001898;0.692417;0.000000;0.000000;1.741282;0.370560;0;Sun Jan 21 12:35:41 2024
0.000000;0.000000;-0.046019;-0.460194;0.207108;0.000000;41.500000;107.500000;254.500000;109.500000;-0.009389;-2.119304;-0.537973;1;0.484766;-3.768107;-0.002107;-0.362236;0.000000;0.000000;-1.690349;0.370176;0;Sun Jan 21 12:35:41 2024
0.000000;-0.460194;-0.046019;0.000000;0.206801;0.000000;42.500000;106.500000;254.500000;109.500000;-0.014150;-0.714091;-0.810735;1;0.484766;-1.316083;-0.006845;-0.803109;-0.006845;-1.026815;-0.645909;0.370024;0;Sun Jan 21 12:35:41 2024
-0.003068;0.000000;-0.046019;0.000000;0.206494;0.000000;42.500000;108.500000;254.500000;109.500000;-0.004717;1.414958;-0.270261;1;-0.180281;2.502451;-0.008114;-0.374144;-0.008114;-0.190274;1.141089;0.369963;0;Sun Jan 21 12:35:41 2024
-0.006136;-0.460194;-0.049087;-0.460194;0.206167;0.000000;42.500000;108.500000;253.500000;111.500000;-0.014217;-1.425016;-0.814577;1;-0.830589;-2.555134;-0.008777;0.326936;-0.008777;-0.099411;-1.124672;0.369939;0;Sun Jan 21 12:35:41 2024
-0.006136;0.000000;-0.049087;0.000000;0.205840;0.000000;42.500000;107.500000;252.500000;110.500000;-0.014285;-0.010154;-0.818455;1;-0.265423;-0.529834;-0.011460;-0.120598;-0.011460;-0.402553;-0.044151;0.369930;0;Sun Jan 21 12:35:41 2024
-0.006136;0.000000;-0.052155;-0.460194;0.205492;0.000000;42.500000;107.500000;254.500000;109.500000;-0.009434;0.727659;-0.540510;1;0.314699;1.696320;-0.011655;-0.467116;-0.011655;-0.029169;0.621934;0.369926;0;Sun Jan 21 12:35:41 2024
-0.006136;0.000000;-0.052155;0.000000;0.205144;0.000000;42.500000;108.500000;254.500000;109.500000;-0.004717;0.707510;-0.270261;1;-0.261265;1.107600;-0.009408;0.965642;-0.009408;0.337042;0.590423;0.369925;0;Sun Jan 21 12:35:41 2024
-0.006136;0.000000;-0.052155;0.000000;0.204797;0.000000;41.500000;108.500000;252.500000;110.500000;-0.009478;-0.714216;-0.543072;1;-0.261019;-1.705883;-0.008274;0.367810;-0.008274;0.170079;-0.557588;0.369924;0;Sun Jan 21 12:35:41 2024
-0.009204;-0.460194;-0.052155;0.000000;0.204449;0.000000;42.500000;108.500000;253.500000;107.500000;0.004739;2.132654;0.271542;1;-1.491188;4.110364;-0.005378;0.390988;-0.005378;0.434456;1.753870;0.369924;0;Sun Jan 21 12:35:41 2024
-0.009204;0.000000;-0.052155;0.000000;0.204101;0.000000;42.500000;108.500000;253.500000;110.500000;-0.009478;-2.132654;-0.543072;1;-0.349799;-4.415311;-0.003902;-0.400548;0.000000;0.806644;-1.701734;0.369924;0;Sun Jan 21 12:35:41 2024
-0.006136;0.460194;-0.052155;0.000000;0.203754;0.000000;42.500000;105.500000;254.500000;109.500000;-0.018866;-1.408095;-1.080924;1;0.880862;-3.290629;-0.008938;-0.965361;-0.008938;-1.340700;-1.189182;0.369924;0;Sun Jan 21 12:35:41 2024
-0.003068;0.460194;-0.049087;0.460194;0.203426;0.000000;42.500000;107.500000;252.500000;110.500000;-0.014285;0.687142;-0.818455;1;0.390489;0.360077;-0.012682;-1.045172;-0.012682;-0.561660;0.560750;0.369924;0;Sun Jan 21 12:35:41 2024
-0.003068;0.000000;-0.049087;0.000000;0.203099;0.000000;42.500000;107.500000;254.500000;109.500000;-0.009434;0.727659;-0.540510;1;-0.174214;1.213043;-0.012277;0.798314;-0.012277;0.060744;0.667514;0.369924;0;Sun Jan 21 12:35:41 2024
-0.003068;0.000000;-0.049087;0.000000;0.202772;0.000000;41.500000;109.500000;253.500000;107.500000;0.009434;2.830105;0.540510;1;-0.173982;5.593859;-0.006255;2.345076;-0.006255;0.903313;2.363426;0.369924;0;Sun Jan 21 12:35:41 2024
-0.003068;0.000000;-0.049087;0.000000;0.202445;0.000000;42.500000;107.500000;253.500000;111.500000;-0.018955;-4.258314;-1.086046;1;-0.173751;-8.766566;-0.005522;-0.991108;-0.005522;0.110041;-3.436470;0.369924;0;Sun Jan 21 12:35:41 2024
