Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Sun Jan 21 14:12:54 2024
Qube Frequency: 150.000000, Cam framerate: 150.000000
AlphaDotTransformVector: 0.333656, 0.554470, -10.498437, 0.460679, -0.087547
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;alphaDotKKalman;camControl;systemTime
0.006136;0.000000;-0.046019;0.000000;0.164259;0.000000;42.500000;100.500000;254.500000;101.500000;-0.004717;-0.707542;-0.270261;1;0.137686;-2.014895;-0.001157;-0.337781;0.000000;0.000000;-0.581293;0.439052;0;Sun Jan 21 14:13:04 2024
0.006136;0.000000;-0.046019;0.000000;0.164259;0.000000;40.500000;101.500000;254.500000;101.500000;0.000000;0.707542;0.000000;1;0.137686;1.807705;-0.001746;0.013441;0.000000;0.000000;0.604436;0.396222;0;Sun Jan 21 14:13:04 2024
0.003068;-0.460194;-0.046019;0.000000;0.163952;0.000000;42.500000;101.500000;254.500000;101.500000;0.000000;0.000000;0.000000;1;-1.466738;-0.133832;-0.000890;0.232792;0.000000;0.000000;-0.004216;0.380194;0;Sun Jan 21 14:13:04 2024
0.003068;0.000000;-0.046019;0.000000;0.163645;0.000000;42.500000;102.500000;253.500000;103.500000;-0.004739;-0.710895;-0.271542;1;0.025565;-2.022970;-0.001615;-0.070602;0.000000;0.000000;-0.578775;0.373975;0;Sun Jan 21 14:13:04 2024
0.003068;0.000000;-0.046019;0.000000;0.163338;0.000000;41.500000;103.500000;253.500000;102.500000;0.004717;1.418437;0.270261;1;0.025872;3.735770;-0.000828;0.161699;0.000000;0.000000;1.188451;0.371528;0;Sun Jan 21 14:13:04 2024
0.003068;0.000000;-0.046019;0.000000;0.163031;0.000000;42.500000;100.500000;254.500000;101.500000;-0.004717;-1.415084;-0.270261;1;0.026179;-3.943361;-0.000422;-0.185673;0.000000;0.000000;-1.184817;0.370560;0;Sun Jan 21 14:13:04 2024
0.003068;0.000000;-0.046019;0.000000;0.162725;0.000000;41.500000;102.500000;252.500000;102.500000;0.000000;0.707542;0.000000;1;0.026485;1.853320;-0.001372;0.159237;0.000000;0.000000;0.613791;0.370176;0;Sun Jan 21 14:13:04 2024
0.006136;0.460194;-0.042951;0.460194;0.162438;0.000000;42.500000;103.500000;253.500000;103.500000;0.000000;0.000000;0.000000;1;0.879647;-0.877937;-0.000699;-0.218242;0.000000;0.000000;-0.004453;0.370024;0;Sun Jan 21 14:13:04 2024
0.006136;0.000000;-0.042951;0.000000;0.162152;0.000000;42.500000;101.500000;252.500000;102.500000;-0.004762;-0.714280;-0.272835;1;0.134695;-1.908880;-0.001524;-0.012386;0.000000;0.000000;-0.543511;0.369963;0;Sun Jan 21 14:13:04 2024
0.006136;0.000000;-0.042951;0.000000;0.161866;0.000000;42.500000;102.500000;253.500000;99.500000;0.014217;2.846838;0.814577;1;0.134981;7.622994;0.001542;1.027359;0.000000;0.000000;2.361684;0.369939;0;Sun Jan 21 14:13:04 2024
