Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Sat Jul  1 17:36:31 2023
Qube Frequency: 100.000000, Cam framerate: 100.000000
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;camControl;systemTime
0.009204;0.000000;-0.018408;0.000000;0.202608;0.000000;56.500000;101.500000;243.500000;101.500000;0.000000;0.000000;0.000000;1;0.166187;-0.172018;0.000000;0.000000;0.000000;0.000000;0;Sat Jul  1 17:36:40 2023
0.006136;-0.306796;-0.018408;0.000000;0.202424;0.000000;58.500000;102.500000;244.500000;100.500000;0.010752;1.075227;0.616060;1;-0.941028;-1.166498;0.002553;0.004020;0.000000;0.000000;0;Sat Jul  1 17:36:40 2023
0.006136;0.000000;-0.018408;0.000000;0.202240;0.000000;56.500000;102.500000;244.500000;101.500000;0.005319;-0.543318;0.304762;1;0.053820;0.017811;0.005156;0.004179;0.005156;0.000000;0;Sat Jul  1 17:36:40 2023
0.006136;0.000000;-0.018408;0.000000;0.202056;0.000000;56.500000;102.500000;243.500000;100.500000;0.010695;0.537568;0.612766;1;0.054004;0.067735;0.006510;0.006487;0.006510;0.000000;0;Sat Jul  1 17:36:40 2023
0.009204;0.306796;-0.015340;0.306796;0.201903;0.000000;57.500000;100.500000;243.500000;101.500000;-0.005376;-1.607107;-0.308039;1;0.658620;0.492439;0.004681;-0.000526;0.004681;0.000000;0;Sat Jul  1 17:36:40 2023
0.009204;0.000000;-0.015340;0.000000;0.201749;0.000000;57.500000;100.500000;244.500000;100.500000;0.000000;0.537629;0.000000;1;0.161948;-0.176257;0.001182;-0.001722;0.000000;0.000000;0;Sat Jul  1 17:36:40 2023
0.009204;0.000000;-0.015340;0.000000;0.201596;0.000000;57.500000;101.500000;243.500000;100.500000;0.005376;0.537629;0.308039;1;0.162101;-0.176104;0.001897;0.000058;0.000000;0.000000;0;Sat Jul  1 17:36:40 2023
0.009204;0.000000;-0.015340;0.000000;0.201442;0.000000;57.500000;102.500000;243.500000;101.500000;0.005376;0.000000;0.308039;1;0.162254;-0.175951;0.003549;0.004036;0.000000;0.000000;0;Sat Jul  1 17:36:40 2023
0.009204;0.000000;-0.015340;0.000000;0.201289;0.000000;58.500000;102.500000;244.500000;100.500000;0.010752;0.537598;0.616060;1;0.162408;0.033394;0.005693;0.007484;0.005693;0.000000;0;Sat Jul  1 17:36:40 2023
0.009204;0.000000;-0.015340;0.000000;0.201136;0.000000;57.500000;101.500000;244.500000;101.500000;0.000000;-1.075227;0.000000;1;0.162561;0.028021;0.005543;0.001815;0.005543;0.000000;0;Sat Jul  1 17:36:40 2023
