Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Sat Jul  1 17:55:37 2023
Qube Frequency: 100.000000, Cam framerate: 100.000000
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.003068;-0.306796;-0.021476;0.000000;0.194355;0.000000;55.500000;100.500000;243.500000;100.500000;0.000000;0.000000;0.000000;1;-1.040596;-1.153331;0.000000;0.000000;0.000000;0.000000;0.000000;0;Sat Jul  1 17:55:50 2023
0.003068;-0.306796;-0.021476;0.000000;0.194355;0.000000;57.500000;99.500000;244.500000;99.500000;0.000000;0.000000;0.000000;1;-1.040596;-1.153331;0.000000;0.000000;0.000000;0.000000;0.000041;0;Sat Jul  1 17:55:50 2023
0.003068;0.000000;-0.021476;0.000000;0.194141;0.000000;57.500000;99.500000;243.500000;100.500000;-0.005376;-0.537629;-0.308039;1;-0.045717;-0.158452;-0.001790;-0.002010;0.000000;0.000000;-0.000389;0;Sat Jul  1 17:55:50 2023
0.009204;0.613592;-0.018408;0.306796;0.193957;0.000000;56.500000;101.500000;244.500000;100.500000;0.005319;1.069539;0.304762;1;1.666328;1.328123;-0.000618;0.000894;0.000000;0.000000;-0.000053;0;Sat Jul  1 17:55:50 2023
0.012272;0.306796;-0.015340;0.306796;0.193803;0.000000;57.500000;101.500000;244.500000;100.500000;0.005348;0.002844;0.306392;1;0.779454;0.328514;0.003343;0.002381;0.000000;0.000000;0.000675;0;Sat Jul  1 17:55:50 2023
0.012272;0.000000;-0.015340;0.000000;0.193650;0.000000;57.500000;101.500000;244.500000;100.500000;0.005348;0.000000;0.306392;1;0.282782;0.003867;0.004681;0.004479;0.004681;0.468149;0.001719;0;Sat Jul  1 17:55:50 2023
0.009204;-0.306796;-0.018408;-0.306796;0.193466;0.000000;56.500000;100.500000;244.500000;100.500000;0.000000;-0.534754;0.000000;1;-0.321496;-0.659701;0.003356;0.001769;0.000000;-0.468149;-0.002639;0;Sat Jul  1 17:55:50 2023
0.006136;-0.306796;-0.021476;-0.306796;0.193251;0.000000;56.500000;101.500000;244.500000;100.500000;0.005319;0.531910;0.304762;1;-0.428918;-0.654388;0.002894;0.000938;0.000000;0.000000;0.002516;0;Sat Jul  1 17:55:50 2023
0.003068;-0.306796;-0.024544;-0.306796;0.193005;0.000000;56.500000;100.500000;242.500000;101.500000;-0.005376;-1.069539;-0.308039;1;-0.536309;-0.649044;0.000934;-0.002476;0.000000;0.000000;0.001281;0;Sat Jul  1 17:55:50 2023
0.000000;-0.306796;-0.024544;0.000000;0.192760;0.000000;56.500000;100.500000;243.500000;101.500000;-0.005348;0.002875;-0.306392;1;-1.146637;-1.146637;-0.003268;-0.001904;0.000000;0.000000;0.000461;0;Sat Jul  1 17:55:50 2023
0.000000;0.000000;-0.024544;0.000000;0.192515;0.000000;58.500000;99.500000;244.500000;100.500000;-0.005376;-0.002875;-0.308039;1;-0.151728;-0.322900;-0.004658;-0.003212;-0.004658;-0.465827;-0.000345;0;Sat Jul  1 17:55:50 2023
0.003068;0.306796;-0.021476;0.306796;0.192300;0.000000;56.500000;100.500000;244.500000;101.500000;-0.005319;0.005719;-0.304762;1;0.452949;0.152264;-0.005115;-0.003876;-0.005115;-0.045658;0.003273;0;Sat Jul  1 17:55:50 2023
0.006136;0.306796;-0.018408;0.306796;0.192116;0.000000;56.500000;101.500000;244.500000;100.500000;0.005319;1.063820;0.304762;1;0.560770;0.335300;-0.001714;0.000953;0.000000;0.511485;0.003332;0;Sat Jul  1 17:55:50 2023
0.009204;0.306796;-0.018408;0.000000;0.191932;0.000000;56.500000;101.500000;244.500000;100.500000;0.005319;0.000000;0.304762;1;1.171527;0.833322;0.002967;0.003817;0.000000;0.000000;-0.001212;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.015340;0.306796;0.191778;0.000000;56.500000;100.500000;244.500000;100.500000;0.000000;-0.531910;0.000000;1;-0.325920;-0.664125;0.002775;0.002719;0.000000;0.000000;-0.000265;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.018408;-0.306796;0.191594;0.000000;58.500000;101.500000;243.500000;100.500000;0.005405;0.540535;0.309704;1;0.675039;0.336834;0.002743;0.001648;0.000000;0.000000;0.000345;0;Sat Jul  1 17:55:50 2023
0.006136;-0.306796;-0.021476;-0.306796;0.191379;0.000000;57.500000;100.500000;243.500000;100.500000;0.000000;-0.540535;0.000000;1;-0.427047;-0.652517;0.002709;-0.001047;0.000000;0.000000;-0.000059;0;Sat Jul  1 17:55:50 2023
0.003068;-0.306796;-0.024544;-0.306796;0.191134;0.000000;57.500000;99.500000;244.500000;100.500000;-0.005348;-0.534754;-0.306392;1;-0.534438;-0.647173;-0.000895;-0.001432;0.000000;0.000000;-0.000460;0;Sat Jul  1 17:55:50 2023
0.000000;-0.306796;-0.027612;-0.306796;0.190858;0.000000;58.500000;99.500000;243.500000;100.500000;-0.005405;-0.005781;-0.309704;1;-0.641799;-0.641799;-0.003882;-0.002190;0.000000;0.000000;-0.000944;0;Sat Jul  1 17:55:50 2023
0.000000;0.000000;-0.027612;0.000000;0.190582;0.000000;57.500000;99.500000;244.500000;100.500000;-0.005348;0.005781;-0.306392;1;-0.144697;-0.323531;-0.004867;-0.004043;-0.004867;-0.486678;-0.001744;0;Sat Jul  1 17:55:50 2023
0.000000;0.000000;-0.027612;0.000000;0.190306;0.000000;57.500000;98.500000;243.500000;100.500000;-0.010752;-0.540473;-0.616060;1;-0.144421;-0.401131;-0.006986;-0.005889;-0.006986;-0.211933;0.001928;0;Sat Jul  1 17:55:50 2023
0.000000;0.000000;-0.027612;0.000000;0.190030;0.000000;57.500000;98.500000;243.500000;100.500000;-0.010752;0.000000;-0.616060;1;-0.144144;-0.493479;-0.009507;-0.005520;-0.009507;-0.252066;0.002247;0;Sat Jul  1 17:55:50 2023
0.000000;0.000000;-0.027612;0.000000;0.189753;0.000000;57.500000;99.500000;244.500000;100.500000;-0.005348;0.540473;-0.306392;1;-0.143868;-0.457898;-0.008546;-0.004021;-0.008546;0.096079;0.003216;0;Sat Jul  1 17:55:50 2023
0.000000;0.000000;-0.024544;0.306796;0.189508;0.000000;56.500000;100.500000;244.500000;100.500000;0.000000;0.534754;0.000000;1;-0.646559;-0.816664;-0.004629;-0.001311;-0.004629;0.391675;0.001303;0;Sat Jul  1 17:55:50 2023
0.000000;0.000000;-0.024544;0.000000;0.189263;0.000000;57.500000;99.500000;244.500000;99.500000;0.000000;0.000000;0.000000;1;-0.148476;-0.148476;-0.001530;0.000768;0.000000;0.462922;-0.002349;0;Sat Jul  1 17:55:50 2023
0.000000;0.000000;-0.024544;0.000000;0.189017;0.000000;56.500000;99.500000;244.500000;101.500000;-0.010638;-1.063790;-0.609507;1;-0.148230;-0.296836;-0.004044;-0.002849;-0.004044;-0.404415;-0.006787;0;Sat Jul  1 17:55:50 2023
0.003068;0.306796;-0.021476;0.306796;0.188802;0.000000;57.500000;101.500000;243.500000;100.500000;0.005376;1.601419;0.308039;1;0.456447;0.343712;-0.003111;-0.000495;0.000000;0.404415;-0.001483;0;Sat Jul  1 17:55:50 2023
0.003068;0.000000;-0.021476;0.000000;0.188588;0.000000;57.500000;99.500000;243.500000;100.500000;-0.005376;-1.075258;-0.308039;1;-0.040164;-0.152899;-0.001055;-0.003212;0.000000;0.000000;-0.005526;0;Sat Jul  1 17:55:50 2023
0.003068;0.000000;-0.021476;0.000000;0.188373;0.000000;57.500000;100.500000;244.500000;101.500000;-0.005348;0.002875;-0.306392;1;-0.039949;-0.152684;-0.003918;-0.000965;0.000000;0.000000;-0.004432;0;Sat Jul  1 17:55:50 2023
0.003068;0.000000;-0.021476;0.000000;0.188158;0.000000;56.500000;101.500000;244.500000;101.500000;0.000000;0.534754;0.000000;1;-0.039735;-0.152470;-0.003069;-0.000482;0.000000;0.000000;-0.003479;0;Sat Jul  1 17:55:50 2023
0.003068;0.000000;-0.021476;0.000000;0.187943;0.000000;56.500000;101.500000;243.500000;101.500000;0.000000;0.000000;0.000000;1;-0.039520;-0.152255;-0.001028;-0.001334;0.000000;0.000000;-0.002943;0;Sat Jul  1 17:55:50 2023
0.000000;-0.306796;-0.021476;0.000000;0.187729;0.000000;56.500000;101.500000;243.500000;101.500000;0.000000;0.000000;0.000000;1;-1.146704;-1.146704;-0.000362;0.000120;0.000000;0.000000;-0.002196;0;Sat Jul  1 17:55:50 2023
0.000000;0.000000;-0.021476;0.000000;0.187514;0.000000;57.500000;99.500000;244.500000;101.500000;-0.010695;-1.069478;-0.612766;1;-0.151825;-0.151825;-0.003682;-0.002997;0.000000;0.000000;-0.002339;0;Sat Jul  1 17:55:50 2023
0.003068;0.306796;-0.018408;0.306796;0.187330;0.000000;56.500000;101.500000;243.500000;101.500000;0.000000;1.069478;0.000000;1;0.452821;0.164734;-0.004772;-0.002089;-0.004772;-0.477201;-0.002239;0;Sat Jul  1 17:55:50 2023
0.003068;0.000000;-0.015340;0.306796;0.187176;0.000000;58.500000;102.500000;243.500000;101.500000;0.005405;0.540535;0.309704;1;-0.546788;-0.659523;0.000207;-0.000084;0.000000;0.477201;0.002923;0;Sat Jul  1 17:55:50 2023
0.006136;0.306796;-0.015340;0.000000;0.187023;0.000000;56.500000;102.500000;243.500000;101.500000;0.005348;-0.005781;0.306392;1;1.058603;0.833133;0.003631;0.004290;0.000000;0.000000;-0.001095;0;Sat Jul  1 17:55:50 2023
0.006136;0.000000;-0.012272;0.306796;0.186900;0.000000;57.500000;101.500000;244.500000;101.500000;0.000000;-0.534754;0.000000;1;-0.438875;-0.664345;0.002996;0.003587;0.000000;0.000000;0.000025;0;Sat Jul  1 17:55:50 2023
0.006136;0.000000;-0.012272;0.000000;0.186778;0.000000;56.500000;102.500000;244.500000;101.500000;0.005319;0.531910;0.304762;1;0.059086;-0.166384;0.002797;0.001422;0.000000;0.000000;0.000516;0;Sat Jul  1 17:55:50 2023
0.006136;0.000000;-0.012272;0.000000;0.186655;0.000000;55.500000;102.500000;244.500000;102.500000;0.000000;-0.531910;0.000000;1;0.059209;-0.166261;0.002712;-0.001712;0.000000;0.000000;0.000047;0;Sat Jul  1 17:55:50 2023
0.006136;0.000000;-0.012272;0.000000;0.186532;0.000000;56.500000;102.500000;243.500000;102.500000;0.000000;0.000000;0.000000;1;0.059331;-0.166139;0.000883;0.000592;0.000000;0.000000;0.000217;0;Sat Jul  1 17:55:50 2023
0.006136;0.000000;-0.012272;0.000000;0.186409;0.000000;56.500000;101.500000;243.500000;102.500000;-0.005348;-0.534754;-0.306392;1;0.059454;-0.166016;-0.001503;-0.000621;0.000000;0.000000;0.000068;0;Sat Jul  1 17:55:50 2023
0.003068;-0.306796;-0.012272;0.000000;0.186287;0.000000;57.500000;101.500000;244.500000;102.500000;-0.005348;0.000000;-0.306392;1;-1.047822;-1.309465;-0.004052;-0.003277;-0.004052;-0.405236;-0.000657;0;Sat Jul  1 17:55:50 2023
0.003068;0.000000;-0.012272;0.000000;0.186164;0.000000;56.500000;102.500000;244.500000;102.500000;0.000000;0.534754;0.000000;1;-0.053036;-0.165771;-0.003117;-0.002834;0.000000;0.405236;0.002706;0;Sat Jul  1 17:55:50 2023
0.006136;0.306796;-0.009204;0.306796;0.186072;0.000000;57.500000;102.500000;243.500000;102.500000;0.000000;0.000000;0.000000;1;0.551519;0.326049;-0.001049;-0.000065;0.000000;0.000000;-0.001709;0;Sat Jul  1 17:55:50 2023
0.009204;0.306796;-0.006136;0.306796;0.186011;0.000000;57.500000;102.500000;244.500000;101.500000;0.005348;0.534754;0.306392;1;0.659217;0.321012;0.001413;0.004100;0.000000;0.000000;-0.000200;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.006136;0.000000;0.185949;0.000000;57.500000;103.500000;244.500000;102.500000;0.005348;0.000000;0.306392;1;0.162453;-0.027359;0.004038;0.003546;0.004038;0.403836;0.000834;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.006136;0.000000;0.185888;0.000000;56.500000;102.500000;244.500000;102.500000;0.000000;-0.534754;0.000000;1;0.162514;-0.175691;0.003154;0.000322;0.000000;-0.403836;-0.003043;0;Sat Jul  1 17:55:50 2023
0.006136;-0.306796;-0.006136;0.000000;0.185826;0.000000;56.500000;103.500000;243.500000;102.500000;0.005348;0.534754;0.306392;1;-0.944824;-1.170294;0.002844;0.001371;0.000000;0.000000;0.001828;0;Sat Jul  1 17:55:50 2023
0.003068;-0.306796;-0.006136;0.000000;0.185765;0.000000;56.500000;103.500000;244.500000;103.500000;0.000000;-0.534754;0.000000;1;-1.057497;-1.170232;0.002708;0.000682;0.000000;0.000000;0.001610;0;Sat Jul  1 17:55:50 2023
0.006136;0.306796;-0.006136;0.000000;0.185704;0.000000;55.500000;103.500000;244.500000;102.500000;0.005291;0.529096;0.303149;1;1.044627;0.819157;0.002646;0.003084;0.000000;0.000000;0.001995;0;Sat Jul  1 17:55:50 2023
0.009204;0.306796;-0.003068;0.306796;0.185673;0.000000;56.500000;104.500000;244.500000;103.500000;0.005319;0.002814;0.304762;1;0.654456;0.479060;0.004431;0.002809;0.004431;0.443068;0.002227;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.306796;0.185673;0.000000;56.500000;104.500000;243.500000;102.500000;0.010695;0.537568;0.612766;1;-0.345306;-0.432238;0.006838;0.004873;0.006838;0.240744;-0.001168;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;56.500000;103.500000;244.500000;103.500000;0.000000;-1.069478;0.000000;1;0.152532;0.029148;0.005846;0.002162;0.005846;-0.099200;-0.002494;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;56.500000;103.500000;243.500000;103.500000;0.000000;0.000000;0.000000;1;0.152532;-0.185673;0.001931;0.000745;0.000000;-0.584611;-0.000761;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;57.500000;103.500000;244.500000;102.500000;0.005348;0.534754;0.306392;1;0.152532;-0.185673;0.002411;0.000556;0.000000;0.000000;0.005103;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;56.500000;104.500000;244.500000;103.500000;0.005319;-0.002844;0.304762;1;0.152532;-0.025227;0.004366;0.002215;0.004366;0.436637;0.004485;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;57.500000;103.500000;243.500000;103.500000;0.000000;-0.531910;0.000000;1;0.152532;-0.185673;0.003249;0.002654;0.000000;-0.436637;-0.000005;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;56.500000;103.500000;244.500000;103.500000;0.000000;0.000000;0.000000;1;0.152532;-0.185673;0.001087;0.000850;0.000000;0.000000;0.004357;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;56.500000;104.500000;243.500000;103.500000;0.005348;0.534754;0.306392;1;0.152532;-0.185673;0.002121;0.000210;0.000000;0.000000;0.003450;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;57.500000;102.500000;243.500000;103.500000;-0.005376;-1.072383;-0.308039;1;0.152532;-0.185673;0.000684;-0.001941;0.000000;0.000000;0.002257;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;57.500000;103.500000;243.500000;103.500000;0.000000;0.537629;0.000000;1;0.152532;-0.185673;-0.001543;0.000701;0.000000;0.000000;0.001947;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;56.500000;104.500000;244.500000;103.500000;0.005319;0.531910;0.304762;1;0.152532;-0.185673;0.001275;0.001617;0.000000;0.000000;0.001920;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;56.500000;104.500000;243.500000;103.500000;0.005348;0.002844;0.306392;1;0.152532;-0.185673;0.003963;0.002545;0.000000;0.000000;0.002113;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;56.500000;105.500000;244.500000;104.500000;0.005319;-0.002844;0.304762;1;0.152532;-0.007200;0.004857;0.003911;0.004857;0.485696;0.002575;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;56.500000;104.500000;243.500000;103.500000;0.005348;0.002844;0.306392;1;0.152532;0.004883;0.005186;0.003460;0.005186;0.032882;-0.001751;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;56.500000;103.500000;243.500000;103.500000;0.000000;-0.534754;0.000000;1;0.152532;-0.185673;0.003538;0.000443;0.000000;-0.518579;-0.001504;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;58.500000;104.500000;244.500000;103.500000;0.005376;0.537629;0.308039;1;0.152532;-0.185673;0.002970;0.001548;0.000000;0.000000;0.004137;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;57.500000;103.500000;243.500000;103.500000;0.000000;-0.537629;0.000000;1;0.152532;-0.185673;0.002753;0.000621;0.000000;0.000000;0.003375;0;Sat Jul  1 17:55:50 2023
0.009204;0.000000;-0.000000;0.000000;0.185673;0.000000;56.500000;104.500000;243.500000;103.500000;0.005348;0.534754;0.306392;1;0.152532;-0.185673;0.002688;0.002886;0.000000;0.000000;0.003310;0;Sat Jul  1 17:55:50 2023
