Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jul  3 12:52:44 2023
Qube Frequency: 100.000000, Cam framerate: 100.000000
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.003068;0.000000;-0.009204;0.000000;0.179353;0.000000;55.500000;101.500000;242.500000;100.500000;0.005348;0.534754;0.306392;1;-0.548241;-0.635195;0.000702;0.180480;0.000000;0.000000;0.018048;0;Mon Jul  3 12:52:54 2023
0.003068;0.000000;-0.009204;0.000000;0.179353;0.000000;55.500000;101.500000;242.500000;101.500000;0.000000;-0.534754;0.000000;1;-0.051323;-0.137137;0.000733;0.058638;0.000000;0.000000;0.232069;0;Mon Jul  3 12:52:54 2023
0.003068;0.000000;-0.006136;0.306796;0.179292;0.000000;55.500000;100.500000;242.500000;101.500000;-0.005348;-0.534754;-0.306392;1;-0.554198;-0.666933;0.000000;-0.341908;0.000000;0.000000;0.437861;0;Mon Jul  3 12:52:54 2023
0.006136;0.306796;-0.006136;0.000000;0.179230;0.000000;55.500000;101.500000;242.500000;101.500000;0.000000;0.534754;0.000000;1;1.051100;0.798710;-0.000733;-0.111086;0.000000;0.000000;0.685118;0;Mon Jul  3 12:52:54 2023
0.009204;0.306796;-0.003068;0.306796;0.179200;0.000000;55.500000;102.500000;242.500000;101.500000;0.005348;0.534754;0.306392;1;0.660929;0.322724;0.000000;0.324867;0.000000;0.000000;1.568105;0;Mon Jul  3 12:52:54 2023
0.006136;-0.306796;-0.003068;0.000000;0.179169;0.000000;55.500000;102.500000;242.500000;101.500000;0.005348;0.000000;0.306392;1;-0.943264;-1.116033;0.001434;0.286029;0.000000;0.000000;3.381501;0;Mon Jul  3 12:52:54 2023
0.006136;0.000000;-0.006136;-0.306796;0.179108;0.000000;55.500000;102.500000;242.500000;100.500000;0.010695;0.534724;0.612766;1;0.554397;0.433189;0.002837;0.273400;0.000000;0.000000;7.904000;0;Mon Jul  3 12:52:54 2023
0.006136;0.000000;-0.006136;0.000000;0.179046;0.000000;55.500000;102.500000;242.500000;101.500000;0.005348;-0.534724;0.306392;1;0.056620;-0.063448;0.002868;0.088828;0.000000;0.000000;18.784846;0;Mon Jul  3 12:52:54 2023
0.006136;0.000000;-0.006136;0.000000;0.178985;0.000000;55.500000;102.500000;242.500000;100.500000;0.010695;0.534724;0.612766;1;0.056682;-0.038747;0.003539;0.028860;0.000000;0.000000;44.118659;0;Mon Jul  3 12:52:54 2023
0.003068;-0.306796;-0.006136;0.000000;0.178924;0.000000;56.500000;100.500000;243.500000;101.500000;-0.005348;-1.604232;-0.306392;1;-1.050656;-1.109551;0.001465;-0.351582;0.000000;0.000000;103.679082;0;Mon Jul  3 12:52:54 2023
