Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jul  3 13:56:41 2023
Qube Frequency: 100.000000, Cam framerate: 100.000000
AlphaDotTransformVector: 0.500484, 0.831704, -15.747655, 0.691018, -0.631321
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.003068;0.000000;-0.012272;0.000000;0.079368;0.000000;56.500000;99.500000;244.500000;97.500000;0.010638;1.063790;0.609507;1;0.053760;0.036874;0.002608;0.507853;0.000000;0.000000;0.265947;0;Mon Jul  3 13:56:52 2023
0.006136;0.306796;-0.012272;0.000000;0.079245;0.000000;56.500000;100.500000;243.500000;97.500000;0.016041;0.540351;0.919105;1;1.161282;1.225030;0.007871;0.745608;0.007871;0.787075;-0.094340;0;Mon Jul  3 13:56:52 2023
0.006136;0.000000;-0.012272;0.000000;0.079123;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;-1.072231;0.304762;1;0.166741;0.281087;0.009248;-0.126544;0.009248;0.137699;-0.390758;0;Mon Jul  3 13:56:52 2023
0.003068;-0.306796;-0.012272;0.000000;0.079000;0.000000;56.500000;97.500000;244.500000;98.500000;-0.005319;-1.063820;-0.304762;1;-0.940535;-0.880134;0.004712;-1.195936;0.004712;-0.453602;-0.121712;0;Mon Jul  3 13:56:52 2023
0.000000;-0.306796;-0.015340;-0.306796;0.078847;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;1.063820;0.304762;1;-0.550181;-0.461968;0.002401;-0.235303;0.000000;-0.471173;0.408406;0;Mon Jul  3 13:56:52 2023
0.000000;0.000000;-0.012272;0.306796;0.078724;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;0.000000;0.304762;1;-0.556169;-0.415373;0.003832;0.749365;0.000000;0.000000;-0.395173;0;Mon Jul  3 13:56:52 2023
0.003068;0.306796;-0.012272;0.000000;0.078601;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;0.000000;0.304762;1;1.049191;1.104043;0.004561;0.405184;0.004561;0.456069;0.305185;0;Mon Jul  3 13:56:52 2023
0.006136;0.306796;-0.009204;0.306796;0.078509;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;0.531880;0.609507;1;0.659082;0.662771;0.006236;-0.228907;0.006236;0.167564;-0.052506;0;Mon Jul  3 13:56:52 2023
0.006136;0.000000;-0.009204;0.000000;0.078417;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;-0.531880;0.304762;1;0.162348;0.197409;0.007090;-0.060610;0.007090;0.085374;-0.051021;0;Mon Jul  3 13:56:52 2023
0.006136;0.000000;-0.009204;0.000000;0.078325;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;0.531880;0.609507;1;0.162440;0.213484;0.007525;0.341613;0.007525;0.043498;0.117999;0;Mon Jul  3 13:56:52 2023
0.003068;-0.306796;-0.012272;-0.306796;0.078202;0.000000;57.500000;99.500000;244.500000;99.500000;0.000000;-1.063790;0.000000;1;-0.441900;-0.317902;0.006442;-0.513325;0.006442;-0.108262;-0.423801;0;Mon Jul  3 13:56:52 2023
0.003068;0.000000;-0.012272;0.000000;0.078080;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;0.531910;0.304762;1;0.055049;0.110855;0.004587;-0.166079;0.004587;-0.185576;0.196341;0;Mon Jul  3 13:56:52 2023
0.003068;0.000000;-0.012272;0.000000;0.077957;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;0.531880;0.609507;1;0.055171;0.172082;0.006250;0.353629;0.006250;0.166290;-0.001165;0;Mon Jul  3 13:56:52 2023
0.003068;0.000000;-0.012272;0.000000;0.077834;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;0.000000;0.609507;1;0.055294;0.251261;0.008401;0.584436;0.008401;0.215142;-0.103483;0;Mon Jul  3 13:56:52 2023
0.003068;0.000000;-0.009204;0.306796;0.077742;0.000000;56.500000;100.500000;243.500000;99.500000;0.005348;-0.529035;0.306392;1;-0.447550;-0.258972;0.008200;-0.370104;0.008200;-0.020105;-0.187341;0;Mon Jul  3 13:56:52 2023
0.003068;0.000000;-0.009204;0.000000;0.077650;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;0.529035;0.609507;1;0.050380;0.235195;0.008097;-0.235333;0.008097;-0.010243;0.340246;0;Mon Jul  3 13:56:52 2023
0.006136;0.306796;-0.009204;0.000000;0.077558;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;0.000000;0.609507;1;1.157871;1.275699;0.009342;0.342004;0.009342;0.124500;-0.263339;0;Mon Jul  3 13:56:52 2023
0.006136;0.000000;-0.009204;0.000000;0.077466;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;0.000000;0.609507;1;0.163299;0.304436;0.009977;0.259512;0.009977;0.063433;0.022419;0;Mon Jul  3 13:56:52 2023
0.003068;-0.306796;-0.009204;0.000000;0.077374;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;0.000000;0.609507;1;-0.944008;-0.678259;0.010300;-0.269698;0.010300;0.032319;-0.112920;0;Mon Jul  3 13:56:52 2023
0.003068;0.000000;-0.012272;-0.306796;0.077251;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;-0.531880;0.304762;1;0.553715;0.777592;0.009161;-0.274788;0.009161;-0.113950;-0.181843;0;Mon Jul  3 13:56:52 2023
0.003068;0.000000;-0.012272;0.000000;0.077129;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;0.531880;0.609507;1;0.056000;0.258542;0.008580;0.161987;0.008580;-0.058058;0.018589;0;Mon Jul  3 13:56:52 2023
0.003068;0.000000;-0.012272;0.000000;0.077006;0.000000;56.500000;100.500000;243.500000;99.500000;0.005348;-0.529035;0.306392;1;0.056123;0.248052;0.008291;-0.135348;0.008291;-0.028883;-0.245406;0;Mon Jul  3 13:56:52 2023
0.003068;0.000000;-0.012272;0.000000;0.076883;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;-0.002844;0.304762;1;0.056245;0.194844;0.006840;-0.104408;0.006840;-0.145133;0.073578;0;Mon Jul  3 13:56:52 2023
0.000000;-0.306796;-0.012272;0.000000;0.076760;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;0.000000;0.304762;1;-1.051031;-0.827125;0.006093;-0.142447;0.006093;-0.074643;-0.076457;0;Mon Jul  3 13:56:52 2023
0.003068;0.306796;-0.012272;0.000000;0.076638;0.000000;56.500000;99.500000;243.500000;99.500000;0.000000;-0.531910;0.000000;1;1.051155;1.100425;0.004409;-0.168447;0.004409;-0.168455;-0.138440;0;Mon Jul  3 13:56:52 2023
