Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jul  3 14:00:28 2023
Qube Frequency: 100.000000, Cam framerate: 100.000000
AlphaDotTransformVector: 0.500484, 0.831704, -15.747655, 0.691018, -0.631321
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.009204;0.000000;0.009204;0.000000;0.185581;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;1.063790;0.609507;1;0.137329;0.239864;0.002608;0.507853;0.000000;0.000000;0.106379;0;Mon Jul  3 14:00:42 2023
0.009204;0.000000;0.009204;0.000000;0.185581;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;-0.531880;0.304762;1;0.137329;-0.572131;0.005242;0.233725;0.005242;0.524164;-0.173919;0;Mon Jul  3 14:00:42 2023
0.009204;0.000000;0.009204;0.000000;0.185673;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;0.531880;0.609507;1;0.137237;0.582701;0.006583;0.147745;0.006583;0.134163;0.167102;0;Mon Jul  3 14:00:42 2023
0.009204;0.000000;0.009204;0.000000;0.185765;0.000000;57.500000;100.500000;244.500000;98.500000;0.010695;0.005688;0.612766;1;0.137145;-0.386902;0.008585;-0.088757;0.008585;0.200168;-0.154623;0;Mon Jul  3 14:00:42 2023
0.009204;0.000000;0.009204;0.000000;0.185857;0.000000;57.500000;99.500000;244.500000;98.500000;0.005348;-0.534724;0.306392;1;0.137053;0.017786;0.008308;-0.032046;0.008308;-0.027734;-0.026628;0;Mon Jul  3 14:00:42 2023
0.009204;0.000000;0.009204;0.000000;0.185949;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;0.529035;0.609507;1;0.136961;0.366928;0.008152;-0.013006;0.008152;-0.015525;0.082850;0;Mon Jul  3 14:00:42 2023
0.012272;0.306796;0.009204;0.000000;0.186041;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;-0.531880;0.304762;1;1.244268;-0.424916;0.008066;-0.175245;0.008066;-0.008608;-0.160384;0;Mon Jul  3 14:00:42 2023
0.012272;0.000000;0.009204;0.000000;0.186133;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;0.531880;0.609507;1;0.249512;0.610862;0.008022;0.239964;0.008022;-0.004386;0.159619;0;Mon Jul  3 14:00:42 2023
0.009204;-0.306796;0.006136;-0.306796;0.186195;0.000000;56.500000;99.500000;243.500000;97.500000;0.010695;0.005688;0.612766;1;-0.355012;0.157006;0.009318;0.080312;0.009318;0.129577;-0.150164;0;Mon Jul  3 14:00:42 2023
0.003068;-0.613592;0.003068;-0.306796;0.186225;0.000000;56.500000;99.500000;243.500000;97.500000;0.010695;0.000000;0.612766;1;-1.570078;0.127092;0.009992;0.132506;0.009992;0.067414;-0.168594;0;Mon Jul  3 14:00:42 2023
0.003068;0.000000;0.003068;0.000000;0.186256;0.000000;57.500000;98.500000;244.500000;98.500000;0.000000;-1.069478;0.000000;1;-0.078619;-0.774701;0.007713;-0.600098;0.007713;-0.227888;-0.267353;0;Mon Jul  3 14:00:42 2023
0.006136;0.306796;0.003068;0.000000;0.186287;0.000000;56.500000;98.500000;244.500000;98.500000;0.000000;0.000000;0.000000;1;1.028749;0.724970;0.003930;-0.514405;0.000000;-0.771346;0.238100;0;Mon Jul  3 14:00:42 2023
0.006136;0.000000;0.003068;0.000000;0.186317;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;0.531910;0.304762;1;0.034054;-0.056581;0.003307;0.170892;0.000000;0.000000;0.004112;0;Mon Jul  3 14:00:42 2023
0.006136;0.000000;0.003068;0.000000;0.186348;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;0.000000;0.304762;1;0.034024;-0.006141;0.004293;0.495909;0.004293;0.429319;0.008497;0;Mon Jul  3 14:00:42 2023
0.006136;0.000000;0.003068;0.000000;0.186379;0.000000;56.500000;98.500000;244.500000;98.500000;0.000000;-0.531910;0.000000;1;0.033993;-0.216110;0.003492;-0.225127;0.000000;-0.429319;-0.047172;0;Mon Jul  3 14:00:42 2023
0.003068;-0.306796;0.003068;0.000000;0.186409;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;0.531910;0.304762;1;-1.073436;0.460760;0.003083;-0.222528;0.000000;0.000000;0.166241;0;Mon Jul  3 14:00:42 2023
0.003068;0.000000;0.003068;0.000000;0.186440;0.000000;57.500000;98.500000;244.500000;98.500000;0.000000;-0.531910;0.000000;1;-0.078803;-0.529319;0.002875;-0.028729;0.000000;0.000000;-0.136773;0;Mon Jul  3 14:00:42 2023
0.006136;0.306796;0.003068;0.000000;0.186471;0.000000;56.500000;98.500000;244.500000;98.500000;0.000000;0.000000;0.000000;1;1.028565;0.393927;0.001465;0.057748;0.000000;0.000000;0.163988;0;Mon Jul  3 14:00:42 2023
0.009204;0.306796;0.006136;0.306796;0.186532;0.000000;56.500000;99.500000;244.500000;96.500000;0.015956;1.595609;0.914217;1;0.638302;-0.028391;0.004659;0.503962;0.004659;0.465879;0.152674;0;Mon Jul  3 14:00:42 2023
0.009204;0.000000;0.003068;-0.306796;0.186563;0.000000;56.500000;99.500000;244.500000;97.500000;0.010638;-0.531820;0.609507;1;0.644382;0.352058;0.008895;0.510980;0.008895;0.423571;-0.086658;0;Mon Jul  3 14:00:42 2023
0.006136;-0.306796;0.003068;0.000000;0.186593;0.000000;56.500000;98.500000;243.500000;97.500000;0.005348;-0.529035;0.306392;1;-0.960886;-0.720536;0.008451;-0.178156;0.008451;-0.044312;-0.258906;0;Mon Jul  3 14:00:42 2023
0.003068;-0.306796;-0.000000;-0.306796;0.186593;0.000000;56.500000;98.500000;244.500000;98.500000;0.000000;-0.534754;0.000000;1;-0.570684;0.855437;0.005617;-0.994020;0.005617;-0.283418;0.104187;0;Mon Jul  3 14:00:42 2023
0.003068;0.000000;-0.003068;-0.306796;0.186563;0.000000;56.500000;99.500000;244.500000;99.500000;0.000000;0.000000;0.000000;1;0.429109;-0.116491;0.002862;-0.217895;0.000000;-0.561719;-0.165951;0;Mon Jul  3 14:00:42 2023
0.003068;0.000000;-0.003068;0.000000;0.186532;0.000000;56.500000;98.500000;244.500000;98.500000;0.000000;0.000000;0.000000;1;-0.068699;-0.175745;0.001458;0.261017;0.000000;0.000000;-0.014772;0;Mon Jul  3 14:00:42 2023
0.003068;0.000000;-0.003068;0.000000;0.186501;0.000000;56.500000;98.500000;244.500000;96.500000;0.010638;1.063790;0.609507;1;-0.068668;0.578807;0.003351;0.560830;0.000000;0.000000;0.196497;0;Mon Jul  3 14:00:42 2023
0.003068;0.000000;-0.003068;0.000000;0.186471;0.000000;56.500000;98.500000;244.500000;98.500000;0.000000;-1.063790;0.000000;1;-0.068637;-0.953540;0.004316;-0.188870;0.004316;0.431592;-0.287085;0;Mon Jul  3 14:00:42 2023
0.003068;0.000000;-0.003068;0.000000;0.186440;0.000000;56.500000;98.500000;244.500000;98.500000;0.000000;0.000000;0.000000;1;-0.068607;0.693177;0.002199;-0.340937;0.000000;-0.431592;0.244815;0;Mon Jul  3 14:00:42 2023
