Starting new run:  K= -1.414200, -2.327300, 47.896800, -2.156900, 4.349700 - Wed Jul  5 15:26:21 2023
Qube Frequency: 100.000000, Cam framerate: 100.000000
AlphaDotTransformVector: 0.707784, 1.164776, -21.328502, 0.958377, -1.185657
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.006136;0.000000;-0.012272;0.000000;0.184875;0.000000;55.500000;102.500000;242.500000;103.500000;-0.005348;-0.534754;-0.306392;1;0.061001;-2.203030;-0.001311;-0.255292;0.000000;0.000000;-0.438498;0;Wed Jul  5 15:26:30 2023
0.003068;-0.306796;-0.012272;0.000000;0.184753;0.000000;55.500000;102.500000;242.500000;103.500000;-0.005348;0.000000;-0.306392;1;-1.420243;0.197297;-0.003291;-0.245133;0.000000;0.000000;0.135094;0;Wed Jul  5 15:26:30 2023
0.003068;0.000000;-0.012272;0.000000;0.184630;0.000000;55.500000;102.500000;242.500000;101.500000;0.005348;1.069509;0.306392;1;-0.085598;3.556912;-0.001677;0.441393;0.000000;0.000000;0.889660;0;Wed Jul  5 15:26:30 2023
0.006136;0.306796;-0.009204;0.306796;0.184538;0.000000;55.500000;102.500000;243.500000;101.500000;0.005319;-0.002844;0.304762;1;0.727080;-1.651120;0.001761;0.622859;0.000000;0.000000;-0.191783;0;Wed Jul  5 15:26:30 2023
0.012272;0.613592;-0.006136;0.306796;0.184477;0.000000;55.500000;102.500000;243.500000;101.500000;0.005319;0.000000;0.304762;1;2.348389;-0.327130;0.003506;0.127740;0.000000;0.000000;0.095015;0;Wed Jul  5 15:26:30 2023
0.012272;0.000000;-0.006136;0.000000;0.184415;0.000000;54.500000;103.500000;242.500000;103.500000;0.000000;-0.531910;0.000000;1;0.341262;-1.845874;0.003090;-0.583197;0.000000;0.000000;-0.401724;0;Wed Jul  5 15:26:30 2023
0.009204;-0.306796;-0.009204;-0.306796;0.184323;0.000000;55.500000;103.500000;243.500000;102.500000;0.005319;0.531910;0.304762;1;-0.471156;2.927080;0.002879;0.050527;0.000000;0.000000;0.544110;0;Wed Jul  5 15:26:30 2023
0.003068;-0.613592;-0.012272;-0.306796;0.184200;0.000000;55.500000;102.500000;243.500000;103.500000;-0.005319;-1.063820;-0.304762;1;-2.092204;-4.024717;0.001467;-0.183669;0.000000;0.000000;-1.040247;0;Wed Jul  5 15:26:30 2023
0.000000;-0.306796;-0.015340;-0.306796;0.184047;0.000000;55.500000;102.500000;241.500000;102.500000;0.000000;0.531910;0.000000;1;-0.897322;3.222836;-0.000557;-0.092971;0.000000;0.000000;0.646564;0;Wed Jul  5 15:26:30 2023
0.003068;0.306796;-0.015340;0.000000;0.183894;0.000000;55.500000;101.500000;243.500000;103.500000;-0.010638;-1.063790;-0.609507;1;1.257055;-4.899578;-0.002892;-0.611537;0.000000;0.000000;-1.042989;0;Wed Jul  5 15:26:30 2023
