Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Wed Jul  5 15:10:01 2023
Qube Frequency: 80.000000, Cam framerate: 80.000000
AlphaDotTransformVector: 0.625605, 1.039630, -19.684569, 0.863773, -1.039151
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.006136;0.245437;0.006136;0.245437;0.202409;0.000000;55.500000;105.500000;242.500000;106.500000;-0.005348;-0.427803;-0.306392;1;0.410325;-1.796383;-0.001311;-0.204233;0.000000;0.000000;-0.350799;0;Wed Jul  5 15:10:13 2023
0.006136;0.245437;0.006136;0.245437;0.202409;0.000000;55.500000;105.500000;243.500000;106.500000;-0.005319;0.002276;-0.304762;1;0.410325;-0.249980;-0.003284;-0.195020;0.000000;0.000000;0.148531;0;Wed Jul  5 15:10:13 2023
0.006136;0.000000;0.006136;0.000000;0.202485;0.000000;55.500000;105.500000;243.500000;106.500000;-0.005319;0.000000;-0.304762;1;0.012788;-0.197638;-0.004281;-0.054309;-0.004281;-0.342515;0.053166;0;Wed Jul  5 15:10:13 2023
0.003068;-0.245437;0.003068;-0.245437;0.202524;0.000000;54.500000;105.500000;242.500000;105.500000;0.000000;0.425528;0.000000;1;-0.492348;1.300351;-0.003486;0.310602;0.000000;0.342515;0.381785;0;Wed Jul  5 15:10:13 2023
0.003068;0.000000;0.003068;0.000000;0.202562;0.000000;54.500000;105.500000;242.500000;105.500000;0.000000;0.000000;0.000000;1;-0.094925;-0.552362;-0.001776;0.187024;0.000000;0.000000;-0.086192;0;Wed Jul  5 15:10:13 2023
0.003068;0.000000;-0.000000;-0.245437;0.202562;0.000000;55.500000;104.500000;243.500000;106.500000;-0.010638;-0.851032;-0.609507;1;0.308443;-2.067792;-0.003513;-0.399979;0.000000;0.000000;-0.658340;0;Wed Jul  5 15:10:13 2023
0.003068;0.000000;0.003068;0.245437;0.202601;0.000000;54.500000;105.500000;243.500000;106.500000;-0.005291;0.427755;-0.303149;1;-0.493234;0.793602;-0.005696;-0.275407;-0.005696;-0.455660;0.496242;0;Wed Jul  5 15:10:13 2023
0.003068;0.000000;-0.000000;-0.245437;0.202601;0.000000;55.500000;105.500000;243.500000;105.500000;0.000000;0.423276;0.000000;1;0.308405;1.126045;-0.004199;0.317189;-0.004199;0.119714;0.334562;0;Wed Jul  5 15:10:13 2023
0.003068;0.000000;0.003068;0.245437;0.202639;0.000000;54.500000;105.500000;243.500000;106.500000;-0.005291;-0.423276;-0.303149;1;-0.493273;-2.110229;-0.003437;0.293771;0.000000;0.335946;-0.425011;0;Wed Jul  5 15:10:13 2023
0.003068;0.000000;0.003068;0.000000;0.202677;0.000000;55.500000;105.500000;243.500000;107.500000;-0.010638;-0.427755;-0.609507;1;-0.095041;-1.034759;-0.005657;-0.492495;-0.005657;-0.452548;-0.190962;0;Wed Jul  5 15:10:13 2023
