Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Wed Jul  5 14:59:13 2023
Qube Frequency: 100.000000, Cam framerate: 100.000000
AlphaDotTransformVector: 0.500484, 0.831704, -15.747655, 0.691018, -0.631321
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.006136;0.000000;-0.018408;0.000000;0.264397;0.000000;55.500000;101.500000;242.500000;102.500000;-0.005348;-0.534754;-0.306392;1;-0.008337;-1.703645;-0.001311;-0.255292;0.000000;0.000000;-0.438498;0;Wed Jul  5 14:59:22 2023
0.006136;0.000000;-0.018408;0.000000;0.264213;0.000000;55.500000;101.500000;243.500000;102.500000;-0.005319;0.002844;-0.304762;1;-0.008153;-0.067731;-0.003284;-0.243775;0.000000;0.000000;0.088383;0;Wed Jul  5 14:59:22 2023
0.009204;0.306796;-0.018408;0.000000;0.264029;0.000000;54.500000;102.500000;242.500000;101.500000;0.005319;1.063820;0.304762;1;1.099430;2.617830;-0.001673;0.439981;0.000000;0.000000;0.898412;0;Wed Jul  5 14:59:22 2023
0.006136;-0.306796;-0.018408;0.000000;0.263845;0.000000;55.500000;102.500000;242.500000;102.500000;0.000000;-0.531910;0.000000;1;-1.002448;-1.942444;0.000452;0.368043;0.000000;0.000000;-0.532307;0;Wed Jul  5 14:59:22 2023
0.006136;0.000000;-0.018408;0.000000;0.263661;0.000000;54.500000;102.500000;242.500000;101.500000;0.005319;0.531910;0.304762;1;-0.007601;1.501651;0.001534;0.137700;0.000000;0.000000;0.517670;0;Wed Jul  5 14:59:22 2023
0.006136;0.000000;-0.021476;-0.306796;0.263446;0.000000;55.500000;101.500000;242.500000;102.500000;-0.005348;-1.066664;-0.306392;1;0.495551;-2.708729;0.000775;-0.661639;0.000000;0.000000;-0.927572;0;Wed Jul  5 14:59:22 2023
0.006136;0.000000;-0.021476;0.000000;0.263231;0.000000;55.500000;101.500000;244.500000;102.500000;-0.005291;0.005659;-0.303149;1;-0.002073;0.039840;-0.002214;-0.244264;0.000000;0.000000;0.107563;0;Wed Jul  5 14:59:22 2023
0.003068;-0.306796;-0.021476;0.000000;0.263016;0.000000;55.500000;101.500000;243.500000;101.500000;0.000000;0.529096;0.000000;1;-1.109257;1.165619;-0.002425;0.123127;0.000000;0.000000;0.457131;0;Wed Jul  5 14:59:22 2023
0.003068;0.000000;-0.021476;0.000000;0.262802;0.000000;54.500000;101.500000;243.500000;102.500000;-0.005291;-0.529096;-0.303149;1;-0.114378;-1.828826;-0.002533;0.145585;0.000000;0.000000;-0.465326;0;Wed Jul  5 14:59:22 2023
0.006136;0.306796;-0.018408;0.306796;0.262618;0.000000;55.500000;101.500000;241.500000;102.500000;-0.005376;-0.008534;-0.308039;1;0.490268;-0.609693;-0.003906;-0.183667;0.000000;0.000000;0.081339;0;Wed Jul  5 14:59:22 2023
