Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Wed Jul  5 15:13:58 2023
Qube Frequency: 150.000000, Cam framerate: 150.000000
AlphaDotTransformVector: 0.333656, 0.554470, -10.498437, 0.460679, -0.087547
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.003068;0.000000;-0.009204;0.000000;0.067925;0.000000;55.500000;100.500000;242.500000;101.500000;-0.005348;-0.802131;-0.306392;1;0.060105;-2.233295;-0.001311;-0.382938;0.000000;0.000000;-0.657748;0;Wed Jul  5 15:14:12 2023
0.003068;0.000000;-0.009204;0.000000;0.067863;0.000000;55.500000;100.500000;242.500000;100.500000;0.000000;0.802131;0.000000;1;0.060167;2.083800;-0.001979;0.015238;0.000000;0.000000;0.681379;0;Wed Jul  5 15:14:12 2023
0.003068;0.000000;-0.009204;0.000000;0.067802;0.000000;55.500000;100.500000;243.500000;101.500000;-0.005319;-0.797865;-0.304762;1;0.060167;-2.283268;-0.002313;-0.116987;0.000000;0.000000;-0.661830;0;Wed Jul  5 15:14:12 2023
0.003068;0.000000;-0.009204;0.000000;0.067741;0.000000;55.500000;100.500000;241.500000;101.500000;-0.005376;-0.008579;-0.308039;1;0.060289;-0.138280;-0.003801;-0.065127;0.000000;0.000000;0.016603;0;Wed Jul  5 15:14:12 2023
0.000000;-0.460194;-0.009204;0.000000;0.067679;0.000000;54.500000;100.500000;241.500000;101.500000;-0.005348;0.004312;-0.306392;1;-1.544380;-0.166399;-0.004566;-0.320039;-0.004566;-0.684901;0.016584;0;Wed Jul  5 15:14:12 2023
0.000000;0.000000;-0.009204;0.000000;0.067618;0.000000;54.500000;100.500000;242.500000;100.500000;0.000000;0.802131;0.000000;1;-0.052323;1.988610;-0.003638;0.506179;0.000000;0.684901;0.670738;0;Wed Jul  5 15:14:12 2023
0.003068;0.460194;-0.006136;0.460194;0.067577;0.000000;54.500000;100.500000;241.500000;101.500000;-0.005348;-0.802131;-0.306392;1;0.800593;-3.076987;-0.003165;0.096581;0.000000;0.000000;-0.665175;0;Wed Jul  5 15:14:12 2023
0.006136;0.460194;-0.006136;0.000000;0.067536;0.000000;55.500000;101.500000;243.500000;102.500000;-0.005319;0.004267;-0.304762;1;1.660126;0.000288;-0.004228;-0.344779;-0.004228;-0.634172;0.065693;0;Wed Jul  5 15:14:12 2023
0.006136;0.000000;-0.003068;0.460194;0.067516;0.000000;55.500000;100.500000;243.500000;102.500000;-0.010638;-0.797820;-0.609507;1;-0.583704;-3.112726;-0.006067;-0.722403;-0.006067;-0.275837;-0.641752;0;Wed Jul  5 15:14:12 2023
0.003068;-0.460194;-0.003068;0.000000;0.067495;0.000000;55.500000;101.500000;241.500000;101.500000;0.000000;1.595684;0.000000;1;-1.441658;4.204171;-0.005699;0.661992;-0.005699;0.055097;1.380586;0;Wed Jul  5 15:14:12 2023
0.003068;0.000000;-0.003068;0.000000;0.067475;0.000000;55.500000;101.500000;241.500000;101.500000;0.000000;0.000000;0.000000;1;0.050359;-0.227467;-0.002904;0.722336;0.000000;0.854911;-0.018009;0;Wed Jul  5 15:14:12 2023
0.006136;0.460194;-0.003068;0.000000;0.067454;0.000000;54.500000;101.500000;241.500000;101.500000;0.000000;0.000000;0.000000;1;1.655110;-0.103656;-0.001480;0.243511;0.000000;0.000000;0.004030;0;Wed Jul  5 15:14:12 2023
0.006136;0.000000;-0.003068;0.000000;0.067434;0.000000;55.500000;101.500000;243.500000;101.500000;0.000000;0.000000;0.000000;1;0.163135;-0.078099;-0.000754;-0.427291;0.000000;0.000000;0.003681;0;Wed Jul  5 15:14:12 2023
