Starting new run: Thu Jun  8 13:18:23 2023

cameraAngle;alphaCam;alphaDotCam;alphaQube;alphaDotQube;Kx;KxCam;systemTime
0.012121;0.000212;0.029906;0.000000;0.000000;-0.137332;-0.003248;Thu Jun  8 13:18:42 2023
0.005952;0.000104;-0.015222;0.000000;0.000000;-0.137058;-0.195368;Thu Jun  8 13:18:42 2023
-0.006024;-0.000105;-0.029557;0.000000;0.000000;-0.136783;-0.264422;Thu Jun  8 13:18:42 2023
0.000000;0.000000;0.014868;0.000000;0.000000;-0.136509;-0.074788;Thu Jun  8 13:18:42 2023
-0.005988;-0.000105;-0.014779;0.000000;0.000000;-0.136235;-0.202496;Thu Jun  8 13:18:43 2023
0.011975;0.000209;0.044337;0.000000;0.000000;-0.135960;0.057909;Thu Jun  8 13:18:43 2023
0.005952;0.000104;-0.014866;0.000000;0.000000;-0.135686;-0.192517;Thu Jun  8 13:18:43 2023
-0.012121;-0.000212;-0.044607;0.000000;0.000000;-0.135411;-0.330522;Thu Jun  8 13:18:43 2023
-0.006024;-0.000105;0.015047;-0.003068;-0.306796;-1.552839;-0.077613;Thu Jun  8 13:18:43 2023
0.000000;0.000000;0.014868;0.000000;0.306796;1.138710;-0.073142;Thu Jun  8 13:18:43 2023
-0.012121;-0.000212;-0.029915;0.000000;0.000000;-0.911022;-1.045142;Thu Jun  8 13:18:43 2023
0.005952;0.000104;0.044605;0.003068;0.306796;0.487051;-0.740604;Thu Jun  8 13:18:43 2023
0.000000;0.000000;-0.014691;0.006136;0.306796;0.611278;-1.011538;Thu Jun  8 13:18:43 2023
0.006024;0.000105;0.014868;0.006136;0.000000;0.093961;-0.127641;Thu Jun  8 13:18:43 2023
0.006024;0.000105;0.000000;0.006136;0.000000;0.093412;-0.189908;Thu Jun  8 13:18:43 2023
-0.006097;-0.000106;-0.029916;0.006136;0.000000;0.092864;-0.324582;Thu Jun  8 13:18:43 2023
0.029577;0.000516;0.088043;0.006136;0.000000;-0.684119;-0.582643;Thu Jun  8 13:18:43 2023
0.005952;0.000104;-0.058305;0.006136;0.000000;0.071863;-0.453552;Thu Jun  8 13:18:43 2023
0.017962;0.000313;0.029639;0.006136;0.000000;0.071039;-0.079454;Thu Jun  8 13:18:43 2023
0.023805;0.000415;0.014420;0.009204;0.306796;0.711484;-0.915099;Thu Jun  8 13:18:43 2023
0.005988;0.000105;-0.043970;0.009204;0.000000;0.193619;-0.416389;Thu Jun  8 13:18:43 2023
0.018070;0.000315;0.029818;0.006136;-0.306796;-1.225180;-0.101272;Thu Jun  8 13:18:43 2023
0.005952;0.000104;-0.029905;0.006136;0.000000;0.047294;-0.360227;Thu Jun  8 13:18:43 2023
-0.006061;-0.000106;-0.029646;0.009204;0.306796;0.687465;-1.146531;Thu Jun  8 13:18:43 2023
0.000000;0.000000;0.014956;0.012272;0.306796;1.587028;-0.200978;Thu Jun  8 13:18:43 2023
0.029753;0.000519;0.073425;0.012272;0.000000;0.312083;0.064760;Thu Jun  8 13:18:43 2023
0.011975;0.000209;-0.043871;0.006136;-0.613592;-1.748259;0.338330;Thu Jun  8 13:18:43 2023
0.011834;0.000209;0.000000;0.003068;-0.306796;-0.600285;0.538976;Thu Jun  8 13:18:43 2023
0.024092;0.000420;0.029902;0.006136;0.306796;0.556927;-0.861020;Thu Jun  8 13:18:43 2023
