Starting new run: Mon Jun 12 16:15:55 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;Kx;KxCam;systemTime
0.009204;0.306796;0.006136;0.000000;0.022151;0.000000;39.500000;103.500000;231.500000;102.500000;0.000000;0.000000;0.000000;1.469130;-0.236831;Mon Jun 12 16:16:12 2023
0.009204;0.000000;0.006136;0.000000;0.022212;0.000000;37.500000;102.500000;230.500000;101.500000;0.000090;0.012877;0.005181;0.195009;-0.179675;Mon Jun 12 16:16:12 2023
0.003068;-0.613592;-0.000000;-0.613592;0.022212;0.000000;37.500000;102.500000;230.500000;101.500000;0.000090;0.000000;0.005181;-1.088076;1.319187;Mon Jun 12 16:16:12 2023
0.000000;-0.306796;-0.003068;-0.306796;0.022181;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;-0.012876;0.000000;-0.695810;0.524311;Mon Jun 12 16:16:12 2023
0.000000;0.000000;-0.003068;0.000000;0.022151;0.000000;38.500000;100.500000;231.500000;101.500000;-0.000090;-0.012875;-0.005181;-0.178768;-0.236463;Mon Jun 12 16:16:12 2023
0.000000;0.000000;-0.000000;0.306796;0.022151;0.000000;37.500000;99.500000;230.500000;101.500000;-0.000181;-0.012873;-0.010362;-0.954927;-1.016863;Mon Jun 12 16:16:12 2023
0.003068;0.306796;-0.000000;0.000000;0.022151;0.000000;38.500000;100.500000;231.500000;101.500000;-0.000090;0.012872;-0.005181;1.219580;-0.148937;Mon Jun 12 16:16:12 2023
0.006136;0.306796;0.003068;0.306796;0.022181;0.000000;38.500000;101.500000;230.500000;101.500000;0.000000;0.012871;0.000000;0.587276;-0.921124;Mon Jun 12 16:16:12 2023
0.006136;0.000000;0.003068;0.000000;0.022212;0.000000;36.500000;101.500000;230.500000;100.500000;0.000090;0.012804;0.005155;0.070234;-0.160648;Mon Jun 12 16:16:12 2023
0.006136;0.000000;0.003068;0.000000;0.022243;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;-0.012803;0.000000;0.069959;-0.271446;Mon Jun 12 16:16:12 2023
0.003068;-0.306796;-0.000000;-0.306796;0.022243;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;0.000000;0.000000;-0.571583;0.557859;Mon Jun 12 16:16:12 2023
0.003068;0.000000;-0.000000;0.000000;0.022243;0.000000;37.500000;101.500000;231.500000;101.500000;0.000000;0.000000;0.000000;-0.054816;-0.198946;Mon Jun 12 16:16:12 2023
0.003068;0.000000;-0.000000;0.000000;0.022243;0.000000;37.500000;101.500000;230.500000;101.500000;0.000000;0.000000;0.000000;-0.054816;-0.198946;Mon Jun 12 16:16:12 2023
0.006136;0.306796;-0.000000;0.000000;0.022243;0.000000;37.500000;100.500000;231.500000;101.500000;-0.000090;-0.012798;-0.005155;1.362886;-0.256299;Mon Jun 12 16:16:12 2023
0.006136;0.000000;-0.000000;0.000000;0.022243;0.000000;37.500000;102.500000;230.500000;101.500000;0.000090;0.025659;0.005181;0.089314;-0.088180;Mon Jun 12 16:16:12 2023
0.000000;-0.613592;-0.003068;-0.306796;0.022212;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;-0.012862;0.000000;-1.969656;0.524097;Mon Jun 12 16:16:12 2023
0.000000;0.000000;-0.003068;0.000000;0.022181;0.000000;37.500000;101.500000;230.500000;101.500000;0.000000;0.000000;0.000000;-0.179042;-0.179042;Mon Jun 12 16:16:12 2023
0.003068;0.306796;-0.000000;0.306796;0.022181;0.000000;38.500000;99.500000;230.500000;101.500000;-0.000182;-0.025853;-0.010416;0.462500;-1.071063;Mon Jun 12 16:16:12 2023
0.006136;0.306796;-0.000000;0.000000;0.022181;0.000000;37.500000;100.500000;231.500000;101.500000;-0.000090;0.013059;-0.005155;1.363435;-0.148414;Mon Jun 12 16:16:12 2023
0.006136;0.000000;-0.000000;0.000000;0.022181;0.000000;38.500000;101.500000;230.500000;101.500000;0.000000;0.012792;0.000000;0.089863;-0.145293;Mon Jun 12 16:16:12 2023
0.003068;-0.306796;-0.003068;-0.306796;0.022151;0.000000;37.500000;101.500000;231.500000;100.500000;0.000090;0.012792;0.005155;-0.551405;0.635364;Mon Jun 12 16:16:12 2023
0.000000;-0.306796;-0.003068;0.000000;0.022120;0.000000;38.500000;101.500000;230.500000;101.500000;0.000000;-0.012791;0.000000;-1.452066;-0.231592;Mon Jun 12 16:16:12 2023
0.003068;0.306796;-0.003068;0.000000;0.022089;0.000000;36.500000;99.500000;230.500000;100.500000;-0.000090;-0.012790;-0.005155;1.239483;-0.235541;Mon Jun 12 16:16:12 2023
0.003068;0.000000;-0.000000;0.306796;0.022089;0.000000;37.500000;100.500000;231.500000;101.500000;-0.000090;0.000000;-0.005155;-0.810249;-0.958605;Mon Jun 12 16:16:12 2023
0.006136;0.306796;-0.000000;0.000000;0.022089;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;0.012789;0.000000;1.364258;-0.144483;Mon Jun 12 16:16:12 2023
