Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Tue Jun 20 13:25:44 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;camControl;systemTime
0.003068;-0.306796;0.003068;0.000000;0.060592;0.000000;44.500000;90.500000;235.500000;91.500000;0.000000;0.000000;0.000000;0;-0.947619;-1.060354;0;Tue Jun 20 13:25:56 2023
0.003068;0.000000;0.003068;0.000000;0.060623;0.000000;42.500000;90.500000;233.500000;90.500000;0.000000;0.000000;0.000000;1;0.047014;-0.065721;0;Tue Jun 20 13:25:56 2023
0.006136;0.306796;0.006136;0.306796;0.060684;0.000000;42.500000;89.500000;233.500000;90.500000;0.000000;0.000000;-0.299975;1;0.651415;0.425945;0;Tue Jun 20 13:25:56 2023
0.009204;0.306796;0.006136;0.000000;0.060746;0.000000;42.500000;89.500000;233.500000;90.500000;-0.005236;-0.525380;-0.299975;1;1.261927;0.731336;0;Tue Jun 20 13:25:56 2023
0.006136;-0.306796;0.006136;0.000000;0.060807;0.000000;43.500000;90.500000;234.500000;90.500000;0.000000;0.525436;0.000000;1;-0.840197;-1.065667;0;Tue Jun 20 13:25:57 2023
0.003068;-0.306796;0.006136;0.000000;0.060868;0.000000;43.500000;90.500000;234.500000;90.500000;0.000000;0.000000;0.000000;1;-0.952994;-1.065729;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.006136;0.000000;0.060930;0.000000;43.500000;89.500000;234.500000;90.500000;-0.005236;-0.525416;-0.299975;1;0.041609;-0.263512;0;Tue Jun 20 13:25:57 2023
0.006136;0.306796;0.009204;0.306796;0.061022;0.000000;43.500000;90.500000;233.500000;90.500000;0.000000;0.525431;0.000000;1;0.645979;0.420509;0;Tue Jun 20 13:25:57 2023
0.009204;0.306796;0.009204;0.000000;0.061114;0.000000;42.500000;90.500000;232.500000;90.500000;0.000000;0.000000;0.000000;1;1.256460;0.918255;0;Tue Jun 20 13:25:57 2023
0.006136;-0.306796;0.009204;0.000000;0.061206;0.000000;43.500000;90.500000;234.500000;91.500000;-0.005236;-0.525424;-0.299975;1;-0.845695;-1.263550;0;Tue Jun 20 13:25:57 2023
