Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Tue Jun 20 16:15:10 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;camControl;systemTime
0.000000;0.000000;-0.018408;0.000000;0.127300;0.000000;42.500000;98.500000;234.500000;100.500000;-0.010416;-1.564478;-0.596809;1;-0.096710;-0.479466;0;Tue Jun 20 16:15:19 2023
0.000000;0.000000;-0.018408;0.000000;0.127055;0.000000;43.500000;99.500000;233.500000;100.500000;-0.005263;0.774101;-0.301554;1;-0.096464;-0.289862;0;Tue Jun 20 16:15:19 2023
0.003068;0.230097;-0.018408;0.000000;0.126809;0.000000;43.500000;99.500000;234.500000;100.500000;-0.005236;0.004139;-0.299975;1;0.762514;0.457394;0;Tue Jun 20 16:15:19 2023
0.000000;-0.230097;-0.018408;0.000000;0.126564;0.000000;43.500000;99.500000;234.500000;100.500000;-0.005236;0.000000;-0.299975;1;-0.841971;-1.034357;0;Tue Jun 20 16:15:19 2023
0.000000;0.000000;-0.018408;0.000000;0.126318;0.000000;42.500000;99.500000;234.500000;100.500000;-0.005208;0.004096;-0.298413;1;-0.095728;-0.287111;0;Tue Jun 20 16:15:19 2023
0.003068;0.230097;-0.018408;0.000000;0.126073;0.000000;42.500000;98.500000;233.500000;100.500000;-0.010471;-0.790432;-0.599934;1;0.763250;0.265755;0;Tue Jun 20 16:15:19 2023
0.003068;0.000000;-0.018408;0.000000;0.125827;0.000000;42.500000;98.500000;234.500000;100.500000;-0.010416;0.008191;-0.596809;1;0.017498;-0.477993;0;Tue Jun 20 16:15:19 2023
0.000000;-0.230097;-0.021476;-0.230097;0.125541;0.000000;43.500000;99.500000;233.500000;100.500000;-0.005263;0.774085;-0.301554;1;-0.462472;-0.655870;0;Tue Jun 20 16:15:19 2023
-0.003068;-0.230097;-0.021476;0.000000;0.125255;0.000000;43.500000;99.500000;234.500000;100.500000;-0.005236;0.004139;-0.299975;1;-0.948299;-1.027949;0;Tue Jun 20 16:15:19 2023
0.000000;0.230097;-0.018408;0.230097;0.125009;0.000000;43.500000;98.500000;234.500000;100.500000;-0.010471;-0.786413;-0.599934;1;0.278200;-0.106560;0;Tue Jun 20 16:15:19 2023
0.006136;0.460194;-0.015340;0.230097;0.124805;0.000000;41.500000;98.500000;234.500000;100.500000;-0.010362;0.016297;-0.593717;1;1.244774;0.638531;0;Tue Jun 20 16:15:19 2023
0.006136;0.000000;-0.015340;0.000000;0.124600;0.000000;42.500000;99.500000;233.500000;100.500000;-0.005236;0.770051;-0.299975;1;0.126362;-0.291494;0;Tue Jun 20 16:15:19 2023
0.003068;-0.230097;-0.015340;0.000000;0.124396;0.000000;43.500000;99.500000;233.500000;99.500000;0.000000;0.786454;0.000000;1;-0.732167;-0.844902;0;Tue Jun 20 16:15:19 2023
0.003068;0.000000;-0.018408;-0.230097;0.124150;0.000000;42.500000;99.500000;233.500000;99.500000;0.000000;0.000000;0.000000;1;0.392553;0.279818;0;Tue Jun 20 16:15:19 2023
0.003068;0.000000;-0.015340;0.230097;0.123946;0.000000;43.500000;98.500000;234.500000;99.500000;-0.005236;-0.786464;-0.299975;1;-0.359098;-0.664218;0;Tue Jun 20 16:15:19 2023
0.003068;0.000000;-0.015340;0.000000;0.123741;0.000000;43.500000;99.500000;234.500000;100.500000;-0.005236;0.000000;-0.299975;1;0.014486;-0.290635;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.015340;0.000000;0.123537;0.000000;43.500000;99.500000;234.500000;100.500000;-0.005236;0.000000;-0.299975;1;0.014690;-0.290430;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.015340;0.000000;0.123332;0.000000;43.500000;98.500000;234.500000;100.500000;-0.010471;-0.786359;-0.599934;1;0.014895;-0.482600;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.015340;0.000000;0.123128;0.000000;43.500000;99.500000;233.500000;100.500000;-0.005263;0.782225;-0.301554;1;0.015099;-0.291034;0;Tue Jun 20 16:15:20 2023
0.006136;0.230097;-0.012272;0.230097;0.122964;0.000000;43.500000;99.500000;234.500000;100.500000;-0.005236;0.004139;-0.299975;1;0.495519;0.077664;0;Tue Jun 20 16:15:20 2023
0.003068;-0.230097;-0.015340;-0.230097;0.122759;0.000000;42.500000;100.500000;234.500000;100.500000;0.000000;0.786447;0.000000;1;-0.357152;-0.469887;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.015340;0.000000;0.122555;0.000000;42.500000;99.500000;233.500000;99.500000;0.000000;0.000000;0.000000;1;0.015672;-0.097063;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.015340;0.000000;0.122350;0.000000;42.500000;99.500000;234.500000;99.500000;0.000000;0.000000;0.000000;1;0.015876;-0.096859;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.015340;0.000000;0.122146;0.000000;42.500000;100.500000;233.500000;100.500000;0.000000;0.000000;0.000000;1;0.016081;-0.096654;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.015340;0.000000;0.121941;0.000000;43.500000;99.500000;234.500000;100.500000;-0.005236;-0.786461;-0.299975;1;0.016285;-0.288835;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.015340;0.000000;0.121737;0.000000;43.500000;99.500000;233.500000;100.500000;-0.005263;-0.004139;-0.301554;1;0.016490;-0.289643;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.015340;0.000000;0.121532;0.000000;42.500000;98.500000;234.500000;100.500000;-0.010416;-0.774062;-0.596809;1;0.016695;-0.478796;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.015340;0.000000;0.121328;0.000000;42.500000;99.500000;233.500000;101.500000;-0.010471;-0.008191;-0.599934;1;0.016899;-0.480596;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.015340;0.000000;0.121123;0.000000;43.500000;99.500000;233.500000;100.500000;-0.005263;0.782230;-0.301554;1;0.017104;-0.289029;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.015340;0.000000;0.120919;0.000000;42.500000;100.500000;234.500000;99.500000;0.005208;1.572843;0.298413;1;0.017308;0.095956;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.015340;0.000000;0.120714;0.000000;42.500000;100.500000;233.500000;101.500000;-0.005236;-1.568718;-0.299975;1;0.017513;-0.287608;0;Tue Jun 20 16:15:20 2023
0.000000;-0.230097;-0.015340;0.000000;0.120510;0.000000;43.500000;98.500000;233.500000;100.500000;-0.010526;-0.794679;-0.603091;1;-0.841016;-1.227800;0;Tue Jun 20 16:15:20 2023
0.003068;0.230097;-0.012272;0.230097;0.120346;0.000000;43.500000;99.500000;234.500000;99.500000;0.000000;1.581153;0.000000;1;0.385402;0.272667;0;Tue Jun 20 16:15:20 2023
0.006136;0.230097;-0.009204;0.230097;0.120223;0.000000;43.500000;100.500000;233.500000;100.500000;0.000000;0.000000;0.000000;1;0.493161;0.267691;0;Tue Jun 20 16:15:20 2023
0.006136;0.000000;-0.009204;0.000000;0.120100;0.000000;42.500000;101.500000;233.500000;100.500000;0.005236;0.786424;0.299975;1;0.120665;0.087580;0;Tue Jun 20 16:15:20 2023
0.006136;0.000000;-0.009204;0.000000;0.119978;0.000000;42.500000;101.500000;233.500000;100.500000;0.005236;0.000000;0.299975;1;0.120787;0.087702;0;Tue Jun 20 16:15:20 2023
0.006136;0.000000;-0.009204;0.000000;0.119855;0.000000;43.500000;100.500000;233.500000;100.500000;0.000000;-0.786390;0.000000;1;0.120910;-0.104560;0;Tue Jun 20 16:15:20 2023
0.006136;0.000000;-0.009204;0.000000;0.119732;0.000000;43.500000;100.500000;234.500000;100.500000;0.000000;0.000000;0.000000;1;0.121033;-0.104437;0;Tue Jun 20 16:15:20 2023
0.006136;0.000000;-0.009204;0.000000;0.119610;0.000000;43.500000;100.500000;232.500000;100.500000;0.000000;0.000000;0.000000;1;0.121155;-0.104315;0;Tue Jun 20 16:15:20 2023
0.006136;0.000000;-0.009204;0.000000;0.119487;0.000000;42.500000;99.500000;233.500000;100.500000;-0.005236;-0.786432;-0.299975;1;0.121278;-0.296577;0;Tue Jun 20 16:15:20 2023
0.006136;0.000000;-0.009204;0.000000;0.119364;0.000000;43.500000;100.500000;234.500000;99.500000;0.005236;1.572876;0.299975;1;0.121401;0.088316;0;Tue Jun 20 16:15:20 2023
0.006136;0.000000;-0.009204;0.000000;0.119241;0.000000;43.500000;100.500000;233.500000;100.500000;0.000000;-0.786385;0.000000;1;0.121524;-0.103946;0;Tue Jun 20 16:15:20 2023
0.009204;0.230097;-0.009204;0.000000;0.119119;0.000000;43.500000;100.500000;233.500000;99.500000;0.000000;0.000000;0.301554;1;0.980379;0.642174;0;Tue Jun 20 16:15:20 2023
0.006136;-0.230097;-0.012272;-0.230097;0.118955;0.000000;43.500000;99.500000;233.500000;99.500000;-0.005208;-0.782304;0.000000;1;-0.245711;-0.662564;0;Tue Jun 20 16:15:20 2023
0.003068;-0.230097;-0.015340;-0.230097;0.118751;0.000000;43.500000;100.500000;234.500000;101.500000;-0.005236;-0.004096;-0.299975;1;-0.353143;-0.658263;0;Tue Jun 20 16:15:20 2023
0.000000;-0.230097;-0.018408;-0.230097;0.118505;0.000000;43.500000;99.500000;233.500000;100.500000;-0.005263;-0.004139;-0.301554;1;-0.460534;-0.653932;0;Tue Jun 20 16:15:20 2023
0.000000;0.000000;-0.018408;0.000000;0.118260;0.000000;43.500000;99.500000;234.500000;99.500000;0.000000;0.790573;0.000000;1;-0.087670;-0.087670;0;Tue Jun 20 16:15:20 2023
0.000000;0.000000;-0.018408;0.000000;0.118014;0.000000;43.500000;99.500000;233.500000;100.500000;-0.005263;-0.790567;-0.301554;1;-0.087424;-0.280822;0;Tue Jun 20 16:15:20 2023
0.003068;0.230097;-0.018408;0.000000;0.117769;0.000000;43.500000;99.500000;233.500000;100.500000;-0.005263;0.000000;-0.301554;1;0.771554;0.465421;0;Tue Jun 20 16:15:20 2023
0.000000;-0.230097;-0.018408;0.000000;0.117523;0.000000;43.500000;99.500000;234.500000;100.500000;-0.005236;0.004139;-0.299975;1;-0.832931;-1.025316;0;Tue Jun 20 16:15:20 2023
0.000000;0.000000;-0.018408;0.000000;0.117278;0.000000;42.500000;98.500000;233.500000;100.500000;-0.010416;-0.778151;-0.599934;1;-0.086688;-0.469444;0;Tue Jun 20 16:15:20 2023
0.000000;0.000000;-0.018408;0.000000;0.117033;0.000000;42.500000;99.500000;233.500000;100.500000;-0.005236;0.778171;-0.299975;1;-0.086442;-0.278828;0;Tue Jun 20 16:15:20 2023
0.003068;0.230097;-0.018408;0.000000;0.116787;0.000000;43.500000;99.500000;233.500000;100.500000;0.000000;0.786433;-0.301554;1;0.772536;0.659801;0;Tue Jun 20 16:15:20 2023
0.000000;-0.230097;-0.018408;0.000000;0.116542;0.000000;43.500000;98.500000;234.500000;100.500000;-0.010471;-1.572745;-0.599934;1;-0.831949;-1.216709;0;Tue Jun 20 16:15:20 2023
0.000000;0.000000;-0.018408;0.000000;0.116296;0.000000;43.500000;99.500000;234.500000;100.500000;-0.005236;0.786347;-0.299975;1;-0.085706;-0.278091;0;Tue Jun 20 16:15:20 2023
0.000000;0.000000;-0.018408;0.000000;0.116051;0.000000;42.500000;99.500000;234.500000;99.500000;0.000000;0.786430;0.000000;1;-0.085461;-0.085461;0;Tue Jun 20 16:15:20 2023
0.003068;0.230097;-0.018408;0.000000;0.115805;0.000000;43.500000;98.500000;233.500000;100.500000;-0.010526;-1.581110;-0.603091;1;0.773518;0.273998;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.018408;0.000000;0.115560;0.000000;43.500000;99.500000;234.500000;100.500000;-0.005236;0.794663;-0.299975;1;0.027765;-0.277355;0;Tue Jun 20 16:15:20 2023
0.000000;-0.230097;-0.021476;-0.230097;0.115274;0.000000;43.500000;98.500000;234.500000;100.500000;-0.010471;-0.786353;-0.599934;1;-0.452204;-0.836964;0;Tue Jun 20 16:15:20 2023
-0.003068;-0.230097;-0.021476;0.000000;0.114987;0.000000;43.500000;98.500000;233.500000;100.500000;-0.010526;-0.008277;-0.603091;1;-0.938032;-1.212081;0;Tue Jun 20 16:15:20 2023
-0.003068;0.000000;-0.021476;0.000000;0.114701;0.000000;43.500000;98.500000;234.500000;100.500000;-0.010471;0.008277;-0.599934;1;-0.191747;-0.463772;0;Tue Jun 20 16:15:20 2023
0.003068;0.460194;-0.015340;0.460194;0.114496;0.000000;43.500000;98.500000;234.500000;100.500000;-0.010471;0.000000;-0.599934;1;0.768969;0.271474;0;Tue Jun 20 16:15:20 2023
0.006136;0.230097;-0.012272;0.230097;0.114333;0.000000;43.500000;98.500000;234.500000;100.500000;-0.010471;0.000000;-0.599934;1;0.504150;-0.106080;0;Tue Jun 20 16:15:20 2023
0.003068;-0.230097;-0.015340;-0.230097;0.114128;0.000000;42.500000;100.500000;234.500000;100.500000;0.000000;1.572759;0.000000;1;-0.348521;-0.461256;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.015340;0.000000;0.113924;0.000000;42.500000;99.500000;233.500000;100.500000;-0.005236;-0.786379;-0.299975;1;0.024303;-0.280817;0;Tue Jun 20 16:15:20 2023
0.000000;-0.230097;-0.015340;0.000000;0.113719;0.000000;42.500000;100.500000;233.500000;100.500000;0.000000;0.786425;0.000000;1;-0.834225;-0.834225;0;Tue Jun 20 16:15:20 2023
0.003068;0.230097;-0.015340;0.000000;0.113515;0.000000;43.500000;98.500000;235.500000;100.500000;-0.010416;-1.564617;-0.596809;1;0.770710;0.275219;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.012272;0.230097;0.113351;0.000000;42.500000;100.500000;234.500000;100.500000;0.000000;1.564571;0.000000;1;-0.353601;-0.466336;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.012272;0.000000;0.113187;0.000000;43.500000;100.500000;234.500000;100.500000;0.000000;0.000000;0.000000;1;0.019941;-0.092794;0;Tue Jun 20 16:15:20 2023
0.006136;0.230097;-0.009204;0.230097;0.113065;0.000000;42.500000;100.500000;233.500000;101.500000;-0.005236;-0.786319;-0.299975;1;0.500320;0.082465;0;Tue Jun 20 16:15:20 2023
0.003068;-0.230097;-0.009204;0.000000;0.112942;0.000000;42.500000;101.500000;233.500000;101.500000;0.000000;0.786415;0.000000;1;-0.730910;-0.843645;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.009204;0.000000;0.112819;0.000000;43.500000;99.500000;233.500000;101.500000;-0.010526;-1.580791;-0.603091;1;0.015211;-0.484309;0;Tue Jun 20 16:15:20 2023
0.006136;0.230097;-0.009204;0.000000;0.112696;0.000000;43.500000;100.500000;233.500000;101.500000;-0.005263;0.790491;-0.301554;1;0.874066;0.455199;0;Tue Jun 20 16:15:20 2023
0.006136;0.000000;-0.009204;0.000000;0.112574;0.000000;42.500000;101.500000;233.500000;100.500000;0.005236;1.576886;0.299975;1;0.128191;0.095106;0;Tue Jun 20 16:15:20 2023
0.003068;-0.230097;-0.009204;0.000000;0.112451;0.000000;43.500000;100.500000;233.500000;101.500000;-0.005263;-1.576889;-0.301554;1;-0.730419;-1.036552;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.009204;0.000000;0.112328;0.000000;42.500000;101.500000;233.500000;101.500000;0.000000;0.790532;0.000000;1;0.015702;-0.097033;0;Tue Jun 20 16:15:20 2023
0.003068;0.000000;-0.009204;0.000000;0.112206;0.000000;43.500000;100.500000;232.500000;101.500000;-0.005291;-0.794739;-0.303149;1;0.015824;-0.291332;0;Tue Jun 20 16:15:20 2023
0.006136;0.230097;-0.009204;0.000000;0.112083;0.000000;43.500000;100.500000;233.500000;101.500000;-0.005263;0.004183;-0.301554;1;0.874680;0.455812;0;Tue Jun 20 16:15:20 2023
0.006136;0.000000;-0.009204;0.000000;0.111960;0.000000;43.500000;100.500000;234.500000;101.500000;-0.005236;0.004139;-0.299975;1;0.128805;-0.289050;0;Tue Jun 20 16:15:20 2023
0.000000;-0.460194;-0.012272;-0.230097;0.111797;0.000000;42.500000;100.500000;233.500000;101.500000;-0.005236;0.000000;-0.299975;1;-1.210020;-1.402405;0;Tue Jun 20 16:15:20 2023
0.000000;0.000000;-0.012272;0.000000;0.111633;0.000000;43.500000;100.500000;234.500000;102.500000;-0.010471;-0.786346;-0.599934;1;-0.091240;-0.475999;0;Tue Jun 20 16:15:20 2023
0.003068;0.230097;-0.009204;0.230097;0.111510;0.000000;43.500000;100.500000;233.500000;102.500000;-0.010526;-0.008277;-0.603091;1;0.389139;-0.110381;0;Tue Jun 20 16:15:20 2023
0.006136;0.230097;-0.006136;0.230097;0.111428;0.000000;43.500000;100.500000;233.500000;101.500000;-0.005263;0.790515;-0.301554;1;0.496858;0.077990;0;Tue Jun 20 16:15:20 2023
0.006136;0.000000;-0.006136;0.000000;0.111347;0.000000;43.500000;100.500000;233.500000;101.500000;-0.005263;0.000000;-0.301554;1;0.124320;-0.294548;0;Tue Jun 20 16:15:20 2023
0.006136;0.000000;-0.006136;0.000000;0.111265;0.000000;42.500000;101.500000;234.500000;101.500000;0.000000;0.790498;0.000000;1;0.124402;-0.101068;0;Tue Jun 20 16:15:20 2023
0.003068;-0.230097;-0.006136;0.000000;0.111183;0.000000;43.500000;100.500000;233.500000;99.500000;0.005263;0.790503;0.301554;1;-0.734249;-0.653586;0;Tue Jun 20 16:15:20 2023
