Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Tue Jun 20 16:19:49 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;camControl;systemTime
0.003068;-0.230097;-0.015340;0.000000;0.115764;0.000000;43.500000;94.500000;233.500000;94.500000;0.000000;0.000000;0.000000;1;-0.723536;-0.836271;0;Tue Jun 20 16:20:04 2023
0.006136;0.230097;-0.015340;0.000000;0.115560;0.000000;41.500000;93.500000;233.500000;93.500000;-0.005208;-0.390621;0.000000;1;0.881400;0.464547;0;Tue Jun 20 16:20:04 2023
0.009204;0.230097;-0.012272;0.230097;0.115396;0.000000;43.500000;93.500000;233.500000;93.500000;0.000000;0.390621;0.000000;1;0.615821;0.277616;0;Tue Jun 20 16:20:04 2023
0.006136;-0.230097;-0.015340;-0.230097;0.115192;0.000000;42.500000;94.500000;233.500000;93.500000;0.005236;0.392667;0.299975;1;-0.236849;-0.269934;0;Tue Jun 20 16:20:04 2023
0.003068;-0.230097;-0.018408;-0.230097;0.114946;0.000000;42.500000;94.500000;234.500000;93.500000;0.005208;-0.002045;0.298413;1;-0.344241;-0.265592;0;Tue Jun 20 16:20:04 2023
0.000000;-0.230097;-0.018408;0.000000;0.114701;0.000000;42.500000;94.500000;233.500000;93.500000;0.005236;0.002045;0.299975;1;-0.830109;-0.637724;0;Tue Jun 20 16:20:04 2023
0.003068;0.230097;-0.015340;0.230097;0.114496;0.000000;43.500000;93.500000;234.500000;94.500000;-0.005236;-0.785333;-0.299975;1;0.396350;0.091229;0;Tue Jun 20 16:20:04 2023
0.006136;0.230097;-0.012272;0.230097;0.114333;0.000000;43.500000;93.500000;234.500000;94.500000;-0.005236;0.000000;-0.299975;1;0.504150;0.086295;0;Tue Jun 20 16:20:04 2023
0.006136;0.000000;-0.012272;0.000000;0.114169;0.000000;42.500000;94.500000;234.500000;94.500000;0.000000;0.392667;0.000000;1;0.131694;-0.093776;0;Tue Jun 20 16:20:04 2023
0.006136;0.000000;-0.012272;0.000000;0.114005;0.000000;44.500000;94.500000;233.500000;94.500000;0.000000;0.000000;0.000000;1;0.131858;-0.093612;0;Tue Jun 20 16:20:04 2023
0.006136;0.000000;-0.012272;0.000000;0.113842;0.000000;42.500000;94.500000;233.500000;94.500000;0.000000;0.000000;0.000000;1;0.132022;-0.093448;0;Tue Jun 20 16:20:04 2023
0.006136;0.000000;-0.012272;0.000000;0.113678;0.000000;41.500000;93.500000;234.500000;93.500000;0.000000;0.000000;0.000000;1;0.132185;-0.093285;0;Tue Jun 20 16:20:04 2023
0.006136;0.000000;-0.012272;0.000000;0.113515;0.000000;42.500000;94.500000;233.500000;93.500000;0.005236;0.392667;0.299975;1;0.132349;0.099264;0;Tue Jun 20 16:20:04 2023
0.006136;0.000000;-0.012272;0.000000;0.113351;0.000000;42.500000;94.500000;233.500000;93.500000;0.005236;0.000000;0.299975;1;0.132512;0.099428;0;Tue Jun 20 16:20:04 2023
0.006136;0.000000;-0.012272;0.000000;0.113187;0.000000;42.500000;94.500000;234.500000;94.500000;0.000000;-0.392667;0.000000;1;0.132676;-0.092794;0;Tue Jun 20 16:20:04 2023
0.009204;0.230097;-0.012272;0.000000;0.113024;0.000000;43.500000;93.500000;235.500000;93.500000;0.000000;0.000000;0.000000;1;0.991573;0.653368;0;Tue Jun 20 16:20:04 2023
0.006136;-0.230097;-0.015340;-0.230097;0.112819;0.000000;43.500000;94.500000;233.500000;94.500000;0.000000;0.000000;0.000000;1;-0.234477;-0.459947;0;Tue Jun 20 16:20:04 2023
0.003068;-0.230097;-0.018408;-0.230097;0.112574;0.000000;43.500000;93.500000;234.500000;93.500000;0.000000;0.000000;0.000000;1;-0.341868;-0.454603;0;Tue Jun 20 16:20:04 2023
0.000000;-0.230097;-0.021476;-0.230097;0.112287;0.000000;42.500000;92.500000;233.500000;93.500000;-0.005236;-0.392667;-0.299975;1;-0.449218;-0.641603;0;Tue Jun 20 16:20:04 2023
0.000000;0.000000;-0.021476;0.000000;0.112001;0.000000;43.500000;92.500000;234.500000;94.500000;-0.010471;-0.392645;-0.599934;1;-0.076313;-0.461072;0;Tue Jun 20 16:20:04 2023
0.000000;0.000000;-0.021476;0.000000;0.111715;0.000000;43.500000;92.500000;233.500000;93.500000;-0.005263;0.390578;-0.301554;1;-0.076026;-0.269424;0;Tue Jun 20 16:20:04 2023
0.003068;0.230097;-0.018408;0.230097;0.111469;0.000000;42.500000;93.500000;234.500000;93.500000;0.000000;0.394733;0.000000;1;0.404475;0.291740;0;Tue Jun 20 16:20:04 2023
0.003068;0.000000;-0.018408;0.000000;0.111224;0.000000;42.500000;93.500000;233.500000;94.500000;-0.005236;-0.392667;-0.299975;1;0.032101;-0.273019;0;Tue Jun 20 16:20:04 2023
0.000000;-0.230097;-0.021476;-0.230097;0.110937;0.000000;42.500000;93.500000;233.500000;94.500000;-0.005236;0.000000;-0.299975;1;-0.447868;-0.640254;0;Tue Jun 20 16:20:04 2023
0.003068;0.230097;-0.021476;0.000000;0.110651;0.000000;43.500000;92.500000;235.500000;93.500000;-0.005208;0.002045;-0.298413;1;0.783770;0.479652;0;Tue Jun 20 16:20:04 2023
0.003068;0.000000;-0.021476;0.000000;0.110365;0.000000;43.500000;92.500000;233.500000;93.500000;-0.005263;-0.004112;-0.301554;1;0.038059;-0.268074;0;Tue Jun 20 16:20:04 2023
0.000000;-0.230097;-0.021476;0.000000;0.110078;0.000000;44.500000;92.500000;235.500000;93.500000;-0.005236;0.002067;-0.299975;1;-0.820388;-1.012773;0;Tue Jun 20 16:20:04 2023
0.000000;0.000000;-0.021476;0.000000;0.109792;0.000000;43.500000;92.500000;233.500000;93.500000;-0.005263;-0.002067;-0.301554;1;-0.074104;-0.267501;0;Tue Jun 20 16:20:04 2023
0.003068;0.230097;-0.021476;0.000000;0.109506;0.000000;42.500000;93.500000;233.500000;94.500000;-0.005236;0.002067;-0.299975;1;0.784915;0.479795;0;Tue Jun 20 16:20:04 2023
0.003068;0.000000;-0.018408;0.230097;0.109260;0.000000;42.500000;93.500000;233.500000;94.500000;-0.005236;0.000000;-0.299975;1;-0.339314;-0.644434;0;Tue Jun 20 16:20:04 2023
0.000000;-0.230097;-0.021476;-0.230097;0.108974;0.000000;42.500000;93.500000;233.500000;93.500000;0.000000;0.392667;0.000000;1;-0.445905;-0.445905;0;Tue Jun 20 16:20:04 2023
0.000000;0.000000;-0.018408;0.230097;0.108729;0.000000;41.500000;92.500000;234.500000;94.500000;-0.010362;-0.777174;-0.593717;1;-0.451517;-0.832290;0;Tue Jun 20 16:20:04 2023
0.003068;0.230097;-0.018408;0.000000;0.108483;0.000000;42.500000;93.500000;233.500000;94.500000;-0.005236;0.384508;-0.299975;1;0.780840;0.475720;0;Tue Jun 20 16:20:04 2023
0.006136;0.230097;-0.015340;0.230097;0.108279;0.000000;43.500000;93.500000;233.500000;93.500000;0.000000;0.392667;0.000000;1;0.515302;0.289832;0;Tue Jun 20 16:20:04 2023
0.003068;-0.230097;-0.015340;0.000000;0.108074;0.000000;41.500000;93.500000;233.500000;93.500000;0.000000;0.000000;0.000000;1;-0.715845;-0.828580;0;Tue Jun 20 16:20:04 2023
0.003068;0.000000;-0.018408;-0.230097;0.107829;0.000000;41.500000;93.500000;234.500000;93.500000;0.000000;0.000000;0.000000;1;0.408875;0.296140;0;Tue Jun 20 16:20:04 2023
0.003068;0.000000;-0.018408;0.000000;0.107583;0.000000;41.500000;93.500000;233.500000;93.500000;0.000000;0.000000;0.000000;1;0.035742;-0.076993;0;Tue Jun 20 16:20:04 2023
0.000000;-0.230097;-0.018408;0.000000;0.107338;0.000000;42.500000;93.500000;234.500000;94.500000;-0.005208;-0.390621;-0.298413;1;-0.822746;-1.014129;0;Tue Jun 20 16:20:04 2023
0.003068;0.230097;-0.015340;0.230097;0.107133;0.000000;43.500000;93.500000;233.500000;94.500000;-0.005263;-0.004112;-0.301554;1;0.403713;0.097580;0;Tue Jun 20 16:20:04 2023
0.003068;0.000000;-0.015340;0.000000;0.106929;0.000000;42.500000;92.500000;234.500000;94.500000;-0.010416;-0.386489;-0.596809;1;0.031298;-0.464193;0;Tue Jun 20 16:20:04 2023
