Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Wed Jun 21 14:04:28 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;camControl;systemTime
0.003068;0.000000;0.009204;0.000000;0.164565;0.000000;40.500000;98.500000;231.500000;99.500000;-0.005236;-0.786043;-0.299975;1;-0.067125;-0.179860;0;Wed Jun 21 14:04:40 2023
0.003068;0.000000;0.009204;0.000000;0.164565;0.000000;40.500000;98.500000;231.500000;99.500000;-0.005236;0.000000;-0.299975;1;-0.067125;-0.179860;0;Wed Jun 21 14:04:40 2023
0.003068;0.000000;0.009204;0.000000;0.164688;0.000000;40.500000;98.500000;231.500000;99.500000;-0.005236;0.000000;-0.299975;1;-0.067248;-0.372368;0;Wed Jun 21 14:04:40 2023
0.003068;0.000000;0.009204;0.000000;0.164688;0.000000;40.500000;98.500000;229.500000;97.500000;0.005291;1.581581;0.303149;1;-0.067248;-0.372368;0;Wed Jun 21 14:04:40 2023
0.003068;0.000000;0.009204;0.000000;0.164811;0.000000;40.500000;98.500000;231.500000;99.500000;-0.005236;-1.581733;-0.299975;1;-0.067371;-0.372491;0;Wed Jun 21 14:04:40 2023
0.003068;0.000000;0.009204;0.000000;0.164811;0.000000;40.500000;98.500000;231.500000;99.500000;-0.005236;0.000000;-0.299975;1;-0.067371;-0.372491;0;Wed Jun 21 14:04:40 2023
0.003068;0.000000;0.009204;0.000000;0.164811;0.000000;39.500000;99.500000;230.500000;98.500000;0.005236;1.573482;0.299975;1;-0.067371;-0.372491;0;Wed Jun 21 14:04:40 2023
0.003068;0.000000;0.009204;0.000000;0.164934;0.000000;39.500000;98.500000;231.500000;98.500000;0.000000;-0.786747;0.000000;1;-0.067494;0.012157;0;Wed Jun 21 14:04:40 2023
0.003068;0.000000;0.009204;0.000000;0.164934;0.000000;39.500000;98.500000;231.500000;98.500000;0.000000;0.000000;0.000000;1;-0.067494;0.012157;0;Wed Jun 21 14:04:40 2023
0.000000;-0.230097;0.009204;0.000000;0.165056;0.000000;40.500000;98.500000;231.500000;99.500000;-0.005236;-0.786774;-0.299975;1;-0.926349;-0.926349;0;Wed Jun 21 14:04:40 2023
0.000000;-0.230097;0.009204;0.000000;0.165056;0.000000;40.500000;98.500000;231.500000;99.500000;-0.005236;0.000000;-0.299975;1;-0.926349;-0.926349;0;Wed Jun 21 14:04:40 2023
0.003068;0.230097;0.009204;0.000000;0.165179;0.000000;40.500000;98.500000;231.500000;98.500000;0.000000;0.786763;0.000000;1;0.678259;0.373139;0;Wed Jun 21 14:04:40 2023
0.003068;0.230097;0.009204;0.000000;0.165179;0.000000;41.500000;98.500000;231.500000;99.500000;-0.005263;-0.790868;-0.301554;1;0.678259;0.373139;0;Wed Jun 21 14:04:40 2023
0.006136;0.230097;0.012272;0.230097;0.165343;0.000000;40.500000;98.500000;231.500000;99.500000;-0.005236;0.004141;-0.299975;1;0.412353;-0.006514;0;Wed Jun 21 14:04:40 2023
