Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jun 26 12:45:36 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;systemTime
0.006136;-0.230097;-0.003068;0.000000;0.246705;0.000000;48.500000;101.500000;235.500000;101.500000;0.000000;0.000000;0.000000;0;-0.762135;-0.987605;0.000000;0.000000;0;Mon Jun 26 12:45:47 2023
0.006136;0.000000;-0.003068;0.000000;0.246664;0.000000;48.500000;100.500000;234.500000;101.500000;-0.005376;-0.807300;-0.308039;1;-0.016096;-0.241566;-0.403650;-0.000097;0;Mon Jun 26 12:45:47 2023
0.006136;0.000000;-0.003068;0.000000;0.246664;0.000000;49.500000;100.500000;234.500000;101.500000;-0.005405;-0.004365;-0.309704;1;-0.016096;-0.241566;-0.270555;-0.000561;0;Mon Jun 26 12:45:47 2023
0.006136;0.000000;-0.003068;0.000000;0.246623;0.000000;48.500000;101.500000;234.500000;100.500000;0.005376;1.619901;0.308039;1;-0.016055;-0.440149;0.202059;-0.001360;0;Mon Jun 26 12:45:47 2023
0.006136;0.000000;-0.003068;0.000000;0.246623;0.000000;48.500000;100.500000;234.500000;101.500000;-0.005376;-1.615545;-0.308039;1;-0.016055;-0.440149;-0.161462;-0.001954;0;Mon Jun 26 12:45:47 2023
0.006136;0.000000;-0.003068;0.000000;0.246623;0.000000;48.500000;99.500000;234.500000;101.500000;-0.010752;-0.807752;-0.616060;1;-0.016055;-0.440149;-0.290720;-0.002278;0;Mon Jun 26 12:45:47 2023
0.006136;0.000000;-0.003068;0.000000;0.246582;0.000000;48.500000;98.500000;234.500000;101.500000;-0.016128;-0.807673;-0.924045;1;-0.016014;-0.636586;-0.394110;-0.003147;0;Mon Jun 26 12:45:47 2023
0.006136;0.000000;-0.003068;0.000000;0.246541;0.000000;46.500000;100.500000;234.500000;101.500000;-0.005319;1.624062;-0.304762;1;-0.015973;-0.436898;0.009524;-0.005040;0;Mon Jun 26 12:45:47 2023
0.006136;0.000000;-0.003068;0.000000;0.246541;0.000000;48.500000;100.500000;234.500000;101.500000;-0.005376;-0.008593;-0.308039;1;-0.015973;-0.436898;0.005901;-0.007239;0;Mon Jun 26 12:45:47 2023
0.006136;0.000000;-0.003068;0.000000;0.246541;0.000000;47.500000;99.500000;234.500000;100.500000;-0.005348;0.004320;-0.306392;1;-0.015973;-0.436898;0.005584;-0.008622;0;Mon Jun 26 12:45:47 2023
0.006136;0.000000;-0.003068;0.000000;0.246500;0.000000;48.500000;100.500000;233.500000;101.500000;-0.005405;-0.008686;-0.309704;1;-0.015932;-0.437902;0.002730;-0.008791;0;Mon Jun 26 12:45:47 2023
0.006136;0.000000;-0.003068;0.000000;0.246460;0.000000;48.500000;100.500000;234.500000;101.500000;-0.005376;0.004366;-0.308039;1;-0.015891;-0.438918;0.003057;-0.008064;0;Mon Jun 26 12:45:47 2023
0.006136;0.000000;-0.003068;0.000000;0.246460;0.000000;48.500000;100.500000;234.500000;101.500000;-0.005376;0.000000;-0.308039;1;-0.015891;-0.438918;0.002446;-0.006972;0;Mon Jun 26 12:45:47 2023
