Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jun 26 13:22:21 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;y0;y1;y2;x0;x1;x2;x3;systemTime
0.003068;0.000000;0.003068;0.000000;0.126605;0.000000;48.500000;101.500000;235.500000;102.500000;-0.005348;-0.802853;-0.306392;1;-0.018968;-0.131703;-0.802853;-0.014532;0;-0.014532;0.000000;0.000000;-0.802853;0.000000;0.000000;0.000000;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126645;0.000000;47.500000;102.500000;234.500000;103.500000;-0.005348;0.000000;-0.306392;1;-0.019009;-0.375357;-0.401426;-0.069171;0;-0.069171;-0.014532;0.000000;0.000000;-0.802853;0.000000;0.000000;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126645;0.000000;48.500000;101.500000;235.500000;102.500000;-0.005348;0.000000;-0.306392;1;-0.019009;-0.375357;-0.267618;-0.148146;0;-0.148146;-0.069171;-0.014532;0.000000;0.000000;-0.802853;0.000000;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126686;0.000000;48.500000;101.500000;234.500000;102.500000;-0.005376;-0.004318;-0.308039;1;-0.019050;-0.808588;-0.201793;-0.197565;0;-0.197565;-0.148146;-0.069171;-0.004318;0.000000;0.000000;-0.802853;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126686;0.000000;48.500000;101.500000;234.500000;101.500000;0.000000;0.807518;0.000000;1;-0.019050;-0.808588;0.000069;-0.177329;0;-0.177329;-0.197565;-0.148146;0.807518;-0.004318;0.000000;0.000000;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126727;0.000000;48.500000;101.500000;234.500000;102.500000;-0.005376;-0.807533;-0.308039;1;-0.019091;-0.706742;-0.161451;-0.090600;0;-0.090600;-0.177329;-0.197565;-0.807533;0.807518;-0.004318;0.000000;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126727;0.000000;48.500000;101.500000;234.500000;102.500000;-0.005376;0.000000;-0.308039;1;-0.019091;-0.706742;-0.129161;-0.004716;0;-0.004716;-0.090600;-0.177329;0.000000;-0.807533;0.807518;-0.004318;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126768;0.000000;48.500000;102.500000;234.500000;102.500000;0.000000;0.807538;0.000000;1;-0.019132;-0.344713;0.058179;0.034939;0;0.034939;-0.004716;-0.090600;0.807538;0.000000;-0.807533;0.807518;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126768;0.000000;47.500000;101.500000;234.500000;102.500000;-0.005348;-0.803213;-0.306392;1;-0.019132;-0.344713;-0.114100;0.056570;0;0.056570;0.034939;-0.004716;-0.803213;0.807538;0.000000;-0.807533;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126809;0.000000;48.500000;101.500000;234.500000;101.500000;0.000000;0.803186;0.000000;1;-0.019172;-0.145002;0.069357;0.071695;0;0.071695;0.056570;0.034939;0.803186;-0.803213;0.807538;0.000000;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126809;0.000000;47.500000;101.500000;234.500000;103.500000;-0.010695;-1.606297;-0.612766;1;-0.019172;-0.145002;-0.265773;0.054524;0;0.054524;0.071695;0.056570;-1.606297;0.803186;-0.803213;0.807538;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126850;0.000000;48.500000;101.500000;234.500000;102.500000;-0.005376;0.798806;-0.308039;1;-0.019213;-0.348165;-0.052857;-0.016802;0;-0.016802;0.054524;0.071695;0.798806;-1.606297;0.803186;-0.803213;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126850;0.000000;48.500000;101.500000;234.500000;102.500000;-0.005376;0.000000;-0.308039;1;-0.019213;-0.348165;-0.042286;-0.103439;0;-0.103439;-0.016802;0.054524;0.000000;0.798806;-1.606297;0.803186;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126891;0.000000;47.500000;101.500000;234.500000;101.500000;0.000000;0.807492;0.000000;1;-0.019254;-0.664907;0.127670;-0.118098;0;-0.118098;-0.103439;-0.016802;0.807492;0.000000;0.798806;-1.606297;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126891;0.000000;47.500000;101.500000;234.500000;102.500000;-0.005348;-0.803168;-0.306392;1;-0.019254;-0.664907;-0.058498;-0.046399;0;-0.046399;-0.118098;-0.103439;-0.803168;0.807492;0.000000;0.798806;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126932;0.000000;48.500000;101.500000;234.500000;102.500000;-0.005376;-0.004318;-0.308039;1;-0.019295;-0.478959;-0.047662;0.029427;0;0.029427;-0.046399;-0.118098;-0.004318;-0.803168;0.807492;0.000000;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126932;0.000000;47.500000;101.500000;234.500000;102.500000;-0.005348;0.004318;-0.306392;1;-0.019295;-0.478959;-0.037266;0.044680;0;0.044680;0.029427;-0.046399;0.004318;-0.004318;-0.803168;0.807492;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126973;0.000000;47.500000;101.500000;233.500000;103.500000;-0.010752;-0.811810;-0.616060;1;-0.019336;-0.183715;-0.192175;0.001693;0;0.001693;0.044680;0.029427;-0.811810;0.004318;-0.004318;-0.803168;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126973;0.000000;48.500000;101.500000;234.500000;102.500000;-0.005376;0.807488;-0.308039;1;-0.019336;-0.183715;0.007758;-0.070997;0;-0.070997;0.001693;0.044680;0.807488;-0.811810;0.004318;-0.004318;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.127014;0.000000;48.500000;101.500000;234.500000;102.500000;-0.005376;0.000000;-0.308039;1;-0.019377;-0.559849;0.006206;-0.114690;0;-0.114690;-0.070997;0.001693;0.000000;0.807488;-0.811810;0.004318;Mon Jun 26 13:22:32 2023
