Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jun 26 15:00:49 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;systemTime
0.006136;0.000000;-0.009204;0.000000;0.138713;0.000000;48.500000;90.500000;234.500000;92.500000;-0.010752;-1.612255;-0.616060;1;0.102052;-0.123418;-1.612255;-0.029182;0;Mon Jun 26 15:01:00 2023
0.006136;0.000000;-0.009204;0.000000;0.138713;0.000000;47.500000;90.500000;235.500000;90.500000;0.000000;1.612725;0.000000;1;0.102052;-0.123418;0.000235;-0.109715;0;Mon Jun 26 15:01:00 2023
0.003068;-0.230097;-0.009204;0.000000;0.138590;0.000000;48.500000;90.500000;235.500000;91.500000;-0.005348;-0.802289;-0.306392;1;-0.756558;-0.479002;-0.267273;-0.173075;0;Mon Jun 26 15:01:00 2023
0.003068;-0.230097;-0.009204;0.000000;0.138590;0.000000;48.500000;90.500000;234.500000;92.500000;-0.010752;-0.811095;-0.616060;1;-0.756558;-0.479002;-0.403229;-0.182802;0;Mon Jun 26 15:01:00 2023
0.006136;0.230097;-0.009204;0.000000;0.138467;0.000000;48.500000;90.500000;234.500000;89.500000;0.005376;2.420438;0.308039;1;0.848296;-1.110937;0.161505;-0.162119;0;Mon Jun 26 15:01:00 2023
0.006136;0.230097;-0.009204;0.000000;0.138467;0.000000;48.500000;90.500000;234.500000;92.500000;-0.010752;-2.420415;-0.616060;1;0.848296;-1.110937;-0.354879;-0.088169;0;Mon Jun 26 15:01:00 2023
0.009204;0.230097;-0.006136;0.230097;0.138386;0.000000;47.500000;90.500000;234.500000;92.500000;-0.010695;0.008628;-0.612766;1;0.582635;-1.182522;-0.282178;-0.028767;0;Mon Jun 26 15:01:00 2023
0.009204;0.230097;-0.006136;0.230097;0.138386;0.000000;47.500000;90.500000;234.500000;89.500000;0.005348;2.407538;0.306392;1;0.582635;-1.182522;0.255765;-0.034995;0;Mon Jun 26 15:01:00 2023
0.006136;-0.230097;-0.009204;-0.230097;0.138263;0.000000;47.500000;90.500000;235.500000;91.500000;-0.005319;-1.600779;-0.304762;1;-0.270117;0.333455;-0.115544;0.006333;0;Mon Jun 26 15:01:00 2023
0.006136;-0.230097;-0.009204;-0.230097;0.138263;0.000000;48.500000;90.500000;234.500000;92.500000;-0.010752;-0.815408;-0.616060;1;-0.270117;0.333455;-0.255516;0.073745;0;Mon Jun 26 15:01:00 2023
0.003068;-0.230097;-0.012272;-0.230097;0.138099;0.000000;48.500000;90.500000;235.500000;91.500000;-0.005348;0.811108;-0.306392;1;-0.377590;0.099660;-0.042192;0.039627;0;Mon Jun 26 15:01:00 2023
0.003068;-0.230097;-0.012272;-0.230097;0.138099;0.000000;49.500000;91.500000;233.500000;91.500000;0.000000;0.802548;0.000000;1;-0.377590;0.099660;0.126756;-0.030410;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.137936;0.000000;48.500000;89.500000;235.500000;90.500000;-0.005348;-0.802551;-0.306392;1;-0.004807;-0.216136;-0.059105;-0.021552;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.137936;0.000000;46.500000;89.500000;234.500000;89.500000;0.000000;0.802544;0.000000;1;-0.004807;-0.216136;0.113225;0.038269;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.137772;0.000000;48.500000;90.500000;234.500000;91.500000;-0.005376;-0.806867;-0.308039;1;-0.004644;0.006692;-0.070794;0.084311;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.137772;0.000000;48.500000;89.500000;234.500000;89.500000;0.000000;0.806862;0.000000;1;-0.004644;0.006692;0.104737;0.096968;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.137608;0.000000;48.500000;90.500000;235.500000;91.500000;-0.005348;-0.802521;-0.306392;1;-0.004480;0.197166;-0.076714;0.081576;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.137608;0.000000;48.500000;90.500000;234.500000;89.500000;0.005376;1.609386;0.308039;1;-0.004480;0.197166;0.260506;0.067078;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.137445;0.000000;48.500000;89.500000;234.500000;91.500000;-0.010752;-2.420449;-0.616060;1;-0.004316;0.297979;-0.275685;0.063135;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.137445;0.000000;47.500000;91.500000;235.500000;90.500000;0.005319;2.411816;0.304762;1;-0.004316;0.297979;0.261815;0.039544;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.137281;0.000000;47.500000;89.500000;234.500000;91.500000;-0.010695;-2.403266;-0.612766;1;-0.004153;0.206774;-0.271201;-0.001268;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.137281;0.000000;48.500000;90.500000;235.500000;90.500000;0.000000;1.604951;0.000000;1;-0.004153;0.206774;0.104029;-0.045746;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.137117;0.000000;48.500000;90.500000;235.500000;91.500000;-0.005348;-0.802540;-0.306392;1;-0.003989;-0.265039;-0.077285;-0.082238;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.137117;0.000000;46.500000;90.500000;234.500000;91.500000;-0.005319;0.004269;-0.304762;1;-0.003989;-0.265039;-0.060974;-0.090828;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.136954;0.000000;47.500000;90.500000;234.500000;91.500000;-0.005348;-0.004269;-0.306392;1;-0.003825;-0.606490;-0.049633;-0.089675;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.136954;0.000000;48.500000;90.500000;234.500000;91.500000;-0.005376;-0.004315;-0.308039;1;-0.003825;-0.606490;-0.040569;-0.087861;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.136790;0.000000;48.500000;90.500000;234.500000;89.500000;0.005376;1.613733;0.308039;1;-0.003662;-0.598808;0.290291;-0.044999;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.136790;0.000000;47.500000;90.500000;234.500000;89.500000;0.005348;-0.004315;0.306392;1;-0.003662;-0.598808;0.231370;0.087030;0;Mon Jun 26 15:01:00 2023
0.003068;0.000000;-0.012272;0.000000;0.136627;0.000000;48.500000;90.500000;234.500000;89.500000;0.005376;0.004315;0.308039;1;-0.003498;0.362428;0.185959;0.269360;0;Mon Jun 26 15:01:00 2023
