Starting new run:  K= -1.414200, -2.310000, 45.237500, -2.128500, 3.890900 - Mon Jun 26 13:30:33 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;systemTime
0.003068;0.000000;0.003068;-0.460194;0.187064;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;-0.803659;-0.306392;1;0.846678;0.707891;-0.803659;-0.014546;0;Mon Jun 26 13:30:41 2023
0.003068;0.000000;0.003068;0.000000;0.187084;0.000000;47.500000;93.500000;233.500000;94.500000;-0.005376;-0.004323;-0.308039;1;-0.132875;-0.513571;-0.403991;-0.069318;0;Mon Jun 26 13:30:41 2023
0.003068;0.000000;0.003068;0.000000;0.187105;0.000000;48.500000;94.500000;233.500000;96.500000;-0.010810;-0.817163;-0.619390;1;-0.132904;-0.514901;-0.541715;-0.163457;0;Mon Jun 26 13:30:41 2023
0.000000;-0.460194;0.003068;0.000000;0.187125;0.000000;47.500000;93.500000;234.500000;95.500000;-0.010695;0.017386;-0.612766;1;-2.062289;-2.551324;-0.401940;-0.268572;0;Mon Jun 26 13:30:41 2023
0.003068;0.460194;0.006136;0.460194;0.187166;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.804099;-0.306392;1;0.670969;0.048377;-0.160732;-0.327562;0;Mon Jun 26 13:30:41 2023
0.003068;0.000000;0.006136;0.000000;0.187207;0.000000;46.500000;95.500000;234.500000;95.500000;0.000000;0.804165;0.000000;1;-0.140135;-0.520832;0.032247;-0.259902;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.460194;0.187309;0.000000;48.500000;94.500000;233.500000;94.500000;0.000000;0.000000;0.000000;1;-0.988103;-1.265677;0.025798;-0.057001;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.460194;0.187309;0.000000;48.500000;94.500000;234.500000;94.500000;0.000000;0.000000;0.000000;1;-0.988103;-1.265677;0.020638;0.174242;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.187371;0.000000;47.500000;94.500000;234.500000;94.500000;0.000000;0.000000;0.000000;1;-0.008753;-0.286327;0.016511;0.316369;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.187493;0.000000;48.500000;95.500000;234.500000;94.500000;0.005376;0.808480;0.308039;1;-0.008840;-0.286414;0.174905;0.349480;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.187555;0.000000;47.500000;94.500000;233.500000;94.500000;0.000000;-0.808460;0.000000;1;-0.008927;-0.286501;-0.021768;0.318576;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.187616;0.000000;47.500000;95.500000;234.500000;94.500000;0.005348;0.804180;0.306392;1;-0.009014;-0.044678;0.143421;0.249833;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.187677;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;-1.612660;-0.308039;1;-0.009101;-0.044765;-0.207795;0.145265;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.187739;0.000000;47.500000;94.500000;232.500000;95.500000;-0.005405;-0.004370;-0.309704;1;-0.009187;-0.529971;-0.167110;-0.009878;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.187800;0.000000;47.500000;94.500000;234.500000;94.500000;0.000000;0.812741;0.000000;1;-0.009274;-0.531373;0.028860;-0.178279;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.187862;0.000000;49.500000;95.500000;234.500000;95.500000;0.000000;0.000000;0.000000;1;-0.009361;-0.286935;0.023088;-0.246983;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.187923;0.000000;47.500000;94.500000;235.500000;95.500000;-0.005319;-0.799845;-0.304762;1;-0.009448;-0.287022;-0.141499;-0.196975;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.187984;0.000000;47.500000;95.500000;233.500000;95.500000;0.000000;0.799879;0.000000;1;-0.009534;-0.527731;0.046777;-0.118343;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188046;0.000000;46.500000;96.500000;234.500000;95.500000;0.005319;0.799893;0.304762;1;-0.009621;-0.287195;0.197400;-0.029487;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188107;0.000000;47.500000;94.500000;234.500000;95.500000;-0.005348;-1.604010;-0.306392;1;-0.009708;-0.046659;-0.162882;0.076669;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188168;0.000000;48.500000;95.500000;232.500000;95.500000;0.000000;0.804151;0.000000;1;-0.009795;-0.529278;0.030525;0.122276;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188230;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;-0.808455;-0.308039;1;-0.009882;-0.287455;-0.137271;0.072727;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188291;0.000000;47.500000;95.500000;234.500000;94.500000;0.005348;1.612561;0.306392;1;-0.009968;-0.530752;0.212695;0.004601;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188352;0.000000;47.500000;94.500000;234.500000;94.500000;0.000000;-0.804163;0.000000;1;-0.010055;-0.045719;0.009323;-0.000263;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188414;0.000000;47.500000;94.500000;233.500000;94.500000;0.000000;0.000000;0.000000;1;-0.010142;-0.287716;0.007459;0.043583;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188475;0.000000;47.500000;95.500000;234.500000;94.500000;0.005348;0.804161;0.306392;1;-0.010229;-0.287802;0.166799;0.078373;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188536;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;-1.612572;-0.308039;1;-0.010315;-0.045980;-0.189075;0.086233;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188598;0.000000;47.500000;94.500000;234.500000;94.500000;0.000000;0.808467;0.000000;1;-0.010402;-0.531186;0.010433;0.041918;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188659;0.000000;47.500000;94.500000;233.500000;94.500000;0.000000;0.000000;0.000000;1;-0.010489;-0.288063;0.008347;-0.035540;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188721;0.000000;47.500000;94.500000;234.500000;95.500000;-0.005348;-0.804120;-0.306392;1;-0.010576;-0.288150;-0.154147;-0.087997;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188782;0.000000;47.500000;95.500000;234.500000;95.500000;0.000000;0.804139;0.000000;1;-0.010663;-0.530146;0.037510;-0.115652;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188843;0.000000;48.500000;94.500000;234.500000;96.500000;-0.010752;-1.616919;-0.616060;1;-0.010749;-0.288323;-0.293375;-0.138605;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188905;0.000000;48.500000;95.500000;234.500000;95.500000;0.000000;1.616824;0.000000;1;-0.010836;-0.774816;0.088664;-0.161036;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.188966;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;-0.808471;-0.308039;1;-0.010923;-0.288497;-0.090763;-0.151714;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.189027;0.000000;48.500000;94.500000;234.500000;94.500000;0.000000;0.808462;0.000000;1;-0.011010;-0.531793;0.089082;-0.085813;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.189089;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;-0.808409;-0.308039;1;-0.011096;-0.288670;-0.090416;-0.001720;0;Mon Jun 26 13:30:41 2023
0.009204;0.460194;0.009204;0.000000;0.189150;0.000000;48.500000;94.500000;233.500000;95.500000;-0.005405;-0.004370;-0.309704;1;1.918174;1.258603;-0.073207;0.041579;0;Mon Jun 26 13:30:41 2023
0.006136;-0.460194;0.009204;0.000000;0.189211;0.000000;47.500000;94.500000;232.500000;95.500000;-0.005405;0.000000;-0.309704;1;-1.801840;-2.323938;-0.058565;0.021849;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.009204;0.000000;0.189273;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;0.004370;-0.308039;1;-0.011357;-0.533455;-0.045978;-0.025999;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.006136;-0.460194;0.189314;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;0.000000;-0.308039;1;0.975196;0.454412;-0.036783;-0.059882;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.006136;0.000000;0.189355;0.000000;47.500000;93.500000;234.500000;95.500000;-0.010695;-0.799752;-0.612766;1;-0.004385;-0.525169;-0.189377;-0.082800;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.006136;0.000000;0.189395;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;0.799743;-0.308039;1;-0.004443;-0.765822;0.008447;-0.110996;0;Mon Jun 26 13:30:41 2023
0.003068;-0.460194;0.006136;0.000000;0.189436;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;0.000000;-0.308039;1;-1.933858;-2.315855;0.006758;-0.114063;0;Mon Jun 26 13:30:41 2023
0.003068;0.000000;0.006136;0.000000;0.189477;0.000000;47.500000;93.500000;234.500000;95.500000;-0.010695;-0.799774;-0.612766;1;-0.143346;-0.525343;-0.154549;-0.078005;0;Mon Jun 26 13:30:41 2023
0.006136;0.460194;0.006136;0.000000;0.189518;0.000000;47.500000;94.500000;234.500000;94.500000;0.000000;1.608235;0.000000;1;1.785953;1.024574;0.198008;-0.033076;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.006136;0.000000;0.189559;0.000000;48.500000;94.500000;233.500000;94.500000;0.000000;0.000000;0.000000;1;-0.004675;-0.282248;0.158406;0.046238;0;Mon Jun 26 13:30:41 2023
0.006136;0.000000;0.006136;0.000000;0.189600;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;-0.808453;-0.308039;1;-0.004733;-0.282306;-0.034965;0.157028;0;Mon Jun 26 13:30:41 2023
