Starting new run:  K= -1.000000, -1.651000, 35.057500, -1.604900, 2.943400 - Mon Jun 26 13:54:58 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;systemTime
-0.003068;-0.230097;-0.024544;0.000000;0.130327;0.000000;48.500000;93.500000;234.500000;96.500000;-0.016128;-2.417822;-0.924045;1;-0.874628;-0.767073;-2.417822;-0.262092;0;Mon Jun 26 13:55:07 2023
0.000000;0.230097;-0.021476;0.230097;0.130041;0.000000;47.500000;93.500000;233.500000;96.500000;-0.016128;0.000000;-0.924045;1;0.213401;-0.351994;-1.208911;-0.754359;0;Mon Jun 26 13:55:07 2023
0.000000;0.230097;-0.021476;0.230097;0.130041;0.000000;47.500000;93.500000;233.500000;96.500000;-0.016128;0.000000;-0.924045;1;0.213401;-0.351994;-0.805941;-0.842354;0;Mon Jun 26 13:55:07 2023
0.000000;0.230097;-0.021476;0.230097;0.130041;0.000000;48.500000;93.500000;234.500000;96.500000;-0.016128;0.000000;-0.924045;1;0.213401;-0.351994;-0.604456;-0.504316;0;Mon Jun 26 13:55:07 2023
0.003068;0.230097;-0.018408;0.230097;0.129795;0.000000;47.500000;94.500000;235.500000;96.500000;-0.010638;0.823892;-0.609507;1;0.316136;-0.356814;-0.318786;-0.091070;0;Mon Jun 26 13:55:07 2023
0.003068;0.230097;-0.018408;0.230097;0.129795;0.000000;47.500000;94.500000;234.500000;96.500000;-0.010695;-0.008537;-0.612766;1;0.316136;-0.356814;-0.256736;0.254773;0;Mon Jun 26 13:55:07 2023
0.006136;0.230097;-0.015340;0.230097;0.129591;0.000000;47.500000;94.500000;234.500000;96.500000;-0.010695;0.000000;-0.612766;1;0.418830;-0.171212;-0.205389;0.339303;0;Mon Jun 26 13:55:07 2023
0.006136;0.230097;-0.015340;0.230097;0.129591;0.000000;48.500000;94.500000;234.500000;96.500000;-0.010752;-0.008629;-0.616060;1;0.418830;-0.171212;-0.166037;0.216550;0;Mon Jun 26 13:55:07 2023
0.006136;0.000000;-0.015340;0.000000;0.129386;0.000000;47.500000;97.500000;234.500000;96.500000;0.005348;2.416476;0.306392;1;0.111050;-0.481008;0.350466;0.344496;0;Mon Jun 26 13:55:07 2023
0.006136;0.000000;-0.015340;0.000000;0.129386;0.000000;48.500000;95.500000;234.500000;96.500000;-0.005376;-1.609561;-0.308039;1;0.111050;-0.481008;-0.041540;0.583580;0;Mon Jun 26 13:55:07 2023
0.003068;-0.230097;-0.015340;0.000000;0.129182;0.000000;48.500000;94.500000;234.500000;96.500000;-0.010752;-0.806886;-0.616060;1;-0.673568;-0.969603;-0.194609;0.230168;0;Mon Jun 26 13:55:07 2023
0.003068;-0.230097;-0.015340;0.000000;0.129182;0.000000;47.500000;97.500000;235.500000;96.500000;0.005319;2.412184;0.304762;1;-0.673568;-0.969603;0.326750;-0.067635;0;Mon Jun 26 13:55:07 2023
