Starting new run:  K= -1.000000, -1.651000, 35.057500, -1.604900, 2.943400 - Mon Jun 26 14:03:31 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;systemTime
0.006136;0.000000;-0.015340;0.000000;0.231324;0.000000;49.500000;96.500000;235.500000;96.500000;0.000000;0.000000;0.000000;1;0.009112;-0.205998;0.000000;0.000000;0;Mon Jun 26 14:03:40 2023
0.006136;0.000000;-0.015340;0.000000;0.231120;0.000000;49.500000;96.500000;234.500000;97.500000;-0.005405;-0.811621;-0.309704;1;0.009316;-0.205794;-0.405811;-0.051863;0;Mon Jun 26 14:03:40 2023
0.006136;0.000000;-0.015340;0.000000;0.231120;0.000000;47.500000;97.500000;234.500000;97.500000;0.000000;0.811985;0.000000;1;0.009316;-0.205794;0.000121;-0.153710;0;Mon Jun 26 14:03:40 2023
0.006136;0.000000;-0.015340;0.000000;0.231120;0.000000;47.500000;94.500000;234.500000;97.500000;-0.016041;-2.410548;-0.919105;1;0.009316;-0.205794;-0.602546;-0.272202;0;Mon Jun 26 14:03:40 2023
0.006136;0.000000;-0.015340;0.000000;0.230915;0.000000;47.500000;97.500000;234.500000;97.500000;0.000000;2.410438;0.000000;1;0.009521;-0.767961;0.000051;-0.382959;0;Mon Jun 26 14:03:40 2023
0.006136;0.000000;-0.015340;0.000000;0.230915;0.000000;47.500000;94.500000;234.500000;97.500000;-0.016041;-2.410497;-0.919105;1;0.009521;-0.767961;-0.482059;-0.329737;0;Mon Jun 26 14:03:40 2023
0.003068;-0.230097;-0.015340;0.000000;0.230711;0.000000;47.500000;94.500000;234.500000;97.500000;-0.016041;0.000000;-0.919105;1;-0.775097;-1.445024;-0.385647;-0.278246;0;Mon Jun 26 14:03:40 2023
0.003068;-0.230097;-0.015340;0.000000;0.230711;0.000000;47.500000;97.500000;234.500000;97.500000;0.000000;2.410522;0.000000;1;-0.775097;-1.445024;0.173587;-0.271011;0;Mon Jun 26 14:03:40 2023
0.006136;0.230097;-0.012272;0.230097;0.230547;0.000000;47.500000;97.500000;234.500000;97.500000;0.000000;0.000000;0.000000;1;0.312809;0.097699;0.138869;0.173237;0;Mon Jun 26 14:03:40 2023
0.006136;0.230097;-0.012272;0.230097;0.230547;0.000000;47.500000;97.500000;234.500000;97.500000;0.000000;0.000000;0.000000;1;0.312809;0.097699;0.111095;0.757565;0;Mon Jun 26 14:03:40 2023
0.009204;0.230097;-0.009204;0.230097;0.230424;0.000000;47.500000;97.500000;234.500000;97.500000;0.000000;0.000000;0.000000;1;0.415421;0.092756;0.088876;0.756034;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.230302;0.000000;47.500000;97.500000;234.500000;97.500000;0.000000;0.000000;0.000000;1;0.107559;-0.215106;0.071101;0.307183;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.230302;0.000000;47.500000;98.500000;234.500000;96.500000;0.010695;1.607051;0.612766;1;0.107559;-0.215106;0.378291;0.039205;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.230179;0.000000;47.500000;98.500000;234.500000;97.500000;0.005348;-0.803479;0.306392;1;0.107682;0.159949;0.141937;0.195607;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.230179;0.000000;47.500000;98.500000;234.500000;97.500000;0.005348;0.000000;0.306392;1;0.107682;0.159949;0.113550;0.352603;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.230056;0.000000;48.500000;95.500000;234.500000;97.500000;-0.010752;-2.419063;-0.616060;1;0.107805;-0.027389;-0.392973;0.024904;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.230056;0.000000;48.500000;97.500000;234.500000;97.500000;0.000000;1.615579;0.000000;1;0.107805;-0.027389;0.008737;-0.572239;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.229933;0.000000;47.500000;98.500000;234.500000;97.500000;0.005348;0.803532;0.306392;1;0.107927;-0.214738;0.167696;-0.632403;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.229933;0.000000;46.500000;96.500000;234.500000;97.500000;-0.005319;-1.602666;-0.304762;1;0.107927;-0.214738;-0.186376;-0.068236;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.229811;0.000000;49.500000;97.500000;234.500000;97.500000;0.000000;0.799241;0.000000;1;0.108050;-0.401089;0.010747;0.243072;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.229811;0.000000;48.500000;96.500000;234.500000;97.500000;-0.005376;-0.807836;-0.308039;1;0.108050;-0.401089;-0.152969;0.053267;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.229688;0.000000;48.500000;95.500000;234.500000;97.500000;-0.010752;-0.807820;-0.616060;1;0.108173;-0.402972;-0.283939;-0.253078;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.229688;0.000000;49.500000;97.500000;234.500000;97.500000;0.000000;1.615636;0.000000;1;0.108173;-0.402972;0.095976;-0.404940;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.229565;0.000000;47.500000;98.500000;233.500000;96.500000;0.010752;1.615689;0.616060;1;0.108295;0.162578;0.399918;-0.031602;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.229565;0.000000;47.500000;98.500000;234.500000;97.500000;0.005348;-0.812157;0.306392;1;0.108295;0.162578;0.157503;0.694176;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.229443;0.000000;49.500000;97.500000;234.500000;96.500000;0.005405;0.008687;0.309704;1;0.108418;-0.024749;0.127740;0.903674;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.229443;0.000000;48.500000;96.500000;234.500000;97.500000;-0.005376;-1.620149;-0.308039;1;0.108418;-0.024749;-0.221838;0.310762;0;Mon Jun 26 14:03:40 2023
0.009204;0.000000;-0.009204;0.000000;0.229320;0.000000;47.500000;97.500000;234.500000;97.500000;0.000000;0.807882;0.000000;1;0.108541;-0.214124;-0.015894;-0.461793;0;Mon Jun 26 14:03:40 2023
