Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jun 26 14:43:26 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;systemTime
0.006136;0.000000;0.012272;0.000000;0.120305;0.000000;47.500000;98.500000;234.500000;97.500000;0.005348;0.802793;0.306392;1;0.084772;-0.140698;0.802793;0.014531;0;Mon Jun 26 14:43:39 2023
0.006136;0.000000;0.012272;0.000000;0.120305;0.000000;48.500000;95.500000;234.500000;97.500000;-0.010752;-2.417577;-0.616060;1;0.084772;-0.140698;-0.807392;0.025407;0;Mon Jun 26 14:43:39 2023
0.006136;0.000000;0.012272;0.000000;0.120305;0.000000;49.500000;97.500000;234.500000;97.500000;0.000000;1.614944;0.000000;1;0.084772;-0.140698;0.000053;-0.030924;0;Mon Jun 26 14:43:39 2023
0.006136;0.000000;0.009204;-0.230097;0.120428;0.000000;47.500000;95.500000;234.500000;97.500000;-0.010695;-1.606302;-0.612766;1;0.463126;0.237656;-0.401535;-0.138565;0;Mon Jun 26 14:43:39 2023
0.006136;0.000000;0.009204;-0.230097;0.120428;0.000000;47.500000;98.500000;234.500000;97.500000;0.005348;2.409433;0.306392;1;0.463126;0.237656;0.160658;-0.199908;0;Mon Jun 26 14:43:39 2023
0.003068;-0.230097;0.009204;0.000000;0.120550;0.000000;48.500000;96.500000;234.500000;97.500000;-0.005376;-1.610670;-0.308039;1;-0.769108;-0.685343;-0.193607;-0.152841;0;Mon Jun 26 14:43:39 2023
0.003068;-0.230097;0.009204;0.000000;0.120550;0.000000;47.500000;95.500000;234.500000;97.500000;-0.010695;-0.798778;-0.612766;1;-0.769108;-0.685343;-0.314642;-0.071224;0;Mon Jun 26 14:43:39 2023
0.003068;0.000000;0.009204;0.000000;0.120673;0.000000;47.500000;97.500000;234.500000;96.500000;0.005348;2.409460;0.306392;1;-0.023233;-0.528957;0.230179;-0.043764;0;Mon Jun 26 14:43:39 2023
0.003068;0.000000;0.009204;0.000000;0.120673;0.000000;47.500000;95.500000;234.500000;97.500000;-0.010695;-2.409428;-0.612766;1;-0.023233;-0.528957;-0.297742;-0.020582;0;Mon Jun 26 14:43:39 2023
0.006136;0.230097;0.009204;0.000000;0.120796;0.000000;48.500000;95.500000;234.500000;97.500000;-0.010752;-0.008635;-0.616060;1;0.835377;0.216918;-0.239921;-0.018876;0;Mon Jun 26 14:43:39 2023
