Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Fri Jun 30 11:58:04 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;camControl;systemTime
0.006136;0.000000;-0.021476;0.000000;0.204326;0.000000;62.500000;83.500000;251.500000;82.500000;0.005291;0.792204;0.303149;1;0.056832;-0.168638;0.001963;0.142597;0;Fri Jun 30 11:58:14 2023
0.006136;0.000000;-0.021476;0.000000;0.204326;0.000000;63.500000;83.500000;251.500000;82.500000;0.005319;0.004215;0.304762;1;0.056832;-0.168638;0.004431;0.228619;0;Fri Jun 30 11:58:14 2023
0.006136;0.000000;-0.021476;0.000000;0.204326;0.000000;62.500000;83.500000;251.500000;82.500000;0.005291;-0.004216;0.303149;1;0.056832;-0.168638;0.005146;0.286356;0;Fri Jun 30 11:58:14 2023
0.006136;0.000000;-0.021476;0.000000;0.204040;0.000000;62.500000;83.500000;252.500000;82.500000;0.005263;-0.004174;0.301554;1;0.057118;0.030079;0.005400;0.157025;0;Fri Jun 30 11:58:14 2023
0.006136;0.000000;-0.021476;0.000000;0.204040;0.000000;62.500000;83.500000;251.500000;82.500000;0.005291;0.004174;0.303149;1;0.057118;0.030079;0.005363;0.012373;0;Fri Jun 30 11:58:14 2023
0.003068;-0.230097;-0.021476;0.000000;0.203754;0.000000;62.500000;83.500000;250.500000;82.500000;0.005319;0.004218;0.304762;1;-0.801328;-0.717005;0.005205;-0.059844;0;Fri Jun 30 11:58:14 2023
0.003068;-0.230097;-0.021476;0.000000;0.203754;0.000000;62.500000;83.500000;251.500000;82.500000;0.005291;-0.004218;0.303149;1;-0.801328;-0.717005;0.005158;-0.059871;0;Fri Jun 30 11:58:14 2023
0.006136;0.230097;-0.021476;0.000000;0.203467;0.000000;62.500000;83.500000;251.500000;82.500000;0.005291;0.000000;0.303149;1;0.803689;0.767766;0.005295;-0.027199;0;Fri Jun 30 11:58:14 2023
0.006136;0.230097;-0.021476;0.000000;0.203467;0.000000;62.500000;83.500000;251.500000;82.500000;0.005291;0.000000;0.303149;1;0.803689;0.767766;0.005431;0.001696;0;Fri Jun 30 11:58:15 2023
0.009204;0.230097;-0.018408;0.230097;0.203222;0.000000;62.500000;83.500000;252.500000;82.500000;0.005263;-0.004174;0.301554;1;0.538193;0.399562;0.005363;0.013216;0;Fri Jun 30 11:58:15 2023
0.009204;0.230097;-0.018408;0.230097;0.203222;0.000000;62.500000;83.500000;251.500000;82.500000;0.005291;0.004174;0.303149;1;0.538193;0.399562;0.005193;0.011551;0;Fri Jun 30 11:58:15 2023
0.006136;-0.230097;-0.018408;0.000000;0.202976;0.000000;62.500000;82.500000;251.500000;82.500000;0.000000;-0.793022;0.000000;1;-0.692914;-0.727568;0.003192;-0.138450;0;Fri Jun 30 11:58:15 2023
