Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Fri Jun 30 13:06:12 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;camControl;systemTime
0.006136;0.000000;0.006136;0.000000;0.170303;0.000000;61.500000;90.500000;250.500000;88.500000;0.010582;1.059194;0.606282;1;0.044971;-0.180499;0.002512;0.396033;0.000000;0.000000;0;Fri Jun 30 13:06:29 2023
0.006136;0.000000;0.006136;0.000000;0.170364;0.000000;61.500000;90.500000;251.500000;88.500000;0.010526;-0.005577;0.603091;1;0.044909;-0.180561;0.006330;0.213701;0.006330;0.633911;0;Fri Jun 30 13:06:29 2023
0.003068;-0.306796;0.003068;-0.306796;0.170395;0.000000;62.500000;91.500000;250.500000;88.500000;0.015956;0.543811;0.914217;1;-0.559584;-0.439707;0.009611;0.340584;0.009611;0.328602;0;Fri Jun 30 13:06:29 2023
0.003068;0.000000;0.003068;0.000000;0.170425;0.000000;62.500000;91.500000;250.500000;88.500000;0.015956;0.000000;0.914217;0;-0.062789;0.177659;0.009611;-0.026805;0.009611;0.000000;0;Fri Jun 30 13:06:29 2023
0.006136;0.306796;0.006136;0.306796;0.170487;0.000000;61.500000;90.500000;251.500000;88.500000;0.010526;-0.543809;0.603091;1;0.541612;0.669325;0.011335;-0.263250;0.011335;0.172581;0;Fri Jun 30 13:06:29 2023
0.006136;0.000000;0.006136;0.000000;0.170548;0.000000;62.500000;91.500000;251.500000;88.500000;0.015872;0.535353;0.909380;1;0.044725;0.235762;0.012220;0.098012;0.012220;0.088632;0;Fri Jun 30 13:06:29 2023
0.006136;0.000000;0.006136;0.000000;0.170609;0.000000;62.500000;89.500000;251.500000;87.500000;0.010582;-0.529782;0.606282;1;0.044664;0.268222;0.012698;-0.112594;0.012698;0.047874;0;Fri Jun 30 13:06:29 2023
0.003068;-0.306796;0.006136;0.000000;0.170671;0.000000;61.500000;90.500000;251.500000;88.500000;0.010526;-0.005577;0.603091;1;-1.062796;-0.708937;0.011680;0.033051;0.011680;-0.101949;0;Fri Jun 30 13:06:29 2023
0.006136;0.306796;0.006136;0.000000;0.170732;0.000000;63.500000;89.500000;250.500000;88.500000;0.005348;-0.518594;0.306392;1;1.039205;1.242922;0.009903;-0.301701;0.009903;-0.177982;0;Fri Jun 30 13:06:29 2023
0.006136;0.000000;0.009204;0.306796;0.170824;0.000000;62.500000;89.500000;251.500000;88.500000;0.005291;-0.005667;0.303149;1;-0.458487;-0.320077;0.007726;-0.156187;0.007726;-0.217935;0;Fri Jun 30 13:06:29 2023
0.006136;0.000000;0.009204;0.000000;0.170916;0.000000;61.500000;90.500000;251.500000;88.500000;0.010526;0.524249;0.603091;1;0.039259;0.097704;0.007813;0.199777;0.007813;0.008654;0;Fri Jun 30 13:06:29 2023
0.006136;0.000000;0.009204;0.000000;0.171008;0.000000;61.500000;90.500000;251.500000;88.500000;0.010526;0.000000;0.603091;1;0.039167;0.100787;0.009101;0.224459;0.009101;0.129003;0;Fri Jun 30 13:06:29 2023
0.009204;0.306796;0.009204;0.000000;0.171100;0.000000;61.500000;91.500000;251.500000;88.500000;0.015788;0.526978;0.904595;1;1.146474;1.142694;0.011027;0.285316;0.011027;0.192856;0;Fri Jun 30 13:06:29 2023
0.009204;0.000000;0.009204;0.000000;0.171192;0.000000;62.500000;89.500000;251.500000;88.500000;0.005291;-1.051220;0.303149;1;0.151718;0.218703;0.010795;-0.439570;0.010795;-0.023168;0;Fri Jun 30 13:06:29 2023
0.006136;-0.306796;0.006136;-0.306796;0.171254;0.000000;61.500000;90.500000;250.500000;88.500000;0.010582;0.529815;0.606282;1;-0.452806;-0.281587;0.009438;-0.044111;0.009438;-0.135946;0;Fri Jun 30 13:06:29 2023
0.003068;-0.306796;0.006136;0.000000;0.171315;0.000000;62.500000;89.500000;250.500000;88.500000;0.005319;-0.527002;0.304762;1;-1.063440;-0.829370;0.008732;-0.195836;0.008732;-0.070731;0;Fri Jun 30 13:06:29 2023
0.003068;0.000000;0.006136;0.000000;0.171376;0.000000;63.500000;89.500000;251.500000;88.500000;0.005319;0.000000;0.304762;1;-0.068838;0.139279;0.007111;0.125228;0.007111;-0.162255;0;Fri Jun 30 13:06:29 2023
0.006136;0.306796;0.006136;0.000000;0.171438;0.000000;63.500000;91.500000;250.500000;89.500000;0.010695;0.538340;0.612766;1;1.038499;1.074343;0.007537;0.175992;0.007537;0.042583;0;Fri Jun 30 13:06:29 2023
0.006136;0.000000;0.009204;0.306796;0.171530;0.000000;62.500000;91.500000;251.500000;88.500000;0.015872;0.518427;0.909380;1;-0.459193;-0.407724;0.010265;0.203151;0.010265;0.273239;0;Fri Jun 30 13:06:29 2023
0.006136;0.000000;0.006136;-0.306796;0.171591;0.000000;62.500000;89.500000;250.500000;88.500000;0.005319;-1.056759;0.304762;1;0.541520;0.693250;0.010422;-0.219038;0.010422;0.015705;0;Fri Jun 30 13:06:29 2023
