Starting new run:  K= -1.000000, -1.651000, 35.057500, -1.604900, 2.943400 - Fri Jun 30 14:21:13 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;camControl;systemTime
0.006136;0.000000;0.015340;0.000000;0.186747;0.000000;62.500000;93.500000;250.500000;92.500000;0.005319;0.531960;0.304762;1;0.003037;-0.212073;0.001263;0.198900;0.000000;0.000000;0;Fri Jun 30 14:21:26 2023
0.003068;-0.306796;0.015340;0.000000;0.186900;0.000000;62.500000;93.500000;250.500000;92.500000;0.005319;0.000000;0.304762;1;-1.007695;-1.115250;0.003189;0.108374;0.000000;0.000000;0;Fri Jun 30 14:21:26 2023
0.006136;0.306796;0.015340;0.000000;0.187054;0.000000;62.500000;93.500000;251.500000;93.500000;0.000000;-0.532243;0.000000;1;0.905754;0.690644;0.002937;-0.129502;0.000000;0.000000;0;Fri Jun 30 14:21:26 2023
0.006136;0.000000;0.015340;0.000000;0.187207;0.000000;63.500000;93.500000;251.500000;92.500000;0.005319;0.532246;0.304762;1;0.002577;-0.212533;0.002806;0.021837;0.000000;0.000000;0;Fri Jun 30 14:21:26 2023
0.006136;0.000000;0.018408;0.306796;0.187391;0.000000;61.500000;93.500000;251.500000;92.500000;0.005263;-0.005603;0.301554;1;-0.495049;-0.710159;0.003986;-0.029343;0.000000;0.000000;0;Fri Jun 30 14:21:26 2023
0.009204;0.306796;0.018408;0.000000;0.187575;0.000000;63.500000;93.500000;250.500000;92.500000;0.005348;0.008449;0.306392;1;1.007723;0.685057;0.004612;0.179611;0.004612;0.461546;0;Fri Jun 30 14:21:26 2023
0.009204;0.000000;0.018408;0.000000;0.187759;0.000000;63.500000;93.500000;251.500000;91.500000;0.010638;0.529393;0.609507;1;0.104515;-0.056457;0.006217;0.254338;0.006217;0.000000;0;Fri Jun 30 14:21:26 2023
0.006136;-0.306796;0.015340;-0.306796;0.187913;0.000000;63.500000;93.500000;251.500000;92.500000;0.005319;-0.532243;0.304762;1;-0.408775;-0.405923;0.007054;-0.213230;0.007054;0.000000;0;Fri Jun 30 14:21:26 2023
0.006136;0.000000;0.015340;0.000000;0.188066;0.000000;62.500000;93.500000;251.500000;93.500000;0.000000;-0.532260;0.000000;1;0.001718;0.033886;0.004967;-0.305311;0.004967;0.000000;0;Fri Jun 30 14:21:26 2023
0.006136;0.000000;0.015340;0.000000;0.188219;0.000000;62.500000;93.500000;250.500000;93.500000;0.000000;0.000000;0.000000;1;0.001565;-0.039406;0.002609;-0.166894;0.000000;-0.497040;0;Fri Jun 30 14:21:26 2023
0.003068;-0.306796;0.015340;0.000000;0.188373;0.000000;62.500000;92.500000;250.500000;92.500000;0.000000;0.000000;0.000000;1;-1.009168;-1.116723;0.001370;0.000512;0.000000;0.000000;0;Fri Jun 30 14:21:26 2023
0.006136;0.306796;0.015340;0.000000;0.188526;0.000000;64.500000;94.500000;252.500000;92.500000;0.010638;1.064513;0.609507;1;0.904282;0.689172;0.003245;0.525000;0.000000;0.000000;0;Fri Jun 30 14:21:27 2023
0.006136;0.000000;0.015340;0.000000;0.188680;0.000000;63.500000;93.500000;250.500000;93.500000;0.000000;-1.064514;0.000000;1;0.001104;-0.214006;0.004230;-0.157634;0.004230;0.423261;0;Fri Jun 30 14:21:27 2023
0.006136;0.000000;0.015340;0.000000;0.188833;0.000000;61.500000;93.500000;251.500000;93.500000;0.000000;0.000000;0.000000;1;0.000951;-0.065875;0.002221;-0.169984;0.000000;-0.423271;0;Fri Jun 30 14:21:27 2023
0.006136;0.000000;0.015340;0.000000;0.188986;0.000000;62.500000;93.500000;250.500000;92.500000;0.005319;0.532255;0.304762;1;0.000798;-0.214312;0.002429;-0.112748;0.000000;0.000000;0;Fri Jun 30 14:21:27 2023
0.006136;0.000000;0.015340;0.000000;0.189140;0.000000;63.500000;93.500000;251.500000;92.500000;0.005319;0.000000;0.304762;1;0.000644;-0.214466;0.003801;0.177297;0.000000;0.000000;0;Fri Jun 30 14:21:27 2023
0.006136;0.000000;0.015340;0.000000;0.189293;0.000000;61.500000;94.500000;251.500000;92.500000;0.010526;0.521038;0.603091;1;0.000491;-0.214619;0.005758;0.513812;0.005758;0.576206;0;Fri Jun 30 14:21:27 2023
0.006136;0.000000;0.015340;0.000000;0.189447;0.000000;63.500000;93.500000;250.500000;93.500000;0.000000;-1.053319;0.000000;1;0.000337;-0.012907;0.005523;-0.360397;0.005523;0.000000;0;Fri Jun 30 14:21:27 2023
0.006136;0.000000;0.015340;0.000000;0.189600;0.000000;62.500000;93.500000;251.500000;91.500000;0.010582;1.058892;0.606282;1;0.000184;-0.021302;0.005413;-0.006573;0.005413;0.000000;0;Fri Jun 30 14:21:27 2023
0.006136;0.000000;0.015340;0.000000;0.189753;0.000000;62.500000;92.500000;250.500000;92.500000;0.000000;-1.058905;0.000000;1;0.000031;-0.025321;0.005355;-0.379939;0.005355;0.000000;0;Fri Jun 30 14:21:27 2023
