Starting new run:  K= -1.000000, -1.651000, 35.057500, -1.604900, 2.943400 - Fri Jun 30 14:53:48 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;camControl;systemTime
0.006136;0.214757;0.018408;0.214757;0.090023;0.000000;62.500000;91.500000;250.500000;89.500000;0.010638;0.746113;0.609507;1;0.382149;-0.465078;0.002525;0.278972;0.000000;0.000000;0;Fri Jun 30 14:54:01 2023
0.009204;0.214757;0.021476;0.214757;0.090330;0.000000;62.500000;91.500000;250.500000;89.500000;0.010638;0.000000;0.609507;1;0.484332;1.070553;0.006377;0.152003;0.006377;0.447589;0;Fri Jun 30 14:54:01 2023
0.009204;0.000000;0.021476;0.000000;0.090636;0.000000;62.500000;91.500000;250.500000;89.500000;0.010638;0.000000;0.609507;1;0.196572;0.168397;0.008400;0.097484;0.008400;0.000000;0;Fri Jun 30 14:54:01 2023
0.003068;-0.429515;0.018408;-0.214757;0.090899;0.000000;62.500000;91.500000;251.500000;88.500000;0.015872;0.367437;0.909380;1;-0.933305;0.598670;0.010705;0.040975;0.010705;0.000000;0;Fri Jun 30 14:54:01 2023
0.003068;-0.429515;0.018408;-0.214757;0.090899;0.000000;62.500000;90.500000;251.500000;89.500000;0.005291;-0.742792;0.303149;1;-0.933305;0.596608;0.010646;-0.295639;0.010646;0.000000;0;Fri Jun 30 14:54:01 2023
0.000000;-0.214757;0.015340;-0.214757;0.091118;0.000000;62.500000;90.500000;251.500000;89.500000;0.005291;0.000000;0.303149;1;-0.403897;0.512312;0.008104;-0.048228;0.008104;0.000000;0;Fri Jun 30 14:54:01 2023
0.003068;0.214757;0.018408;0.214757;0.091381;0.000000;61.500000;91.500000;251.500000;89.500000;0.010526;0.367827;0.603091;1;0.273235;-0.185593;0.008011;0.074364;0.008011;0.000000;0;Fri Jun 30 14:54:01 2023
0.006136;0.214757;0.021476;0.214757;0.091688;0.000000;62.500000;91.500000;251.500000;89.500000;0.010582;0.003913;0.606282;1;0.375418;-0.148639;0.009218;0.100847;0.009218;0.000000;0;Fri Jun 30 14:54:01 2023
0.012272;0.429515;0.027612;0.429515;0.092083;0.000000;62.500000;93.500000;251.500000;89.500000;0.021161;0.743305;1.212428;1;0.867456;-0.393087;0.012377;0.379078;0.012377;0.000000;0;Fri Jun 30 14:54:01 2023
0.015340;0.214757;0.030680;0.214757;0.092521;0.000000;62.500000;92.500000;250.500000;89.500000;0.015956;-0.365696;0.914217;1;0.682055;0.048964;0.015312;-0.040823;0.015312;0.000000;0;Fri Jun 30 14:54:01 2023
