Starting new run: Thu Jul 06 14:59:45 2023

alphaCam;alphaDotCam;systemTime
0.005405;0.341610;Thu Jul 06 14:59:47 2023
0.000000;-0.341987;Thu Jul 06 14:59:47 2023
0.005405;0.342498;Thu Jul 06 14:59:47 2023
0.005435;0.001865;Thu Jul 06 14:59:47 2023
0.005435;0.000000;Thu Jul 06 14:59:47 2023
0.005405;-0.001869;Thu Jul 06 14:59:47 2023
0.005405;0.000000;Thu Jul 06 14:59:47 2023
0.005405;0.000000;Thu Jul 06 14:59:48 2023
0.005405;0.000000;Thu Jul 06 14:59:48 2023
0.000000;-0.344682;Thu Jul 06 14:59:48 2023
0.005405;0.345399;Thu Jul 06 14:59:48 2023
0.005405;0.000000;Thu Jul 06 14:59:48 2023
0.005405;0.000000;Thu Jul 06 14:59:48 2023
0.005435;0.001884;Thu Jul 06 14:59:48 2023
0.000000;-0.348576;Thu Jul 06 14:59:48 2023
0.005405;0.346670;Thu Jul 06 14:59:48 2023
0.000000;-0.347456;Thu Jul 06 14:59:48 2023
0.000000;0.000000;Thu Jul 06 14:59:48 2023
0.000000;0.000000;Thu Jul 06 14:59:48 2023
0.000000;0.000000;Thu Jul 06 14:59:48 2023
0.005405;0.347120;Thu Jul 06 14:59:48 2023
0.005405;0.000000;Thu Jul 06 14:59:48 2023
0.005405;0.000000;Thu Jul 06 14:59:48 2023
0.005435;0.001897;Thu Jul 06 14:59:48 2023
0.010869;0.351165;Thu Jul 06 14:59:48 2023
0.005405;-0.353750;Thu Jul 06 14:59:48 2023
0.005405;0.000000;Thu Jul 06 14:59:48 2023
0.005405;0.000000;Thu Jul 06 14:59:48 2023
0.005435;0.001898;Thu Jul 06 14:59:48 2023
0.005405;-0.001898;Thu Jul 06 14:59:48 2023
0.005405;0.000000;Thu Jul 06 14:59:48 2023
0.005405;0.000000;Thu Jul 06 14:59:48 2023
0.005405;0.000000;Thu Jul 06 14:59:48 2023
0.005405;0.000000;Thu Jul 06 14:59:48 2023
0.005435;0.001916;Thu Jul 06 14:59:48 2023
0.005405;-0.001910;Thu Jul 06 14:59:48 2023
0.000000;-0.351427;Thu Jul 06 14:59:48 2023
0.000000;0.000000;Thu Jul 06 14:59:48 2023
0.005435;0.354355;Thu Jul 06 14:59:48 2023
0.005405;-0.001920;Thu Jul 06 14:59:48 2023
0.005405;0.000000;Thu Jul 06 14:59:48 2023
0.000000;-0.354499;Thu Jul 06 14:59:48 2023
0.005405;0.353244;Thu Jul 06 14:59:48 2023
0.005435;0.001925;Thu Jul 06 14:59:48 2023
0.005405;-0.001920;Thu Jul 06 14:59:48 2023
0.000000;-0.354241;Thu Jul 06 14:59:48 2023
0.000000;0.000000;Thu Jul 06 14:59:48 2023
0.000000;0.000000;Thu Jul 06 14:59:48 2023
0.005435;0.354979;Thu Jul 06 14:59:48 2023
