Starting new run: Thu Jul 06 15:08:57 2023

alphaCam;alphaDotCam;systemTime
0.005405;0.329749;Thu Jul 06 15:08:59 2023
0.000000;-0.330656;Thu Jul 06 15:08:59 2023
0.005405;0.331214;Thu Jul 06 15:08:59 2023
0.000000;-0.331871;Thu Jul 06 15:08:59 2023
0.005435;0.333909;Thu Jul 06 15:08:59 2023
0.000000;-0.334164;Thu Jul 06 15:08:59 2023
0.005405;0.333059;Thu Jul 06 15:08:59 2023
0.005405;0.000000;Thu Jul 06 15:08:59 2023
0.000000;-0.332748;Thu Jul 06 15:08:59 2023
0.000000;0.000000;Thu Jul 06 15:08:59 2023
0.005435;0.336301;Thu Jul 06 15:08:59 2023
0.005405;-0.001819;Thu Jul 06 15:08:59 2023
0.000000;-0.333137;Thu Jul 06 15:08:59 2023
0.000000;0.000000;Thu Jul 06 15:08:59 2023
0.000000;0.000000;Thu Jul 06 15:08:59 2023
0.000000;0.000000;Thu Jul 06 15:08:59 2023
0.005405;0.336925;Thu Jul 06 15:08:59 2023
0.005405;0.000000;Thu Jul 06 15:08:59 2023
0.005405;0.000000;Thu Jul 06 15:08:59 2023
0.005405;0.000000;Thu Jul 06 15:08:59 2023
0.005405;0.000000;Thu Jul 06 15:08:59 2023
0.005405;0.000000;Thu Jul 06 15:08:59 2023
0.005405;0.000000;Thu Jul 06 15:08:59 2023
0.005405;0.000000;Thu Jul 06 15:08:59 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.000000;-0.341362;Thu Jul 06 15:09:00 2023
0.005405;0.341520;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.000000;-0.343004;Thu Jul 06 15:09:00 2023
0.005435;0.345300;Thu Jul 06 15:09:00 2023
0.000000;-0.345773;Thu Jul 06 15:09:00 2023
0.000000;0.000000;Thu Jul 06 15:09:00 2023
0.005405;0.344428;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.000000;-0.344980;Thu Jul 06 15:09:00 2023
0.005405;0.345568;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.005435;0.001884;Thu Jul 06 15:09:00 2023
0.005405;-0.001885;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.000000;-0.347498;Thu Jul 06 15:09:00 2023
0.005435;0.349744;Thu Jul 06 15:09:00 2023
0.005405;-0.001893;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.000000;-0.349224;Thu Jul 06 15:09:00 2023
0.005405;0.349559;Thu Jul 06 15:09:00 2023
-0.005376;-0.698266;Thu Jul 06 15:09:00 2023
0.000000;0.348523;Thu Jul 06 15:09:00 2023
0.005405;0.350009;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.000000;-0.350015;Thu Jul 06 15:09:00 2023
0.005435;0.351991;Thu Jul 06 15:09:00 2023
0.005405;-0.001906;Thu Jul 06 15:09:00 2023
0.005435;0.001903;Thu Jul 06 15:09:00 2023
0.000000;-0.352716;Thu Jul 06 15:09:00 2023
0.005405;0.350859;Thu Jul 06 15:09:00 2023
0.000000;-0.350321;Thu Jul 06 15:09:00 2023
0.000000;0.000000;Thu Jul 06 15:09:00 2023
0.005405;0.351718;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.005435;0.001916;Thu Jul 06 15:09:00 2023
0.005405;-0.001918;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.000000;-0.353874;Thu Jul 06 15:09:00 2023
0.005405;0.353819;Thu Jul 06 15:09:00 2023
0.000000;-0.352454;Thu Jul 06 15:09:00 2023
0.000000;0.000000;Thu Jul 06 15:09:00 2023
0.000000;0.000000;Thu Jul 06 15:09:00 2023
0.005435;0.354309;Thu Jul 06 15:09:00 2023
0.000000;-0.354372;Thu Jul 06 15:09:00 2023
0.005405;0.353063;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.005405;0.000000;Thu Jul 06 15:09:00 2023
0.000000;-0.354285;Thu Jul 06 15:09:00 2023
0.000000;0.000000;Thu Jul 06 15:09:00 2023
0.005405;0.355216;Thu Jul 06 15:09:00 2023
0.000000;-0.355843;Thu Jul 06 15:09:00 2023
0.000000;0.000000;Thu Jul 06 15:09:00 2023
0.005405;0.356102;Thu Jul 06 15:09:00 2023
0.000000;-0.356385;Thu Jul 06 15:09:00 2023
0.000000;0.000000;Thu Jul 06 15:09:00 2023
0.000000;0.000000;Thu Jul 06 15:09:00 2023
0.000000;0.000000;Thu Jul 06 15:09:00 2023
