Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Sat Jul  1 17:41:07 2023
Qube Frequency: 100.000000, Cam framerate: 100.000000
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;camControl;systemTime
0.006136;0.306796;-0.018408;0.000000;0.183894;0.000000;57.500000;102.500000;244.500000;103.500000;-0.005348;-0.534754;-0.306392;1;1.066830;0.841360;-0.001270;-0.001999;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.306796;-0.018408;0.000000;0.183894;0.000000;56.500000;103.500000;244.500000;103.500000;0.000000;0.534754;0.000000;1;1.066830;0.841360;-0.001936;-0.001089;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.000000;-0.018408;0.000000;0.183710;0.000000;56.500000;102.500000;243.500000;102.500000;0.000000;0.000000;0.000000;1;0.072351;-0.153120;-0.001017;-0.000699;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;-0.306796;-0.018408;0.000000;0.183525;0.000000;56.500000;103.500000;243.500000;103.500000;0.000000;0.000000;0.000000;1;-1.034864;-1.147599;-0.000534;0.000691;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.000000;-0.306796;-0.021476;-0.306796;0.183311;0.000000;57.500000;101.500000;244.500000;102.500000;-0.005348;-0.534754;-0.306392;1;-0.644448;-0.644448;-0.001550;-0.001335;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.306796;-0.021476;0.000000;0.183096;0.000000;55.500000;101.500000;244.500000;103.500000;-0.010582;-0.523407;-0.606282;1;0.959991;0.678385;-0.004596;-0.005441;-0.004596;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.000000;-0.018408;0.306796;0.182912;0.000000;57.500000;102.500000;243.500000;103.500000;-0.005376;0.520532;-0.308039;1;-0.537425;-0.878060;-0.006202;-0.005448;-0.006202;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.000000;-0.018408;0.000000;0.182728;0.000000;57.500000;102.500000;243.500000;103.500000;-0.005376;0.000000;-0.308039;1;-0.039403;-0.365631;-0.005810;-0.003612;-0.005810;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.000000;-0.018408;0.000000;0.182544;0.000000;57.500000;102.500000;243.500000;103.500000;-0.005376;0.000000;-0.308039;1;-0.039219;-0.357880;-0.005604;-0.001294;-0.005604;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.000000;-0.018408;0.000000;0.182360;0.000000;56.500000;103.500000;243.500000;103.500000;0.000000;0.537629;0.000000;1;-0.039035;-0.306822;-0.004220;-0.000227;-0.004220;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.306796;-0.015340;0.306796;0.182206;0.000000;56.500000;102.500000;243.500000;103.500000;-0.005348;-0.534754;-0.306392;1;0.565581;0.340111;-0.003486;-0.003081;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.000000;-0.015340;0.000000;0.182053;0.000000;56.500000;102.500000;243.500000;103.500000;-0.005348;0.000000;-0.306392;1;0.068909;-0.317129;-0.004370;-0.003134;-0.004370;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.000000;-0.015340;0.000000;0.181899;0.000000;56.500000;104.500000;243.500000;103.500000;0.005348;1.069509;0.306392;1;0.069062;-0.156408;-0.002295;0.001028;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;-0.306796;-0.018408;-0.306796;0.181715;0.000000;57.500000;103.500000;244.500000;103.500000;0.000000;-0.534754;0.000000;1;-0.535216;-0.647951;0.000064;0.001284;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.000000;-0.018408;0.000000;0.181531;0.000000;57.500000;102.500000;243.500000;103.500000;-0.005376;-0.537629;-0.308039;1;-0.038206;-0.150941;-0.001243;-0.000540;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.000000;-0.018408;0.000000;0.181347;0.000000;55.500000;103.500000;244.500000;102.500000;0.005291;1.066725;0.303149;1;-0.038022;-0.150757;-0.000673;0.000183;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.000000;-0.015340;0.306796;0.181194;0.000000;56.500000;102.500000;244.500000;103.500000;-0.005319;-1.061005;-0.304762;1;-0.540805;-0.653540;-0.000360;-0.002862;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.000000;-0.015340;0.000000;0.181040;0.000000;57.500000;102.500000;244.500000;103.500000;-0.005348;-0.002844;-0.306392;1;-0.042814;-0.155549;-0.002721;-0.001397;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.306796;-0.015340;0.000000;0.180887;0.000000;56.500000;104.500000;243.500000;103.500000;0.005348;1.069509;0.306392;1;1.064739;0.839269;-0.001429;0.001206;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.000000;-0.012272;0.306796;0.180764;0.000000;56.500000;104.500000;243.500000;103.500000;0.005348;0.000000;0.306392;1;-0.432739;-0.658209;0.001788;0.001979;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.000000;-0.012272;0.000000;0.180642;0.000000;56.500000;104.500000;243.500000;103.500000;0.005348;0.000000;0.306392;1;0.065222;-0.160248;0.003478;0.004171;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.000000;-0.012272;0.000000;0.180519;0.000000;56.500000;104.500000;244.500000;103.500000;0.005319;-0.002844;0.304762;1;0.065345;0.000051;0.004359;0.004014;0.004359;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.000000;-0.012272;0.000000;0.180396;0.000000;56.500000;104.500000;243.500000;103.500000;0.005348;0.002844;0.306392;1;0.065467;0.017172;0.004822;0.002320;0.004822;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.000000;-0.012272;0.000000;0.180273;0.000000;56.500000;105.500000;243.500000;103.500000;0.010695;0.534724;0.612766;1;0.065590;0.073117;0.006341;0.004084;0.006341;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.000000;-0.012272;0.000000;0.180151;0.000000;57.500000;103.500000;243.500000;103.500000;0.000000;-1.069478;0.000000;1;0.065713;0.055908;0.005869;0.002433;0.005869;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.000000;-0.012272;0.000000;0.180028;0.000000;56.500000;104.500000;243.500000;103.500000;0.005348;0.534754;0.306392;1;0.065835;0.000282;0.004352;0.003398;0.004352;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.000000;-0.012272;0.000000;0.179905;0.000000;56.500000;104.500000;243.500000;103.500000;0.005348;0.000000;0.306392;1;0.065958;0.017775;0.004825;0.001523;0.004825;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;-0.306796;-0.012272;0.000000;0.179783;0.000000;56.500000;105.500000;244.500000;104.500000;0.005319;-0.002844;0.304762;1;-1.041318;-0.967892;0.005066;0.002393;0.005066;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.000000;-0.012272;0.000000;0.179660;0.000000;58.500000;104.500000;243.500000;103.500000;0.005405;0.008625;0.309704;1;-0.046531;0.032060;0.005207;0.004021;0.005207;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.306796;-0.009204;0.306796;0.179568;0.000000;56.500000;105.500000;244.500000;103.500000;0.010638;0.523254;0.609507;1;0.558023;0.572990;0.006543;0.005667;0.006543;0.000000;0;Sat Jul  1 17:41:18 2023
0.009204;0.306796;-0.009204;0.000000;0.179476;0.000000;55.500000;104.500000;243.500000;104.500000;0.000000;-1.063790;0.000000;1;1.168688;1.049560;0.005962;0.001483;0.005962;0.000000;0;Sat Jul  1 17:41:18 2023
0.009204;0.000000;-0.006136;0.306796;0.179414;0.000000;57.500000;103.500000;243.500000;103.500000;0.000000;0.000000;0.000000;1;-0.328851;-0.667056;0.003131;-0.000050;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.009204;0.000000;-0.009204;-0.306796;0.179322;0.000000;56.500000;103.500000;244.500000;104.500000;-0.005319;-0.531910;-0.304762;1;0.672016;0.333811;0.000382;-0.003138;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;-0.306796;-0.012272;-0.306796;0.179200;0.000000;57.500000;103.500000;244.500000;104.500000;-0.005348;-0.002844;-0.306392;1;-0.430162;-0.655632;-0.002332;-0.003241;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;-0.306796;-0.012272;0.000000;0.179077;0.000000;55.500000;104.500000;244.500000;103.500000;0.005291;1.063850;0.303149;1;-1.040612;-1.153347;-0.001238;0.001053;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.000000;-0.306796;-0.015340;-0.306796;0.178924;0.000000;56.500000;104.500000;243.500000;104.500000;0.000000;-0.529096;0.000000;1;-0.650258;-0.650258;0.000606;0.001327;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.000000;0.000000;-0.015340;0.000000;0.178770;0.000000;55.500000;103.500000;243.500000;104.500000;-0.005319;-0.531910;-0.304762;1;-0.153278;-0.153278;-0.000945;-0.000568;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.306796;-0.012272;0.306796;0.178647;0.000000;56.500000;104.500000;244.500000;104.500000;0.000000;0.531910;0.000000;1;0.451307;0.338572;-0.001759;-0.001787;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.306796;-0.012272;0.000000;0.178525;0.000000;56.500000;104.500000;243.500000;104.500000;0.000000;0.000000;0.000000;1;1.062003;0.836532;-0.000924;-0.001889;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.006136;0.000000;-0.009204;0.306796;0.178433;0.000000;56.500000;104.500000;244.500000;104.500000;0.000000;0.000000;0.000000;1;-0.435506;-0.660976;-0.000485;0.000959;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;-0.306796;-0.012272;-0.306796;0.178310;0.000000;55.500000;104.500000;244.500000;104.500000;0.000000;0.000000;0.000000;1;-0.542007;-0.654742;-0.000255;0.001599;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.000000;-0.012272;0.000000;0.178187;0.000000;56.500000;105.500000;243.500000;104.500000;0.005348;0.534754;0.306392;1;-0.045059;-0.157794;0.001136;0.001616;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.000000;-0.012272;0.000000;0.178064;0.000000;57.500000;102.500000;244.500000;104.500000;-0.010695;-1.604232;-0.612766;1;-0.044936;-0.157671;-0.000673;-0.004178;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.000000;-0.012272;0.000000;0.177942;0.000000;56.500000;105.500000;244.500000;104.500000;0.005319;1.601388;0.304762;1;-0.044813;-0.157548;-0.001630;0.000517;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
0.003068;0.000000;-0.012272;0.000000;0.177819;0.000000;56.500000;105.500000;243.500000;104.500000;0.005348;0.002844;0.306392;1;-0.044691;-0.157426;0.001676;0.001939;0.000000;0.000000;0;Sat Jul  1 17:41:18 2023
