Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Sat Jul  1 18:10:34 2023
Qube Frequency: 100.000000, Cam framerate: 100.000000
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.006136;0.000000;-0.015340;0.000000;0.204510;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.531910;0.304762;1;0.046451;-0.179019;0.001795;0.179520;0.000000;0.000000;0.041290;0;Sat Jul  1 18:10:43 2023
0.006136;0.000000;-0.015340;0.000000;0.204357;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;0.531880;0.609507;1;0.046605;0.040462;0.005969;0.417355;0.005969;0.596875;0.127791;0;Sat Jul  1 18:10:43 2023
0.009204;0.306796;-0.015340;0.000000;0.204204;0.000000;57.500000;98.500000;243.500000;99.500000;-0.005376;-1.601419;-0.308039;1;1.154157;0.815952;0.003715;-0.225371;0.000000;-0.596875;0.040860;0;Sat Jul  1 18:10:43 2023
0.006136;-0.306796;-0.018408;-0.306796;0.204019;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;1.069539;0.304762;1;-0.444785;-0.670255;0.001188;-0.252732;0.000000;0.000000;-0.021034;0;Sat Jul  1 18:10:43 2023
0.003068;-0.306796;-0.018408;0.000000;0.203835;0.000000;57.500000;98.500000;244.500000;98.500000;0.000000;-0.531910;0.000000;1;-1.055174;-1.167909;0.002181;0.099337;0.000000;0.000000;0.006592;0;Sat Jul  1 18:10:43 2023
0.003068;0.000000;-0.021476;-0.306796;0.203621;0.000000;56.500000;99.500000;243.500000;99.500000;0.000000;0.000000;0.000000;1;0.442641;0.329906;0.000709;-0.147245;0.000000;0.000000;-0.028751;0;Sat Jul  1 18:10:43 2023
0.003068;0.000000;-0.021476;0.000000;0.203406;0.000000;56.500000;99.500000;243.500000;98.500000;0.005348;0.534754;0.306392;1;-0.054982;-0.167717;0.002035;0.132640;0.000000;0.000000;0.008315;0;Sat Jul  1 18:10:43 2023
0.006136;0.306796;-0.021476;0.000000;0.203191;0.000000;56.500000;98.500000;244.500000;99.500000;-0.005319;-1.066664;-0.304762;1;1.052631;0.827161;0.000671;-0.136425;0.000000;0.000000;-0.024939;0;Sat Jul  1 18:10:43 2023
0.006136;0.000000;-0.021476;0.000000;0.202976;0.000000;57.500000;99.500000;244.500000;99.500000;0.000000;0.531910;0.000000;1;0.058182;-0.167288;-0.001577;-0.224804;0.000000;0.000000;-0.070840;0;Sat Jul  1 18:10:43 2023
0.003068;-0.306796;-0.021476;0.000000;0.202762;0.000000;55.500000;98.500000;244.500000;99.500000;-0.005291;-0.529096;-0.303149;1;-1.049002;-1.161737;-0.002298;-0.072089;0.000000;0.000000;-0.071014;0;Sat Jul  1 18:10:43 2023
0.000000;-0.306796;-0.024544;-0.306796;0.202516;0.000000;57.500000;98.500000;244.500000;99.500000;-0.005348;-0.005659;-0.306392;1;-1.049002;-1.321110;-0.004337;-0.203901;-0.004337;-0.433716;-0.101465;0;Sat Jul  1 18:10:43 2023
0.000000;0.000000;-0.024544;0.000000;0.202271;0.000000;56.500000;98.500000;243.500000;99.500000;-0.005348;0.000000;-0.306392;1;-0.161484;-0.345902;-0.005019;-0.068157;-0.005019;-0.068157;-0.089573;0;Sat Jul  1 18:10:43 2023
0.003068;0.306796;-0.021476;0.306796;0.202056;0.000000;56.500000;98.500000;242.500000;97.500000;0.005376;1.072383;0.308039;1;0.443193;0.330458;-0.001621;0.339785;0.000000;0.501874;0.009952;0;Sat Jul  1 18:10:43 2023
0.006136;0.306796;-0.018408;0.306796;0.201872;0.000000;56.500000;99.500000;243.500000;98.500000;0.005348;-0.002875;0.306392;1;0.551014;0.325544;0.003093;0.471355;0.000000;0.000000;0.111504;0;Sat Jul  1 18:10:43 2023
0.009204;0.000000;-0.018408;0.000000;0.201504;0.000000;57.500000;98.500000;244.500000;98.500000;0.000000;-0.534754;0.000000;1;1.161771;0.823566;0.002810;-0.028307;0.000000;0.000000;0.079408;0;Sat Jul  1 18:10:43 2023
0.009204;0.000000;-0.018408;0.000000;0.201504;0.000000;56.500000;98.500000;243.500000;98.500000;0.000000;0.000000;0.000000;1;0.167291;-0.170914;0.000913;-0.189676;0.000000;0.000000;0.017485;0;Sat Jul  1 18:10:43 2023
0.006136;-0.306796;-0.021476;-0.306796;0.201289;0.000000;57.500000;99.500000;243.500000;98.500000;0.005376;0.537629;0.308039;1;-0.436956;-0.662426;0.002111;0.119824;0.000000;0.000000;0.041051;0;Sat Jul  1 18:10:43 2023
0.003068;-0.306796;-0.021476;0.000000;0.201074;0.000000;56.500000;98.500000;242.500000;97.500000;0.005376;0.000000;0.308039;1;-0.436956;-0.503872;0.004315;0.220381;0.004315;0.431489;0.082174;0;Sat Jul  1 18:10:44 2023
0.003068;0.000000;-0.024544;-0.306796;0.200829;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;-0.005719;0.304762;1;-1.047315;-0.975894;0.005012;0.069671;0.005012;0.069671;0.075069;0;Sat Jul  1 18:10:44 2023
0.006136;0.306796;-0.021476;0.306796;0.200614;0.000000;57.500000;98.500000;243.500000;98.500000;0.000000;-0.531910;0.000000;1;0.450531;0.337796;0.003423;-0.158814;0.000000;-0.501160;0.020588;0;Sat Jul  1 18:10:44 2023
0.009204;0.306796;-0.018408;0.306796;0.200430;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;0.531910;0.304762;1;0.665191;0.326986;0.002907;-0.051599;0.000000;0.000000;0.008604;0;Sat Jul  1 18:10:44 2023
0.009204;0.000000;-0.018408;0.000000;0.200246;0.000000;57.500000;98.500000;243.500000;98.500000;0.000000;-0.531910;0.000000;1;0.168549;-0.169656;0.002740;-0.016764;0.000000;0.000000;0.002931;0;Sat Jul  1 18:10:44 2023
0.009204;0.000000;-0.018408;0.000000;0.200062;0.000000;56.500000;100.500000;244.500000;98.500000;0.010638;1.063790;0.609507;1;0.168549;-0.005017;0.004480;0.174063;0.004480;0.448046;0.042333;0;Sat Jul  1 18:10:44 2023
0.009204;0.000000;-0.018408;0.000000;0.199878;0.000000;57.500000;98.500000;244.500000;98.500000;0.000000;-1.063790;0.000000;1;0.168733;0.015948;0.005046;0.056553;0.005046;0.056553;0.041384;0;Sat Jul  1 18:10:44 2023
0.009204;0.000000;-0.018408;0.000000;0.199694;0.000000;56.500000;99.500000;243.500000;98.500000;0.005348;0.534754;0.306392;1;0.169101;-0.169104;0.003444;-0.160175;0.000000;-0.504599;-0.005504;0;Sat Jul  1 18:10:44 2023
0.009204;0.000000;-0.021476;-0.306796;0.199479;0.000000;56.500000;98.500000;243.500000;98.500000;0.000000;-0.534754;0.000000;1;0.672253;0.334048;0.002924;-0.052041;0.000000;0.000000;-0.011402;0;Sat Jul  1 18:10:44 2023
0.009204;0.000000;-0.021476;0.000000;0.199264;0.000000;56.500000;98.500000;242.500000;96.500000;0.010752;1.075227;0.616060;1;0.174629;0.004678;0.004579;0.165502;0.004579;0.457884;0.029214;0;Sat Jul  1 18:10:44 2023
0.009204;0.000000;-0.021476;0.000000;0.199049;0.000000;56.500000;99.500000;243.500000;97.500000;0.010695;-0.005749;0.612766;1;0.174844;0.157285;0.008726;0.414720;0.008726;0.414720;0.113579;0;Sat Jul  1 18:10:44 2023
0.006136;-0.306796;-0.024544;-0.306796;0.198804;0.000000;56.500000;99.500000;244.500000;98.500000;0.005319;-0.537568;0.304762;1;-0.429373;-0.352065;0.008240;-0.048627;0.008240;-0.048627;0.072294;0;Sat Jul  1 18:10:44 2023
0.006136;0.000000;-0.027612;-0.306796;0.198528;0.000000;56.500000;98.500000;244.500000;97.500000;0.005319;0.000000;0.304762;1;0.570665;0.575500;0.006267;-0.197228;0.006267;-0.197228;0.010606;0;Sat Jul  1 18:10:44 2023
0.003068;-0.306796;-0.027612;0.000000;0.198252;0.000000;56.500000;98.500000;244.500000;97.500000;0.005319;0.000000;0.304762;1;-1.034295;-0.940272;0.005627;-0.064079;0.005627;-0.064079;-0.004809;0;Sat Jul  1 18:10:44 2023
0.003068;0.000000;-0.030680;-0.306796;0.197945;0.000000;56.500000;98.500000;244.500000;97.500000;0.005319;0.000000;0.304762;1;-1.034295;-0.947923;0.005419;-0.020819;0.005419;-0.020819;-0.007844;0;Sat Jul  1 18:10:44 2023
0.006136;0.306796;-0.027612;0.306796;0.197669;0.000000;56.500000;98.500000;244.500000;97.500000;0.005319;0.000000;0.304762;1;0.463612;0.547499;0.005351;-0.006764;0.005351;-0.006764;-0.007353;0;Sat Jul  1 18:10:44 2023
0.009204;0.306796;-0.024544;0.306796;0.197423;0.000000;57.500000;97.500000;244.500000;97.500000;0.000000;-0.531910;0.000000;1;0.570512;0.345042;0.003534;-0.181717;0.000000;-0.535086;-0.047474;0;Sat Jul  1 18:10:44 2023
0.012272;0.306796;-0.024544;0.000000;0.197178;0.000000;55.500000;98.500000;243.500000;97.500000;0.005319;0.531910;0.304762;1;1.289213;0.838273;0.002943;-0.059040;0.000000;0.000000;-0.044880;0;Sat Jul  1 18:10:44 2023
0.012272;0.000000;-0.024544;0.000000;0.196932;0.000000;55.500000;97.500000;243.500000;97.500000;0.000000;-0.531910;0.000000;1;0.294794;-0.156146;0.002751;-0.019182;0.000000;0.000000;-0.038885;0;Sat Jul  1 18:10:44 2023
0.009204;-0.306796;-0.027612;-0.306796;0.196656;0.000000;57.500000;97.500000;243.500000;96.500000;0.005376;0.537629;0.308039;1;-0.309392;-0.647597;0.002708;-0.004302;0.000000;0.000000;-0.030852;0;Sat Jul  1 18:10:44 2023
0.009204;-0.306796;-0.027612;-0.306796;0.196656;0.000000;56.500000;98.500000;244.500000;96.500000;0.010638;0.526160;0.609507;1;-0.309392;-0.416658;0.006285;0.357631;0.006285;0.628476;0.058442;0;Sat Jul  1 18:10:44 2023
0.000000;-0.306796;-0.036816;-0.306796;0.195951;0.000000;56.500000;97.500000;244.500000;96.500000;0.005319;-0.531880;0.304762;1;-0.631596;-0.358670;0.007427;0.114264;0.007427;0.114264;0.065214;0;Sat Jul  1 18:10:44 2023
0.000000;0.000000;-0.039884;-0.306796;0.195552;0.000000;56.500000;95.500000;244.500000;97.500000;-0.010638;-1.595700;-0.609507;1;0.368565;0.368565;0.000618;-0.680934;0.000000;-0.742741;-0.107633;0;Sat Jul  1 18:10:44 2023
-0.003068;-0.306796;-0.042951;-0.306796;0.195122;0.000000;56.500000;96.500000;244.500000;96.500000;0.000000;1.063790;0.000000;1;-0.733306;-0.620571;-0.003389;-0.400755;0.000000;0.000000;-0.168039;0;Sat Jul  1 18:10:44 2023
-0.006136;-0.306796;-0.046019;-0.306796;0.194662;0.000000;56.500000;95.500000;244.500000;96.500000;-0.005319;-0.531910;-0.304762;1;-0.840483;-0.615013;-0.002896;0.049304;0.000000;0.000000;-0.117980;0;Sat Jul  1 18:10:44 2023
-0.006136;0.000000;-0.046019;0.000000;0.194202;0.000000;57.500000;94.500000;244.500000;96.500000;-0.010695;-0.537568;-0.612766;1;-0.343197;-0.350907;-0.006346;-0.344930;-0.006346;-0.634574;-0.170160;0;Sat Jul  1 18:10:44 2023
-0.006136;0.000000;-0.046019;0.000000;0.193742;0.000000;56.500000;95.500000;244.500000;97.500000;-0.010638;0.005688;-0.609507;1;-0.343197;-0.458049;-0.009262;-0.291577;-0.009262;-0.291577;-0.191910;0;Sat Jul  1 18:10:44 2023
-0.003068;0.306796;-0.046019;0.000000;0.193282;0.000000;56.500000;95.500000;244.500000;96.500000;-0.005319;0.531880;-0.304762;1;-0.342737;-0.425732;-0.008395;0.086696;-0.008395;0.086696;-0.124866;0;Sat Jul  1 18:10:44 2023
-0.003068;0.306796;-0.046019;0.000000;0.193282;0.000000;56.500000;94.500000;244.500000;95.500000;-0.005319;0.000000;-0.304762;1;0.765122;0.645705;-0.006318;0.207677;-0.006318;0.207677;-0.049048;0;Sat Jul  1 18:10:44 2023
0.000000;0.306796;-0.042951;0.306796;0.192392;0.000000;56.500000;95.500000;244.500000;96.500000;-0.005319;0.000000;-0.304762;1;0.375811;0.168452;-0.005643;0.067474;-0.005643;0.067474;-0.024129;0;Sat Jul  1 18:10:44 2023
0.000000;0.000000;-0.046019;-0.306796;0.191932;0.000000;55.500000;95.500000;244.500000;95.500000;0.000000;0.531910;0.000000;1;0.382382;0.382382;-0.003629;0.201442;0.000000;0.564304;0.027295;0;Sat Jul  1 18:10:44 2023
-0.003068;-0.306796;-0.046019;0.000000;0.191471;0.000000;56.500000;95.500000;244.500000;96.500000;-0.005319;-0.531910;-0.304762;1;-1.222395;-1.109660;-0.002974;0.065448;0.000000;0.000000;0.030626;0;Sat Jul  1 18:10:44 2023
-0.006136;-0.306796;-0.049087;-0.306796;0.190981;0.000000;56.500000;95.500000;244.500000;96.500000;-0.005319;0.000000;-0.304762;1;-1.222395;-1.277100;-0.004557;-0.158255;-0.004557;-0.455669;-0.012819;0;Sat Jul  1 18:10:44 2023
-0.006136;-0.306796;-0.049087;-0.306796;0.190981;0.000000;56.500000;95.500000;244.500000;96.500000;-0.005319;0.000000;-0.304762;1;-0.831703;-0.792566;-0.005071;-0.051417;-0.005071;-0.051417;-0.017363;0;Sat Jul  1 18:10:44 2023
-0.003068;0.306796;-0.046019;0.306796;0.190520;0.000000;56.500000;95.500000;244.500000;95.500000;0.000000;0.531910;0.000000;1;0.270045;0.382780;-0.003443;0.162814;0.000000;0.507086;0.024480;0;Sat Jul  1 18:10:44 2023
0.006136;0.613592;-0.036816;0.613592;0.189723;0.000000;57.500000;96.500000;244.500000;96.500000;0.000000;0.000000;0.000000;1;1.090579;0.865109;-0.001119;0.232418;0.000000;0.000000;0.067654;0;Sat Jul  1 18:10:44 2023
0.009204;0.306796;-0.033748;0.306796;0.189385;0.000000;56.500000;97.500000;243.500000;96.500000;0.005348;0.534754;0.306392;1;0.701727;0.363522;0.001441;0.255992;0.000000;0.000000;0.111188;0;Sat Jul  1 18:10:44 2023
0.006136;-0.306796;-0.033748;0.000000;0.188710;0.000000;56.500000;97.500000;244.500000;96.500000;0.005319;-0.002844;0.304762;1;0.205239;0.016527;0.004068;0.262691;0.004068;0.406830;0.146083;0;Sat Jul  1 18:10:44 2023
0.006136;-0.306796;-0.033748;0.000000;0.188710;0.000000;57.500000;96.500000;243.500000;96.500000;0.000000;-0.531910;0.000000;1;-0.901822;-1.127292;0.003117;-0.095131;0.000000;-0.406830;0.086659;0;Sat Jul  1 18:10:44 2023
0.006136;-0.306796;-0.033748;0.000000;0.188710;0.000000;56.500000;97.500000;244.500000;96.500000;0.005319;0.531910;0.304762;1;-0.901822;-1.127292;0.002808;-0.030908;0.000000;0.000000;0.063401;0;Sat Jul  1 18:10:44 2023
0.003068;-0.306796;-0.036816;-0.306796;0.188342;0.000000;56.500000;96.500000;244.500000;96.500000;0.000000;-0.531910;0.000000;1;-0.511253;-0.623988;0.002707;-0.010042;0.000000;0.000000;0.046479;0;Sat Jul  1 18:10:44 2023
0.003068;0.000000;-0.036816;0.000000;0.187974;0.000000;55.500000;96.500000;244.500000;96.500000;0.000000;0.000000;0.000000;1;-0.014059;-0.126794;0.000880;-0.182782;0.000000;0.000000;-0.006391;0;Sat Jul  1 18:10:44 2023
0.009204;0.306796;-0.033748;0.000000;0.187299;0.000000;56.500000;97.500000;243.500000;96.500000;0.005348;0.534754;0.306392;1;0.590741;0.365271;0.002091;0.121094;0.000000;0.000000;0.022968;0;Sat Jul  1 18:10:44 2023
0.009204;0.306796;-0.033748;0.000000;0.187299;0.000000;56.500000;97.500000;244.500000;96.500000;0.005319;-0.002844;0.304762;1;1.201652;1.020691;0.004279;0.218863;0.004279;0.427923;0.068160;0;Sat Jul  1 18:10:44 2023
