Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Wed Jul  5 11:02:47 2023
Qube Frequency: 100.000000, Cam framerate: 100.000000
AlphaDotTransformVector: 0.500484, 0.831704, -15.747655, 0.691018, -0.631321
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.006136;0.000000;-0.003068;0.000000;0.137506;0.000000;56.500000;96.500000;243.500000;96.500000;0.000000;0.000000;0.000000;1;0.093062;-0.132408;0.000000;0.000000;0.000000;0.000000;0.000000;0;Wed Jul  5 11:02:57 2023
0.006136;0.000000;-0.003068;0.000000;0.137506;0.000000;56.500000;96.500000;243.500000;96.500000;0.000000;0.000000;0.000000;1;0.093062;-0.093735;0.000000;0.000000;0.000000;0.000000;0.011928;0;Wed Jul  5 11:02:57 2023
0.006136;0.000000;-0.003068;0.000000;0.137475;0.000000;56.500000;96.500000;243.500000;96.500000;0.000000;0.000000;0.000000;1;0.093093;-0.098099;0.000000;0.000000;0.000000;0.000000;0.010573;0;Wed Jul  5 11:02:57 2023
0.006136;0.000000;-0.003068;0.000000;0.137445;0.000000;56.500000;96.500000;243.500000;96.500000;0.000000;0.000000;0.000000;1;0.093124;-0.097578;0.000000;0.000000;0.000000;0.000000;0.010724;0;Wed Jul  5 11:02:57 2023
0.006136;0.000000;-0.003068;0.000000;0.137414;0.000000;56.500000;97.500000;243.500000;96.500000;0.005348;0.534754;0.306392;1;0.093154;1.372226;0.001311;0.255292;0.000000;0.000000;0.449203;0;Wed Jul  5 11:02:57 2023
0.006136;0.000000;-0.003068;0.000000;0.137383;0.000000;55.500000;96.500000;243.500000;96.500000;0.000000;-0.534754;0.000000;1;0.093185;-1.657206;0.001979;-0.010159;0.000000;0.000000;-0.492783;0;Wed Jul  5 11:02:57 2023
0.006136;0.000000;-0.003068;0.000000;0.137353;0.000000;56.500000;96.500000;243.500000;95.500000;0.005348;0.534754;0.306392;1;0.093216;1.594830;0.002320;0.079349;0.000000;0.000000;0.506414;0;Wed Jul  5 11:02:57 2023
0.006136;0.000000;-0.003068;0.000000;0.137322;0.000000;56.500000;96.500000;243.500000;95.500000;0.005348;0.000000;0.306392;1;0.093246;-0.189523;0.003804;0.041991;0.000000;0.000000;-0.060791;0;Wed Jul  5 11:02:57 2023
0.006136;0.000000;-0.003068;0.000000;0.137291;0.000000;56.500000;96.500000;243.500000;96.500000;0.000000;-0.534754;0.000000;1;0.093277;-1.422571;0.003250;-0.042813;0.000000;0.000000;-0.434837;0;Wed Jul  5 11:02:57 2023
0.006136;0.000000;-0.003068;0.000000;0.137261;0.000000;55.500000;97.500000;243.500000;95.500000;0.010638;1.063790;0.609507;1;0.093308;3.051446;0.004264;0.180425;0.004264;0.426404;0.933630;0;Wed Jul  5 11:02:57 2023
0.009204;0.306796;-0.003068;0.000000;0.137230;0.000000;56.500000;96.500000;243.500000;96.500000;0.000000;-1.063790;0.000000;1;1.200737;-3.187694;0.004781;-0.162092;0.004781;0.051690;-0.996651;0;Wed Jul  5 11:02:57 2023
0.009204;0.000000;-0.003068;0.000000;0.137199;0.000000;55.500000;96.500000;243.500000;96.500000;0.000000;0.000000;0.000000;1;0.206104;0.363191;0.002436;-0.161280;0.000000;-0.478094;0.125161;0;Wed Jul  5 11:02:57 2023
0.006136;-0.306796;-0.006136;-0.306796;0.137138;0.000000;56.500000;96.500000;243.500000;95.500000;0.005348;0.534754;0.306392;1;-0.398297;1.878810;0.002552;-0.133025;0.000000;0.000000;0.436176;0;Wed Jul  5 11:02:57 2023
0.003068;-0.306796;-0.009204;-0.306796;0.137046;0.000000;56.500000;95.500000;243.500000;96.500000;-0.005348;-1.069509;-0.306392;1;-0.505842;-2.715926;0.001300;-0.074626;0.000000;0.000000;-0.968446;0;Wed Jul  5 11:02:57 2023
0.000000;-0.306796;-0.012272;-0.306796;0.136923;0.000000;56.500000;95.500000;243.500000;95.500000;0.000000;0.534754;0.000000;1;-0.613355;2.096912;-0.000649;-0.053497;0.000000;0.000000;0.536516;0;Wed Jul  5 11:02:57 2023
0.000000;0.000000;-0.012272;0.000000;0.136800;0.000000;56.500000;94.500000;243.500000;96.500000;-0.010695;-1.069478;-0.612766;1;-0.116407;-3.355494;-0.002953;-0.647420;0.000000;0.000000;-0.965603;0;Wed Jul  5 11:02:57 2023
0.000000;0.000000;-0.012272;0.000000;0.136678;0.000000;55.500000;94.500000;243.500000;95.500000;-0.005319;0.537568;-0.304762;1;-0.116284;1.601319;-0.005431;0.084607;-0.005431;-0.543108;0.591337;0;Wed Jul  5 11:02:57 2023
0.000000;0.000000;-0.012272;0.000000;0.136555;0.000000;55.500000;94.500000;244.500000;95.500000;-0.005291;0.002814;-0.303149;1;-0.116162;-0.440976;-0.005369;0.072186;-0.005369;0.006236;-0.039337;0;Wed Jul  5 11:02:57 2023
0.000000;0.000000;-0.012272;0.000000;0.136432;0.000000;56.500000;95.500000;243.500000;95.500000;0.000000;0.529096;0.000000;1;-0.116039;1.239432;-0.004033;0.470677;-0.004033;0.133602;0.463791;0;Wed Jul  5 11:02:58 2023
0.003068;0.306796;-0.012272;0.000000;0.136310;0.000000;55.500000;95.500000;243.500000;95.500000;0.000000;0.000000;0.000000;1;0.991483;-0.328397;-0.002055;0.128542;0.000000;0.403271;-0.042251;0;Wed Jul  5 11:02:58 2023
0.003068;0.000000;-0.012272;0.000000;0.136187;0.000000;56.500000;94.500000;243.500000;95.500000;-0.005348;-0.534754;-0.306392;1;-0.003058;-1.574677;-0.002358;-0.254919;0.000000;0.000000;-0.423255;0;Wed Jul  5 11:02:58 2023
0.000000;-0.306796;-0.012272;0.000000;0.136064;0.000000;56.500000;95.500000;243.500000;95.500000;0.000000;0.534754;0.000000;1;-1.110335;1.452557;-0.002513;-0.035411;0.000000;0.000000;0.512186;0;Wed Jul  5 11:02:58 2023
0.000000;0.000000;-0.015340;-0.306796;0.135911;0.000000;56.500000;95.500000;243.500000;96.500000;-0.005348;-0.534754;-0.306392;1;0.387419;-1.284379;-0.002591;-0.066597;0.000000;0.000000;-0.486282;0;Wed Jul  5 11:02:58 2023
-0.003068;-0.306796;-0.015340;0.000000;0.135757;0.000000;55.500000;94.500000;243.500000;97.500000;-0.015956;-1.060855;-0.914217;1;-1.217664;-3.034203;-0.006544;-0.542074;-0.006544;-0.654398;-0.827696;0;Wed Jul  5 11:02:58 2023
-0.003068;0.000000;-0.015340;0.000000;0.135604;0.000000;55.500000;94.500000;243.500000;95.500000;-0.005319;1.063699;-0.304762;1;-0.222847;2.887334;-0.008551;-0.189729;-0.008551;-0.200686;1.021453;0;Wed Jul  5 11:02:58 2023
0.000000;0.306796;-0.012272;0.306796;0.135481;0.000000;56.500000;95.500000;243.500000;96.500000;-0.005348;-0.002844;-0.306392;1;0.381738;-1.171970;-0.006972;0.431352;-0.006972;0.157872;-0.093411;0;Wed Jul  5 11:02:58 2023
0.003068;0.306796;-0.009204;0.306796;0.135389;0.000000;56.500000;95.500000;243.500000;96.500000;-0.005348;0.000000;-0.306392;1;0.489467;-0.603936;-0.006175;0.463158;-0.006175;0.079739;0.074301;0;Wed Jul  5 11:02:58 2023
0.006136;0.306796;-0.006136;0.306796;0.135328;0.000000;56.500000;96.500000;243.500000;95.500000;0.005348;1.069509;0.306392;1;0.597165;2.285304;-0.003146;0.178165;0.000000;0.617472;0.932691;0;Wed Jul  5 11:02:58 2023
0.009204;0.306796;-0.006136;0.000000;0.135266;0.000000;55.500000;96.500000;243.500000;95.500000;0.005319;-0.002844;0.304762;1;1.207799;-0.327928;0.001013;0.372944;0.000000;0.000000;-0.074046;0;Wed Jul  5 11:02:58 2023
0.009204;0.000000;-0.006136;0.000000;0.135205;0.000000;56.500000;96.500000;243.500000;95.500000;0.005348;0.002844;0.306392;1;0.213197;0.012546;0.003131;0.318652;0.000000;0.000000;0.006937;0;Wed Jul  5 11:02:58 2023
0.003068;-0.613592;-0.009204;-0.306796;0.135113;0.000000;55.500000;96.500000;243.500000;95.500000;0.005319;-0.002844;0.304762;1;-1.498573;0.510003;0.004211;-0.246867;0.004211;0.421089;-0.007017;0;Wed Jul  5 11:02:58 2023
0.000000;-0.306796;-0.012272;-0.306796;0.134990;0.000000;56.500000;95.500000;243.500000;95.500000;0.000000;-0.531910;0.000000;1;-0.611423;-1.039112;0.003450;-0.335371;0.000000;-0.421089;-0.477812;0;Wed Jul  5 11:02:58 2023
0.000000;0.000000;-0.012272;0.000000;0.134868;0.000000;56.500000;95.500000;243.500000;95.500000;0.000000;0.000000;0.000000;1;-0.114474;0.035900;0.001758;-0.123053;0.000000;0.000000;0.026461;0;Wed Jul  5 11:02:58 2023
0.000000;0.000000;-0.012272;0.000000;0.134745;0.000000;56.500000;95.500000;243.500000;95.500000;0.000000;0.000000;0.000000;1;-0.114352;-0.057760;0.000896;-0.038118;0.000000;0.000000;0.007306;0;Wed Jul  5 11:02:58 2023
0.000000;0.000000;-0.012272;0.000000;0.134622;0.000000;55.500000;95.500000;243.500000;95.500000;0.000000;0.000000;0.000000;1;-0.114229;-0.066756;0.000456;0.061713;0.000000;0.000000;0.009471;0;Wed Jul  5 11:02:58 2023
0.003068;0.306796;-0.009204;0.306796;0.134530;0.000000;55.500000;95.500000;243.500000;96.500000;-0.005319;-0.531910;-0.304762;1;0.490326;-2.040677;-0.001072;-0.283911;0.000000;0.000000;-0.426952;0;Wed Jul  5 11:02:58 2023
0.003068;0.000000;-0.009204;0.000000;0.134438;0.000000;56.500000;95.500000;243.500000;96.500000;-0.005348;-0.002844;-0.306392;1;-0.006408;0.121849;-0.003162;-0.239899;0.000000;0.000000;0.110165;0;Wed Jul  5 11:02:58 2023
0.003068;0.000000;-0.009204;0.000000;0.134346;0.000000;55.500000;96.500000;243.500000;96.500000;0.000000;0.534754;0.000000;1;-0.006316;1.238587;-0.002922;0.206943;0.000000;0.000000;0.451871;0;Wed Jul  5 11:02:58 2023
0.003068;0.000000;-0.009204;0.000000;0.134254;0.000000;56.500000;95.500000;243.500000;96.500000;-0.005348;-0.534754;-0.306392;1;-0.006224;-1.775212;-0.002800;0.084843;0.000000;0.000000;-0.479123;0;Wed Jul  5 11:02:58 2023
0.003068;0.000000;-0.009204;0.000000;0.134162;0.000000;56.500000;95.500000;243.500000;96.500000;-0.005348;0.000000;-0.306392;1;-0.006132;-0.007243;-0.004049;-0.173495;-0.004049;-0.404903;0.080321;0;Wed Jul  5 11:02:58 2023
0.000000;-0.306796;-0.009204;0.000000;0.134070;0.000000;57.500000;96.500000;243.500000;96.500000;0.000000;0.534754;0.000000;1;-1.113439;1.233162;-0.003374;0.026750;0.000000;0.404903;0.455237;0;Wed Jul  5 11:02:58 2023
0.000000;0.000000;-0.009204;0.000000;0.133978;0.000000;56.500000;95.500000;243.500000;96.500000;-0.005348;-0.534754;-0.306392;1;-0.118683;-1.784723;-0.003030;0.115421;0.000000;0.000000;-0.479531;0;Wed Jul  5 11:02:58 2023
0.003068;0.306796;-0.006136;0.306796;0.133917;0.000000;56.500000;96.500000;243.500000;96.500000;0.000000;0.534754;0.000000;1;0.485841;0.955660;-0.002855;0.147333;0.000000;0.000000;0.518841;0;Wed Jul  5 11:02:58 2023
0.003068;0.000000;-0.003068;0.306796;0.133886;0.000000;56.500000;96.500000;243.500000;96.500000;0.000000;0.000000;0.000000;1;-0.513891;-0.711380;-0.001455;-0.012178;0.000000;0.000000;-0.009654;0;Wed Jul  5 11:02:58 2023
0.006136;0.306796;-0.003068;0.000000;0.133855;0.000000;56.500000;96.500000;243.500000;96.500000;0.000000;0.000000;0.000000;1;1.091377;0.008899;-0.000741;0.174330;0.000000;0.000000;0.050859;0;Wed Jul  5 11:02:58 2023
0.009204;0.306796;-0.000000;0.306796;0.133855;0.000000;56.500000;97.500000;243.500000;96.500000;0.005348;0.534754;0.306392;1;0.701176;0.843136;0.000934;0.202209;0.000000;0.000000;0.444318;0;Wed Jul  5 11:02:58 2023
0.009204;0.000000;-0.000000;0.000000;0.133855;0.000000;55.500000;97.500000;243.500000;96.500000;0.005319;-0.002844;0.304762;1;0.204350;-0.077858;0.003091;0.209489;0.000000;0.000000;-0.017763;0;Wed Jul  5 11:02:58 2023
0.006136;-0.306796;-0.003068;-0.306796;0.133824;0.000000;55.500000;97.500000;243.500000;96.500000;0.005319;0.000000;0.304762;1;-0.400082;0.519592;0.004183;0.084537;0.004183;0.418341;-0.001000;0;Wed Jul  5 11:02:58 2023
0.000000;-0.613592;-0.003068;0.000000;0.133794;0.000000;56.500000;96.500000;243.500000;97.500000;-0.005348;-1.066664;-0.306392;1;-2.118023;-3.021016;0.002124;-0.645809;0.000000;-0.418341;-0.916192;0;Wed Jul  5 11:02:58 2023
0.000000;0.000000;-0.006136;-0.306796;0.133732;0.000000;56.500000;96.500000;243.500000;97.500000;-0.005348;0.000000;-0.306392;1;0.374302;0.741993;-0.001540;-0.459575;0.000000;0.000000;0.130866;0;Wed Jul  5 11:02:58 2023
0.000000;0.000000;-0.006136;0.000000;0.133671;0.000000;56.500000;96.500000;243.500000;97.500000;-0.005348;0.000000;-0.306392;1;-0.123474;-0.335379;-0.003407;-0.087876;0.000000;0.000000;-0.026745;0;Wed Jul  5 11:02:58 2023
0.003068;0.306796;-0.000000;0.613592;0.133671;0.000000;56.500000;96.500000;243.500000;97.500000;-0.005348;0.000000;-0.306392;1;-0.021949;-1.194438;-0.004358;0.218956;-0.004358;-0.435834;0.029321;0;Wed Jul  5 11:02:58 2023
0.006136;0.306796;-0.000000;0.000000;0.133671;0.000000;55.500000;96.500000;243.500000;97.500000;-0.005319;0.002844;-0.304762;1;1.086463;0.021008;-0.004836;-0.011554;-0.004836;-0.047770;0.102521;0;Wed Jul  5 11:02:58 2023
0.009204;0.306796;0.003068;0.306796;0.133702;0.000000;55.500000;97.500000;243.500000;96.500000;0.005319;1.063820;0.304762;1;0.696231;2.151162;-0.002464;0.416838;0.000000;0.483603;0.887801;0;Wed Jul  5 11:02:58 2023
0.009204;0.000000;0.003068;0.000000;0.133732;0.000000;56.500000;98.500000;243.500000;97.500000;0.005348;0.002844;0.306392;1;0.199374;-0.293003;0.001360;0.501820;0.000000;0.000000;-0.062968;0;Wed Jul  5 11:02:58 2023
0.006136;-0.306796;0.003068;0.000000;0.133763;0.000000;56.500000;97.500000;244.500000;97.500000;0.000000;-0.534754;0.000000;1;-0.908055;-1.472268;0.002004;-0.064565;0.000000;0.000000;-0.433994;0;Wed Jul  5 11:02:58 2023
0.003068;-0.306796;-0.000000;-0.306796;0.133763;0.000000;56.500000;97.500000;243.500000;97.500000;0.000000;0.000000;0.000000;1;-0.517854;0.602049;0.001021;-0.519548;0.000000;0.000000;0.061828;0;Wed Jul  5 11:02:58 2023
0.000000;-0.306796;-0.000000;0.000000;0.133763;0.000000;56.500000;97.500000;243.500000;97.500000;0.000000;0.000000;0.000000;1;-1.128427;-0.222076;0.000520;-0.096662;0.000000;0.000000;-0.033136;0;Wed Jul  5 11:02:58 2023
0.000000;0.000000;-0.000000;0.000000;0.133763;0.000000;55.500000;96.500000;244.500000;97.500000;-0.005291;-0.529096;-0.303149;1;-0.133763;-1.527030;-0.001032;0.022760;0.000000;0.000000;-0.418043;0;Wed Jul  5 11:02:58 2023
0.003068;0.306796;0.003068;0.306796;0.133794;0.000000;55.500000;97.500000;243.500000;97.500000;0.000000;0.529096;0.000000;1;0.470669;0.944593;-0.001823;-0.003329;0.000000;0.000000;0.508412;0;Wed Jul  5 11:02:58 2023
0.009204;0.613592;0.006136;0.306796;0.133855;0.000000;56.500000;98.500000;243.500000;97.500000;0.005348;0.534754;0.306392;1;1.685643;0.770787;0.000382;0.276570;0.000000;0.000000;0.431396;0;Wed Jul  5 11:02:58 2023
0.012272;0.306796;0.009204;0.306796;0.133947;0.000000;55.500000;98.500000;243.500000;97.500000;0.005319;-0.002844;0.304762;1;0.798524;-0.593666;0.002810;0.485626;0.000000;0.000000;-0.015376;0;Wed Jul  5 11:02:58 2023
0.009204;-0.306796;0.009204;0.000000;0.134039;0.000000;56.500000;98.500000;243.500000;97.500000;0.005348;0.002844;0.306392;1;-0.805793;0.131039;0.004047;0.027104;0.004047;0.404727;0.040607;0;Wed Jul  5 11:02:58 2023
0.006136;-0.306796;0.006136;-0.306796;0.134101;0.000000;56.500000;98.500000;243.500000;97.500000;0.005348;0.000000;0.306392;1;-0.415653;0.505189;0.004685;-0.247091;0.004685;0.063725;-0.006319;0;Wed Jul  5 11:02:58 2023
0.003068;-0.306796;0.003068;-0.306796;0.134131;0.000000;55.500000;97.500000;243.500000;98.500000;-0.005319;-1.066664;-0.304762;1;-0.523320;-2.517572;0.002394;-0.478737;0.000000;-0.468452;-0.914265;0;Wed Jul  5 11:02:58 2023
0.003068;0.000000;0.003068;0.000000;0.134162;0.000000;56.500000;97.500000;243.500000;98.500000;-0.005348;-0.002844;-0.306392;1;-0.026525;0.104552;-0.001396;-0.341071;0.000000;0.000000;0.091023;0;Wed Jul  5 11:02:58 2023
0.003068;0.000000;0.003068;0.000000;0.134193;0.000000;56.500000;97.500000;243.500000;98.500000;-0.005348;0.000000;-0.306392;1;-0.026556;-0.205505;-0.003334;-0.190977;0.000000;0.000000;0.017360;0;Wed Jul  5 11:02:58 2023
0.003068;0.000000;0.003068;0.000000;0.134223;0.000000;56.500000;97.500000;243.500000;98.500000;-0.005348;0.000000;-0.306392;1;-0.026587;-0.214667;-0.004321;0.160661;-0.004321;-0.432092;0.025734;0;Wed Jul  5 11:02:58 2023
0.003068;0.000000;0.006136;0.306796;0.134285;0.000000;56.500000;97.500000;243.500000;98.500000;-0.005348;0.000000;-0.306392;1;-0.529584;-0.739225;-0.004824;0.063959;-0.004824;-0.050303;0.024785;0;Wed Jul  5 11:02:58 2023
0.003068;0.000000;0.006136;0.000000;0.134346;0.000000;56.500000;98.500000;243.500000;98.500000;0.000000;0.534754;0.000000;1;-0.031808;1.344548;-0.003769;0.195168;0.000000;0.482394;0.502016;0;Wed Jul  5 11:02:58 2023
0.003068;0.000000;0.006136;0.000000;0.134407;0.000000;55.500000;98.500000;243.500000;98.500000;0.000000;0.000000;0.000000;1;-0.031869;-0.357906;-0.001920;0.181219;0.000000;0.000000;-0.044027;0;Wed Jul  5 11:02:58 2023
0.006136;0.306796;0.009204;0.306796;0.134499;0.000000;56.500000;98.500000;243.500000;98.500000;0.000000;0.000000;0.000000;1;0.572501;-0.625130;-0.000978;0.120710;0.000000;0.000000;0.018030;0;Wed Jul  5 11:02:58 2023
0.006136;0.000000;0.009204;0.000000;0.134591;0.000000;56.500000;98.500000;243.500000;98.500000;0.000000;0.000000;0.000000;1;0.075584;-0.007377;-0.000498;-0.069708;0.000000;0.000000;0.049606;0;Wed Jul  5 11:02:58 2023
0.006136;0.000000;0.009204;0.000000;0.134684;0.000000;55.500000;98.500000;243.500000;98.500000;0.000000;0.000000;0.000000;1;0.075491;-0.133810;-0.000254;-0.071887;0.000000;0.000000;0.007866;0;Wed Jul  5 11:02:58 2023
0.006136;0.000000;0.009204;0.000000;0.134776;0.000000;56.500000;98.500000;243.500000;98.500000;0.000000;0.000000;0.000000;1;0.075399;-0.113919;-0.000129;0.030625;0.000000;0.000000;0.012617;0;Wed Jul  5 11:02:58 2023
0.003068;-0.306796;0.009204;0.000000;0.134868;0.000000;56.500000;98.500000;243.500000;98.500000;0.000000;0.000000;0.000000;1;-1.032091;-0.113403;-0.000066;0.079207;0.000000;0.000000;0.012086;0;Wed Jul  5 11:02:58 2023
0.003068;0.000000;0.009204;0.000000;0.134960;0.000000;56.500000;99.500000;243.500000;98.500000;0.005348;0.534754;0.306392;1;-0.037520;1.357754;0.001278;0.202776;0.000000;0.000000;0.450653;0;Wed Jul  5 11:02:58 2023
0.006136;0.306796;0.012272;0.306796;0.135082;0.000000;56.500000;99.500000;243.500000;98.500000;0.005348;0.000000;0.306392;1;0.566820;-0.704321;0.003273;0.178703;0.000000;0.000000;-0.052833;0;Wed Jul  5 11:02:58 2023
0.009204;0.306796;0.012272;0.000000;0.135205;0.000000;55.500000;98.500000;243.500000;98.500000;0.000000;-0.534754;0.000000;1;1.177270;-1.328337;0.002979;-0.097928;0.000000;0.000000;-0.395486;0;Wed Jul  5 11:02:58 2023
0.009204;0.000000;0.015340;0.306796;0.135358;0.000000;55.500000;99.500000;243.500000;98.500000;0.005319;0.531910;0.304762;1;-0.320483;1.050257;0.002822;-0.103983;0.000000;0.000000;0.495126;0;Wed Jul  5 11:02:58 2023
0.006136;-0.306796;0.012272;-0.306796;0.135481;0.000000;56.500000;99.500000;243.500000;98.500000;0.005348;0.002844;0.306392;1;-0.427230;0.437867;0.004053;0.084508;0.004053;0.405329;-0.016359;0;Wed Jul  5 11:02:58 2023
0.003068;-0.306796;0.012272;0.000000;0.135604;0.000000;56.500000;99.500000;243.500000;98.500000;0.005348;0.000000;0.306392;1;-1.037926;-0.105057;0.004688;0.302562;0.004688;0.063429;-0.037417;0;Wed Jul  5 11:02:58 2023
