Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jul  3 14:53:51 2023
Qube Frequency: 100.000000, Cam framerate: 100.000000
AlphaDotTransformVector: 0.500484, 0.831704, -15.747655, 0.691018, -0.631321
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.003068;0.306796;-0.006136;0.000000;0.141955;0.000000;56.500000;93.500000;244.500000;93.500000;0.000000;0.000000;0.000000;1;0.975641;-0.131758;0.000000;0.000000;0.000000;0.000000;0.000000;0;Mon Jul  3 14:54:06 2023
0.003068;0.000000;-0.006136;0.000000;0.141893;0.000000;56.500000;94.500000;243.500000;93.500000;0.005348;0.534754;0.306392;1;0.975641;1.376563;0.001311;0.255292;0.000000;0.000000;0.450368;0;Mon Jul  3 14:54:06 2023
0.003068;0.000000;-0.006136;0.000000;0.141893;0.000000;56.500000;93.500000;243.500000;94.500000;-0.005348;-1.069509;-0.306392;1;-0.018962;-3.127048;0.000668;-0.265451;0.000000;0.000000;-0.931464;0;Mon Jul  3 14:54:06 2023
0.000000;-0.306796;-0.009204;-0.306796;0.141801;0.000000;56.500000;93.500000;243.500000;93.500000;0.000000;0.534754;0.000000;1;-0.623332;2.188097;-0.000971;-0.165784;0.000000;0.000000;0.571370;0;Mon Jul  3 14:54:06 2023
-0.003068;-0.306796;-0.012272;-0.306796;0.141678;0.000000;56.500000;93.500000;244.500000;92.500000;0.005319;0.531910;0.304762;1;-0.730846;1.523119;0.000810;0.226735;0.000000;0.000000;0.344473;0;Mon Jul  3 14:54:06 2023
-0.006136;-0.306796;-0.015340;-0.306796;0.141525;0.000000;56.500000;92.500000;243.500000;94.500000;-0.010695;-1.601388;-0.612766;1;-0.838329;-4.172889;-0.000906;-0.174244;0.000000;0.000000;-1.394595;0;Mon Jul  3 14:54:06 2023
-0.009204;-0.306796;-0.015340;0.000000;0.141372;0.000000;56.500000;93.500000;244.500000;94.500000;-0.005319;0.537568;-0.304762;1;-1.448749;1.674274;-0.004388;-0.500255;-0.004388;-0.438802;0.601892;0;Mon Jul  3 14:54:06 2023
-0.009204;0.000000;-0.015340;0.000000;0.141218;0.000000;56.500000;93.500000;244.500000;92.500000;0.005319;1.063820;0.304762;1;-0.453932;2.491284;-0.002236;0.280167;0.000000;0.438802;0.829451;0;Mon Jul  3 14:54:06 2023
-0.003068;0.613592;-0.009204;0.613592;0.141126;0.000000;56.500000;93.500000;243.500000;94.500000;-0.005348;-1.066664;-0.306392;1;0.755085;-4.320043;-0.001146;0.534216;0.000000;0.000000;-0.973574;0;Mon Jul  3 14:54:06 2023
0.003068;0.613592;-0.003068;0.613592;0.141096;0.000000;56.500000;93.500000;244.500000;93.500000;0.000000;0.534754;0.000000;1;0.970389;0.912368;-0.001895;-0.145586;0.000000;0.000000;0.651948;0;Mon Jul  3 14:54:06 2023
