Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jul  3 13:48:29 2023
Qube Frequency: 100.000000, Cam framerate: 100.000000
AlphaDotTransformVector: 0.500484, 0.831704, -15.747655, 0.691018, -0.631321
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.006136;-0.306796;0.018408;0.000000;0.213346;0.000000;55.500000;101.500000;244.500000;100.500000;0.005291;0.529096;0.303149;1;-1.013130;-1.190928;0.001297;0.252590;0.000000;0.000000;0.063148;0;Mon Jul  3 13:48:46 2023
0.006136;0.000000;0.018408;0.000000;0.213530;0.000000;56.500000;102.500000;243.500000;100.500000;0.010695;0.540382;0.612766;1;-0.018650;-0.075798;0.004581;0.500517;0.004581;0.458070;0.124304;0;Mon Jul  3 13:48:46 2023
0.009204;0.306796;0.021476;0.306796;0.213745;0.000000;57.500000;102.500000;243.500000;101.500000;0.005376;-0.531849;0.308039;1;0.585597;0.477954;0.006274;0.062266;0.006274;0.169379;-0.077970;0;Mon Jul  3 13:48:46 2023
0.012272;0.306796;0.024544;0.306796;0.213990;0.000000;56.500000;103.500000;244.500000;100.500000;0.015956;1.057980;0.914217;1;0.692989;0.551727;0.008428;0.198664;0.008428;0.215306;0.275715;0;Mon Jul  3 13:48:46 2023
0.012272;0.000000;0.024544;0.000000;0.214236;0.000000;56.500000;103.500000;243.500000;100.500000;0.016041;0.008531;0.919105;1;0.195918;0.191059;0.012140;0.294116;0.012140;0.371207;0.009162;0;Mon Jul  3 13:48:46 2023
0.012272;0.000000;0.024544;0.000000;0.214481;0.000000;57.500000;102.500000;243.500000;101.500000;0.005376;-1.066511;0.308039;1;0.195672;0.164986;0.011437;-0.165347;0.011437;-0.070287;-0.139410;0;Mon Jul  3 13:48:46 2023
0.012272;0.000000;0.024544;0.000000;0.214727;0.000000;56.500000;102.500000;243.500000;101.500000;0.005348;-0.002875;0.306392;1;0.195427;0.055229;0.008457;-0.722640;0.008457;-0.298025;-0.082331;0;Mon Jul  3 13:48:46 2023
0.009204;-0.306796;0.021476;-0.306796;0.214941;0.000000;56.500000;103.500000;244.500000;101.500000;0.010638;0.529035;0.609507;1;-0.409250;-0.445102;0.008228;0.020699;0.008228;-0.022829;0.076909;0;Mon Jul  3 13:48:46 2023
0.009204;0.000000;0.021476;0.000000;0.215156;0.000000;57.500000;101.500000;244.500000;101.500000;0.000000;-1.063790;0.000000;1;0.087361;-0.000947;0.006801;0.134346;0.006801;-0.142753;-0.193395;0;Mon Jul  3 13:48:46 2023
0.009204;0.000000;0.021476;0.000000;0.215371;0.000000;56.500000;103.500000;244.500000;101.500000;0.010638;1.063790;0.609507;1;0.087146;-0.027888;0.006073;0.089134;0.006073;-0.072733;0.208012;0;Mon Jul  3 13:48:46 2023
0.009204;0.000000;0.021476;0.000000;0.215586;0.000000;56.500000;103.500000;245.500000;101.500000;0.010582;-0.005628;0.606282;1;0.086931;0.053622;0.008297;0.015818;0.008297;0.222404;-0.125940;0;Mon Jul  3 13:48:46 2023
0.009204;0.000000;0.021476;0.000000;0.215800;0.000000;57.500000;102.500000;244.500000;101.500000;0.005348;-0.523407;0.306392;1;0.086716;0.047379;0.008133;0.204861;0.008133;-0.016405;0.080189;0;Mon Jul  3 13:48:46 2023
0.009204;0.000000;0.021476;0.000000;0.216015;0.000000;56.500000;102.500000;244.500000;101.500000;0.005319;-0.002844;0.304762;1;0.086501;-0.003323;0.006759;-0.356914;0.006759;-0.137395;-0.095956;0;Mon Jul  3 13:48:46 2023
0.009204;0.000000;0.021476;0.000000;0.216230;0.000000;56.500000;103.500000;244.500000;101.500000;0.010638;0.531880;0.609507;1;0.086287;0.018406;0.007357;0.007625;0.007357;0.059717;0.078998;0;Mon Jul  3 13:48:46 2023
