Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jul  3 14:11:58 2023
Qube Frequency: 100.000000, Cam framerate: 100.000000
AlphaDotTransformVector: 0.500484, 0.831704, -15.747655, 0.691018, -0.631321
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.003068;0.000000;-0.000000;0.000000;0.082344;0.000000;56.500000;101.500000;245.500000;99.500000;0.010582;1.058162;0.606282;1;0.030391;2.071397;0.002595;0.505166;0.000000;0.000000;0.634897;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.000000;0.000000;0.082344;0.000000;57.500000;100.500000;245.500000;100.500000;0.000000;-1.058162;0.000000;1;0.030391;-2.679285;0.003917;-0.020102;0.000000;0.000000;-0.845396;0;Mon Jul  3 14:12:10 2023
0.006136;0.306796;-0.000000;0.000000;0.082344;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.531910;0.304762;1;1.137790;1.819201;0.003300;-0.094218;0.000000;0.000000;0.549117;0;Mon Jul  3 14:12:10 2023
0.006136;0.000000;-0.000000;0.000000;0.082344;0.000000;56.500000;100.500000;245.500000;100.500000;0.000000;-0.531910;0.000000;1;0.143126;-1.512101;0.002985;-0.412077;0.000000;0.000000;-0.474834;0;Mon Jul  3 14:12:10 2023
0.003068;-0.306796;-0.000000;0.000000;0.082344;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.531910;0.304762;1;-0.964273;1.498381;0.002825;0.362463;0.000000;0.000000;0.455540;0;Mon Jul  3 14:12:10 2023
0.000000;-0.306796;-0.003068;-0.306796;0.082313;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.000000;0.304762;1;-0.574041;0.141227;0.004048;0.143984;0.004048;0.404799;-0.132057;0;Mon Jul  3 14:12:10 2023
0.003068;0.306796;-0.000000;0.306796;0.082313;0.000000;56.500000;100.500000;243.500000;100.500000;0.000000;-0.531910;0.000000;1;0.527247;-1.716468;0.003367;-0.204903;0.000000;-0.404799;-0.388646;0;Mon Jul  3 14:12:10 2023
0.006136;0.306796;-0.000000;0.000000;0.082313;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.531910;0.304762;1;1.137820;1.709897;0.003020;-0.084061;0.000000;0.000000;0.518569;0;Mon Jul  3 14:12:10 2023
0.006136;0.000000;-0.000000;0.000000;0.082313;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.000000;0.304762;1;0.143157;-0.409696;0.004147;0.194056;0.004147;0.414696;-0.147980;0;Mon Jul  3 14:12:10 2023
0.003068;-0.306796;-0.000000;0.000000;0.082313;0.000000;56.500000;99.500000;245.500000;99.500000;0.000000;-0.531910;0.000000;1;-0.964242;-0.925499;0.003417;-0.009204;0.000000;-0.414696;-0.298803;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;-0.306796;0.082283;0.000000;56.500000;100.500000;243.500000;100.500000;0.000000;0.000000;0.000000;1;0.533389;0.782692;0.001741;-0.421552;0.000000;0.000000;0.091935;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;0.000000;0.082252;0.000000;56.500000;100.500000;245.500000;100.500000;0.000000;0.000000;0.000000;1;0.035581;-0.344664;0.000887;-0.126874;0.000000;0.000000;-0.092565;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;0.000000;0.082221;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.531910;0.304762;1;0.035612;1.147975;0.001756;0.497996;0.000000;0.000000;0.357967;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;0.000000;0.082191;0.000000;57.500000;100.500000;244.500000;99.500000;0.005348;0.002844;0.306392;1;0.035643;-0.294219;0.003510;0.228004;0.000000;0.000000;-0.106756;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;0.000000;0.082160;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;-0.002844;0.304762;1;0.035673;0.107463;0.004404;-0.052530;0.004404;0.440393;0.007001;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;0.000000;0.082129;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.000000;0.304762;1;0.035704;0.036928;0.004852;-0.085273;0.004852;0.044836;-0.019846;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;0.000000;0.082099;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.000000;0.304762;1;0.035735;0.067313;0.005081;0.064285;0.005081;0.022844;-0.013073;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;0.000000;0.082068;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.000000;0.304762;1;0.035765;0.066055;0.005197;0.009824;0.005197;0.011639;-0.014789;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;0.000000;0.082037;0.000000;56.500000;100.500000;243.500000;99.500000;0.005348;0.002844;0.306392;1;0.035796;0.075440;0.005263;-0.038822;0.005263;0.006627;-0.012655;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;0.000000;0.082007;0.000000;57.500000;99.500000;244.500000;99.500000;0.000000;-0.534754;0.000000;1;0.035827;-1.019331;0.003993;-0.234147;0.000000;-0.526339;-0.335939;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;0.000000;0.081976;0.000000;56.500000;100.500000;245.500000;99.500000;0.005291;0.529096;0.303149;1;0.035857;1.399736;0.003332;0.020289;0.000000;0.000000;0.417688;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;0.000000;0.081945;0.000000;56.500000;100.500000;243.500000;100.500000;0.000000;-0.529096;0.000000;1;0.035888;-1.396153;0.002995;-0.103739;0.000000;0.000000;-0.440873;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;0.000000;0.081915;0.000000;56.500000;100.500000;245.500000;99.500000;0.005291;0.529096;0.303149;1;0.035919;1.466984;0.002823;0.220314;0.000000;0.000000;0.444175;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;0.000000;0.081884;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.002814;0.304762;1;0.035949;-0.344708;0.004040;0.048821;0.004040;0.404002;-0.128428;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.003068;0.000000;0.081853;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.000000;0.304762;1;0.035980;0.141090;0.004667;0.132518;0.004667;0.062686;0.014298;0;Mon Jul  3 14:12:10 2023
0.000000;-0.306796;-0.003068;0.000000;0.081823;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.000000;0.304762;1;-1.071388;0.035984;0.004986;-0.061738;0.004986;0.031938;-0.021750;0;Mon Jul  3 14:12:10 2023
0.003068;0.306796;-0.000000;0.306796;0.081823;0.000000;56.500000;101.500000;243.500000;100.500000;0.005348;0.002844;0.306392;1;0.527738;-0.425690;0.005156;-0.025794;0.005156;0.016970;-0.010946;0;Mon Jul  3 14:12:10 2023
0.006136;0.306796;-0.000000;0.000000;0.081823;0.000000;56.500000;100.500000;245.500000;99.500000;0.005291;-0.005659;0.303149;1;1.138311;0.327347;0.005236;0.023591;0.005236;0.007956;0.066866;0;Mon Jul  3 14:12:10 2023
0.006136;0.000000;0.003068;0.306796;0.081853;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.002814;0.304762;1;-0.359320;-0.495389;0.005269;0.000499;0.005269;0.003356;-0.032145;0;Mon Jul  3 14:12:10 2023
0.003068;-0.306796;-0.000000;-0.306796;0.081853;0.000000;56.500000;100.500000;243.500000;99.500000;0.005348;0.002844;0.306392;1;-0.465944;0.865331;0.005300;0.002600;0.005300;0.003098;0.078527;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.000000;0.000000;0.081853;0.000000;56.500000;100.500000;244.500000;100.500000;0.000000;-0.534754;0.000000;1;0.030882;-1.369985;0.004012;-0.259685;0.004012;-0.128846;-0.442781;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.000000;0.000000;0.081853;0.000000;56.500000;101.500000;244.500000;100.500000;0.005319;0.531910;0.304762;1;0.030882;1.491522;0.003348;0.002104;0.000000;-0.401160;0.447347;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.000000;0.000000;0.081853;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.000000;0.304762;1;0.030882;-0.345072;0.004314;0.190514;0.004314;0.431437;-0.130087;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;-0.000000;0.000000;0.081853;0.000000;56.500000;100.500000;245.500000;99.500000;0.005291;-0.002814;0.303149;1;0.030882;0.140048;0.004800;0.199851;0.004800;0.048539;0.014043;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;0.003068;0.306796;0.081884;0.000000;56.500000;100.500000;244.500000;99.500000;0.005319;0.002814;0.304762;1;-0.472085;-0.460311;0.005047;-0.160886;0.005047;0.024730;-0.018799;0;Mon Jul  3 14:12:10 2023
0.003068;0.000000;0.003068;0.000000;0.081915;0.000000;57.500000;100.500000;244.500000;100.500000;0.000000;-0.531910;0.000000;1;0.025722;-0.741147;0.003876;-0.291207;0.000000;-0.504706;-0.245690;0;Mon Jul  3 14:12:10 2023
0.006136;0.306796;0.003068;0.000000;0.081945;0.000000;56.500000;101.500000;245.500000;99.500000;0.010582;1.058162;0.606282;1;1.133090;2.396886;0.004569;0.355098;0.004569;0.456929;0.714360;0;Mon Jul  3 14:12:10 2023
