Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Wed Jul  5 15:11:39 2023
Qube Frequency: 125.000000, Cam framerate: 125.000000
AlphaDotTransformVector: 0.400387, 0.665363, -12.598124, 0.552815, -0.305057
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.006136;0.000000;0.024544;0.000000;0.191073;0.000000;54.500000;109.500000;243.500000;109.500000;0.000000;0.000000;0.000000;1;-0.006193;-0.231663;0.000000;0.000000;0.000000;0.000000;0.000000;0;Wed Jul  5 15:11:55 2023
0.006136;0.000000;0.024544;0.000000;0.191073;0.000000;54.500000;109.500000;243.500000;109.500000;0.000000;0.000000;0.000000;1;-0.006389;-0.177730;0.000000;0.000000;0.000000;0.000000;0.016696;0;Wed Jul  5 15:11:55 2023
0.009204;0.383495;0.024544;0.000000;0.191269;0.000000;54.500000;109.500000;242.500000;109.500000;0.000000;0.000000;0.000000;1;1.349479;-0.180852;0.000000;0.000000;0.000000;0.000000;0.015793;0;Wed Jul  5 15:11:55 2023
0.009204;0.000000;0.024544;0.000000;0.191465;0.000000;54.500000;109.500000;242.500000;108.500000;0.005319;0.664887;0.304762;1;0.105953;1.634701;0.001304;0.317417;0.000000;0.000000;0.561065;0;Wed Jul  5 15:11:55 2023
0.009204;0.000000;0.024544;0.000000;0.191662;0.000000;54.500000;109.500000;243.500000;109.500000;0.000000;-0.664887;0.000000;1;0.105757;-2.012444;0.001969;-0.012631;0.000000;0.000000;-0.571339;0;Wed Jul  5 15:11:55 2023
0.006136;-0.383495;0.024544;0.000000;0.191858;0.000000;55.500000;108.500000;242.500000;109.500000;-0.005348;-0.668443;-0.306392;1;-1.250505;-1.865012;-0.000308;-0.537873;0.000000;0.000000;-0.499998;0;Wed Jul  5 15:11:55 2023
0.003068;-0.383495;0.021476;-0.383495;0.192030;0.000000;55.500000;108.500000;243.500000;109.500000;-0.005319;0.003555;-0.304762;1;-0.736015;0.484841;-0.002772;-0.557295;0.000000;0.000000;0.059264;0;Wed Jul  5 15:11:55 2023
0.006136;0.383495;0.021476;0.000000;0.192202;0.000000;55.500000;108.500000;243.500000;109.500000;-0.005319;0.000000;-0.304762;1;1.240910;-0.417603;-0.004021;0.093299;-0.004021;-0.502632;-0.012941;0;Wed Jul  5 15:11:55 2023
0.006136;0.000000;0.024544;0.383495;0.192398;0.000000;55.500000;108.500000;243.500000;109.500000;-0.005319;0.000000;-0.304762;1;-0.630012;-0.931958;-0.004657;0.232125;-0.004657;-0.079520;0.029196;0;Wed Jul  5 15:11:55 2023
0.009204;0.383495;0.024544;0.000000;0.192594;0.000000;54.500000;109.500000;243.500000;109.500000;0.000000;0.664887;0.000000;1;1.348154;1.611232;-0.003677;0.202865;0.000000;0.582152;0.610632;0;Wed Jul  5 15:11:55 2023
