Starting new run:  K= -0.707100, -1.195200, 29.098000, -1.252100, 2.479700 - Wed Jul  5 15:22:51 2023
Qube Frequency: 100.000000, Cam framerate: 100.000000
AlphaDotTransformVector: 0.353892, 0.598178, -11.920003, 0.505539, -0.249752
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.006136;0.000000;0.024544;0.000000;0.152815;0.000000;55.500000;106.500000;242.500000;105.500000;0.005348;0.534754;0.306392;1;0.041153;0.988108;0.001311;0.255292;0.000000;0.000000;0.438498;0;Wed Jul  5 15:23:06 2023
0.006136;0.000000;0.024544;0.000000;0.152815;0.000000;55.500000;106.500000;243.500000;107.500000;-0.005319;-1.066664;-0.304762;1;0.041153;-2.333296;0.000675;-0.264093;0.000000;0.000000;-0.893474;0;Wed Jul  5 15:23:06 2023
0.006136;0.000000;0.024544;0.000000;0.153061;0.000000;55.500000;106.500000;243.500000;107.500000;-0.005319;0.000000;-0.304762;1;0.040979;-0.044865;-0.002265;-0.419771;0.000000;0.000000;0.063956;0;Wed Jul  5 15:23:06 2023
0.006136;0.000000;0.024544;0.000000;0.153306;0.000000;55.500000;106.500000;242.500000;107.500000;-0.005348;-0.002844;-0.306392;1;0.040806;-0.201298;-0.003769;-0.273322;0.000000;0.000000;0.018598;0;Wed Jul  5 15:23:06 2023
0.006136;0.000000;0.024544;0.000000;0.153551;0.000000;55.500000;106.500000;243.500000;107.500000;-0.005319;0.002844;-0.304762;1;0.040632;-0.206966;-0.004536;0.276581;-0.004536;-0.453589;0.025378;0;Wed Jul  5 15:23:06 2023
0.006136;0.000000;0.024544;0.000000;0.153797;0.000000;55.500000;106.500000;243.500000;107.500000;-0.005319;0.000000;-0.304762;1;0.040459;-0.224954;-0.004920;0.043305;-0.004920;-0.038363;0.022696;0;Wed Jul  5 15:23:06 2023
0.006136;0.000000;0.024544;0.000000;0.154042;0.000000;55.500000;106.500000;243.500000;105.500000;0.005319;1.063820;0.304762;1;0.040285;2.008547;-0.002506;0.366251;0.000000;0.491952;0.895164;0;Wed Jul  5 15:23:06 2023
0.006136;0.000000;0.024544;0.000000;0.154288;0.000000;55.500000;106.500000;242.500000;105.500000;0.005348;0.002844;0.306392;1;0.040112;-0.190907;0.001338;0.502958;0.000000;0.000000;-0.036867;0;Wed Jul  5 15:23:06 2023
0.006136;0.000000;0.024544;0.000000;0.154533;0.000000;55.500000;106.500000;241.500000;106.500000;0.000000;-0.534754;0.000000;1;0.039938;-1.161371;0.001993;-0.043339;0.000000;0.000000;-0.435844;0;Wed Jul  5 15:23:06 2023
0.006136;0.000000;0.024544;0.000000;0.154779;0.000000;55.500000;106.500000;243.500000;105.500000;0.005319;0.531910;0.304762;1;0.039764;1.089831;0.002320;-0.281651;0.000000;0.000000;0.468246;0;Wed Jul  5 15:23:06 2023
0.006136;0.000000;0.024544;0.000000;0.155024;0.000000;55.500000;106.500000;243.500000;107.500000;-0.005319;-1.063820;-0.304762;1;0.039591;-2.317180;0.001182;-0.358626;0.000000;0.000000;-0.892293;0;Wed Jul  5 15:23:06 2023
