Starting new run:  K= -0.707100, -1.195200, 29.098000, -1.252100, 2.479700 - Wed Jul  5 15:28:22 2023
Qube Frequency: 150.000000, Cam framerate: 150.000000
AlphaDotTransformVector: 0.235928, 0.398786, -7.946669, 0.337026, 0.166832
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;camControl;systemTime
0.006136;0.000000;0.033748;0.000000;0.074838;0.000000;55.500000;106.500000;243.500000;105.500000;0.005319;0.797865;0.304762;1;0.085290;1.567040;0.001304;0.380901;0.000000;0.000000;0.654249;0;Wed Jul  5 15:28:38 2023
0.006136;0.000000;0.033748;0.000000;0.074838;0.000000;55.500000;106.500000;243.500000;105.500000;0.005319;0.000000;0.304762;1;0.085290;0.045724;0.003273;0.365743;0.000000;0.000000;0.017639;0;Wed Jul  5 15:28:38 2023
0.006136;0.000000;0.033748;0.000000;0.075063;0.000000;55.500000;106.500000;243.500000;106.500000;0.000000;-0.797865;0.000000;1;0.085131;-1.632945;0.002972;-0.277667;0.000000;0.000000;-0.655727;0;Wed Jul  5 15:28:38 2023
0.006136;0.000000;0.033748;0.000000;0.075288;0.000000;55.500000;106.500000;243.500000;106.500000;0.000000;0.000000;0.000000;1;0.084972;-0.084429;0.001514;-0.565601;0.000000;0.000000;-0.014081;0;Wed Jul  5 15:28:38 2023
0.006136;0.000000;0.033748;0.000000;0.075513;0.000000;55.500000;106.500000;243.500000;106.500000;0.000000;0.000000;0.000000;1;0.084813;-0.058396;0.000771;-0.089303;0.000000;0.000000;0.005197;0;Wed Jul  5 15:28:38 2023
0.006136;0.000000;0.033748;0.000000;0.075738;0.000000;55.500000;106.500000;243.500000;106.500000;0.000000;0.000000;0.000000;1;0.084654;-0.068106;0.000393;0.290860;0.000000;0.000000;0.005785;0;Wed Jul  5 15:28:38 2023
0.006136;0.000000;0.033748;0.000000;0.075963;0.000000;55.500000;106.500000;243.500000;106.500000;0.000000;0.000000;0.000000;1;0.084495;-0.073808;0.000200;-0.045317;0.000000;0.000000;0.005813;0;Wed Jul  5 15:28:38 2023
0.006136;0.000000;0.033748;0.000000;0.076188;0.000000;55.500000;106.500000;243.500000;106.500000;0.000000;0.000000;0.000000;1;0.084336;-0.076799;0.000102;-0.131670;0.000000;0.000000;0.005823;0;Wed Jul  5 15:28:38 2023
0.009204;0.460194;0.033748;0.000000;0.076413;0.000000;55.500000;106.500000;243.500000;106.500000;0.000000;0.000000;0.000000;1;1.314592;-0.078390;0.000052;0.059602;0.000000;0.000000;0.005833;0;Wed Jul  5 15:28:38 2023
0.009204;0.000000;0.033748;0.000000;0.076638;0.000000;55.500000;106.500000;243.500000;105.500000;0.005319;0.797865;0.304762;1;0.173289;1.581026;0.001331;0.440877;0.000000;0.000000;0.660092;0;Wed Jul  5 15:28:38 2023
