Starting new run: Thu Jun  8 12:54:22 2023

cameraAngle;alphaCam;alphaDotCam;alphaQube;alphaDotQube;Kx;KxCam;systemTime
0.000000;0.000000;0.000000;0.003068;-0.230097;-0.936508;-0.125459;Thu Jun  8 12:54:32 2023
0.023948;0.000418;0.040742;0.003068;0.000000;0.018305;0.062937;Thu Jun  8 12:54:32 2023
0.018180;0.000317;-0.009813;0.003068;0.000000;0.017939;-0.152019;Thu Jun  8 12:54:32 2023
0.018070;0.000315;-0.000186;0.003068;0.000000;0.017573;-0.112513;Thu Jun  8 12:54:32 2023
-0.005917;-0.000103;-0.040811;0.003068;0.000000;0.017207;-0.301188;Thu Jun  8 12:54:32 2023
0.017962;0.000313;0.040627;0.003068;0.000000;-0.570482;-0.531232;Thu Jun  8 12:54:32 2023
0.006024;0.000105;-0.020311;0.006136;0.230097;1.095698;-0.227116;Thu Jun  8 12:54:32 2023
0.005952;0.000104;-0.000122;0.006136;0.000000;0.139787;-0.144098;Thu Jun  8 12:54:32 2023
0.017962;0.000313;0.020435;0.006136;0.000000;0.139056;-0.049645;Thu Jun  8 12:54:32 2023
0.006024;0.000105;-0.020317;0.003068;-0.230097;-0.373661;0.357989;Thu Jun  8 12:54:32 2023
0.000000;0.000000;-0.010252;0.003068;0.000000;0.013549;-0.173139;Thu Jun  8 12:54:32 2023
0.011975;0.000209;0.020381;0.003068;0.000000;0.013183;-0.036524;Thu Jun  8 12:54:33 2023
0.024238;0.000423;0.020869;0.003068;0.000000;0.012817;-0.024808;Thu Jun  8 12:54:33 2023
0.024092;0.000420;-0.000248;0.003068;0.000000;0.012451;-0.112956;Thu Jun  8 12:54:33 2023
0.011975;0.000209;-0.020623;0.003068;0.000000;0.012085;-0.207834;Thu Jun  8 12:54:33 2023
0.005988;0.000105;-0.010192;0.003068;0.000000;0.011719;-0.169808;Thu Jun  8 12:54:33 2023
0.012048;0.000210;0.010315;0.000000;-0.230097;-1.087956;-0.080080;Thu Jun  8 12:54:33 2023
0.012048;0.000210;0.000000;0.003068;0.230097;0.378843;-0.710588;Thu Jun  8 12:54:33 2023
0.023948;0.000418;0.020254;0.009204;0.460194;1.601829;-0.637205;Thu Jun  8 12:54:33 2023
0.030111;0.000526;0.010490;0.009204;0.000000;0.257977;-0.106175;Thu Jun  8 12:54:33 2023
0.011975;0.000209;-0.030865;0.003068;-0.460194;-1.354415;0.293506;Thu Jun  8 12:54:33 2023
0.017962;0.000313;0.010189;0.000000;-0.230097;-0.524377;0.487827;Thu Jun  8 12:54:33 2023
0.005952;0.000104;-0.020439;0.006136;0.460194;0.886803;-1.391782;Thu Jun  8 12:54:33 2023
0.018070;0.000315;0.020623;0.009204;0.230097;1.209863;-0.077279;Thu Jun  8 12:54:33 2023
0.006061;0.000106;-0.020438;0.006136;-0.230097;-0.845723;-0.258677;Thu Jun  8 12:54:33 2023
0.005952;0.000104;-0.000184;0.000000;-0.460194;-0.915611;0.998863;Thu Jun  8 12:54:33 2023
0.000000;0.000000;-0.010130;0.003068;0.230097;0.371159;-0.770202;Thu Jun  8 12:54:33 2023
0.000000;0.000000;0.000000;0.003068;0.000000;-0.017148;-0.161278;Thu Jun  8 12:54:33 2023
0.011904;0.000208;0.020260;0.006136;0.230097;0.494105;-0.655471;Thu Jun  8 12:54:33 2023
0.023805;0.000415;0.020254;0.006136;0.000000;0.105432;-0.079231;Thu Jun  8 12:54:33 2023
0.005988;0.000105;-0.030322;0.006136;0.000000;0.104334;-0.304887;Thu Jun  8 12:54:33 2023
0.005952;0.000104;-0.000061;0.006136;0.000000;0.103237;-0.180394;Thu Jun  8 12:54:33 2023
0.018070;0.000315;0.020623;0.006136;0.000000;0.102139;-0.085693;Thu Jun  8 12:54:33 2023
0.024092;0.000420;0.010247;0.006136;0.000000;0.101041;-0.124926;Thu Jun  8 12:54:33 2023
0.000000;0.000000;-0.041001;0.006136;0.000000;0.099944;-0.358520;Thu Jun  8 12:54:33 2023
0.012048;0.000210;0.020504;0.009204;0.230097;1.198155;-0.094421;Thu Jun  8 12:54:33 2023
0.012048;0.000210;0.000000;0.006136;-0.230097;-0.270107;0.406691;Thu Jun  8 12:54:33 2023
0.029931;0.000522;0.030438;0.000000;-0.460194;-1.494557;0.566699;Thu Jun  8 12:54:33 2023
0.000000;0.000000;-0.050944;0.000000;0.000000;0.435156;0.223676;Thu Jun  8 12:54:33 2023
0.000000;0.000000;0.000000;0.003068;0.230097;0.379537;-0.719771;Thu Jun  8 12:54:33 2023
0.017962;0.000313;0.030573;0.006136;0.230097;1.090905;-0.010890;Thu Jun  8 12:54:33 2023
0.017440;0.000304;-0.000889;0.003068;-0.230097;-0.963949;-0.142289;Thu Jun  8 12:54:33 2023
0.017962;0.000313;0.000889;0.003068;0.000000;0.578188;0.452475;Thu Jun  8 12:54:33 2023
0.018070;0.000315;0.000184;0.003068;0.000000;0.010585;-0.117964;Thu Jun  8 12:54:33 2023
0.000000;0.000000;-0.030761;0.000000;-0.230097;-0.501400;0.326084;Thu Jun  8 12:54:33 2023
0.005988;0.000105;0.010193;0.000000;0.000000;0.473865;0.521088;Thu Jun  8 12:54:33 2023
-0.005988;-0.000105;-0.020385;0.000000;0.000000;-0.093007;-0.182541;Thu Jun  8 12:54:33 2023
0.006024;0.000105;0.020446;-0.003068;-0.230097;-1.191584;-0.002459;Thu Jun  8 12:54:33 2023
-0.006024;-0.000105;-0.020507;0.000000;0.230097;0.863636;-0.181613;Thu Jun  8 12:54:33 2023
0.005988;0.000105;0.020445;0.003068;0.230097;0.421174;-0.588354;Thu Jun  8 12:54:33 2023
