Starting new run: Thu Jun  8 13:04:37 2023

cameraAngle;alphaCam;alphaDotCam;alphaQube;alphaDotQube;Kx;KxCam;systemTime
0.000000;0.000000;0.000000;0.006136;0.000000;0.121822;-0.166437;Thu Jun  8 13:04:46 2023
0.000000;0.000000;0.000000;0.003068;-0.230097;-0.390528;0.420521;Thu Jun  8 13:04:46 2023
0.012048;0.000210;0.020752;0.003068;0.000000;-0.002953;-0.051058;Thu Jun  8 13:04:47 2023
0.000000;0.000000;-0.020752;0.006136;0.230097;0.509032;-0.820552;Thu Jun  8 13:04:47 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.121091;-0.167169;Thu Jun  8 13:04:47 2023
0.011975;0.000209;0.020625;0.003068;-0.230097;-0.391260;0.515228;Thu Jun  8 13:04:47 2023
0.005952;0.000104;-0.010374;0.003068;0.000000;-0.003685;-0.185997;Thu Jun  8 13:04:47 2023
0.036348;0.000634;0.052349;0.006136;0.230097;0.508300;-0.488026;Thu Jun  8 13:04:47 2023
0.000000;0.000000;-0.062596;0.006136;0.000000;0.120359;-0.427751;Thu Jun  8 13:04:47 2023
0.005952;0.000104;0.010250;0.003068;-0.230097;-0.391992;0.466488;Thu Jun  8 13:04:47 2023
-0.005988;-0.000105;-0.020562;0.003068;0.000000;-0.004416;-0.238815;Thu Jun  8 13:04:47 2023
0.000000;0.000000;0.010314;0.003068;0.000000;-0.004416;-0.105730;Thu Jun  8 13:04:47 2023
0.012048;0.000210;0.020753;0.006136;0.230097;0.507569;-0.639843;Thu Jun  8 13:04:47 2023
0.000000;0.000000;-0.020756;0.006136;0.000000;0.119627;-0.254794;Thu Jun  8 13:04:47 2023
0.005952;0.000104;0.010256;0.003068;-0.230097;-0.392724;0.465781;Thu Jun  8 13:04:47 2023
0.011975;0.000209;0.010379;0.003068;0.000000;-0.005148;-0.096373;Thu Jun  8 13:04:47 2023
0.006024;0.000105;-0.010256;0.006136;0.230097;1.094161;-0.186914;Thu Jun  8 13:04:47 2023
0.000000;0.000000;-0.010381;0.006136;0.000000;0.138982;-0.192370;Thu Jun  8 13:04:47 2023
0.005952;0.000104;0.010258;0.000000;-0.460194;-1.472312;0.485509;Thu Jun  8 13:04:47 2023
0.000000;0.000000;-0.010259;0.000000;0.000000;-0.129191;-0.171777;Thu Jun  8 13:04:47 2023
0.005988;0.000105;0.010320;0.003068;0.230097;0.383159;-0.668397;Thu Jun  8 13:04:47 2023
0.005952;0.000104;-0.000061;0.009204;0.460194;2.194202;-0.143921;Thu Jun  8 13:04:47 2023
0.012048;0.000210;0.010505;0.006136;-0.230097;-0.815466;-0.095057;Thu Jun  8 13:04:47 2023
0.017855;0.000312;0.010009;0.000000;-0.460194;-0.296932;1.669614;Thu Jun  8 13:04:47 2023
0.000000;0.000000;-0.030773;-0.006136;-0.460194;-1.699581;0.371293;Thu Jun  8 13:04:47 2023
0.000000;0.000000;0.000000;-0.003068;0.230097;0.743946;-0.067103;Thu Jun  8 13:04:47 2023
-0.005952;-0.000104;-0.010257;0.000000;0.230097;-0.285109;-1.287745;Thu Jun  8 13:04:47 2023
-0.006024;-0.000105;-0.000124;0.000000;0.000000;-0.104349;-0.109801;Thu Jun  8 13:04:47 2023
0.000000;0.000000;0.010379;0.003068;0.230097;0.408368;-0.647856;Thu Jun  8 13:04:47 2023
0.000000;0.000000;0.000000;0.006136;0.230097;0.533143;-0.710296;Thu Jun  8 13:04:47 2023
0.005988;0.000105;0.010316;0.006136;0.000000;0.145568;-0.094960;Thu Jun  8 13:04:47 2023
