Starting new run: Thu Jun  8 13:11:00 2023

cameraAngle;alphaCam;alphaDotCam;alphaQube;alphaDotQube;Kx;KxCam;systemTime
0.000000;0.000000;0.000000;0.003068;-0.306796;-1.249633;-0.120191;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.800373;0.656243;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.043843;-0.100287;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.044117;-0.100013;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.000000;-0.306796;-0.596877;0.676695;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.000000;0.000000;-0.079561;-0.079561;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.000000;0.000000;-0.079012;-0.079012;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.003068;0.306796;1.339239;-0.078463;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.000000;-0.306796;-1.351486;-0.077914;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.000000;0.000000;-0.077365;-0.077365;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.000000;0.000000;-0.076817;-0.076817;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.000000;0.000000;-0.076268;-0.076268;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.003068;0.306796;1.341983;-0.075719;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.068960;-0.075170;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.000000;-0.306796;-0.571760;0.701812;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;-0.003068;-0.306796;-1.471871;-0.054169;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;-0.003068;0.000000;-0.197476;-0.053346;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.000000;0.306796;0.444616;-0.828956;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.003068;0.306796;0.569665;-0.848037;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.006136;0.306796;1.470874;-0.090957;Thu Jun  8 13:11:09 2023
0.000000;0.000000;0.000000;0.003068;-0.306796;-1.220125;-0.090683;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.000000;-0.306796;-1.363981;-0.090409;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;0.306796;1.327568;-0.090134;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.306796;0.695538;-0.866293;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.178771;-0.109489;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;-0.306796;-0.462497;0.666945;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.054544;-0.089585;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.054819;-0.089311;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.055093;-0.089036;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.055368;-0.088762;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.055642;-0.088488;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.055916;-0.088213;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.056191;-0.087939;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.056465;-0.087664;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.000000;-0.306796;-1.360962;-0.087390;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;0.306796;0.554153;-0.863549;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.306796;0.678653;-0.883178;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.161612;-0.126648;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.161337;-0.126922;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.161063;-0.127197;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.160788;-0.127471;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.160514;-0.127746;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.160240;-0.128020;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.159965;-0.128294;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.159691;-0.128569;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.159416;-0.128843;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.159142;-0.129118;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.158868;-0.129392;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.009204;0.306796;1.576295;-0.129666;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;-0.306796;-1.115254;-0.129941;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;-0.306796;-0.483224;0.646218;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.033543;-0.110586;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.033543;-0.110586;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.306796;1.451245;-0.110586;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.177673;-0.110586;Thu Jun  8 13:11:10 2023
0.000000;0.000000;0.000000;0.003068;-0.306796;-0.463595;0.665847;Thu Jun  8 13:11:10 2023
