Starting new run: Thu Jun  8 15:17:07 2023

cameraAngle;alphaCam;alphaDotCam;alphaQube;alphaDotQube;Kx;KxCam;systemTime
0.018070;0.000315;0.043606;0.003068;0.000000;0.005554;0.057257;Thu Jun  8 15:17:18 2023
0.006061;0.000106;-0.029006;0.003068;0.000000;0.005554;-0.254017;Thu Jun  8 15:17:18 2023
0.012048;0.000210;0.014463;0.003068;0.000000;0.005554;-0.068660;Thu Jun  8 15:17:18 2023
0.006061;0.000106;-0.014463;0.003068;0.000000;0.005554;-0.193645;Thu Jun  8 15:17:18 2023
0.000000;0.000000;-0.014643;0.003068;0.000000;0.005554;-0.199362;Thu Jun  8 15:17:18 2023
0.012048;0.000210;0.029110;0.003068;0.000000;0.005554;-0.007854;Thu Jun  8 15:17:18 2023
0.005988;0.000105;-0.014643;0.003068;0.000000;0.005554;-0.194450;Thu Jun  8 15:17:18 2023
0.012121;0.000212;0.014819;0.003068;0.000000;0.005554;-0.067121;Thu Jun  8 15:17:18 2023
0.006024;0.000105;-0.014732;0.003068;0.000000;0.005554;-0.194792;Thu Jun  8 15:17:18 2023
0.006061;0.000106;0.000088;0.003068;0.000000;0.005554;-0.133240;Thu Jun  8 15:17:18 2023
0.006061;0.000106;0.000000;0.003068;0.000000;0.005554;-0.133607;Thu Jun  8 15:17:18 2023
0.006061;0.000106;0.000000;0.003068;0.000000;0.005554;-0.133607;Thu Jun  8 15:17:18 2023
0.006024;0.000105;-0.000088;0.003068;0.000000;0.005554;-0.134003;Thu Jun  8 15:17:18 2023
0.006097;0.000106;0.000177;0.003068;0.000000;0.005554;-0.132840;Thu Jun  8 15:17:18 2023
0.006097;0.000106;0.000000;0.003068;0.000000;0.005554;-0.133576;Thu Jun  8 15:17:18 2023
0.006024;0.000105;-0.000177;0.003068;0.000000;0.005554;-0.134373;Thu Jun  8 15:17:18 2023
0.006097;0.000106;0.000177;0.003068;0.000000;0.005554;-0.132840;Thu Jun  8 15:17:18 2023
0.006024;0.000105;-0.000177;0.003068;0.000000;0.005554;-0.134373;Thu Jun  8 15:17:18 2023
0.012048;0.000210;0.014553;0.003068;0.000000;0.005554;-0.068285;Thu Jun  8 15:17:18 2023
0.006097;0.000106;-0.014375;0.003068;0.000000;0.005554;-0.193251;Thu Jun  8 15:17:18 2023
0.011975;0.000209;0.014203;0.003068;0.000000;0.005554;-0.069796;Thu Jun  8 15:17:18 2023
0.006024;0.000105;-0.014381;0.003068;0.000000;0.005554;-0.193337;Thu Jun  8 15:17:18 2023
0.006061;0.000106;0.000088;0.003068;0.000000;0.005554;-0.133240;Thu Jun  8 15:17:18 2023
0.012048;0.000210;0.014468;0.003068;0.000000;0.005554;-0.068639;Thu Jun  8 15:17:18 2023
0.000000;0.000000;-0.029114;0.003068;0.000000;0.005554;-0.259433;Thu Jun  8 15:17:18 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.005554;-0.138576;Thu Jun  8 15:17:18 2023
0.006024;0.000105;0.014557;0.003068;0.000000;0.005554;-0.073207;Thu Jun  8 15:17:18 2023
0.006097;0.000106;0.000178;0.003068;0.000000;0.005554;-0.132839;Thu Jun  8 15:17:18 2023
0.012048;0.000210;0.014379;0.003068;0.000000;0.005554;-0.069009;Thu Jun  8 15:17:18 2023
0.012048;0.000210;0.000000;0.003068;0.000000;0.005554;-0.128698;Thu Jun  8 15:17:18 2023
0.012048;0.000210;0.000000;0.003068;0.000000;0.005554;-0.128698;Thu Jun  8 15:17:18 2023
0.005988;0.000105;-0.014643;0.006136;0.306796;1.423256;-0.194454;Thu Jun  8 15:17:18 2023
0.006061;0.000106;0.000175;0.003068;-0.306796;-0.491585;0.643555;Thu Jun  8 15:17:18 2023
0.006061;0.000106;0.000000;0.000000;-0.306796;-0.615811;0.662730;Thu Jun  8 15:17:18 2023
0.006061;0.000106;0.000000;-0.003068;-0.306796;-1.516197;-0.093525;Thu Jun  8 15:17:18 2023
0.000000;0.000000;-0.014648;-0.003068;0.000000;-0.242076;-0.158752;Thu Jun  8 15:17:18 2023
0.000000;0.000000;0.000000;0.003068;0.613592;1.817443;-0.873831;Thu Jun  8 15:17:18 2023
0.000000;0.000000;0.000000;0.006136;0.306796;0.668646;-0.893185;Thu Jun  8 15:17:18 2023
0.006024;0.000105;0.014562;0.003068;-0.306796;-0.489389;0.705440;Thu Jun  8 15:17:18 2023
0.006024;0.000105;0.000000;0.000000;-0.306796;-1.390049;-0.111538;Thu Jun  8 15:17:18 2023
0.006097;0.000106;0.000178;0.000000;0.000000;-0.116203;-0.110466;Thu Jun  8 15:17:18 2023
