Starting new run: Thu Jun  8 16:18:51 2023

cameraAngle;alphaCam;alphaDotCam;alphaQube;alphaDotQube;Kx;KxCam;systemTime
0.000000;0.000000;0.000000;0.006136;0.306796;0.559689;-1.002143;Thu Jun  8 16:19:10 2023
0.000000;0.000000;0.000000;0.009204;0.306796;1.460075;-0.245887;Thu Jun  8 16:19:10 2023
0.000000;0.000000;0.000000;0.006136;-0.306796;-1.231748;-0.246436;Thu Jun  8 16:19:10 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.041275;-0.246985;Thu Jun  8 16:19:10 2023
0.003356;0.000059;0.278178;0.006136;0.000000;0.040726;0.909989;Thu Jun  8 16:19:10 2023
0.006734;0.000118;0.280193;0.006136;0.000000;0.040177;0.920575;Thu Jun  8 16:19:10 2023
0.006734;0.000118;0.000000;0.006136;0.000000;0.039629;-0.243110;Thu Jun  8 16:19:11 2023
-0.003344;-0.000058;-0.836387;0.006136;0.000000;0.039080;-3.723930;Thu Jun  8 16:19:11 2023
0.003356;0.000059;0.556240;0.006136;0.000000;0.038531;2.062087;Thu Jun  8 16:19:11 2023
0.003356;0.000059;0.000000;0.006136;0.000000;0.037982;-0.247526;Thu Jun  8 16:19:11 2023
0.000000;0.000000;-0.278734;0.006136;0.000000;0.037433;-1.407906;Thu Jun  8 16:19:11 2023
-0.003344;-0.000058;-0.277944;0.006136;0.000000;0.036884;-1.407917;Thu Jun  8 16:19:11 2023
-0.003344;-0.000058;0.000000;0.006136;0.000000;0.036336;-0.254666;Thu Jun  8 16:19:11 2023
-0.006734;-0.000118;-0.281834;0.006136;0.000000;0.035787;-1.427941;Thu Jun  8 16:19:11 2023
0.003344;0.000058;0.838483;0.009204;0.306796;1.452940;3.230431;Thu Jun  8 16:19:11 2023
0.003344;0.000058;0.000000;0.006136;-0.306796;-0.462449;0.525606;Thu Jun  8 16:19:11 2023
0.006667;0.000116;0.276636;0.003068;-0.306796;-0.587224;1.696057;Thu Jun  8 16:19:11 2023
0.000000;0.000000;-0.555454;0.003068;0.000000;0.705977;-1.743956;Thu Jun  8 16:19:11 2023
-0.006711;-0.000059;-0.275993;0.000000;-0.306796;-1.468256;-1.343148;Thu Jun  8 16:19:11 2023
-0.006711;-0.000117;-0.271236;0.000000;0.000000;-0.194409;-1.325866;Thu Jun  8 16:19:11 2023
-0.006711;-0.000117;0.000000;0.000000;0.000000;-0.194135;-0.199637;Thu Jun  8 16:19:11 2023
-0.003333;-0.000058;0.269002;0.003068;0.306796;1.223842;0.920087;Thu Jun  8 16:19:11 2023
-0.003333;-0.000058;0.000000;0.003068;0.000000;-0.049456;-0.196319;Thu Jun  8 16:19:11 2023
-0.006711;-0.000117;-0.269095;0.003068;0.000000;-0.049182;-1.315883;Thu Jun  8 16:19:11 2023
-0.003333;-0.000058;0.269246;0.000000;-0.306796;-0.690176;1.698357;Thu Jun  8 16:19:11 2023
-0.003333;-0.000058;0.000000;0.000000;0.000000;-0.172859;-0.175592;Thu Jun  8 16:19:11 2023
-0.003344;-0.000058;-0.000889;0.000000;0.000000;-0.172310;-0.178744;Thu Jun  8 16:19:11 2023
-0.006689;-0.000117;-0.266868;0.003068;0.306796;1.245940;-1.285067;Thu Jun  8 16:19:11 2023
-0.006689;-0.000117;0.000000;0.000000;-0.306796;-1.444785;-0.176697;Thu Jun  8 16:19:11 2023
-0.013422;-0.000234;-0.537558;0.000000;0.000000;0.605770;-1.636745;Thu Jun  8 16:19:11 2023
-0.010067;-0.000176;0.268024;0.000000;0.000000;-0.150212;0.954153;Thu Jun  8 16:19:11 2023
