Starting new run: Mon Jun 12 16:28:42 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;Kx;KxCam;systemTime
0.006136;-0.306796;0.006136;0.000000;0.017763;0.000000;37.500000;104.500000;231.500000;104.500000;0.000000;0.000000;0.000000;-1.182904;-0.197591;Mon Jun 12 16:28:56 2023
0.003068;-0.306796;0.003068;-0.306796;0.017794;0.000000;37.500000;104.500000;230.500000;104.500000;0.000000;0.000000;0.000000;-0.551149;0.578294;Mon Jun 12 16:28:56 2023
0.006136;0.306796;0.003068;0.000000;0.017825;0.000000;37.500000;104.500000;230.500000;104.500000;0.000000;0.000000;0.000000;1.383046;-0.178785;Mon Jun 12 16:28:56 2023
0.006136;0.000000;0.003068;0.000000;0.017856;0.000000;36.500000;103.500000;231.500000;104.500000;-0.005128;-0.716605;-0.293822;0.109200;-3.394748;Mon Jun 12 16:28:56 2023
0.003068;-0.306796;0.003068;0.000000;0.017886;0.000000;37.500000;104.500000;231.500000;104.500000;0.000000;0.716567;0.000000;-1.308777;2.795279;Mon Jun 12 16:28:56 2023
0.003068;0.000000;-0.000000;-0.306796;0.017886;0.000000;36.500000;103.500000;230.500000;104.500000;-0.005155;-0.720207;-0.295336;0.740955;-2.635055;Mon Jun 12 16:28:56 2023
0.006136;0.306796;0.003068;0.306796;0.017917;0.000000;37.500000;103.500000;231.500000;104.500000;-0.005155;0.000000;-0.295336;0.625418;-1.178571;Mon Jun 12 16:28:56 2023
0.006136;0.000000;-0.000000;-0.306796;0.017917;0.000000;36.500000;103.500000;230.500000;104.500000;-0.005155;0.000000;-0.295336;0.884810;0.354393;Mon Jun 12 16:28:56 2023
0.003068;-0.306796;-0.003068;-0.306796;0.017886;0.000000;37.500000;103.500000;232.500000;103.500000;0.000000;0.720217;0.000000;-0.513263;3.605943;Mon Jun 12 16:28:56 2023
0.000000;-0.306796;-0.006136;-0.306796;0.017825;0.000000;39.500000;103.500000;230.500000;103.500000;0.000000;0.000000;0.000000;-0.637489;0.636083;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.017763;0.000000;37.500000;103.500000;231.500000;103.500000;0.000000;0.000000;0.000000;-0.120173;-0.120173;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.017702;0.000000;38.500000;103.500000;231.500000;104.500000;-0.005181;-0.723877;-0.296867;-0.119624;-3.367996;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.017641;0.000000;38.500000;102.500000;231.500000;104.500000;-0.010362;-0.723809;-0.593717;-0.119075;-3.610564;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.017579;0.000000;38.500000;102.500000;231.500000;103.500000;-0.005181;0.723767;-0.296867;-0.118527;2.642562;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.017518;0.000000;37.500000;103.500000;231.500000;104.500000;-0.005155;0.003731;-0.295336;-0.117978;-0.344648;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.017457;0.000000;37.500000;103.500000;231.500000;104.500000;-0.005155;0.000000;-0.295336;-0.117429;-0.359587;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.017395;0.000000;37.500000;103.500000;230.500000;104.500000;-0.005181;-0.003731;-0.296867;-0.116880;-0.375781;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.017334;0.000000;38.500000;102.500000;232.500000;103.500000;-0.005155;0.003731;-0.295336;-0.116331;-0.343000;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.017273;0.000000;38.500000;102.500000;231.500000;103.500000;-0.005181;-0.003731;-0.296867;-0.115782;-0.374685;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.017211;0.000000;38.500000;102.500000;231.500000;104.500000;-0.010362;-0.723827;-0.593717;-0.115234;-3.606797;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.017150;0.000000;38.500000;103.500000;231.500000;103.500000;0.000000;1.447803;0.000000;-0.114685;5.895436;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.017089;0.000000;38.500000;103.500000;231.500000;103.500000;0.000000;0.000000;0.000000;-0.114136;-0.114136;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.017027;0.000000;38.500000;103.500000;230.500000;104.500000;-0.005208;-0.727577;-0.298413;-0.113587;-3.378585;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.016966;0.000000;38.500000;103.500000;231.500000;104.500000;-0.005181;0.003770;-0.296867;-0.113038;-0.340802;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.016904;0.000000;38.500000;102.500000;231.500000;104.500000;-0.010362;-0.723726;-0.593717;-0.112490;-3.603630;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.006136;0.000000;0.016843;0.000000;37.500000;103.500000;230.500000;103.500000;0.000000;1.447445;0.000000;-0.111941;5.896694;Mon Jun 12 16:28:56 2023
-0.003068;-0.306796;-0.006136;0.000000;0.016782;0.000000;37.500000;103.500000;231.500000;103.500000;0.000000;0.000000;0.000000;-1.529094;-0.111392;Mon Jun 12 16:28:56 2023
0.000000;0.306796;-0.006136;0.000000;0.016720;0.000000;37.500000;103.500000;230.500000;104.500000;-0.005181;-0.723697;-0.296867;1.162729;-3.358468;Mon Jun 12 16:28:56 2023
0.003068;0.306796;-0.003068;0.306796;0.016690;0.000000;38.500000;103.500000;230.500000;105.500000;-0.010416;-0.731182;-0.596809;0.530974;-4.411360;Mon Jun 12 16:28:56 2023
0.003068;0.000000;-0.003068;0.000000;0.016659;0.000000;37.500000;103.500000;230.500000;104.500000;-0.005181;0.731146;-0.296867;0.014481;2.662072;Mon Jun 12 16:28:56 2023
0.000000;-0.306796;-0.003068;0.000000;0.016628;0.000000;38.500000;103.500000;230.500000;104.500000;-0.005208;-0.003769;-0.298413;-1.402947;-0.389699;Mon Jun 12 16:28:56 2023
0.000000;0.000000;-0.003068;0.000000;0.016598;0.000000;36.500000;102.500000;231.500000;104.500000;-0.010256;-0.704898;-0.587628;-0.129100;-3.537093;Mon Jun 12 16:28:56 2023
0.003068;0.306796;-0.000000;0.306796;0.016598;0.000000;38.500000;103.500000;231.500000;104.500000;-0.005181;0.708624;-0.296867;0.512443;1.792969;Mon Jun 12 16:28:56 2023
0.006136;0.306796;0.003068;0.306796;0.016628;0.000000;38.500000;104.500000;231.500000;104.500000;0.000000;0.723474;0.000000;0.636943;2.078397;Mon Jun 12 16:28:56 2023
0.006136;0.000000;0.006136;0.306796;0.016690;0.000000;37.500000;104.500000;231.500000;103.500000;0.005155;0.719709;0.295336;-0.656532;2.285022;Mon Jun 12 16:28:56 2023
0.006136;0.000000;0.006136;0.000000;0.016751;0.000000;37.500000;104.500000;231.500000;104.500000;0.000000;-0.719686;0.000000;0.099724;-3.176097;Mon Jun 12 16:28:56 2023
0.006136;0.000000;0.006136;0.000000;0.016812;0.000000;36.500000;103.500000;231.500000;104.500000;-0.005128;-0.715962;-0.293822;0.099175;-3.402102;Mon Jun 12 16:28:56 2023
0.009204;0.306796;0.009204;0.306796;0.016904;0.000000;38.500000;104.500000;232.500000;104.500000;0.000000;0.715909;0.000000;0.739894;2.005815;Mon Jun 12 16:28:56 2023
0.009204;0.000000;0.009204;0.000000;0.016997;0.000000;37.500000;105.500000;230.500000;104.500000;0.005181;0.723269;0.296867;0.222304;3.035761;Mon Jun 12 16:28:56 2023
0.006136;-0.306796;0.009204;0.000000;0.017089;0.000000;37.500000;105.500000;231.500000;104.500000;0.005155;-0.003728;0.295336;-1.196221;0.015774;Mon Jun 12 16:28:56 2023
0.006136;0.000000;0.009204;0.000000;0.017181;0.000000;37.500000;105.500000;232.500000;104.500000;0.005128;-0.003689;0.293822;0.076528;0.013868;Mon Jun 12 16:28:56 2023
0.009204;0.306796;0.012272;0.306796;0.017303;0.000000;35.500000;105.500000;230.500000;104.500000;0.005128;0.000000;0.293822;0.716973;-0.748073;Mon Jun 12 16:28:56 2023
0.009204;0.000000;0.012272;0.000000;0.017426;0.000000;38.500000;105.500000;231.500000;104.500000;0.005181;0.007417;0.296867;0.199108;0.040919;Mon Jun 12 16:28:56 2023
0.009204;0.000000;0.012272;0.000000;0.017549;0.000000;37.500000;106.500000;231.500000;104.500000;0.010309;0.715640;0.590657;0.198010;3.220688;Mon Jun 12 16:28:56 2023
0.009204;0.000000;0.012272;0.000000;0.017671;0.000000;40.500000;107.500000;231.500000;105.500000;0.010471;0.022596;0.599934;0.196912;0.350234;Mon Jun 12 16:28:56 2023
0.009204;0.000000;0.012272;0.000000;0.017794;0.000000;38.500000;105.500000;231.500000;105.500000;0.000000;-1.461298;0.000000;0.195815;-6.302716;Mon Jun 12 16:28:56 2023
0.009204;0.000000;0.012272;0.000000;0.017917;0.000000;38.500000;106.500000;230.500000;105.500000;0.005208;0.726821;0.298413;0.194717;3.024188;Mon Jun 12 16:28:56 2023
0.006136;-0.306796;0.012272;0.000000;0.018040;0.000000;38.500000;105.500000;230.500000;105.500000;0.000000;-0.726762;0.000000;-1.224083;-3.255705;Mon Jun 12 16:28:56 2023
0.006136;0.000000;0.012272;0.000000;0.018162;0.000000;38.500000;105.500000;231.500000;105.500000;0.000000;0.000000;0.000000;0.048392;-0.239868;Mon Jun 12 16:28:56 2023
0.009204;0.306796;0.015340;0.306796;0.018316;0.000000;37.500000;106.500000;230.500000;105.500000;0.005181;0.722910;0.296867;0.688563;2.226958;Mon Jun 12 16:28:56 2023
0.012272;0.306796;0.015340;0.000000;0.018469;0.000000;37.500000;106.500000;230.500000;105.500000;0.005181;0.000000;0.296867;1.588125;-0.018554;Mon Jun 12 16:28:56 2023
0.012272;0.000000;0.015340;0.000000;0.018623;0.000000;36.500000;105.500000;231.500000;104.500000;0.005128;-0.007414;0.293822;0.313181;-0.053200;Mon Jun 12 16:28:56 2023
0.006136;-0.613592;0.009204;-0.613592;0.018715;0.000000;38.500000;105.500000;231.500000;105.500000;0.000000;-0.715462;0.000000;-0.970728;-1.681870;Mon Jun 12 16:28:56 2023
0.003068;-0.306796;0.009204;0.000000;0.018807;0.000000;39.500000;105.500000;230.500000;105.500000;0.000000;0.000000;0.000000;-1.355718;-0.226276;Mon Jun 12 16:28:56 2023
