Starting new run: Tue Jun 13 13:40:20 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;Kx;KxCam;systemTime
0.006136;0.000000;0.003068;0.000000;0.014174;0.000000;38.500000;98.500000;231.500000;96.500000;0.010362;1.400251;0.593717;0.098114;5.030370;Tue Jun 13 13:40:34 2023
0.006136;0.000000;0.003068;0.000000;0.014205;0.000000;37.500000;97.500000;231.500000;96.500000;0.005155;-0.703957;0.295336;0.097839;-2.336586;Tue Jun 13 13:40:34 2023
0.006136;0.000000;0.003068;0.000000;0.014235;0.000000;37.500000;98.500000;231.500000;96.500000;0.010309;0.696783;0.590657;0.097565;2.633738;Tue Jun 13 13:40:34 2023
0.003068;-0.306796;0.003068;0.000000;0.014266;0.000000;37.500000;98.500000;231.500000;96.500000;0.010309;0.000000;0.590657;-1.068039;0.262242;Tue Jun 13 13:40:34 2023
0.006136;0.306796;0.003068;0.000000;0.014297;0.000000;37.500000;98.500000;231.500000;96.500000;0.010309;0.000000;0.590657;1.141074;0.261968;Tue Jun 13 13:40:34 2023
0.006136;0.000000;0.003068;0.000000;0.014327;0.000000;38.500000;97.500000;231.500000;96.500000;0.005181;-0.693143;0.296867;0.096741;-2.299827;Tue Jun 13 13:40:34 2023
0.006136;0.000000;0.003068;0.000000;0.014358;0.000000;38.500000;97.500000;231.500000;96.500000;0.005181;0.000000;0.296867;0.096467;0.058732;Tue Jun 13 13:40:34 2023
0.006136;0.000000;-0.000000;-0.306796;0.014358;0.000000;38.500000;96.500000;230.500000;96.500000;0.000000;-0.700367;0.000000;0.756214;-1.869747;Tue Jun 13 13:40:34 2023
0.003068;-0.306796;-0.000000;0.000000;0.014358;0.000000;38.500000;96.500000;231.500000;96.500000;0.000000;0.000000;0.000000;-1.051209;-0.128423;Tue Jun 13 13:40:34 2023
0.003068;0.000000;-0.003068;-0.306796;0.014327;0.000000;38.500000;97.500000;230.500000;96.500000;0.005208;0.704009;0.298413;0.652870;3.133286;Tue Jun 13 13:40:34 2023
0.003068;0.000000;-0.003068;0.000000;0.014297;0.000000;38.500000;97.500000;230.500000;96.500000;0.005208;0.000000;0.298413;0.011051;0.095655;Tue Jun 13 13:40:34 2023
0.003068;0.000000;-0.003068;0.000000;0.014266;0.000000;39.500000;96.500000;232.500000;96.500000;0.000000;-0.704008;0.000000;0.011325;-2.505755;Tue Jun 13 13:40:34 2023
0.000000;-0.306796;-0.006136;-0.306796;0.014205;0.000000;39.500000;96.500000;232.500000;96.500000;0.000000;0.000000;0.000000;-0.493708;0.550350;Tue Jun 13 13:40:34 2023
0.000000;0.000000;-0.006136;0.000000;0.014143;0.000000;39.500000;96.500000;232.500000;96.500000;0.000000;0.000000;0.000000;-0.091195;-0.091195;Tue Jun 13 13:40:34 2023
0.000000;0.000000;-0.006136;0.000000;0.014082;0.000000;37.500000;96.500000;231.500000;96.500000;0.000000;0.000000;0.000000;-0.090646;-0.090646;Tue Jun 13 13:40:34 2023
0.000000;0.000000;-0.006136;0.000000;0.014021;0.000000;37.500000;96.500000;231.500000;96.500000;0.000000;0.000000;0.000000;-0.090098;-0.090098;Tue Jun 13 13:40:34 2023
0.000000;0.000000;-0.006136;0.000000;0.013959;0.000000;37.500000;96.500000;231.500000;96.500000;0.000000;0.000000;0.000000;-0.089549;-0.089549;Tue Jun 13 13:40:34 2023
0.000000;0.000000;-0.006136;0.000000;0.013898;0.000000;38.500000;94.500000;231.500000;96.500000;-0.010362;-1.400899;-0.593717;-0.089000;-5.266007;Tue Jun 13 13:40:34 2023
0.000000;0.000000;-0.006136;0.000000;0.013837;0.000000;37.500000;96.500000;231.500000;94.500000;0.010309;2.794507;0.590657;-0.088451;9.829029;Tue Jun 13 13:40:35 2023
0.000000;0.000000;-0.006136;0.000000;0.013775;0.000000;38.500000;95.500000;231.500000;96.500000;-0.005181;-2.094059;-0.296867;-0.087902;-7.419001;Tue Jun 13 13:40:35 2023
0.000000;0.000000;-0.006136;0.000000;0.013714;0.000000;37.500000;95.500000;231.500000;95.500000;0.000000;0.700431;0.000000;-0.087354;2.296284;Tue Jun 13 13:40:35 2023
0.000000;0.000000;-0.006136;0.000000;0.013652;0.000000;38.500000;96.500000;231.500000;95.500000;0.005181;0.700423;0.296867;-0.086805;2.501614;Tue Jun 13 13:40:35 2023
0.003068;0.306796;-0.006136;0.000000;0.013591;0.000000;37.500000;95.500000;231.500000;96.500000;-0.005155;-1.397219;-0.295336;1.079074;-5.044886;Tue Jun 13 13:40:35 2023
0.000000;-0.306796;-0.006136;0.000000;0.013530;0.000000;37.500000;96.500000;230.500000;96.500000;0.000000;0.696789;0.000000;-1.129765;2.285535;Tue Jun 13 13:40:35 2023
0.000000;0.000000;-0.009204;-0.306796;0.013438;0.000000;37.500000;96.500000;230.500000;96.500000;0.000000;0.000000;0.000000;0.574863;0.574863;Tue Jun 13 13:40:35 2023
0.000000;0.000000;-0.009204;0.000000;0.013346;0.000000;38.500000;94.500000;230.500000;95.500000;-0.005208;-0.704052;-0.298413;-0.066407;-2.668240;Tue Jun 13 13:40:35 2023
-0.003068;-0.306796;-0.009204;0.000000;0.013254;0.000000;38.500000;94.500000;231.500000;96.500000;-0.010362;-0.696750;-0.593717;-1.230914;-2.846299;Tue Jun 13 13:40:35 2023
-0.003068;0.000000;-0.009204;0.000000;0.013162;0.000000;38.500000;94.500000;231.500000;96.500000;-0.010362;0.000000;-0.593717;-0.186032;-0.474367;Tue Jun 13 13:40:35 2023
0.000000;0.306796;-0.009204;0.000000;0.013070;0.000000;37.500000;95.500000;230.500000;96.500000;-0.005181;0.700446;-0.296867;0.980120;2.114941;Tue Jun 13 13:40:35 2023
0.000000;0.000000;-0.006136;0.306796;0.013008;0.000000;37.500000;96.500000;231.500000;94.500000;0.010309;2.094268;0.590657;-0.723136;6.811362;Tue Jun 13 13:40:35 2023
0.000000;0.000000;-0.006136;0.000000;0.012947;0.000000;38.500000;96.500000;230.500000;96.500000;0.000000;-1.393797;0.000000;-0.080493;-4.823724;Tue Jun 13 13:40:35 2023
0.000000;0.000000;-0.006136;0.000000;0.012885;0.000000;38.500000;96.500000;231.500000;96.500000;0.000000;0.000000;0.000000;-0.079945;-0.079945;Tue Jun 13 13:40:35 2023
0.003068;0.306796;-0.003068;0.306796;0.012855;0.000000;37.500000;95.500000;230.500000;95.500000;0.000000;0.000000;0.000000;0.425912;-0.739417;Tue Jun 13 13:40:35 2023
0.003068;0.000000;-0.003068;0.000000;0.012824;0.000000;37.500000;96.500000;230.500000;95.500000;0.005181;0.700515;0.296867;0.024223;2.491682;Tue Jun 13 13:40:35 2023
0.003068;0.000000;-0.003068;0.000000;0.012793;0.000000;37.500000;96.500000;231.500000;95.500000;0.005155;-0.003611;0.295336;0.024497;0.094690;Tue Jun 13 13:40:35 2023
0.000000;-0.306796;-0.003068;0.000000;0.012763;0.000000;37.500000;96.500000;230.500000;96.500000;0.000000;-0.696884;0.000000;-1.140558;-2.468065;Tue Jun 13 13:40:35 2023
0.000000;0.000000;-0.003068;0.000000;0.012732;0.000000;37.500000;96.500000;230.500000;96.500000;0.000000;0.000000;0.000000;-0.096226;-0.096226;Tue Jun 13 13:40:35 2023
0.003068;0.306796;-0.000000;0.306796;0.012732;0.000000;37.500000;96.500000;230.500000;96.500000;0.000000;0.000000;0.000000;0.409357;-0.755973;Tue Jun 13 13:40:35 2023
0.006136;0.306796;0.003068;0.306796;0.012763;0.000000;37.500000;97.500000;231.500000;95.500000;0.010309;1.393598;0.590657;0.512701;4.376147;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.003068;0.000000;0.012793;0.000000;37.500000;97.500000;231.500000;95.500000;0.010309;0.000000;0.590657;0.110462;0.275413;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.003068;0.000000;0.012824;0.000000;39.500000;97.500000;231.500000;96.500000;0.005208;-0.689613;0.298413;0.110187;-2.273301;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.003068;0.000000;0.012855;0.000000;39.500000;97.500000;231.500000;96.500000;0.005208;0.000000;0.298413;0.109913;0.073245;Tue Jun 13 13:40:35 2023
0.003068;-0.306796;0.003068;0.000000;0.012885;0.000000;39.500000;97.500000;231.500000;96.500000;0.005208;0.000000;0.298413;-1.055691;0.072971;Tue Jun 13 13:40:35 2023
0.006136;0.306796;0.003068;0.000000;0.012916;0.000000;38.500000;97.500000;231.500000;96.500000;0.005181;-0.003649;0.296867;1.153422;0.059212;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.003068;0.000000;0.012947;0.000000;37.500000;97.500000;231.500000;96.500000;0.005155;-0.003611;0.295336;0.109090;0.058010;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.003068;0.000000;0.012977;0.000000;39.500000;97.500000;231.500000;96.500000;0.005208;0.007260;0.298413;0.108815;0.096855;Tue Jun 13 13:40:35 2023
0.003068;-0.306796;0.003068;0.000000;0.013008;0.000000;39.500000;97.500000;231.500000;96.500000;0.005208;0.000000;0.298413;-1.056789;0.071873;Tue Jun 13 13:40:35 2023
0.003068;0.000000;0.003068;0.000000;0.013039;0.000000;38.500000;97.500000;230.500000;96.500000;0.005208;0.000000;0.298413;-0.013005;0.071599;Tue Jun 13 13:40:35 2023
0.006136;0.306796;0.006136;0.306796;0.013100;0.000000;38.500000;97.500000;230.500000;96.500000;0.005208;0.000000;0.298413;0.492029;-0.588697;Tue Jun 13 13:40:35 2023
0.009204;0.306796;0.009204;0.306796;0.013192;0.000000;38.500000;97.500000;230.500000;96.500000;0.005208;0.000000;0.298413;0.594824;-0.607174;Tue Jun 13 13:40:35 2023
0.009204;0.000000;0.009204;0.000000;0.013284;0.000000;38.500000;98.500000;231.500000;96.500000;0.010362;0.696861;0.593717;0.192036;2.609314;Tue Jun 13 13:40:35 2023
0.006136;-0.306796;0.006136;-0.306796;0.013346;0.000000;39.500000;97.500000;231.500000;96.500000;0.005208;-0.696847;0.298413;-0.314095;-1.678146;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.006136;0.000000;0.013407;0.000000;38.500000;98.500000;231.500000;96.500000;0.010362;0.696845;0.593717;0.087320;2.625816;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.006136;0.000000;0.013468;0.000000;37.500000;98.500000;231.500000;96.500000;0.010309;-0.007221;0.590657;0.086772;0.227149;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.006136;0.000000;0.013530;0.000000;37.500000;98.500000;231.500000;97.500000;0.005155;-0.696860;0.295336;0.086223;-2.324052;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.006136;0.000000;0.013591;0.000000;37.500000;98.500000;231.500000;97.500000;0.005155;0.000000;0.295336;0.085674;0.046884;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.006136;0.000000;0.013652;0.000000;37.500000;98.500000;231.500000;96.500000;0.010309;0.696910;0.590657;0.085125;2.621731;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.006136;0.000000;0.013714;0.000000;37.500000;98.500000;231.500000;96.500000;0.010309;0.000000;0.590657;0.084576;0.249528;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.006136;0.000000;0.013775;0.000000;38.500000;98.500000;231.500000;96.500000;0.010362;0.007223;0.593717;0.084027;0.275671;Tue Jun 13 13:40:35 2023
0.006136;0.000000;0.006136;0.000000;0.013837;0.000000;37.500000;97.500000;231.500000;96.500000;0.005155;-0.704364;0.295336;0.083479;-2.352334;Tue Jun 13 13:40:35 2023
