Starting new run:  K= -8.944300, -5.754100, 39.528400, -2.092900, 3.403100 - Thu Jun 15 11:48:27 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;camControl;systemTime
-0.003068;-0.306796;-0.006136;0.000000;0.017395;0.000000;42.500000;99.500000;235.500000;99.500000;0.000000;0.000000;0.000000;0;-1.285612;-0.120282;0;Thu Jun 15 11:48:45 2023
-0.003068;0.000000;-0.006136;0.000000;0.017334;0.000000;42.500000;98.500000;234.500000;97.500000;0.005208;0.522462;0.298413;1;-0.241005;0.872198;0;Thu Jun 15 11:48:45 2023
0.000000;0.306796;-0.006136;0.000000;0.017273;0.000000;40.500000;96.500000;233.500000;96.500000;0.000000;-0.522542;0.000000;1;0.924873;-0.346937;0;Thu Jun 15 11:48:45 2023
0.003068;0.306796;-0.006136;0.000000;0.017211;0.000000;40.500000;97.500000;234.500000;97.500000;0.000000;0.000000;0.000000;1;1.046694;-0.270479;0;Thu Jun 15 11:48:45 2023
0.000000;-0.306796;-0.006136;0.000000;0.017150;0.000000;40.500000;97.500000;234.500000;97.500000;0.000000;0.000000;0.000000;1;-1.162145;-0.219306;0;Thu Jun 15 11:48:45 2023
0.000000;0.000000;-0.009204;-0.306796;0.017058;0.000000;41.500000;96.500000;234.500000;97.500000;-0.005181;-0.519863;-0.296867;1;0.542483;-0.182988;0;Thu Jun 15 11:48:45 2023
-0.003068;-0.306796;-0.009204;0.000000;0.016966;0.000000;40.500000;96.500000;234.500000;98.500000;-0.010309;-0.514460;-0.590657;1;-1.264117;-1.301839;0;Thu Jun 15 11:48:45 2023
-0.003068;0.000000;-0.009204;0.000000;0.016874;0.000000;41.500000;96.500000;235.500000;97.500000;-0.005155;0.517149;-0.295336;1;-0.219236;-0.381292;0;Thu Jun 15 11:48:45 2023
0.000000;0.306796;-0.009204;0.000000;0.016782;0.000000;40.500000;96.500000;235.500000;97.500000;-0.005128;0.002652;-0.293822;1;0.946917;-0.350587;0;Thu Jun 15 11:48:45 2023
0.000000;0.000000;-0.006136;0.306796;0.016720;0.000000;40.500000;96.500000;234.500000;97.500000;-0.005155;-0.002652;-0.295336;1;-0.756339;-0.996225;0;Thu Jun 15 11:48:45 2023
