alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;camControl;systemTime
Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Tue Jun 20 12:49:09 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;camControl;systemTime
0.003068;0.000000;0.015340;0.000000;0.181991;0.000000;43.500000;101.500000;234.500000;101.500000;0.000000;0.000000;0.000000;1;-0.094748;-0.207483;0;Tue Jun 20 12:49:22 2023
0.006136;0.306796;0.015340;0.000000;0.182145;0.000000;43.500000;101.500000;234.500000;101.500000;0.000000;0.000000;0.000000;1;1.012497;0.787027;0;Tue Jun 20 12:49:22 2023
0.006136;0.000000;0.018408;0.306796;0.182329;0.000000;42.500000;102.500000;233.500000;102.500000;0.000000;0.000000;0.000000;1;-0.485287;-0.710757;0;Tue Jun 20 12:49:22 2023
0.006136;0.000000;0.015340;-0.306796;0.182482;0.000000;42.500000;101.500000;233.500000;102.500000;-0.005236;-0.525509;-0.299975;1;0.515334;0.225736;0;Tue Jun 20 12:49:22 2023
0.003068;-0.306796;0.015340;0.000000;0.182636;0.000000;43.500000;101.500000;233.500000;101.500000;0.000000;0.525486;0.000000;1;-1.090056;-1.245544;0;Tue Jun 20 12:49:22 2023
0.003068;0.000000;0.015340;0.000000;0.182789;0.000000;43.500000;101.500000;233.500000;102.500000;-0.005263;-0.528239;-0.301554;1;-0.095546;-0.301248;0;Tue Jun 20 12:49:22 2023
0.006136;0.306796;0.015340;0.000000;0.182943;0.000000;42.500000;100.500000;234.500000;101.500000;-0.005208;0.005503;-0.298413;1;1.011700;0.660457;0;Tue Jun 20 12:49:22 2023
0.006136;0.000000;0.015340;0.000000;0.183096;0.000000;42.500000;101.500000;233.500000;101.500000;0.000000;0.522718;0.000000;1;0.016882;-0.292436;0;Tue Jun 20 12:49:22 2023
0.003068;-0.306796;0.015340;0.000000;0.183249;0.000000;43.500000;101.500000;234.500000;102.500000;-0.005236;-0.525475;-0.299975;1;-1.090670;-1.323432;0;Tue Jun 20 12:49:22 2023
0.003068;0.000000;0.015340;0.000000;0.183403;0.000000;43.500000;101.500000;233.500000;102.500000;-0.005263;-0.002766;-0.301554;1;-0.096159;-0.353379;0;Tue Jun 20 12:49:22 2023
