Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Wed Jun 21 13:59:39 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;camControl;systemTime
0.003068;-0.230097;0.009204;-0.230097;0.243760;0.000000;40.500000;96.500000;230.500000;96.500000;0.000000;0.000000;0.000000;1;-0.518939;-0.631674;0;Wed Jun 21 13:59:50 2023
0.003068;-0.230097;0.009204;-0.230097;0.243760;0.000000;41.500000;96.500000;230.500000;96.500000;0.000000;0.000000;0.000000;1;-0.518939;-0.631674;0;Wed Jun 21 13:59:50 2023
0.003068;-0.230097;0.009204;-0.230097;0.243760;0.000000;39.500000;95.500000;231.500000;96.500000;-0.005208;-0.782304;-0.298413;1;-0.518939;-0.631674;0;Wed Jun 21 13:59:50 2023
0.003068;0.000000;0.009204;0.000000;0.243882;0.000000;40.500000;95.500000;231.500000;95.500000;0.000000;0.782410;0.000000;1;-0.146442;-0.450561;0;Wed Jun 21 13:59:50 2023
0.003068;0.000000;0.009204;0.000000;0.243882;0.000000;40.500000;95.500000;230.500000;96.500000;-0.005263;-0.790668;-0.301554;1;-0.146442;-0.450561;0;Wed Jun 21 13:59:50 2023
0.006136;0.230097;0.012272;0.230097;0.244046;0.000000;39.500000;95.500000;231.500000;94.500000;0.005208;1.573093;0.298413;1;0.333650;-0.085218;0;Wed Jun 21 13:59:50 2023
0.006136;0.230097;0.012272;0.230097;0.244046;0.000000;39.500000;95.500000;230.500000;95.500000;0.000000;-0.782439;0.000000;1;0.333650;-0.085218;0;Wed Jun 21 13:59:50 2023
0.006136;0.000000;0.012272;0.000000;0.244210;0.000000;40.500000;96.500000;230.500000;96.500000;0.000000;0.000000;0.000000;1;-0.039133;-0.264603;0;Wed Jun 21 13:59:50 2023
0.006136;0.000000;0.012272;0.000000;0.244210;0.000000;40.500000;94.500000;230.500000;96.500000;-0.010526;-1.581292;-0.603091;1;-0.039133;-0.264603;0;Wed Jun 21 13:59:50 2023
0.006136;0.000000;0.012272;0.000000;0.244373;0.000000;40.500000;96.500000;232.500000;94.500000;0.010416;3.146127;0.596809;1;-0.039297;-0.651551;0;Wed Jun 21 13:59:50 2023
0.006136;0.000000;0.012272;0.000000;0.244373;0.000000;41.500000;96.500000;231.500000;96.500000;0.000000;-1.564826;0.000000;1;-0.039297;-0.651551;0;Wed Jun 21 13:59:50 2023
0.003068;-0.230097;0.012272;0.000000;0.244537;0.000000;40.500000;94.500000;231.500000;95.500000;-0.005236;-0.786562;-0.299975;1;-0.898193;-1.010928;0;Wed Jun 21 13:59:50 2023
0.003068;-0.230097;0.012272;0.000000;0.244537;0.000000;41.500000;96.500000;230.500000;95.500000;0.005291;1.581426;0.303149;1;-0.898193;-1.010928;0;Wed Jun 21 13:59:50 2023
0.006136;0.230097;0.012272;0.000000;0.244701;0.000000;40.500000;94.500000;231.500000;96.500000;-0.010471;-2.367988;-0.599934;1;0.706374;0.675325;0;Wed Jun 21 13:59:50 2023
0.006136;0.230097;0.012272;0.000000;0.244701;0.000000;39.500000;95.500000;230.500000;95.500000;0.000000;1.573091;0.000000;1;0.706374;0.675325;0;Wed Jun 21 13:59:50 2023
0.009204;0.230097;0.015340;0.230097;0.244905;0.000000;41.500000;94.500000;231.500000;95.500000;-0.005263;-0.790695;-0.301554;1;0.440427;0.102222;0;Wed Jun 21 13:59:50 2023
0.009204;0.230097;0.015340;0.230097;0.244905;0.000000;40.500000;94.500000;231.500000;95.500000;-0.005236;0.004140;-0.299975;1;0.440427;0.102222;0;Wed Jun 21 13:59:50 2023
0.006136;-0.230097;0.012272;-0.230097;0.245069;0.000000;40.500000;95.500000;231.500000;96.500000;-0.005236;0.000000;-0.299975;1;-0.412611;-0.830467;0;Wed Jun 21 13:59:50 2023
0.006136;-0.230097;0.012272;-0.230097;0.245069;0.000000;39.500000;95.500000;232.500000;95.500000;0.000000;0.786539;0.000000;1;-0.412611;-0.830467;0;Wed Jun 21 13:59:50 2023
0.006136;0.000000;0.012272;0.000000;0.245232;0.000000;40.500000;96.500000;231.500000;95.500000;0.005236;0.786571;0.299975;1;-0.040156;-0.265626;0;Wed Jun 21 13:59:50 2023
0.006136;0.000000;0.012272;0.000000;0.245232;0.000000;40.500000;94.500000;231.500000;96.500000;-0.010471;-2.359615;-0.599934;1;-0.040156;-0.265626;0;Wed Jun 21 13:59:50 2023
0.006136;0.000000;0.012272;0.000000;0.245396;0.000000;41.500000;96.500000;231.500000;96.500000;0.000000;1.573066;0.000000;1;-0.040319;-0.650549;0;Wed Jun 21 13:59:50 2023
0.006136;0.000000;0.012272;0.000000;0.245396;0.000000;40.500000;96.500000;230.500000;96.500000;0.000000;0.000000;0.000000;1;-0.040319;-0.650549;0;Wed Jun 21 13:59:50 2023
