Starting new run:  K= -1.000000, -1.651000, 35.057500, -1.604900, 2.943400 - Mon Jun 26 12:40:08 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;systemTime
0.006136;0.230097;0.009204;0.230097;0.134949;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;-0.802800;-0.306392;1;0.372950;0.157840;-0.802800;-0.000097;0;Mon Jun 26 12:40:24 2023
0.006136;0.230097;0.009204;0.230097;0.134949;0.000000;48.500000;93.500000;235.500000;93.500000;0.000000;0.802982;0.000000;1;0.372950;0.157840;0.000091;-0.000461;0;Mon Jun 26 12:40:24 2023
0.009204;0.230097;0.009204;0.000000;0.135072;0.000000;48.500000;94.500000;234.500000;94.500000;0.000000;0.000000;0.000000;1;0.849665;0.527000;0.000061;-0.000987;0;Mon Jun 26 12:40:24 2023
0.009204;0.230097;0.009204;0.000000;0.135072;0.000000;46.500000;94.500000;234.500000;94.500000;0.000000;0.000000;0.000000;1;0.849665;0.527000;0.000046;-0.001315;0;Mon Jun 26 12:40:24 2023
0.006136;-0.230097;0.006136;-0.230097;0.135154;0.000000;48.500000;92.500000;234.500000;94.500000;-0.010752;-1.615142;-0.616060;1;-0.238159;-0.453269;-0.322992;-0.001471;0;Mon Jun 26 12:40:24 2023
0.006136;-0.230097;0.006136;-0.230097;0.135154;0.000000;46.500000;95.500000;234.500000;94.500000;0.005319;2.414148;0.304762;1;-0.238159;-0.453269;0.224436;-0.001794;0;Mon Jun 26 12:40:24 2023
0.003068;-0.230097;0.003068;-0.230097;0.135195;0.000000;49.500000;94.500000;234.500000;94.500000;0.000000;-0.799004;0.000000;1;-0.340690;-0.261771;0.019748;-0.002079;0;Mon Jun 26 12:40:24 2023
0.003068;-0.230097;0.003068;-0.230097;0.135195;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;-0.803273;-0.306392;1;-0.340690;-0.261771;-0.144856;-0.001948;0;Mon Jun 26 12:40:24 2023
0.000000;-0.230097;0.003068;0.000000;0.135236;0.000000;47.500000;92.500000;234.500000;94.500000;-0.010695;-0.803217;-0.612766;1;-0.817569;-1.005040;-0.276528;-0.001856;0;Mon Jun 26 12:40:24 2023
0.000000;-0.230097;0.003068;0.000000;0.135236;0.000000;47.500000;92.500000;234.500000;94.500000;-0.010695;0.000000;-0.612766;1;-0.817569;-1.005040;-0.221223;-0.002605;0;Mon Jun 26 12:40:24 2023
0.003068;0.230097;0.003068;0.000000;0.135277;0.000000;48.500000;93.500000;234.500000;94.500000;-0.005376;0.798896;-0.308039;1;0.644481;0.161994;-0.017199;-0.004287;0;Mon Jun 26 12:40:24 2023
0.003068;0.230097;0.003068;0.000000;0.135277;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.004319;-0.306392;1;0.644481;0.161994;-0.012895;-0.006142;0;Mon Jun 26 12:40:24 2023
0.003068;0.000000;0.003068;0.000000;0.135318;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;-0.032828;-0.327854;-0.010316;-0.007337;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135318;0.000000;47.500000;94.500000;234.500000;94.500000;0.000000;0.803272;0.000000;1;-0.032828;-0.327854;0.152401;-0.007517;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135358;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;-0.803260;-0.306392;1;-0.032869;-0.140424;-0.038731;-0.006744;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135358;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;-0.032869;-0.140424;-0.030985;-0.005501;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135399;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;-0.032910;-0.327936;-0.024788;-0.004473;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135399;0.000000;47.500000;93.500000;235.500000;94.500000;-0.005319;0.004273;-0.304762;1;-0.032910;-0.327936;-0.018976;-0.004014;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135440;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;-0.004273;-0.306392;1;-0.032950;-0.326980;-0.016035;-0.004077;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135440;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;-0.032950;-0.326980;-0.012828;-0.004443;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135481;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;-0.032991;-0.328018;-0.010262;-0.004888;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135481;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;-0.032991;-0.328018;-0.008210;-0.005255;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135522;0.000000;47.500000;93.500000;234.500000;95.500000;-0.010695;-0.803214;-0.612766;1;-0.033032;-0.328059;-0.167211;-0.005574;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135522;0.000000;47.500000;93.500000;234.500000;95.500000;-0.010695;0.000000;-0.612766;1;-0.033032;-0.328059;-0.133769;-0.006114;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135563;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.803210;-0.306392;1;-0.033073;-0.515560;0.053627;-0.006984;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135563;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;-0.033073;-0.515560;0.042902;-0.007772;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135604;0.000000;48.500000;93.500000;234.500000;94.500000;-0.005376;-0.004318;-0.308039;1;-0.033114;-0.328141;0.033458;-0.007988;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135604;0.000000;46.500000;93.500000;234.500000;94.500000;-0.005319;0.008591;-0.304762;1;-0.033114;-0.328141;0.028484;-0.007584;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135645;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;-0.004273;-0.306392;1;-0.033155;-0.327184;0.021933;-0.006834;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.135645;0.000000;48.500000;93.500000;234.500000;94.500000;-0.005376;-0.004318;-0.308039;1;-0.033155;-0.327184;0.016683;-0.006052;0;Mon Jun 26 12:40:25 2023
0.000000;-0.230097;0.003068;0.000000;0.135686;0.000000;48.500000;93.500000;234.500000;94.500000;-0.005376;0.000000;-0.308039;1;-0.818019;-1.006498;0.013346;-0.005453;0;Mon Jun 26 12:40:25 2023
0.000000;-0.230097;0.003068;0.000000;0.135686;0.000000;48.500000;94.500000;234.500000;94.500000;0.000000;0.807586;0.000000;1;-0.818019;-1.006498;0.172194;-0.005019;0;Mon Jun 26 12:40:25 2023
0.003068;0.230097;0.003068;0.000000;0.135727;0.000000;48.500000;91.500000;234.500000;95.500000;-0.021502;-3.229883;-1.231977;1;0.644031;0.536476;-0.508221;-0.004845;0;Mon Jun 26 12:40:25 2023
0.003068;0.230097;0.003068;0.000000;0.135727;0.000000;47.500000;94.500000;234.500000;95.500000;-0.005348;2.426583;-0.306392;1;0.644031;0.536476;0.078740;-0.005468;0;Mon Jun 26 12:40:25 2023
0.006136;0.230097;0.006136;0.230097;0.135808;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;0.377156;-0.025425;0.062992;-0.006843;0;Mon Jun 26 12:40:25 2023
0.006136;0.230097;0.006136;0.230097;0.135808;0.000000;47.500000;94.500000;234.500000;93.500000;0.005348;1.606526;0.306392;1;0.377156;-0.025425;0.371699;-0.007797;0;Mon Jun 26 12:40:25 2023
0.003068;-0.230097;0.006136;0.000000;0.135890;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;-1.606528;-0.306392;1;-0.715733;-0.635817;-0.023947;-0.007341;0;Mon Jun 26 12:40:25 2023
0.003068;-0.230097;0.006136;0.000000;0.135890;0.000000;47.500000;93.500000;234.500000;95.500000;-0.010695;-0.803204;-0.612766;1;-0.715733;-0.635817;-0.179798;-0.005891;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.006136;0.000000;0.135972;0.000000;46.500000;93.500000;234.500000;94.500000;-0.005319;0.807467;-0.304762;1;-0.038547;-0.521035;0.017655;-0.004724;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.006136;0.000000;0.135972;0.000000;47.500000;94.500000;235.500000;95.500000;-0.005319;0.000000;-0.304762;1;-0.038547;-0.521035;0.014124;-0.004449;0;Mon Jun 26 12:40:25 2023
0.006136;0.230097;0.009204;0.230097;0.136095;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;-0.008591;-0.308039;1;0.371805;-0.029780;0.009581;-0.004750;0;Mon Jun 26 12:40:25 2023
0.006136;0.230097;0.009204;0.230097;0.136095;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;0.000000;-0.308039;1;0.371805;-0.029780;0.007665;-0.005185;0;Mon Jun 26 12:40:25 2023
0.006136;0.000000;0.009204;0.000000;0.136217;0.000000;48.500000;95.500000;234.500000;94.500000;0.005376;1.615166;0.308039;1;0.063697;-0.339892;0.329165;-0.005327;0;Mon Jun 26 12:40:25 2023
0.006136;0.000000;0.009204;0.000000;0.136217;0.000000;47.500000;93.500000;234.500000;93.500000;0.000000;-0.807584;0.000000;1;0.063697;-0.339892;0.101815;-0.004660;0;Mon Jun 26 12:40:25 2023
0.006136;0.000000;0.009204;0.000000;0.136340;0.000000;48.500000;92.500000;234.500000;95.500000;-0.016128;-2.422560;-0.924045;1;0.063574;-0.151536;-0.403060;-0.003440;0;Mon Jun 26 12:40:25 2023
0.006136;0.000000;0.009204;0.000000;0.136340;0.000000;46.500000;94.500000;235.500000;94.500000;0.000000;2.422514;0.000000;1;0.063574;-0.151536;0.162055;-0.002802;0;Mon Jun 26 12:40:25 2023
0.006136;0.000000;0.009204;0.000000;0.136463;0.000000;48.500000;94.500000;234.500000;94.500000;0.000000;0.000000;0.000000;1;0.063452;-0.151659;0.129644;-0.003034;0;Mon Jun 26 12:40:25 2023
0.006136;0.000000;0.009204;0.000000;0.136463;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;-0.807581;-0.308039;1;0.063452;-0.151659;-0.057801;-0.003371;0;Mon Jun 26 12:40:25 2023
0.003068;-0.230097;0.009204;0.000000;0.136586;0.000000;47.500000;94.500000;234.500000;95.500000;-0.005348;0.004319;-0.306392;1;-0.721494;-1.017528;-0.045377;-0.003512;0;Mon Jun 26 12:40:25 2023
0.003068;-0.230097;0.009204;0.000000;0.136586;0.000000;48.500000;92.500000;234.500000;95.500000;-0.016128;-1.619273;-0.924045;1;-0.721494;-1.017528;-0.360156;-0.003912;0;Mon Jun 26 12:40:25 2023
0.006136;0.230097;0.009204;0.000000;0.136708;0.000000;46.500000;94.500000;234.500000;94.500000;0.000000;2.422533;0.000000;1;0.740474;-0.040031;0.196381;-0.004931;0;Mon Jun 26 12:40:25 2023
0.006136;0.230097;0.009204;0.000000;0.136708;0.000000;48.500000;94.500000;234.500000;94.500000;0.000000;0.000000;0.000000;1;0.740474;-0.040031;0.157105;-0.006001;0;Mon Jun 26 12:40:25 2023
0.009204;0.230097;0.009204;0.000000;0.136831;0.000000;47.500000;94.500000;235.500000;93.500000;0.005319;0.798980;0.304762;1;0.847906;0.525241;0.285480;-0.006012;0;Mon Jun 26 12:40:25 2023
0.009204;0.230097;0.009204;0.000000;0.136831;0.000000;47.500000;94.500000;234.500000;94.500000;0.000000;-0.798977;0.000000;1;0.847906;0.525241;0.068589;-0.004565;0;Mon Jun 26 12:40:25 2023
0.006136;-0.230097;0.009204;0.000000;0.136954;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;-0.803265;-0.306392;1;-0.614307;-0.829417;-0.105782;-0.002400;0;Mon Jun 26 12:40:25 2023
0.006136;-0.230097;0.009204;0.000000;0.136954;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;-0.004319;-0.308039;1;-0.614307;-0.829417;-0.085489;-0.000787;0;Mon Jun 26 12:40:25 2023
0.003068;-0.230097;0.006136;-0.230097;0.137036;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;0.000000;-0.308039;1;-0.347596;-0.643630;-0.068392;-0.000496;0;Mon Jun 26 12:40:25 2023
0.003068;-0.230097;0.006136;-0.230097;0.137036;0.000000;47.500000;93.500000;234.500000;95.500000;-0.010695;-0.798899;-0.612766;1;-0.347596;-0.643630;-0.214493;-0.001483;0;Mon Jun 26 12:40:25 2023
0.000000;-0.230097;0.006136;0.000000;0.137117;0.000000;49.500000;94.500000;234.500000;95.500000;-0.005405;0.794511;-0.309704;1;-0.824516;-1.199448;-0.012692;-0.003310;0;Mon Jun 26 12:40:25 2023
0.000000;-0.230097;0.006136;0.000000;0.137117;0.000000;47.500000;93.500000;234.500000;95.500000;-0.010695;-0.794510;-0.612766;1;-0.824516;-1.199448;-0.169056;-0.005375;0;Mon Jun 26 12:40:25 2023
0.003068;0.230097;0.006136;0.000000;0.137199;0.000000;47.500000;93.500000;234.500000;95.500000;-0.010695;0.000000;-0.612766;1;0.637493;0.155006;-0.135245;-0.007218;0;Mon Jun 26 12:40:25 2023
0.003068;0.230097;0.006136;0.000000;0.137199;0.000000;47.500000;93.500000;234.500000;95.500000;-0.010695;0.000000;-0.612766;1;0.637493;0.155006;-0.108196;-0.008719;0;Mon Jun 26 12:40:25 2023
0.006136;0.230097;0.009204;0.230097;0.137322;0.000000;48.500000;95.500000;234.500000;94.500000;0.005376;2.414010;0.308039;1;0.370578;-0.219465;0.396245;-0.009560;0;Mon Jun 26 12:40:25 2023
0.006136;0.230097;0.009204;0.230097;0.137322;0.000000;46.500000;94.500000;234.500000;94.500000;0.000000;-0.807579;0.000000;1;0.370578;-0.219465;0.155480;-0.009001;0;Mon Jun 26 12:40:25 2023
0.006136;0.000000;0.009204;0.000000;0.137445;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;-0.807582;-0.308039;1;0.062470;-0.152640;-0.037132;-0.006958;0;Mon Jun 26 12:40:25 2023
0.006136;0.000000;0.009204;0.000000;0.137445;0.000000;48.500000;94.500000;234.500000;94.500000;0.000000;0.807578;0.000000;1;0.062470;-0.152640;0.131810;-0.004451;0;Mon Jun 26 12:40:25 2023
0.003068;-0.230097;0.009204;0.000000;0.137567;0.000000;47.500000;93.500000;234.500000;93.500000;0.000000;0.000000;0.000000;1;-0.722476;-0.830031;0.105448;-0.002399;0;Mon Jun 26 12:40:25 2023
0.003068;-0.230097;0.009204;0.000000;0.137567;0.000000;48.500000;95.500000;234.500000;93.500000;0.010752;1.615106;0.616060;1;-0.722476;-0.830031;0.407380;-0.000794;0;Mon Jun 26 12:40:25 2023
0.006136;0.230097;0.009204;0.000000;0.137690;0.000000;48.500000;94.500000;235.500000;95.500000;-0.005348;-2.418374;-0.306392;1;0.739492;0.901330;-0.157771;0.000689;0;Mon Jun 26 12:40:25 2023
0.006136;0.000000;0.009204;0.000000;0.137813;0.000000;48.500000;95.500000;234.500000;94.500000;0.005376;1.610814;0.308039;1;0.062102;0.035471;0.195946;0.001875;0;Mon Jun 26 12:40:25 2023
0.006136;0.000000;0.009204;0.000000;0.137813;0.000000;48.500000;94.500000;234.500000;93.500000;0.005376;0.000000;0.308039;1;0.062102;0.035471;0.156757;0.002559;0;Mon Jun 26 12:40:25 2023
0.006136;0.000000;0.009204;0.000000;0.137936;0.000000;48.500000;94.500000;234.500000;94.500000;0.000000;-0.807549;0.000000;1;0.061979;-0.153131;-0.036105;0.002963;0;Mon Jun 26 12:40:25 2023
0.006136;0.000000;0.009204;0.000000;0.137936;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;-0.803249;-0.306392;1;0.061979;-0.153131;-0.189533;0.003003;0;Mon Jun 26 12:40:25 2023
0.003068;-0.230097;0.006136;-0.230097;0.138017;0.000000;48.500000;92.500000;234.500000;94.500000;-0.010752;-0.811841;-0.616060;1;-0.348578;-0.833081;-0.313995;0.002104;0;Mon Jun 26 12:40:25 2023
0.003068;-0.230097;0.006136;-0.230097;0.138017;0.000000;48.500000;92.500000;234.500000;93.500000;-0.005376;0.807524;-0.308039;1;-0.348578;-0.833081;-0.089691;0.000003;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.006136;0.000000;0.138099;0.000000;48.500000;94.500000;234.500000;95.500000;-0.005376;0.000000;-0.308039;1;-0.040675;-0.336709;-0.071753;-0.002718;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.006136;0.000000;0.138099;0.000000;47.500000;94.500000;234.500000;94.500000;0.000000;0.807579;0.000000;1;-0.040675;-0.336709;0.104113;-0.004981;0;Mon Jun 26 12:40:25 2023
0.006136;0.230097;0.006136;0.000000;0.138181;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;-0.803259;-0.306392;1;0.744067;0.341485;-0.077361;-0.006036;0;Mon Jun 26 12:40:25 2023
0.006136;0.230097;0.006136;0.000000;0.138181;0.000000;46.500000;94.500000;234.500000;94.500000;0.000000;0.803251;0.000000;1;0.744067;0.341485;0.098761;-0.005875;0;Mon Jun 26 12:40:25 2023
0.003068;-0.230097;0.006136;0.000000;0.138263;0.000000;48.500000;94.500000;234.500000;94.500000;0.000000;0.000000;0.000000;1;-0.718106;-0.825661;0.079009;-0.004876;0;Mon Jun 26 12:40:25 2023
0.003068;-0.230097;0.006136;0.000000;0.138263;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;-0.803244;-0.306392;1;-0.718106;-0.825661;-0.097441;-0.003504;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;-0.230097;0.138304;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;0.333469;0.038442;-0.077953;-0.002420;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;-0.230097;0.138304;0.000000;47.500000;92.500000;234.500000;94.500000;-0.010695;-0.803202;-0.612766;1;0.333469;0.038442;-0.223003;-0.002245;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.138345;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.803198;-0.306392;1;-0.035855;-0.518342;-0.017763;-0.003128;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.138345;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;-0.035855;-0.518342;-0.014210;-0.004587;0;Mon Jun 26 12:40:25 2023
0.000000;-0.230097;0.003068;0.000000;0.138386;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;-0.820719;-1.008190;-0.011368;-0.005868;0;Mon Jun 26 12:40:25 2023
0.000000;-0.230097;0.003068;0.000000;0.138386;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;-0.820719;-1.008190;-0.009095;-0.006547;0;Mon Jun 26 12:40:25 2023
0.003068;0.230097;0.003068;0.000000;0.138426;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;0.641331;0.346305;-0.007276;-0.006631;0;Mon Jun 26 12:40:25 2023
0.003068;0.230097;0.003068;0.000000;0.138426;0.000000;48.500000;93.500000;234.500000;94.500000;-0.005376;-0.004319;-0.308039;1;0.641331;0.346305;-0.006684;-0.006332;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.006136;0.230097;0.138508;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.004318;-0.306392;1;-0.410366;-0.706401;-0.004484;-0.005898;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.006136;0.230097;0.138508;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;-0.410366;-0.706401;-0.003587;-0.005510;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.006136;0.000000;0.138590;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;-0.041165;-0.336192;-0.002870;-0.005257;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.006136;0.000000;0.138590;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;-0.041165;-0.336192;-0.002296;-0.005149;0;Mon Jun 26 12:40:25 2023
0.006136;0.230097;0.006136;0.000000;0.138672;0.000000;47.500000;94.500000;234.500000;94.500000;0.000000;0.803254;0.000000;1;0.743576;0.340994;0.158814;-0.005053;0;Mon Jun 26 12:40:25 2023
0.006136;0.230097;0.006136;0.000000;0.138672;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;-0.803241;-0.306392;1;0.743576;0.340994;-0.033597;-0.004749;0;Mon Jun 26 12:40:25 2023
0.006136;0.000000;0.006136;0.000000;0.138754;0.000000;48.500000;94.500000;234.500000;94.500000;0.000000;0.803247;0.000000;1;0.066226;-0.336356;0.133772;-0.004200;0;Mon Jun 26 12:40:25 2023
0.006136;0.000000;0.006136;0.000000;0.138754;0.000000;47.500000;93.500000;235.500000;95.500000;-0.010638;-1.597913;-0.609507;1;0.066226;-0.336356;-0.212565;-0.003663;0;Mon Jun 26 12:40:25 2023
0.003068;-0.230097;0.003068;-0.230097;0.138795;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.794664;-0.306392;1;-0.344290;-0.824783;-0.011119;-0.003570;0;Mon Jun 26 12:40:25 2023
0.003068;-0.230097;0.003068;-0.230097;0.138795;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.000000;-0.306392;1;-0.344290;-0.824783;-0.008895;-0.004083;0;Mon Jun 26 12:40:25 2023
0.000000;-0.230097;0.003068;0.000000;0.138835;0.000000;48.500000;93.500000;234.500000;94.500000;-0.005376;-0.004319;-0.308039;1;-0.821169;-1.008640;-0.007980;-0.004853;0;Mon Jun 26 12:40:25 2023
0.000000;-0.230097;0.003068;0.000000;0.138835;0.000000;48.500000;93.500000;234.500000;94.500000;-0.005376;0.000000;-0.308039;1;-0.821169;-1.008640;-0.006384;-0.005480;0;Mon Jun 26 12:40:25 2023
0.003068;0.230097;0.003068;0.000000;0.138876;0.000000;48.500000;92.500000;234.500000;94.500000;-0.010752;-0.807498;-0.616060;1;0.640881;0.344847;-0.166607;-0.005916;0;Mon Jun 26 12:40:25 2023
0.003068;0.230097;0.003068;0.000000;0.138876;0.000000;48.500000;94.500000;234.500000;94.500000;0.000000;1.615001;0.000000;1;0.640881;0.344847;0.189715;-0.006251;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.138917;0.000000;48.500000;93.500000;234.500000;94.500000;-0.005376;-0.807566;-0.308039;1;-0.036427;-0.143983;-0.009741;-0.006308;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.138917;0.000000;47.500000;93.500000;235.500000;94.500000;-0.005319;0.008591;-0.304762;1;-0.036427;-0.143983;-0.006075;-0.005934;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.138958;0.000000;47.500000;93.500000;235.500000;94.500000;-0.005319;0.000000;-0.304762;1;-0.036468;-0.330498;-0.004860;-0.005399;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.138958;0.000000;47.500000;93.500000;235.500000;93.500000;0.000000;0.798986;0.000000;1;-0.036468;-0.330498;0.155909;-0.004911;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.138999;0.000000;47.500000;93.500000;235.500000;94.500000;-0.005319;-0.798967;-0.304762;1;-0.036509;-0.144064;-0.035066;-0.004389;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.138999;0.000000;48.500000;93.500000;234.500000;94.500000;-0.005376;-0.008591;-0.308039;1;-0.036509;-0.144064;-0.029771;-0.003899;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.139040;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.004318;-0.306392;1;-0.036550;-0.332585;-0.022953;-0.003714;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.139040;0.000000;47.500000;93.500000;235.500000;95.500000;-0.010638;-0.794628;-0.609507;1;-0.036550;-0.332585;-0.177288;-0.004016;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.139081;0.000000;47.500000;93.500000;234.500000;94.500000;-0.005348;0.794645;-0.306392;1;-0.036591;-0.517084;0.017098;-0.004822;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.139081;0.000000;47.500000;93.500000;235.500000;93.500000;0.000000;0.803239;0.000000;1;-0.036591;-0.517084;0.174327;-0.005733;0;Mon Jun 26 12:40:25 2023
0.003068;0.000000;0.003068;0.000000;0.139122;0.000000;48.500000;93.500000;234.500000;94.500000;-0.005376;-0.807564;-0.308039;1;-0.036632;-0.144187;-0.022052;-0.006084;0;Mon Jun 26 12:40:25 2023
