Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jun 26 13:18:06 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;y0;y1;y2;x0;x1;x2;x3;systemTime
0.003068;0.000000;-0.027612;0.000000;0.147753;0.000000;48.500000;90.500000;234.500000;91.500000;-0.005376;-0.805451;-0.308039;1;0.010867;-0.101868;-0.805451;-0.014579;0;-0.014579;0.000000;0.000000;-0.805451;0.000000;0.000000;0.000000;Mon Jun 26 13:18:14 2023
0.003068;0.000000;-0.027612;0.000000;0.147753;0.000000;47.500000;90.500000;234.500000;91.500000;-0.005348;0.004309;-0.306392;1;0.010867;-0.101868;-0.400571;-0.069316;0;-0.069316;-0.014579;0.000000;0.004309;-0.805451;0.000000;0.000000;Mon Jun 26 13:18:14 2023
0.003068;0.000000;-0.027612;0.000000;0.147753;0.000000;46.500000;91.500000;234.500000;91.500000;0.000000;0.801881;0.000000;1;0.010867;-0.101868;0.000247;-0.133740;0;-0.133740;-0.069316;-0.014579;0.801881;0.004309;-0.805451;0.000000;Mon Jun 26 13:18:14 2023
0.000000;-0.230097;-0.027612;0.000000;0.147385;0.000000;47.500000;90.500000;234.500000;91.500000;-0.005348;-0.802061;-0.306392;1;-0.847498;-0.847498;-0.200330;-0.142762;0;-0.142762;-0.133740;-0.069316;-0.802061;0.801881;0.004309;-0.805451;Mon Jun 26 13:18:14 2023
0.000000;-0.230097;-0.027612;0.000000;0.147385;0.000000;48.500000;90.500000;234.500000;91.500000;-0.005376;-0.004312;-0.308039;1;-0.847498;-0.847498;-0.161127;-0.112347;0;-0.112347;-0.142762;-0.133740;-0.004312;-0.802061;0.801881;0.004309;Mon Jun 26 13:18:14 2023
0.000000;0.000000;-0.027612;0.000000;0.147017;0.000000;47.500000;90.500000;234.500000;91.500000;-0.005348;0.004312;-0.306392;1;-0.101132;-0.298688;-0.128039;-0.095244;0;-0.095244;-0.112347;-0.142762;0.004312;-0.004312;-0.802061;0.801881;Mon Jun 26 13:18:14 2023
0.000000;0.000000;-0.027612;0.000000;0.147017;0.000000;48.500000;90.500000;234.500000;92.500000;-0.010752;-0.810655;-0.616060;1;-0.101132;-0.298688;-0.264562;-0.103627;0;-0.103627;-0.095244;-0.112347;-0.810655;0.004312;-0.004312;-0.802061;Mon Jun 26 13:18:14 2023
0.003068;0.230097;-0.024544;0.230097;0.146689;0.000000;48.500000;90.500000;235.500000;90.500000;0.000000;1.612753;0.000000;1;0.379452;-0.128385;0.110901;-0.115635;0;-0.115635;-0.103627;-0.095244;1.612753;-0.810655;0.004312;-0.004312;Mon Jun 26 13:18:14 2023
0.003068;0.230097;-0.024544;0.230097;0.146689;0.000000;48.500000;90.500000;234.500000;91.500000;-0.005376;-0.806401;-0.308039;1;0.379452;-0.128385;-0.072560;-0.078388;0;-0.078388;-0.115635;-0.103627;-0.806401;1.612753;-0.810655;0.004312;Mon Jun 26 13:18:14 2023
0.006136;0.230097;-0.024544;0.000000;0.146362;0.000000;47.500000;90.500000;234.500000;91.500000;-0.005348;0.004312;-0.306392;1;0.865892;0.442866;-0.057185;-0.000807;0;-0.000807;-0.078388;-0.115635;0.004312;-0.806401;1.612753;-0.810655;Mon Jun 26 13:18:14 2023
0.006136;0.230097;-0.024544;0.000000;0.146362;0.000000;47.500000;91.500000;235.500000;91.500000;0.000000;0.802060;0.000000;1;0.865892;0.442866;0.114664;0.059301;0;0.059301;-0.000807;-0.078388;0.802060;0.004312;-0.806401;1.612753;Mon Jun 26 13:18:14 2023
0.003068;-0.230097;-0.024544;0.000000;0.146035;0.000000;47.500000;90.500000;235.500000;91.500000;-0.005319;-0.797813;-0.304762;1;-0.738511;-0.851246;-0.067832;0.098275;0;0.098275;0.059301;-0.000807;-0.797813;0.802060;0.004312;-0.806401;Mon Jun 26 13:18:14 2023
0.003068;-0.230097;-0.024544;0.000000;0.146035;0.000000;48.500000;91.500000;234.500000;91.500000;0.000000;0.797806;0.000000;1;-0.738511;-0.851246;0.105296;0.117341;0;0.117341;0.098275;0.059301;0.797806;-0.797813;0.802060;0.004312;Mon Jun 26 13:18:14 2023
0.003068;0.000000;-0.027612;-0.230097;0.145667;0.000000;48.500000;90.500000;235.500000;90.500000;0.000000;0.000000;0.000000;1;0.386332;0.273597;0.084237;0.121279;0;0.121279;0.117341;0.098275;0.000000;0.797806;-0.797813;0.802060;Mon Jun 26 13:18:14 2023
0.003068;0.000000;-0.027612;-0.230097;0.145667;0.000000;48.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;0.386332;0.273597;0.067389;0.130859;0;0.130859;0.121279;0.117341;0.000000;0.000000;0.797806;-0.797813;Mon Jun 26 13:18:14 2023
0.003068;0.000000;-0.027612;0.000000;0.145299;0.000000;47.500000;90.500000;235.500000;90.500000;0.000000;0.000000;0.000000;1;0.013321;-0.099414;0.053911;0.133924;0;0.133924;0.130859;0.121279;0.000000;0.000000;0.000000;0.797806;Mon Jun 26 13:18:14 2023
0.003068;0.000000;-0.027612;0.000000;0.145299;0.000000;48.500000;88.500000;235.500000;90.500000;-0.010695;-1.604011;-0.612766;1;0.013321;-0.099414;-0.277673;0.085608;0;0.085608;0.133924;0.130859;-1.604011;0.000000;0.000000;0.000000;Mon Jun 26 13:18:14 2023
0.000000;-0.230097;-0.027612;0.000000;0.144931;0.000000;48.500000;90.500000;235.500000;90.500000;0.000000;1.604045;0.000000;1;-0.845043;-1.238033;0.098671;-0.029421;0;-0.029421;0.085608;0.133924;1.604045;-1.604011;0.000000;0.000000;Mon Jun 26 13:18:14 2023
0.000000;-0.230097;-0.027612;0.000000;0.144931;0.000000;47.500000;90.500000;235.500000;90.500000;0.000000;0.000000;0.000000;1;-0.845043;-1.238033;0.078936;-0.115801;0;-0.115801;-0.029421;0.085608;0.000000;1.604045;-1.604011;0.000000;Mon Jun 26 13:18:14 2023
0.000000;0.000000;-0.027612;0.000000;0.144562;0.000000;46.500000;91.500000;234.500000;90.500000;0.005319;0.797782;0.304762;1;-0.098677;-0.098677;0.222705;-0.072693;0;-0.072693;-0.115801;-0.029421;0.797782;0.000000;1.604045;-1.604011;Mon Jun 26 13:18:14 2023
0.003068;0.230097;-0.024544;0.230097;0.144235;0.000000;48.500000;90.500000;234.500000;91.500000;-0.005376;-1.604069;-0.308039;1;0.381906;0.071614;-0.142649;0.044179;0;0.044179;-0.072693;-0.115801;-1.604069;0.797782;0.000000;1.604045;Mon Jun 26 13:18:14 2023
0.003068;0.230097;-0.024544;0.230097;0.144235;0.000000;47.500000;91.500000;234.500000;91.500000;0.000000;0.806297;0.000000;1;0.381906;0.071614;0.047140;0.102351;0;0.102351;0.044179;-0.072693;0.806297;-1.604069;0.797782;0.000000;Mon Jun 26 13:18:14 2023
0.003068;0.230097;-0.024544;0.230097;0.144235;0.000000;48.500000;90.500000;234.500000;91.500000;-0.005376;-0.806345;-0.308039;1;0.381906;0.071614;-0.123557;0.064189;0;0.064189;0.102351;0.044179;-0.806345;0.806297;-1.604069;0.797782;Mon Jun 26 13:18:14 2023
0.003068;0.000000;-0.021476;0.230097;0.143949;0.000000;47.500000;90.500000;234.500000;91.500000;-0.005348;0.004312;-0.306392;1;-0.368904;-0.679196;-0.097983;-0.024771;0;-0.024771;0.064189;0.102351;0.004312;-0.806345;0.806297;-1.604069;Mon Jun 26 13:18:14 2023
0.003068;0.000000;-0.021476;0.230097;0.143949;0.000000;48.500000;89.500000;234.500000;91.500000;-0.010752;-0.810620;-0.616060;1;-0.368904;-0.679196;-0.240511;-0.134690;0;-0.134690;-0.024771;0.064189;-0.810620;0.004312;-0.806345;0.806297;Mon Jun 26 13:18:14 2023
0.006136;0.230097;-0.021476;0.000000;0.143662;0.000000;48.500000;91.500000;234.500000;91.500000;0.000000;1.612741;0.000000;1;0.863494;0.242922;0.130140;-0.219089;0;-0.219089;-0.134690;-0.024771;1.612741;-0.810620;0.004312;-0.806345;Mon Jun 26 13:18:15 2023
0.006136;0.230097;-0.021476;0.000000;0.143662;0.000000;48.500000;92.500000;235.500000;92.500000;0.000000;0.000000;0.000000;1;0.863494;0.242922;0.104112;-0.189528;0;-0.189528;-0.219089;-0.134690;0.000000;1.612741;-0.810620;0.004312;Mon Jun 26 13:18:15 2023
0.006136;0.000000;-0.021476;0.000000;0.143376;0.000000;48.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;0.117782;-0.107688;0.083289;-0.038966;0;-0.038966;-0.189528;-0.219089;0.000000;0.000000;1.612741;-0.810620;Mon Jun 26 13:18:15 2023
0.006136;0.000000;-0.021476;0.000000;0.143376;0.000000;48.500000;89.500000;235.500000;92.500000;-0.016041;-2.405980;-0.919105;1;0.117782;-0.107688;-0.414564;0.080326;0;0.080326;-0.038966;-0.189528;-2.405980;0.000000;0.000000;1.612741;Mon Jun 26 13:18:15 2023
0.003068;-0.230097;-0.024544;-0.230097;0.143049;0.000000;47.500000;90.500000;234.500000;92.500000;-0.010695;0.801958;-0.612766;1;-0.362146;-1.064337;-0.171260;0.018630;0;0.018630;0.080326;-0.038966;0.801958;-2.405980;0.000000;0.000000;Mon Jun 26 13:18:15 2023
0.003068;-0.230097;-0.024544;-0.230097;0.143049;0.000000;47.500000;90.500000;234.500000;91.500000;-0.005348;0.802034;-0.306392;1;-0.362146;-1.064337;0.023399;-0.145647;0;-0.145647;0.018630;0.080326;0.802034;0.801958;-2.405980;0.000000;Mon Jun 26 13:18:15 2023
0.000000;-0.230097;-0.024544;0.000000;0.142722;0.000000;48.500000;90.500000;234.500000;90.500000;0.000000;0.802093;0.000000;1;-0.847933;-1.044433;0.179138;-0.197971;0;-0.197971;-0.145647;0.018630;0.802093;0.802034;0.801958;-2.405980;Mon Jun 26 13:18:15 2023
0.000000;-0.230097;-0.024544;0.000000;0.142722;0.000000;48.500000;90.500000;234.500000;92.500000;-0.010752;-1.612777;-0.616060;1;-0.847933;-1.044433;-0.179245;-0.098534;0;-0.098534;-0.197971;-0.145647;-1.612777;0.802093;0.802034;0.801958;Mon Jun 26 13:18:15 2023
0.003068;0.230097;-0.024544;0.000000;0.142394;0.000000;47.500000;91.500000;235.500000;91.500000;0.000000;1.612785;0.000000;1;0.757125;0.249288;0.179161;0.019944;0;0.019944;-0.098534;-0.197971;1.612785;-1.612777;0.802093;0.802034;Mon Jun 26 13:18:15 2023
0.003068;0.230097;-0.024544;0.000000;0.142394;0.000000;48.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;0.757125;0.249288;0.143329;0.111120;0;0.111120;0.019944;-0.098534;0.000000;1.612785;-1.612777;0.802093;Mon Jun 26 13:18:15 2023
