Starting new run:  K= -1.414200, -2.310000, 45.237500, -2.128500, 3.890900 - Mon Jun 26 13:27:37 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;systemTime
0.009204;0.000000;0.003068;0.000000;0.163809;0.000000;48.500000;96.500000;235.500000;97.500000;0.000000;0.000000;0.000000;0;0.177615;-0.238745;0.000000;0.000000;0;Mon Jun 26 13:28:00 2023
0.009204;0.000000;0.003068;0.000000;0.163809;0.000000;47.500000;97.500000;234.500000;97.500000;0.000000;0.000000;0.000000;1;0.177615;-0.238745;0.000000;0.000000;0;Mon Jun 26 13:28:00 2023
0.006136;-0.460194;0.003068;0.000000;0.163829;0.000000;47.500000;97.500000;234.500000;97.500000;0.000000;0.000000;0.000000;0;-1.751770;-0.238774;0.000000;0.000000;0;Mon Jun 26 13:28:00 2023
0.006136;0.000000;0.003068;0.000000;0.163850;0.000000;46.500000;95.500000;233.500000;97.500000;-0.010695;-1.605077;-0.612766;1;0.038771;-0.238803;-0.401269;-0.029052;0;Mon Jun 26 13:28:00 2023
0.006136;0.000000;0.003068;0.000000;0.163870;0.000000;46.500000;95.500000;233.500000;97.500000;-0.010695;0.000000;-0.612766;0;0.038742;-0.835675;-0.321015;-0.138287;0;Mon Jun 26 13:28:00 2023
0.006136;0.000000;0.003068;0.000000;0.163891;0.000000;46.500000;95.500000;233.500000;97.500000;-0.010695;0.000000;-0.612766;0;0.038713;-1.260727;-0.256812;-0.296175;0;Mon Jun 26 13:28:00 2023
0.006136;0.000000;0.003068;0.000000;0.163911;0.000000;46.500000;95.500000;233.500000;97.500000;-0.010695;0.000000;-0.612766;0;0.038684;-1.875084;-0.205450;-0.394820;0;Mon Jun 26 13:28:00 2023
0.009204;0.460194;0.003068;0.000000;0.163931;0.000000;47.500000;96.500000;235.500000;97.500000;-0.005319;0.806824;-0.304762;1;1.968012;-2.258929;-0.002995;-0.368392;0;Mon Jun 26 13:28:00 2023
0.009204;0.000000;0.003068;0.000000;0.163952;0.000000;48.500000;97.500000;234.500000;98.500000;-0.005376;-0.008584;-0.308039;1;0.177413;-1.912946;-0.004113;-0.220048;0;Mon Jun 26 13:28:00 2023
0.006136;-0.460194;0.003068;0.000000;0.163972;0.000000;47.500000;96.500000;235.500000;97.500000;-0.005319;0.008584;-0.304762;1;-1.751973;-1.338371;-0.001573;-0.017813;0;Mon Jun 26 13:28:00 2023
0.003068;-0.460194;0.003068;0.000000;0.163993;0.000000;48.500000;97.500000;234.500000;98.500000;-0.005376;-0.008584;-0.308039;1;-1.890788;-0.548938;-0.002976;0.140941;0;Mon Jun 26 13:28:00 2023
0.006136;0.460194;0.003068;0.000000;0.164013;0.000000;48.500000;97.500000;234.500000;98.500000;-0.005376;0.000000;-0.308039;0;1.829109;0.066145;-0.002380;0.207778;0;Mon Jun 26 13:28:00 2023
0.009204;0.460194;0.003068;0.000000;0.164034;0.000000;48.500000;97.500000;234.500000;98.500000;-0.005376;0.000000;-0.308039;0;1.967867;0.326169;-0.001904;0.193705;0;Mon Jun 26 13:28:00 2023
