Starting new run:  K= -1.000000, -1.651000, 35.057500, -1.604900, 2.943400 - Mon Jun 26 13:36:35 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;systemTime
0.009204;0.000000;0.027612;0.000000;0.103084;0.000000;47.500000;97.500000;234.500000;98.500000;-0.005348;-0.802044;-0.306392;1;0.173995;-0.148670;-0.802044;-0.014517;0;Mon Jun 26 13:36:48 2023
0.006136;-0.460194;0.027612;0.000000;0.103268;0.000000;48.500000;98.500000;234.500000;98.500000;0.000000;0.802255;0.000000;1;-1.288280;-1.690862;0.000106;-0.054580;0;Mon Jun 26 13:36:48 2023
0.006136;-0.460194;0.027612;0.000000;0.103268;0.000000;47.500000;97.500000;234.500000;98.500000;-0.005348;-0.802505;-0.306392;1;-1.288280;-1.690862;-0.267431;-0.093403;0;Mon Jun 26 13:36:48 2023
0.006136;0.000000;0.027612;0.000000;0.103452;0.000000;48.500000;97.500000;234.500000;96.500000;0.005376;1.609586;0.308039;1;0.066072;-0.336510;0.201823;-0.089260;0;Mon Jun 26 13:36:48 2023
0.006136;0.000000;0.027612;0.000000;0.103636;0.000000;48.500000;97.500000;234.500000;98.500000;-0.005376;-1.613845;-0.308039;1;0.065888;0.039257;-0.161311;-0.032656;0;Mon Jun 26 13:36:48 2023
0.006136;0.000000;0.027612;0.000000;0.103820;0.000000;48.500000;98.500000;234.500000;98.500000;0.000000;0.806941;0.000000;1;0.065703;-0.337886;0.032340;0.021985;0;Mon Jun 26 13:36:48 2023
0.006136;0.000000;0.027612;0.000000;0.104004;0.000000;47.500000;97.500000;234.500000;98.500000;-0.005348;-0.802616;-0.306392;1;0.065519;-0.149591;-0.134651;0.023291;0;Mon Jun 26 13:36:48 2023
0.006136;0.000000;0.027612;0.000000;0.104372;0.000000;48.500000;97.500000;234.500000;98.500000;-0.005376;-0.004315;-0.308039;1;0.065151;-0.338438;-0.108584;-0.023150;0;Mon Jun 26 13:36:48 2023
0.006136;0.000000;0.027612;0.000000;0.104556;0.000000;48.500000;97.500000;234.500000;97.500000;0.000000;0.806932;0.000000;1;0.064967;-0.150143;0.074519;-0.076786;0;Mon Jun 26 13:36:48 2023
0.006136;0.000000;0.027612;0.000000;0.104556;0.000000;48.500000;97.500000;234.500000;96.500000;0.005376;0.806943;0.308039;1;0.064967;-0.150143;0.221004;-0.057621;0;Mon Jun 26 13:36:48 2023
0.006136;0.000000;0.027612;0.000000;0.104924;0.000000;46.500000;96.500000;234.500000;98.500000;-0.010638;-2.403707;-0.609507;1;0.064599;0.037968;-0.303938;0.027027;0;Mon Jun 26 13:36:48 2023
0.006136;0.000000;0.027612;0.000000;0.105108;0.000000;48.500000;97.500000;234.500000;96.500000;0.005376;2.403645;0.308039;1;0.064415;0.037784;0.237578;0.065780;0;Mon Jun 26 13:36:48 2023
0.006136;0.000000;0.027612;0.000000;0.105292;0.000000;48.500000;97.500000;234.500000;97.500000;0.000000;-0.806976;0.000000;1;0.064231;0.037600;0.028667;0.067775;0;Mon Jun 26 13:36:48 2023
0.006136;0.000000;0.027612;0.000000;0.105477;0.000000;48.500000;97.500000;234.500000;98.500000;-0.005376;-0.806962;-0.308039;1;0.064047;-0.151063;-0.138458;0.077574;0;Mon Jun 26 13:36:48 2023
