Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jun 26 15:02:08 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;systemTime
0.003068;0.000000;0.024544;0.000000;0.140431;0.000000;48.500000;96.500000;234.500000;99.500000;-0.016128;-2.422065;-0.924045;1;-0.068483;-0.915974;-2.422065;-0.043839;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.140431;0.000000;48.500000;96.500000;234.500000;99.500000;-0.016128;0.000000;-0.924045;1;-0.068483;-0.915974;-1.211033;-0.208675;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.140594;0.000000;48.500000;96.500000;234.500000;96.500000;0.000000;2.423447;0.000000;1;-0.068646;-1.450552;0.000461;-0.403065;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.140758;0.000000;48.500000;96.500000;233.500000;97.500000;-0.005405;-0.812386;-0.309704;1;-0.068810;-1.488322;-0.202751;-0.401694;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.140922;0.000000;48.500000;96.500000;234.500000;99.500000;-0.016128;-1.611454;-0.924045;1;-0.068973;-1.682666;-0.484492;-0.229916;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.141085;0.000000;47.500000;96.500000;234.500000;98.500000;-0.010695;0.816525;-0.612766;1;-0.069137;-1.519906;-0.224288;-0.114551;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.141249;0.000000;48.500000;96.500000;234.500000;97.500000;-0.005376;0.799337;-0.308039;1;-0.069301;-0.946410;-0.019563;-0.084754;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.141413;0.000000;48.500000;96.500000;234.500000;96.500000;0.000000;0.808044;0.000000;1;-0.069464;-0.654538;0.145958;-0.004405;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.141576;0.000000;48.500000;96.500000;233.500000;98.500000;-0.010810;-1.624754;-0.619390;1;-0.069628;-0.196645;-0.208184;0.133298;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.141740;0.000000;47.500000;96.500000;234.500000;96.500000;0.000000;1.624778;0.000000;1;-0.069792;-0.147599;0.158408;0.215774;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.141903;0.000000;46.500000;97.500000;233.500000;98.500000;-0.005348;-0.803708;-0.306392;1;-0.069955;0.516871;-0.034015;0.220939;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.142067;0.000000;46.500000;97.500000;233.500000;98.500000;-0.005348;0.000000;-0.306392;0;-0.070119;0.336953;-0.027212;0.185860;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.142231;0.000000;47.500000;96.500000;234.500000;96.500000;0.000000;0.803687;0.000000;1;-0.070282;0.223058;0.138968;0.126085;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.142394;0.000000;47.500000;96.500000;234.500000;98.500000;-0.010695;-1.607313;-0.612766;1;-0.070446;0.225599;-0.210288;0.063500;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.142558;0.000000;48.500000;96.500000;233.500000;98.500000;-0.010810;-0.017375;-0.619390;1;-0.070610;-0.370460;-0.171706;-0.029650;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.142722;0.000000;47.500000;96.500000;234.500000;96.500000;0.000000;1.624717;0.000000;1;-0.070773;-0.676873;0.187579;-0.136500;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.142885;0.000000;48.500000;96.500000;234.500000;96.500000;0.000000;0.000000;0.000000;1;-0.070937;-0.626218;0.150063;-0.129321;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.143049;0.000000;48.500000;96.500000;234.500000;96.500000;0.000000;0.000000;0.000000;1;-0.071101;-0.603108;0.120051;0.013522;0;Mon Jun 26 15:02:21 2023
0.003068;0.000000;0.024544;0.000000;0.143212;0.000000;47.500000;96.500000;234.500000;97.500000;-0.005348;-0.803696;-0.306392;1;-0.071264;-0.140159;-0.064699;0.153673;0;Mon Jun 26 15:02:21 2023
