Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Fri Jun 30 12:02:20 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;camControl;systemTime
0.000000;0.000000;0.003068;0.000000;0.148898;0.000000;62.500000;82.500000;250.500000;82.500000;0.000000;0.000000;0.000000;1;-0.153997;-0.153997;0.000000;0.000000;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;0.003068;0.000000;0.148898;0.000000;62.500000;82.500000;251.500000;81.500000;0.005291;0.792496;0.303149;1;-0.153997;-0.153997;0.001963;0.142649;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;0.003068;0.000000;0.148919;0.000000;62.500000;82.500000;251.500000;82.500000;0.000000;-0.792676;0.000000;1;-0.154017;-0.063717;0.002457;0.085262;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;0.003068;0.000000;0.148939;0.000000;63.500000;82.500000;251.500000;81.500000;0.005319;0.797081;0.304762;1;-0.154038;-0.046634;0.002686;0.201486;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;0.003068;0.000000;0.148960;0.000000;62.500000;82.500000;252.500000;81.500000;0.005263;-0.008390;0.301554;1;-0.154058;-0.046654;0.004697;0.099206;0;Fri Jun 30 12:02:35 2023
0.003068;0.460194;0.003068;0.000000;0.148980;0.000000;63.500000;81.500000;250.500000;81.500000;0.000000;-0.788683;0.000000;1;1.450652;0.018530;0.003128;-0.000765;0;Fri Jun 30 12:02:35 2023
0.003068;0.000000;0.003068;0.000000;0.149001;0.000000;63.500000;81.500000;251.500000;81.500000;0.000000;0.000000;0.000000;1;-0.041364;-0.039163;0.000808;-0.144506;0;Fri Jun 30 12:02:35 2023
0.000000;-0.460194;0.003068;0.000000;0.149021;0.000000;61.500000;82.500000;251.500000;81.500000;0.005263;0.788710;0.301554;1;-1.646115;-0.154119;0.002142;-0.131811;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;-0.000000;-0.460194;0.149021;0.000000;63.500000;81.500000;252.500000;81.500000;0.000000;-0.788691;0.000000;1;0.597736;0.676438;0.002379;-0.099540;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;-0.000000;0.000000;0.149021;0.000000;62.500000;81.500000;251.500000;81.500000;0.000000;0.000000;0.000000;1;-0.149021;-0.061594;0.000619;0.014091;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;-0.000000;0.000000;0.149021;0.000000;62.500000;82.500000;251.500000;81.500000;0.005291;0.792870;0.303149;1;-0.149021;-0.149021;0.002274;0.059080;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;-0.000000;0.000000;0.149021;0.000000;61.500000;81.500000;251.500000;81.500000;0.000000;-0.792854;0.000000;1;-0.149021;-0.065458;0.002540;0.002411;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;-0.000000;0.000000;0.149021;0.000000;63.500000;80.500000;251.500000;81.500000;-0.005319;-0.797083;-0.304762;1;-0.149021;-0.055672;-0.001402;-0.123044;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;-0.000000;0.000000;0.149021;0.000000;63.500000;80.500000;251.500000;81.500000;-0.005319;0.000000;-0.304762;1;-0.149021;-0.200553;-0.004312;-0.354392;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;-0.000000;0.000000;0.149021;0.000000;61.500000;81.500000;251.500000;81.500000;0.000000;0.797093;0.000000;1;-0.149021;-0.321429;-0.003163;-0.267955;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;-0.000000;0.000000;0.149021;0.000000;61.500000;81.500000;251.500000;81.500000;0.000000;0.000000;0.000000;1;-0.149021;-0.275512;-0.000996;0.014750;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;-0.000000;0.000000;0.149021;0.000000;62.500000;81.500000;251.500000;81.500000;0.000000;0.000000;0.000000;1;-0.149021;-0.149021;-0.000244;0.279289;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;-0.000000;0.000000;0.149021;0.000000;62.500000;81.500000;250.500000;81.500000;0.000000;0.000000;0.000000;1;-0.149021;-0.149812;0.000219;0.248704;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;-0.000000;0.000000;0.149021;0.000000;63.500000;80.500000;251.500000;81.500000;-0.005319;-0.797100;-0.304762;1;-0.149021;-0.148312;-0.001738;-0.043509;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;-0.000000;0.000000;0.149021;0.000000;63.500000;80.500000;251.500000;81.500000;-0.005319;0.000000;-0.304762;1;-0.149021;-0.212883;-0.004541;-0.251370;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;-0.000000;0.000000;0.149021;0.000000;63.500000;80.500000;251.500000;81.500000;-0.005319;0.000000;-0.304762;1;-0.149021;-0.330617;-0.005452;-0.353519;0;Fri Jun 30 12:02:35 2023
0.000000;0.000000;-0.000000;0.000000;0.149021;0.000000;63.500000;80.500000;251.500000;81.500000;-0.005319;0.000000;-0.304762;1;-0.149021;-0.367050;-0.005520;-0.208578;0;Fri Jun 30 12:02:35 2023
-0.003068;-0.460194;-0.000000;0.000000;0.149021;0.000000;63.500000;82.500000;251.500000;81.500000;0.005319;1.594188;0.304762;1;-1.753752;-0.369758;-0.001225;0.257570;0;Fri Jun 30 12:02:35 2023
-0.003068;0.000000;-0.000000;0.000000;0.149021;0.000000;62.500000;81.500000;251.500000;81.500000;0.000000;-0.797108;0.000000;1;-0.261756;-0.198008;0.001909;0.383395;0;Fri Jun 30 12:02:35 2023
0.000000;0.460194;0.003068;0.460194;0.149042;0.000000;62.500000;81.500000;251.500000;81.500000;0.000000;0.000000;0.000000;1;0.591099;-0.824560;0.000613;0.421982;0;Fri Jun 30 12:02:35 2023
0.003068;0.460194;0.003068;0.000000;0.149062;0.000000;62.500000;82.500000;251.500000;81.500000;0.005291;0.792883;0.303149;1;1.450570;-0.152174;0.002089;0.210164;0;Fri Jun 30 12:02:35 2023
0.003068;0.000000;0.006136;0.460194;0.149103;0.000000;61.500000;82.500000;250.500000;81.500000;0.005291;0.000000;0.303149;1;-0.793322;-0.822514;0.004259;0.097106;0;Fri Jun 30 12:02:35 2023
0.003068;0.000000;0.006136;0.000000;0.149144;0.000000;62.500000;82.500000;251.500000;81.500000;0.005291;0.000000;0.303149;1;-0.046606;-0.002853;0.004991;0.135592;0;Fri Jun 30 12:02:35 2023
