Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Fri Jun 30 12:21:13 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;camControl;systemTime
0.003068;0.000000;0.009204;0.000000;0.066023;0.000000;62.500000;86.500000;252.500000;85.500000;0.005263;0.526713;0.301554;1;0.031417;-0.081318;0.000665;0.032604;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.066023;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;0.002788;0.303149;1;0.031417;-0.081318;0.001830;0.107288;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.066115;0.000000;62.500000;85.500000;251.500000;85.500000;0.000000;-0.530089;0.000000;1;0.031325;-0.014172;0.002036;0.152447;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.066207;0.000000;62.500000;85.500000;252.500000;85.500000;0.000000;0.000000;0.000000;1;0.031233;-0.006693;0.001522;0.075573;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.066299;0.000000;62.500000;85.500000;251.500000;85.500000;0.000000;0.000000;0.000000;1;0.031141;-0.025682;0.001137;-0.102622;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.066391;0.000000;62.500000;85.500000;251.500000;85.500000;0.000000;0.000000;0.000000;1;0.031049;-0.039897;0.000850;-0.226951;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.066483;0.000000;62.500000;85.500000;251.500000;85.500000;0.000000;0.000000;0.000000;1;0.030957;-0.081778;0.000635;-0.169752;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.066575;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;0.530148;0.303149;1;0.030865;-0.081870;0.001143;0.045733;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.066759;0.000000;62.500000;85.500000;251.500000;85.500000;0.000000;-0.530104;0.000000;1;0.030681;-0.040052;0.001523;0.196989;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.066851;0.000000;61.500000;86.500000;251.500000;85.500000;0.005263;0.526849;0.301554;1;0.030589;-0.026198;0.001803;0.175797;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.066851;0.000000;63.500000;86.500000;251.500000;85.500000;0.005319;0.005606;0.304762;1;0.030589;-0.026198;0.002684;0.057919;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.066943;0.000000;61.500000;86.500000;252.500000;85.500000;0.005236;-0.008369;0.299975;1;0.030497;0.016383;0.003339;0.016984;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.067035;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;0.005551;0.303149;1;0.030405;0.040364;0.003825;0.062119;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.067127;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;0.000000;0.303149;1;0.030313;0.058133;0.004195;0.098340;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.067219;0.000000;62.500000;85.500000;251.500000;85.500000;0.000000;-0.530129;0.000000;1;0.030221;0.071647;0.003804;0.006239;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.067311;0.000000;61.500000;86.500000;251.500000;85.500000;0.005263;0.527334;0.301554;1;0.030129;0.057169;0.003508;-0.130788;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.009204;0.000000;0.067403;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;0.002790;0.303149;1;0.030037;0.046196;0.003955;-0.151996;0;Fri Jun 30 12:21:26 2023
0.000000;-0.306796;0.009204;0.000000;0.067495;0.000000;62.500000;85.500000;252.500000;85.500000;0.000000;-0.530114;0.000000;1;-1.077454;0.062527;0.003624;-0.037560;0;Fri Jun 30 12:21:26 2023
0.003068;0.306796;0.012272;0.306796;0.067618;0.000000;61.500000;86.500000;251.500000;85.500000;0.005263;0.527338;0.301554;1;0.521549;-0.452684;0.003373;0.075836;0;Fri Jun 30 12:21:26 2023
0.003068;0.000000;0.015340;0.306796;0.067771;0.000000;61.500000;86.500000;252.500000;85.500000;0.005236;-0.002761;0.299975;1;-0.478366;-0.467147;0.003847;0.080697;0;Fri Jun 30 12:21:26 2023
0.006136;0.306796;0.015340;0.000000;0.067925;0.000000;63.500000;85.500000;252.500000;85.500000;0.000000;-0.524579;0.000000;1;1.126717;0.047951;0.003537;-0.010097;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.306796;0.068109;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;0.530131;0.303149;1;-0.371067;-0.466581;0.003312;-0.068486;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.068293;0.000000;62.500000;87.500000;251.500000;85.500000;0.010582;0.530110;0.606282;1;0.126587;0.022802;0.004480;0.014049;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.068477;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;-0.530096;0.303149;1;0.126403;0.065545;0.005353;0.152658;0;Fri Jun 30 12:21:26 2023
0.006136;-0.306796;0.018408;0.000000;0.068845;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;0.000000;0.303149;1;-0.868629;0.097261;0.005337;0.189015;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.069029;0.000000;62.500000;86.500000;251.500000;86.500000;0.000000;-0.529769;0.000000;1;0.125851;0.096502;0.004657;0.033041;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.069029;0.000000;62.500000;87.500000;252.500000;86.500000;0.005263;0.527016;0.301554;1;0.125851;0.096502;0.004146;-0.183093;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.069213;0.000000;61.500000;87.500000;252.500000;85.500000;0.010471;0.521727;0.599934;1;0.125667;0.052530;0.005086;-0.217168;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.069397;0.000000;62.500000;87.500000;252.500000;85.500000;0.010526;0.005522;0.603091;1;0.125483;0.086888;0.006453;0.043326;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.069581;0.000000;61.500000;87.500000;251.500000;84.500000;0.015788;0.527265;0.904595;1;0.125299;0.136945;0.008146;0.388327;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.069765;0.000000;62.500000;86.500000;251.500000;86.500000;0.000000;-1.581953;0.000000;1;0.125115;0.225401;0.008083;0.403569;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.069950;0.000000;62.500000;87.500000;252.500000;85.500000;0.010526;1.054672;0.603091;1;0.124930;0.222668;0.007370;0.049110;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.070134;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;-0.524530;0.303149;1;0.124746;0.170108;0.007506;-0.354215;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.070318;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;0.000000;0.303149;1;0.124562;0.199254;0.006947;-0.381243;0;Fri Jun 30 12:21:26 2023
0.009204;0.306796;0.018408;0.000000;0.070502;0.000000;63.500000;86.500000;251.500000;85.500000;0.005319;0.002820;0.304762;1;1.231777;0.176693;0.006532;-0.099447;0;Fri Jun 30 12:21:26 2023
