Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Fri Jun 30 13:15:12 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;camControl;systemTime
0.000000;-0.306796;-0.003068;0.000000;0.087038;0.000000;61.500000;85.500000;250.500000;83.500000;0.010582;1.059984;0.606282;1;-1.076604;-1.076604;0.002512;0.396328;0.000000;0.000000;0;Fri Jun 30 13:15:29 2023
0.000000;-0.306796;-0.003068;0.000000;0.087038;0.000000;62.500000;84.500000;250.500000;83.500000;0.005319;-0.527366;0.304762;1;-1.076604;-1.076604;0.005094;0.018764;0.005094;0.510496;0;Fri Jun 30 13:15:29 2023
0.000000;0.000000;-0.003068;0.000000;0.087007;0.000000;63.500000;84.500000;251.500000;83.500000;0.005319;0.000000;0.304762;1;-0.081909;0.105281;0.005201;0.031054;0.005201;0.010707;0;Fri Jun 30 13:15:29 2023
0.003068;0.306796;-0.003068;0.000000;0.086977;0.000000;62.500000;84.500000;250.500000;83.500000;0.005319;0.000000;0.304762;1;1.025520;1.103900;0.005257;-0.205870;0.005257;0.005624;0;Fri Jun 30 13:15:29 2023
0.003068;0.000000;-0.003068;0.000000;0.086946;0.000000;63.500000;85.500000;250.500000;82.500000;0.016041;1.075092;0.919105;1;0.030887;0.111328;0.007832;0.338330;0.007832;0.258180;0;Fri Jun 30 13:15:29 2023
0.000000;-0.306796;-0.003068;0.000000;0.086915;0.000000;61.500000;85.500000;250.500000;83.500000;0.010582;-0.547440;0.606282;1;-1.076481;-0.788687;0.010434;0.158171;0.010434;0.260864;0;Fri Jun 30 13:15:29 2023
0.000000;0.000000;-0.003068;0.000000;0.086885;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.000000;0.606282;1;-0.081786;0.301608;0.010504;0.105588;0.010504;0.007044;0;Fri Jun 30 13:15:29 2023
0.003068;0.306796;-0.000000;0.306796;0.086885;0.000000;61.500000;84.500000;250.500000;82.500000;0.010582;0.000000;0.606282;1;0.522676;0.795917;0.010541;-0.304674;0.010541;0.003699;0;Fri Jun 30 13:15:29 2023
0.006136;0.306796;-0.000000;0.000000;0.086885;0.000000;62.500000;85.500000;251.500000;82.500000;0.015872;0.530434;0.909380;1;1.133249;1.295111;0.011816;0.058222;0.011816;0.127868;0;Fri Jun 30 13:15:29 2023
0.003068;-0.306796;-0.000000;0.000000;0.086885;0.000000;61.500000;85.500000;251.500000;83.500000;0.010526;-0.536017;0.603091;1;-0.968813;-0.647357;0.012473;0.111493;0.012473;0.065831;0;Fri Jun 30 13:15:29 2023
