Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Fri Jun 30 14:11:31 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;camControl;systemTime
0.006136;0.000000;0.003068;0.000000;0.177727;0.000000;62.500000;88.500000;251.500000;88.500000;0.000000;0.000000;0.000000;1;0.042645;-0.182825;0.000000;0.000000;0.000000;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.003068;0.000000;0.177758;0.000000;62.500000;90.500000;251.500000;88.500000;0.010582;1.058618;0.606282;1;0.042614;-0.182856;0.002512;0.395817;0.000000;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.003068;0.000000;0.177788;0.000000;63.500000;90.500000;251.500000;88.500000;0.010638;0.005631;0.609507;1;0.042583;-0.182887;0.006357;0.217774;0.006357;0.636029;0;Fri Jun 30 14:11:43 2023
0.009204;0.306796;0.006136;0.306796;0.177850;0.000000;62.500000;89.500000;251.500000;88.500000;0.005291;-0.534997;0.303149;1;0.646984;1.609774;0.007120;-0.060574;0.007120;0.000000;0;Fri Jun 30 14:11:43 2023
0.009204;0.000000;0.006136;0.000000;0.177911;0.000000;61.500000;90.500000;250.500000;88.500000;0.010582;0.529385;0.606282;1;0.150097;0.073528;0.007508;-0.047110;0.007508;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;-0.306796;0.003068;-0.306796;0.177942;0.000000;63.500000;89.500000;250.500000;88.500000;0.005348;-0.523714;0.306392;1;-0.454396;0.590673;0.007725;-0.290215;0.007725;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.003068;0.000000;0.177972;0.000000;63.500000;89.500000;252.500000;88.500000;0.005291;-0.005662;0.303149;1;0.042399;0.100776;0.006583;0.106951;0.006583;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.003068;0.000000;0.178003;0.000000;63.500000;89.500000;250.500000;88.500000;0.005348;0.005662;0.306392;1;0.042369;0.058780;0.005983;0.046505;0.005983;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.003068;0.000000;0.178034;0.000000;62.500000;90.500000;249.500000;89.500000;0.005348;0.000000;0.306392;1;0.042338;0.036709;0.005681;-0.073296;0.005681;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.003068;0.000000;0.178064;0.000000;61.500000;90.500000;251.500000;88.500000;0.010526;0.518141;0.603091;1;0.042307;0.025596;0.006752;0.145550;0.006752;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.003068;0.000000;0.178095;0.000000;62.500000;90.500000;251.500000;88.500000;0.010582;0.005572;0.606282;1;0.042277;0.064918;0.008557;0.153603;0.008557;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.003068;0.000000;0.178126;0.000000;62.500000;90.500000;251.500000;89.500000;0.005291;-0.529393;0.303149;1;0.042246;0.131215;0.008262;-0.082630;0.008262;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.003068;0.000000;0.178157;0.000000;63.500000;89.500000;251.500000;89.500000;0.000000;-0.529420;0.000000;1;0.042215;0.120353;0.005595;-0.397443;0.005595;-0.266853;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.003068;0.000000;0.178187;0.000000;63.500000;89.500000;251.500000;88.500000;0.005319;0.532233;0.304762;1;0.042184;-0.842838;0.004201;-0.084542;0.004201;0.000000;0;Fri Jun 30 14:11:43 2023
0.003068;-0.306796;0.003068;0.000000;0.178218;0.000000;63.500000;89.500000;250.500000;89.500000;0.000000;-0.532224;0.000000;1;-1.065245;-0.028929;0.003469;-0.043108;0.000000;-0.420397;0;Fri Jun 30 14:11:43 2023
0.006136;0.306796;0.006136;0.306796;0.178279;0.000000;62.500000;90.500000;250.500000;88.500000;0.010638;1.064373;0.609507;1;0.533820;-2.049283;0.004348;0.585027;0.004348;0.434994;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.006136;0.000000;0.178341;0.000000;63.500000;89.500000;250.500000;89.500000;0.000000;-1.064359;0.000000;1;0.036933;1.381511;0.004809;-0.310607;0.004809;0.000000;0;Fri Jun 30 14:11:43 2023
0.009204;0.306796;0.009204;0.306796;0.178433;0.000000;62.500000;89.500000;250.500000;89.500000;0.000000;0.000000;0.000000;1;0.641303;-0.514863;0.002526;-0.246839;0.000000;-0.481153;0;Fri Jun 30 14:11:43 2023
0.009204;0.000000;0.009204;0.000000;0.178525;0.000000;62.500000;89.500000;251.500000;88.500000;0.005291;0.529399;0.303149;1;0.144385;-1.753766;0.002583;-0.014676;0.000000;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;-0.306796;0.009204;0.000000;0.178617;0.000000;62.500000;91.500000;250.500000;89.500000;0.010638;0.534998;0.609507;1;-0.963106;-0.193912;0.005138;0.456195;0.005138;0.514075;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.178709;0.000000;63.500000;90.500000;251.500000;88.500000;0.010638;0.000000;0.609507;1;0.031466;1.661475;0.007749;0.370205;0.007749;0.261293;0;Fri Jun 30 14:11:43 2023
0.009204;0.306796;0.009204;0.000000;0.178801;0.000000;62.500000;91.500000;250.500000;89.500000;0.010638;0.000000;0.609507;1;1.138773;0.937795;0.009121;-0.076022;0.009121;0.000000;0;Fri Jun 30 14:11:43 2023
0.012272;0.306796;0.012272;0.306796;0.178924;0.000000;62.500000;91.500000;250.500000;89.500000;0.010638;0.000000;0.609507;1;0.748449;-0.362003;0.009841;-0.298245;0.009841;0.000000;0;Fri Jun 30 14:11:43 2023
0.009204;-0.306796;0.009204;-0.306796;0.179016;0.000000;62.500000;91.500000;250.500000;88.500000;0.015956;0.532148;0.914217;1;-0.352931;0.665148;0.011482;0.200818;0.011482;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;-0.306796;0.006136;-0.306796;0.179077;0.000000;62.500000;90.500000;251.500000;89.500000;0.005291;-1.067180;0.303149;1;-0.460629;0.730480;0.011074;-0.060744;0.011074;0.000000;0;Fri Jun 30 14:11:43 2023
0.003068;-0.306796;0.006136;0.000000;0.179138;0.000000;62.500000;90.500000;251.500000;89.500000;0.005291;0.000000;0.303149;1;-1.071264;0.217603;0.008328;-0.106357;0.008328;-0.274749;0;Fri Jun 30 14:11:43 2023
0.003068;0.000000;0.006136;0.000000;0.179200;0.000000;63.500000;89.500000;251.500000;89.500000;0.000000;-0.529410;0.000000;1;-0.076661;-0.774126;0.005630;-0.576168;0.005630;-0.269986;0;Fri Jun 30 14:11:43 2023
0.006136;0.306796;0.006136;0.000000;0.179261;0.000000;63.500000;89.500000;251.500000;89.500000;0.000000;0.000000;0.000000;1;1.030676;-0.857894;0.002957;-0.099324;0.000000;-0.563346;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.006136;0.000000;0.179322;0.000000;61.500000;90.500000;250.500000;89.500000;0.005291;0.529433;0.303149;1;0.035951;-2.015944;0.002809;0.421537;0.000000;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.006136;0.000000;0.179384;0.000000;63.500000;89.500000;251.500000;89.500000;0.000000;-0.529401;0.000000;1;0.035890;-0.189580;0.002731;0.028014;0.000000;0.000000;0;Fri Jun 30 14:11:43 2023
0.003068;-0.306796;0.006136;0.000000;0.179445;0.000000;61.500000;90.500000;251.500000;89.500000;0.005263;0.526631;0.301554;1;-1.071571;-0.189642;0.002684;0.006972;0.000000;0.000000;0;Fri Jun 30 14:11:43 2023
0.003068;0.000000;0.006136;0.000000;0.179506;0.000000;63.500000;89.500000;251.500000;88.500000;0.005319;0.005602;0.304762;1;-0.076968;-0.189703;0.003922;-0.147065;0.000000;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.306796;0.009204;0.306796;0.179598;0.000000;61.500000;90.500000;251.500000;89.500000;0.005263;-0.005602;0.301554;1;0.527402;-0.692732;0.004572;0.166858;0.004572;0.457485;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.179691;0.000000;62.500000;89.500000;250.500000;88.500000;0.005319;0.005603;0.304762;1;0.030484;1.456229;0.004913;0.147876;0.004913;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.179783;0.000000;62.500000;91.500000;251.500000;88.500000;0.015872;1.055909;0.909380;1;0.030392;-0.014530;0.007611;0.290868;0.007611;0.269947;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.179875;0.000000;62.500000;90.500000;251.500000;89.500000;0.005291;-1.058707;0.303149;1;0.030300;0.959705;0.009021;-0.312018;0.009021;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.179967;0.000000;62.500000;90.500000;251.500000;89.500000;0.005291;0.000000;0.303149;1;0.030208;0.136239;0.007250;-0.019653;0.007250;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.180059;0.000000;62.500000;90.500000;250.500000;88.500000;0.010638;0.535036;0.609507;1;0.030116;0.071061;0.007589;0.037678;0.007589;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.180151;0.000000;63.500000;90.500000;251.500000;89.500000;0.005319;-0.532204;0.304762;1;0.030024;0.083430;0.007774;-0.111384;0.007774;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.180243;0.000000;62.500000;89.500000;252.500000;89.500000;0.000000;-0.532244;0.000000;1;0.029932;0.090128;0.005346;-0.120384;0.005346;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.180335;0.000000;62.500000;91.500000;250.500000;89.500000;0.010638;1.064467;0.609507;1;0.029840;0.000803;0.005333;0.194952;0.005333;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.180427;0.000000;63.500000;90.500000;251.500000;89.500000;0.005319;-0.532203;0.304762;1;0.029748;0.000244;0.006589;-0.127582;0.006589;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.180519;0.000000;62.500000;91.500000;251.500000;89.500000;0.010582;0.526591;0.606282;1;0.029656;0.046308;0.007235;0.348034;0.007235;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.180611;0.000000;62.500000;90.500000;250.500000;89.500000;0.005319;-0.526562;0.304762;1;0.029564;0.069966;0.007575;-0.165136;0.007575;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.180703;0.000000;63.500000;91.500000;251.500000;89.500000;0.010638;0.532196;0.609507;1;0.029472;0.082347;0.007767;0.036645;0.007767;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.180795;0.000000;62.500000;91.500000;251.500000;89.500000;0.010582;-0.005631;0.606282;1;0.029380;0.089298;0.009116;0.004987;0.009116;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.180887;0.000000;64.500000;91.500000;250.500000;89.500000;0.010752;0.017076;0.616060;1;0.029288;0.138811;0.009853;0.172749;0.009853;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.180979;0.000000;62.500000;90.500000;251.500000;89.500000;0.005291;-0.546454;0.303149;1;0.029196;0.165770;0.008983;-0.176777;0.008983;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.181071;0.000000;63.500000;90.500000;250.500000;88.500000;0.010695;0.540704;0.612766;1;0.029104;0.133732;0.008513;-0.022775;0.008513;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.181163;0.000000;63.500000;91.500000;250.500000;89.500000;0.010695;0.000000;0.612766;1;0.029012;0.116361;0.009549;-0.001861;0.009549;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.181255;0.000000;62.500000;91.500000;251.500000;89.500000;0.010582;-0.011324;0.606282;1;0.028920;0.154334;0.010066;0.209477;0.010066;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.181347;0.000000;62.500000;90.500000;251.500000;89.500000;0.005291;-0.529394;0.303149;1;0.028828;0.173246;0.009055;-0.159635;0.009055;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.181439;0.000000;61.500000;90.500000;251.500000;89.500000;0.005263;-0.002786;0.301554;1;0.028736;0.135995;0.007261;-0.258575;0.007261;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.181531;0.000000;62.500000;91.500000;251.500000;89.500000;0.010582;0.532187;0.606282;1;0.028644;0.069991;0.007575;0.073267;0.007575;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.181623;0.000000;62.500000;89.500000;252.500000;89.500000;0.000000;-1.058842;0.000000;1;0.028552;0.081435;0.006491;-0.123000;0.006491;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.181715;0.000000;62.500000;91.500000;250.500000;90.500000;0.005319;0.532248;0.304762;1;0.028460;0.041489;0.004672;0.178190;0.004672;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.181807;0.000000;62.500000;90.500000;249.500000;88.500000;0.010695;0.537907;0.612766;1;0.028368;-0.025441;0.006255;0.008562;0.006255;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.181899;0.000000;61.500000;91.500000;251.500000;89.500000;0.010526;-0.016896;0.603091;1;0.028276;0.032659;0.008323;0.131836;0.008323;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.181991;0.000000;63.500000;89.500000;250.500000;89.500000;0.000000;-1.053204;0.000000;1;0.028184;0.108551;0.006870;-0.182207;0.006870;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.009204;0.000000;0.182084;0.000000;61.500000;90.500000;249.500000;88.500000;0.010638;1.064452;0.609507;1;0.028091;0.055070;0.006134;0.116804;0.006134;0.000000;0;Fri Jun 30 14:11:43 2023
0.003068;-0.306796;0.009204;0.000000;0.182176;0.000000;61.500000;89.500000;251.500000;90.500000;-0.005263;-1.591079;-0.301554;1;-1.079399;0.027915;0.004497;-0.682065;0.004497;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.306796;0.009204;0.000000;0.182268;0.000000;63.500000;90.500000;251.500000;89.500000;0.005319;1.058844;0.304762;1;1.022571;-0.032303;0.002375;0.366253;0.000000;-0.450000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.012272;0.306796;0.182390;0.000000;61.500000;91.500000;251.500000;89.500000;0.010526;0.521021;0.603091;1;-0.475152;-2.159567;0.005009;0.318839;0.005009;0.501237;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.012272;0.000000;0.182513;0.000000;61.500000;91.500000;251.500000;90.500000;0.005263;-0.526620;0.301554;1;0.022564;1.606218;0.006379;0.051452;0.006379;0.000000;0;Fri Jun 30 14:11:43 2023
0.009204;0.306796;0.012272;0.000000;0.182636;0.000000;62.500000;91.500000;251.500000;89.500000;0.010582;0.532179;0.606282;1;1.129840;0.031377;0.007112;0.100444;0.007112;0.000000;0;Fri Jun 30 14:11:43 2023
0.009204;0.000000;0.012272;0.000000;0.182758;0.000000;62.500000;91.500000;252.500000;89.500000;0.010526;-0.005572;0.603091;1;0.135053;0.058179;0.008746;-0.148558;0.008746;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;-0.306796;0.012272;0.000000;0.182881;0.000000;62.500000;91.500000;250.500000;90.500000;0.005319;-0.520999;0.304762;1;-0.972468;0.118108;0.008355;-0.108792;0.008355;0.000000;0;Fri Jun 30 14:11:43 2023
0.003068;-0.306796;0.009204;-0.306796;0.182973;0.000000;61.500000;91.500000;251.500000;89.500000;0.010526;0.520991;0.603091;1;-0.582359;0.606584;0.008150;0.215674;0.008150;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.306796;0.012272;0.306796;0.183096;0.000000;62.500000;91.500000;250.500000;90.500000;0.005319;-0.521010;0.304762;1;0.518806;-0.401860;0.008042;-0.189076;0.008042;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.012272;0.000000;0.183219;0.000000;63.500000;90.500000;252.500000;89.500000;0.005291;-0.002816;0.303149;1;0.021858;0.091892;0.006742;-0.074503;0.006742;0.000000;0;Fri Jun 30 14:11:43 2023
0.006136;0.000000;0.012272;0.000000;0.183341;0.000000;62.500000;91.500000;251.500000;90.500000;0.005291;0.000000;0.303149;1;0.021735;0.044020;0.006053;-0.075389;0.006053;0.000000;0;Fri Jun 30 14:11:43 2023
0.009204;0.306796;0.015340;0.306796;0.183495;0.000000;62.500000;90.500000;251.500000;90.500000;0.000000;-0.529432;0.000000;1;0.626044;-0.484392;0.004435;-0.156805;0.004435;0.000000;0;Fri Jun 30 14:11:43 2023
0.009204;0.000000;0.015340;0.000000;0.183648;0.000000;63.500000;90.500000;251.500000;90.500000;0.000000;0.000000;0.000000;1;0.129065;-0.046163;0.002329;-0.033479;0.000000;-0.443808;0;Fri Jun 30 14:11:43 2023
0.006136;-0.306796;0.012272;-0.306796;0.183771;0.000000;61.500000;91.500000;251.500000;89.500000;0.010526;1.053264;0.603091;1;-0.475520;-1.145195;0.003722;0.307422;0.000000;0.000000;0;Fri Jun 30 14:11:43 2023
