Starting new run:  K= -1.000000, -1.651000, 35.057500, -1.604900, 2.943400 - Fri Jun 30 15:09:56 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;camControl;systemTime
0.003068;0.214757;-0.021476;0.000000;0.195079;0.000000;63.500000;81.500000;251.500000;81.500000;0.000000;0.000000;0.000000;1;0.580050;-0.159622;0.000000;0.000000;0.000000;0.000000;0;Fri Jun 30 15:10:12 2023
0.006136;0.214757;-0.018408;0.214757;0.194816;0.000000;61.500000;83.500000;251.500000;80.500000;0.015788;1.106582;0.904595;1;0.338138;-0.509088;0.003748;0.413751;0.000000;0.000000;0;Fri Jun 30 15:10:12 2023
0.006136;0.000000;-0.018408;0.000000;0.194553;0.000000;62.500000;83.500000;251.500000;81.500000;0.010582;-0.365055;0.606282;1;0.050949;1.822517;0.008229;0.088945;0.008229;0.576952;0;Fri Jun 30 15:10:12 2023
0.003068;-0.214757;-0.021476;-0.214757;0.194246;0.000000;61.500000;82.500000;251.500000;81.500000;0.005263;-0.372903;0.301554;1;-0.338687;0.469253;0.008083;-0.069219;0.008083;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.021476;0.000000;0.193939;0.000000;62.500000;81.500000;250.500000;81.500000;0.000000;-0.369026;0.000000;1;-0.050928;-0.500051;0.005495;-0.404633;0.005495;-0.181491;0;Fri Jun 30 15:10:12 2023
0.006136;0.214757;-0.021476;0.000000;0.193632;0.000000;62.500000;81.500000;251.500000;81.500000;0.000000;0.000000;0.000000;1;0.689051;-1.291874;0.002886;-0.214315;0.000000;-0.385166;0;Fri Jun 30 15:10:12 2023
0.006136;0.000000;-0.018408;0.214757;0.193369;0.000000;62.500000;83.500000;251.500000;80.500000;0.015872;1.112205;0.909380;1;-0.292532;0.767371;0.005284;0.542918;0.005284;0.370246;0;Fri Jun 30 15:10:12 2023
0.006136;0.000000;-0.018408;0.000000;0.193106;0.000000;62.500000;82.500000;251.500000;81.500000;0.005291;-0.741725;0.303149;1;0.052395;0.110697;0.007799;0.137017;0.007799;0.000000;0;Fri Jun 30 15:10:12 2023
0.006136;0.000000;-0.018408;0.000000;0.192843;0.000000;61.500000;80.500000;251.500000;80.500000;0.000000;-0.370860;0.000000;1;0.052658;0.025179;0.005352;-0.204254;0.005352;0.000000;0;Fri Jun 30 15:10:12 2023
0.009204;0.214757;-0.018408;0.000000;0.192580;0.000000;61.500000;81.500000;251.500000;80.500000;0.005263;0.368799;0.301554;1;0.792593;-0.019842;0.004060;-0.333191;0.004060;0.000000;0;Fri Jun 30 15:10:12 2023
0.009204;0.000000;-0.018408;0.000000;0.192317;0.000000;61.500000;83.500000;251.500000;80.500000;0.015788;0.737827;0.904595;1;0.160739;0.721434;0.007130;0.274967;0.007130;0.215192;0;Fri Jun 30 15:10:12 2023
0.006136;-0.214757;-0.021476;-0.214757;0.192011;0.000000;62.500000;82.500000;251.500000;80.500000;0.010582;-0.364925;0.606282;1;-0.228897;1.131938;0.010005;0.405828;0.010005;0.201495;0;Fri Jun 30 15:10:12 2023
0.003068;-0.214757;-0.024544;-0.214757;0.191660;0.000000;63.500000;81.500000;251.500000;80.500000;0.005319;-0.368771;0.304762;1;-0.331036;0.510074;0.009029;-0.037778;0.009029;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.191309;0.000000;62.500000;81.500000;251.500000;80.500000;0.005291;-0.001973;0.303149;1;-0.043233;0.103767;0.007261;-0.502463;0.007261;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.190959;0.000000;62.500000;81.500000;251.500000;80.500000;0.005291;0.000000;0.303149;1;-0.042882;0.071325;0.006326;-0.209494;0.006326;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.190608;0.000000;62.500000;81.500000;251.500000;80.500000;0.005291;0.000000;0.303149;1;-0.042531;0.054452;0.005834;0.341270;0.005834;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.190257;0.000000;62.500000;81.500000;251.500000;80.500000;0.005291;0.000000;0.303149;1;-0.042181;0.045758;0.005576;0.228368;0.005576;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.189907;0.000000;62.500000;81.500000;251.500000;80.500000;0.005291;0.000000;0.303149;1;-0.041830;0.041357;0.005441;-0.215967;0.005441;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.189556;0.000000;63.500000;81.500000;251.500000;80.500000;0.005319;0.001973;0.304762;1;-0.041479;0.039447;0.005376;-0.218639;0.005376;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.189206;0.000000;63.500000;81.500000;251.500000;80.500000;0.005319;0.000000;0.304762;1;-0.041129;0.038845;0.005349;0.122786;0.005349;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.188855;0.000000;62.500000;82.500000;251.500000;80.500000;0.010582;0.368991;0.606282;1;-0.040778;0.082493;0.006584;0.333525;0.006584;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.188504;0.000000;62.500000;81.500000;250.500000;80.500000;0.005319;-0.368983;0.304762;1;-0.040428;0.105583;0.007233;-0.118721;0.007233;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.188154;0.000000;62.500000;82.500000;251.500000;80.500000;0.010582;0.368987;0.606282;1;-0.040077;0.117877;0.007574;-0.054138;0.007574;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.187803;0.000000;62.500000;82.500000;250.500000;80.500000;0.010638;0.003946;0.609507;1;-0.039726;0.168766;0.009015;-0.008578;0.009015;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.187452;0.000000;63.500000;81.500000;251.500000;80.500000;0.005319;-0.372931;0.304762;1;-0.039376;0.151862;0.008523;0.045372;0.008523;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.187102;0.000000;63.500000;81.500000;251.500000;81.500000;0.000000;-0.372860;0.000000;1;-0.039025;-0.519787;0.005739;-0.171306;0.005739;-0.195149;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.186751;0.000000;62.500000;81.500000;251.500000;80.500000;0.005291;0.370696;0.303149;1;-0.038675;0.003473;0.004270;-0.124898;0.004270;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.186401;0.000000;63.500000;81.500000;251.500000;81.500000;0.000000;-0.370909;0.000000;1;-0.038324;-1.026990;0.003499;-0.124875;0.000000;-0.299351;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.186050;0.000000;62.500000;82.500000;251.500000;80.500000;0.010582;0.741926;0.606282;1;-0.037973;0.904617;0.004350;0.445969;0.004350;0.304973;0;Fri Jun 30 15:10:12 2023
0.003068;0.000000;-0.024544;0.000000;0.185699;0.000000;63.500000;81.500000;251.500000;81.500000;0.000000;-0.741930;0.000000;1;-0.037623;0.022976;0.004797;-0.136383;0.004797;0.000000;0;Fri Jun 30 15:10:12 2023
0.000000;-0.214757;-0.024544;0.000000;0.185349;0.000000;61.500000;81.500000;251.500000;81.500000;0.000000;0.000000;0.000000;1;-0.776944;-1.134548;0.002519;-0.192414;0.000000;-0.336251;0;Fri Jun 30 15:10:12 2023
0.000000;0.000000;-0.024544;0.000000;0.184998;0.000000;62.500000;81.500000;251.500000;81.500000;0.000000;0.000000;0.000000;1;-0.144476;-0.144476;0.001323;-0.214052;0.000000;0.000000;0;Fri Jun 30 15:10:12 2023
0.003068;0.214757;-0.021476;0.214757;0.184691;0.000000;63.500000;81.500000;251.500000;81.500000;0.000000;0.000000;0.000000;1;0.245773;-0.493899;0.000695;0.113280;0.000000;0.000000;0;Fri Jun 30 15:10:12 2023
0.006136;0.214757;-0.018408;0.214757;0.184428;0.000000;62.500000;83.500000;250.500000;81.500000;0.010638;0.745772;0.609507;1;0.348526;-0.498701;0.002890;0.465999;0.000000;0.000000;0;Fri Jun 30 15:10:12 2023
0.006136;0.000000;-0.015340;0.214757;0.184209;0.000000;62.500000;82.500000;251.500000;81.500000;0.005291;-0.374725;0.303149;1;-0.288437;0.775428;0.005300;-0.046904;0.005300;0.371403;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.015340;0.000000;0.183990;0.000000;63.500000;82.500000;251.500000;81.500000;0.005319;0.001973;0.304762;1;0.056446;0.027216;0.005302;-0.135034;0.005302;0.000000;0;Fri Jun 30 15:10:13 2023
0.009204;0.214757;-0.012272;0.214757;0.183815;0.000000;61.500000;83.500000;250.500000;82.500000;0.005291;-0.001973;0.303149;1;0.446564;-0.322290;0.005304;-0.122235;0.005304;0.000000;0;Fri Jun 30 15:10:13 2023
0.009204;0.000000;-0.012272;0.000000;0.183639;0.000000;62.500000;84.500000;251.500000;81.500000;0.015872;0.741889;0.909380;1;0.159287;0.110400;0.007809;0.360612;0.007809;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;-0.214757;-0.012272;0.000000;0.183464;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;-0.370886;0.606282;1;-0.580210;0.731530;0.010382;0.111122;0.010382;0.180330;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.012272;0.000000;0.183289;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.000000;0.606282;1;0.052082;0.204253;0.010477;-0.026971;0.010477;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.012272;0.000000;0.183113;0.000000;63.500000;83.500000;250.500000;81.500000;0.010695;0.007931;0.612766;1;0.052257;0.207119;0.010553;-0.215914;0.010553;0.000000;0;Fri Jun 30 15:10:13 2023
0.009204;0.214757;-0.009204;0.214757;0.182982;0.000000;64.500000;83.500000;251.500000;82.500000;0.005348;-0.374908;0.306392;1;0.442331;-0.184627;0.009351;-0.156014;0.009351;0.000000;0;Fri Jun 30 15:10:13 2023
0.009204;0.000000;-0.006136;0.214757;0.182894;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.366983;0.606282;1;-0.194763;-0.212682;0.008693;0.214643;0.008693;0.000000;0;Fri Jun 30 15:10:13 2023
0.009204;0.000000;-0.006136;0.000000;0.182807;0.000000;62.500000;84.500000;252.500000;82.500000;0.010526;-0.003905;0.603091;1;0.149989;0.163047;0.009576;0.061551;0.009576;0.000000;0;Fri Jun 30 15:10:13 2023
0.009204;0.000000;-0.006136;0.000000;0.182719;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.003904;0.606282;1;0.150077;0.179404;0.010040;-0.002226;0.010040;0.000000;0;Fri Jun 30 15:10:13 2023
0.012272;0.214757;-0.003068;0.214757;0.182675;0.000000;63.500000;84.500000;251.500000;82.500000;0.010638;0.003945;0.609507;1;0.540063;-0.160805;0.010311;-0.041844;0.010311;0.000000;0;Fri Jun 30 15:10:13 2023
0.012272;0.000000;-0.003068;0.000000;0.182631;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;-0.003945;0.606282;1;0.252654;0.188880;0.010453;-0.016491;0.010453;0.000000;0;Fri Jun 30 15:10:13 2023
0.009204;-0.214757;-0.006136;-0.214757;0.182544;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.000000;0.606282;1;-0.137201;0.540842;0.010514;0.024510;0.010514;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;-0.214757;-0.006136;0.000000;0.182456;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.000000;0.606282;1;-0.589332;0.197393;0.010546;0.026808;0.010546;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;-0.214757;0.182325;0.000000;61.500000;84.500000;251.500000;82.500000;0.010526;-0.003904;0.603091;1;0.392645;0.547382;0.010550;-0.009586;0.010550;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.182193;0.000000;63.500000;83.500000;251.500000;82.500000;0.005319;-0.365009;0.304762;1;0.048113;0.159119;0.009302;-0.170659;0.009302;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.182062;0.000000;63.500000;83.500000;251.500000;82.500000;0.005319;0.000000;0.304762;1;0.048244;0.092948;0.007411;-0.080747;0.007411;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.181930;0.000000;63.500000;83.500000;252.500000;82.500000;0.005291;-0.001973;0.303149;1;0.048376;0.058024;0.006411;-0.011821;0.006411;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.181799;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.370869;0.606282;1;0.048507;0.083542;0.007135;0.203255;0.007135;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.181667;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.000000;0.606282;1;0.048639;0.141039;0.008772;0.084025;0.008772;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.181536;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.000000;0.606282;1;0.048770;0.171299;0.009631;-0.005082;0.009631;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.181404;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.000000;0.606282;1;0.048902;0.187253;0.010082;-0.052121;0.010082;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.181273;0.000000;63.500000;84.500000;251.500000;82.500000;0.010638;0.003946;0.609507;1;0.049033;0.196164;0.010333;0.001631;0.010333;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.181141;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;-0.003946;0.606282;1;0.049165;0.200906;0.010464;0.025933;0.010464;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.181010;0.000000;62.500000;84.500000;252.500000;82.500000;0.010526;-0.003904;0.603091;1;0.049296;0.202527;0.010507;-0.003296;0.010507;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.180878;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.003904;0.606282;1;0.049427;0.203441;0.010529;-0.007490;0.010529;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.180747;0.000000;62.500000;83.500000;251.500000;82.500000;0.005291;-0.370940;0.303149;1;0.049559;0.160414;0.009298;-0.131813;0.009298;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.180615;0.000000;63.500000;83.500000;251.500000;82.500000;0.005319;0.001973;0.304762;1;0.049690;0.094081;0.007402;-0.080112;0.007402;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.180484;0.000000;62.500000;83.500000;251.500000;82.500000;0.005291;-0.001973;0.303149;1;0.049822;0.059305;0.006406;-0.062039;0.006406;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.180352;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.370928;0.606282;1;0.049953;0.084902;0.007133;0.202087;0.007133;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.180221;0.000000;63.500000;83.500000;252.500000;82.500000;0.005291;-0.370928;0.303149;1;0.050085;0.098407;0.007514;0.002772;0.007514;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.180089;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.370936;0.606282;1;0.050216;0.105563;0.007715;0.061718;0.007715;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.179958;0.000000;62.500000;84.500000;251.500000;83.500000;0.005291;-0.370920;0.303149;1;0.050348;0.109383;0.007820;-0.226773;0.007820;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.179826;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.370912;0.606282;1;0.050479;0.111452;0.007875;0.153096;0.007875;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.179695;0.000000;63.500000;83.500000;251.500000;82.500000;0.005319;-0.368946;0.304762;1;0.050611;0.112836;0.007911;-0.018627;0.007911;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.179563;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.368952;0.606282;1;0.050742;0.113625;0.007930;0.093678;0.007930;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.179432;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.000000;0.606282;1;0.050874;0.157899;0.009189;-0.065832;0.009189;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.179300;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.000000;0.606282;1;0.051005;0.181215;0.009850;0.069830;0.009850;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.179169;0.000000;63.500000;84.500000;251.500000;83.500000;0.005319;-0.368953;0.304762;1;0.051137;0.149725;0.008948;-0.065922;0.008948;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.179037;0.000000;63.500000;83.500000;251.500000;82.500000;0.005319;0.000000;0.304762;1;0.051268;0.089450;0.007225;-0.129797;0.007225;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.178906;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.368956;0.606282;1;0.051400;0.101655;0.007569;0.015638;0.007569;0.000000;0;Fri Jun 30 15:10:13 2023
0.006136;0.000000;-0.009204;0.000000;0.178775;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.000000;0.606282;1;0.051531;0.151925;0.009000;0.165808;0.009000;0.000000;0;Fri Jun 30 15:10:13 2023
