Starting new run: Thu Jul 06 15:07:30 2023

alphaCam;alphaDotCam;systemTime
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
-0.005405;-0.336234;Thu Jul 06 15:07:32 2023
0.005435;0.677113;Thu Jul 06 15:07:32 2023
0.000000;-0.338310;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.005435;0.340148;Thu Jul 06 15:07:32 2023
0.005405;-0.001844;Thu Jul 06 15:07:32 2023
0.005435;0.001851;Thu Jul 06 15:07:32 2023
0.005405;-0.001847;Thu Jul 06 15:07:32 2023
0.000000;-0.340079;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.005435;0.343063;Thu Jul 06 15:07:32 2023
0.005435;0.000000;Thu Jul 06 15:07:32 2023
0.005405;-0.001850;Thu Jul 06 15:07:32 2023
0.005405;0.000000;Thu Jul 06 15:07:32 2023
0.000000;-0.340439;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.005405;0.342091;Thu Jul 06 15:07:32 2023
0.005405;0.000000;Thu Jul 06 15:07:32 2023
0.005405;0.000000;Thu Jul 06 15:07:32 2023
0.005405;0.000000;Thu Jul 06 15:07:32 2023
0.005405;0.000000;Thu Jul 06 15:07:32 2023
0.005405;0.000000;Thu Jul 06 15:07:32 2023
0.005405;0.000000;Thu Jul 06 15:07:32 2023
0.000000;-0.346284;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:32 2023
0.000000;0.000000;Thu Jul 06 15:07:33 2023
0.005435;0.351030;Thu Jul 06 15:07:33 2023
0.005405;-0.001897;Thu Jul 06 15:07:33 2023
0.005464;0.003826;Thu Jul 06 15:07:33 2023
0.000000;-0.352984;Thu Jul 06 15:07:33 2023
0.000000;0.000000;Thu Jul 06 15:07:33 2023
0.000000;0.000000;Thu Jul 06 15:07:33 2023
0.005405;0.350313;Thu Jul 06 15:07:33 2023
0.000000;-0.351375;Thu Jul 06 15:07:33 2023
0.005405;0.351442;Thu Jul 06 15:07:33 2023
0.000000;-0.352363;Thu Jul 06 15:07:33 2023
0.005405;0.352343;Thu Jul 06 15:07:33 2023
0.000000;-0.351187;Thu Jul 06 15:07:33 2023
0.000000;0.000000;Thu Jul 06 15:07:33 2023
0.000000;0.000000;Thu Jul 06 15:07:33 2023
0.000000;0.000000;Thu Jul 06 15:07:33 2023
0.000000;0.000000;Thu Jul 06 15:07:33 2023
0.000000;0.000000;Thu Jul 06 15:07:33 2023
0.005435;0.356083;Thu Jul 06 15:07:33 2023
