Starting new run: Thu Jul 06 14:47:08 2023

alphaCam;alphaDotCam;systemTime
0.005319;0.347737;Thu Jul 06 14:47:17 2023
0.000000;-0.348144;Thu Jul 06 14:47:18 2023
0.000000;0.000000;Thu Jul 06 14:47:18 2023
0.005319;0.347769;Thu Jul 06 14:47:18 2023
0.000000;-0.347731;Thu Jul 06 14:47:18 2023
0.005319;0.347699;Thu Jul 06 14:47:18 2023
0.005319;0.000000;Thu Jul 06 14:47:18 2023
0.005291;-0.001840;Thu Jul 06 14:47:18 2023
0.000000;-0.345839;Thu Jul 06 14:47:18 2023
0.005319;0.347682;Thu Jul 06 14:47:18 2023
0.005319;0.000000;Thu Jul 06 14:47:18 2023
0.010582;0.344008;Thu Jul 06 14:47:18 2023
0.005291;-0.345873;Thu Jul 06 14:47:18 2023
0.000000;-0.345860;Thu Jul 06 14:47:18 2023
0.005291;0.345841;Thu Jul 06 14:47:18 2023
0.005291;0.000000;Thu Jul 06 14:47:18 2023
0.005319;0.001839;Thu Jul 06 14:47:18 2023
0.000000;-0.347659;Thu Jul 06 14:47:18 2023
0.000000;0.000000;Thu Jul 06 14:47:18 2023
0.005291;0.345796;Thu Jul 06 14:47:18 2023
0.000000;-0.345763;Thu Jul 06 14:47:18 2023
0.005291;0.345754;Thu Jul 06 14:47:18 2023
0.000000;-0.345759;Thu Jul 06 14:47:18 2023
0.000000;0.000000;Thu Jul 06 14:47:18 2023
0.000000;0.000000;Thu Jul 06 14:47:18 2023
0.005319;0.347563;Thu Jul 06 14:47:18 2023
0.005319;0.000000;Thu Jul 06 14:47:18 2023
0.005291;-0.001839;Thu Jul 06 14:47:18 2023
0.005291;0.000000;Thu Jul 06 14:47:18 2023
0.005291;0.000000;Thu Jul 06 14:47:18 2023
0.005291;0.000000;Thu Jul 06 14:47:18 2023
0.005291;0.000000;Thu Jul 06 14:47:18 2023
0.000000;-0.345690;Thu Jul 06 14:47:18 2023
0.000000;0.000000;Thu Jul 06 14:47:18 2023
0.005263;0.343838;Thu Jul 06 14:47:18 2023
0.005263;0.000000;Thu Jul 06 14:47:18 2023
0.005291;0.001819;Thu Jul 06 14:47:18 2023
0.005319;0.001838;Thu Jul 06 14:47:18 2023
0.005291;-0.001838;Thu Jul 06 14:47:18 2023
0.000000;-0.345567;Thu Jul 06 14:47:18 2023
0.005291;0.345590;Thu Jul 06 14:47:18 2023
