Starting new run: Thu Jul 06 15:11:38 2023

alphaCam;alphaDotCam;systemTime
0.000000;0.000000;Thu Jul 06 15:11:42 2023
0.000000;0.000000;Thu Jul 06 15:11:42 2023
0.005291;0.338033;Thu Jul 06 15:11:42 2023
-0.005291;-0.676059;Thu Jul 06 15:11:42 2023
0.005291;0.675985;Thu Jul 06 15:11:42 2023
0.010582;0.338738;Thu Jul 06 15:11:42 2023
-0.005263;-1.016172;Thu Jul 06 15:11:42 2023
0.000000;0.337895;Thu Jul 06 15:11:42 2023
0.005291;0.339924;Thu Jul 06 15:11:42 2023
0.005291;0.000000;Thu Jul 06 15:11:42 2023
0.000000;-0.340135;Thu Jul 06 15:11:42 2023
0.000000;0.000000;Thu Jul 06 15:11:42 2023
0.005291;0.340155;Thu Jul 06 15:11:42 2023
0.005291;0.000000;Thu Jul 06 15:11:42 2023
0.000000;-0.339522;Thu Jul 06 15:11:42 2023
0.000000;0.000000;Thu Jul 06 15:11:42 2023
0.000000;0.000000;Thu Jul 06 15:11:42 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.005319;0.341086;Thu Jul 06 15:11:43 2023
0.000000;-0.341144;Thu Jul 06 15:11:43 2023
0.005291;0.339390;Thu Jul 06 15:11:43 2023
0.000000;-0.339355;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.005291;0.339450;Thu Jul 06 15:11:43 2023
0.000000;-0.340147;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.005291;0.340076;Thu Jul 06 15:11:43 2023
0.000000;-0.340532;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.005291;0.340567;Thu Jul 06 15:11:43 2023
0.000000;-0.340535;Thu Jul 06 15:11:43 2023
0.005291;0.340492;Thu Jul 06 15:11:43 2023
0.000000;-0.340458;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.005263;0.339894;Thu Jul 06 15:11:43 2023
0.005291;0.001799;Thu Jul 06 15:11:43 2023
0.005291;0.000000;Thu Jul 06 15:11:43 2023
0.000000;-0.341809;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.005291;0.341809;Thu Jul 06 15:11:43 2023
0.000000;-0.342413;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.005291;0.341726;Thu Jul 06 15:11:43 2023
0.005291;0.000000;Thu Jul 06 15:11:43 2023
0.000000;-0.341831;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.005291;0.342998;Thu Jul 06 15:11:43 2023
0.000000;-0.342960;Thu Jul 06 15:11:43 2023
0.005291;0.342920;Thu Jul 06 15:11:43 2023
0.005291;0.000000;Thu Jul 06 15:11:43 2023
0.000000;-0.342913;Thu Jul 06 15:11:43 2023
0.005291;0.343508;Thu Jul 06 15:11:43 2023
0.005319;0.001829;Thu Jul 06 15:11:43 2023
0.000000;-0.345762;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.005291;0.343945;Thu Jul 06 15:11:43 2023
0.000000;-0.343971;Thu Jul 06 15:11:43 2023
0.005291;0.344001;Thu Jul 06 15:11:43 2023
0.000000;-0.344027;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.005291;0.345085;Thu Jul 06 15:11:43 2023
0.005291;0.000000;Thu Jul 06 15:11:43 2023
0.005291;0.000000;Thu Jul 06 15:11:43 2023
0.000000;-0.345470;Thu Jul 06 15:11:43 2023
0.005291;0.344905;Thu Jul 06 15:11:43 2023
0.000000;-0.344860;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:43 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.005291;0.344729;Thu Jul 06 15:11:44 2023
0.005263;-0.001814;Thu Jul 06 15:11:44 2023
0.005291;0.001815;Thu Jul 06 15:11:44 2023
0.005291;0.000000;Thu Jul 06 15:11:44 2023
0.000000;-0.344757;Thu Jul 06 15:11:44 2023
0.005291;0.344787;Thu Jul 06 15:11:44 2023
0.000000;-0.344760;Thu Jul 06 15:11:44 2023
0.005263;0.342905;Thu Jul 06 15:11:44 2023
0.000000;-0.342863;Thu Jul 06 15:11:44 2023
0.005291;0.344635;Thu Jul 06 15:11:44 2023
0.000000;-0.344592;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.005291;0.344466;Thu Jul 06 15:11:44 2023
0.000000;-0.344427;Thu Jul 06 15:11:44 2023
